PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,0.65,38265.98,171.94,195.62,5931.2214835585,5987.652254300203
collections,11.39,37977554.94,5328.13,6162.59,4546.021277380091,4604.120665889233
commons-fileupload,14.11,534662.37,681.24,731.21,3108.634435215802,3147.3705053122867
jxpath,1.05,122857.8,306.48,350.51,5298.289322974883,5355.635011407128
commons-jelly,11.91,20936278.17,4552.56,4575.62,6266.524477153653,6322.813066736037
dbutils,7.71,487955.19,576.48,698.54,2411.3205319313656,2445.701325020598
cocoon,14.75,3326613551.68,48725.55,57676.8,1444.1138267956171,1481.4055602401984
cayenne,1.68,15088155.67,3647.77,3884.35,436.9617573377974,457.09130194614113
hive,14.7,7647390516.38,77326.88,87449.36,2500.0516621534425,2545.046611839401
bcel,2.87,3808918.75,1612.62,1951.65,4211.91344233623,4268.202031918615
zookeeper,,,,,,
felix,15.36,1166200442.11,31168.84,34149.68,1299.1851898617135,1335.1611137345033
beanutils,682.95,2313994804.87,35923.75,48104.0,5979.927743285775,6037.4499043417145
commons-cli,53.38,7466350.35,2672.71,2732.46,5044.382788961128,5095.857342192884
commons-exec,3.18,43598.77,162.6,208.8,2804.195742689643,2849.55193312968
net,4.53,2058909.6,1269.01,1434.89,4439.039796410301,4498.246893584553
batik,13.34,423934690.71,18694.18,20589.67,622.4045337425079,647.2901027263384
ognl,12.9,11413773.92,3006.68,3378.43,2085.815938124016,2103.717577854265
santuario,10.65,222251413.8,14348.77,14908.1,5560.659506404257,5619.7592206251
daemon,2.65,11423.56,103.59,106.88,2866.62715458889,2892.3163210497537
commons-jexl,37.42,18109260.28,3960.8,4255.5,5070.593132090274,5129.530408367693
httpcore,40.67,2728927284.15,51117.87,52239.14,3703.327648456056,3758.1268487357584
thrift,2.8,358013.22,565.15,598.34,1421.4546622016132,1458.9555489512722
configuration,6.07,9669850.18,2372.56,3109.64,4218.060326751809,4274.907680110555
commons-io,15.49,37221287.42,4507.55,6100.93,4243.138498147309,4301.801325157108
httpclient,23.8,455286533.55,20212.09,21337.44,3357.313770049262,3409.681762986282
archiva,56.17,1230086750.03,29211.54,35072.59,2324.6480233798998,2367.709589495565
validator,6.98,1567710.87,1049.37,1252.08,4826.764492398788,4883.567953119289
dbcp,5.27,681966.8,752.05,825.81,4111.538081713945,4163.108198456687
codec,10.37,3109091.98,1539.88,1763.26,3767.838179109544,3819.3127323413
vfs,4.25,2340069.76,1065.34,1529.73,4318.492423643598,4377.645919427685
