PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,5.2,3036692.57,1470.89,1742.61,2679.2155078820256,2723.6581773359244
collections,8.41,23675054.89,4054.7,4865.7,2037.2965085868832,2082.421013636564
commons-fileupload,11.08,355744.77,545.62,596.44,1364.3003322388408,1394.2038198230869
jxpath,1.06,162674.49,308.16,403.33,2331.6451708261607,2376.8047002376043
commons-jelly,2.45,1548335.03,1034.15,1244.32,2889.207299174848,2933.961398500473
dbutils,1.36,9114.72,90.13,95.47,1079.2607543816434,1105.6080442639395
cocoon,29.08,17548243773.27,117955.09,132469.78,720.7916500008448,746.5663366031524
cayenne,6.71,202551007.05,13861.65,14232.04,136.3897485640179,144.69749384901627
hive,85.34,80478497247.69,263086.97,283687.32,1196.3291399933148,1229.8386529888685
bcel,2.49,3186823.5,1397.04,1785.17,1855.065526910847,1898.9743321882047
zookeeper,,,,,,
felix,4.23,151374325.06,10531.29,12303.43,662.562637820169,687.4482068039996
beanutils,7.65,21826809.91,3928.32,4671.92,2671.9000082513444,2717.2582160640386
commons-cli,35.54,4225737.38,2016.15,2055.66,2235.896679531873,2276.042161838251
commons-exec,3.62,54486.62,184.16,233.42,1259.0010029460695,1293.9885254150483
net,5.18,2772106.03,1437.21,1664.96,2004.303531249113,2050.7879277041275
batik,17.43,1184489352.57,27456.13,34416.41,275.4951347111782,288.82654821607764
ognl,,,,,,
santuario,4.53,47173240.85,5127.44,6868.28,2437.884378016252,2483.764929223541
daemon,2.61,11210.69,102.28,105.88,1328.8943850702117,1346.281423869917
commons-jexl,,,,,,
httpcore,9.01,66646696.78,7400.39,8163.74,1708.2070364657843,1750.6704020683048
thrift,35.31,31573845.71,5060.17,5619.06,661.889352004408,686.3111203982666
configuration,16.56,46364587.3,5680.46,6809.15,1971.294114837088,2015.6250688285384
commons-io,15.61,38086053.29,4554.12,6171.39,1906.4716980687065,1952.10418229142
httpclient,21.84,416415502.2,18583.94,20406.26,1576.16835845566,1616.3421105599296
archiva,43.98,963785907.31,26142.92,31044.9,1130.3203019489051,1161.540201446208
validator,11.71,5065477.58,2167.94,2250.66,2143.082315506412,2187.9388043080926
dbcp,6.55,982078.9,920.65,991.0,1925.752625035951,1966.322382235264
codec,8.83,2407926.39,1332.39,1551.75,1722.3828657220834,1762.6356282468994
vfs,4.54,2905404.84,1129.48,1704.52,1945.8272008419767,1992.192637641192
