PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,0.02,27.24,5.21,5.22,6235.29,6283.03
collections,0.44,217074.86,224.11,465.91,5657.33,5711.22
commons-fileupload,5.06,313074.38,80.73,559.53,3180.2,3217.56
jxpath,0.04,180.31,11.44,13.43,4796.2,4856.81
commons-jelly,0.02,48.19,6.79,6.94,5546.12,5605.69
dbutils,,,,,,
cocoon,1.84,159171546.71,4338.14,12616.32,1912.96,1940.82
cayenne,2.49,46752832.04,5342.67,6837.6,583.0,604.51
hive,2.11,273273157.07,12670.38,16530.98,3965.53,4001.81
bcel,0.5,595931.41,279.2,771.97,5277.93,5317.64
zookeeper,0.43,82593.23,267.49,287.39,728.24,743.53
felix,2.21,51235861.31,5330.76,7157.92,1661.82,1696.02
beanutils,0.07,3540.46,37.59,59.5,6499.27,6527.64
commons-cli,0.81,6502.78,59.96,80.64,6113.93,6141.19
commons-exec,0.1,35.67,5.35,5.97,3095.6,3140.08
net,0.07,985.37,20.29,31.39,4833.66,4872.85
batik,22.69,988912352.74,16611.72,31446.98,1037.59,1056.44
ognl,0.0,0.0,0.0,0.0,637.95,669.88
santuario,0.31,562297.45,378.08,749.86,6398.05,6421.51
daemon,0.0,0.02,0.13,0.13,951.4,990.26
commons-jexl,2.19,1789197.81,373.82,1337.61,5933.49,5999.83
httpcore,0.95,2799180.68,722.81,1673.08,4639.25,4672.02
thrift,,,,,,
configuration,0.35,69632.23,143.53,263.88,5078.25,5131.09
commons-io,,,,,,
httpclient,1.83,8500331.84,1141.82,2915.53,4252.49,4287.37
archiva,3.35,27137274.77,3103.34,5209.34,2717.9,2729.5
validator,0.17,2109.62,27.09,45.93,4699.47,4743.51
dbcp,0.95,119869.12,141.76,346.22,4794.9,4853.48
codec,0.25,8672.25,41.44,93.12,4347.1,4401.62
vfs,,,,,,
