PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,0.04,135.53,11.64,11.64,3037.88,3053.76
collections,1.19,1226742.81,606.52,1107.58,2680.38,2725.83
commons-fileupload,,,,,,
jxpath,0.12,1828.64,34.94,42.76,2454.4,2486.66
commons-jelly,0.07,972.17,30.03,31.18,2665.65,2697.57
dbutils,0.18,376.23,12.0,19.4,1416.76,1442.36
cocoon,6.97,720696091.3,18052.37,26845.78,956.4,981.06
cayenne,4.58,102652899.36,9742.46,10131.78,286.92,293.95
hive,5.02,1574463376.0,29126.47,39679.51,1930.45,1950.94
bcel,0.49,176004.6,272.29,419.53,2344.95,2385.8
zookeeper,4.65,43360001.32,3454.28,6584.83,405.62,417.11
felix,1.87,46239289.39,4616.21,6799.95,840.33,860.89
beanutils,0.27,57202.45,153.3,239.17,3029.15,3077.7
commons-cli,0.88,6525.49,67.3,80.78,2689.13,2732.19
commons-exec,0.18,107.54,9.77,10.37,1523.06,1557.84
net,0.35,28029.66,99.61,167.42,2257.42,2291.72
batik,37.95,2759907446.23,46671.5,52534.82,446.21,462.14
ognl,0.0,0.0,0.0,0.0,489.06,508.31
santuario,1.36,19634817.28,1734.44,4431.12,2960.3,2981.78
daemon,0.01,0.05,0.22,0.22,789.6,830.05
commons-jexl,,,,,,
httpcore,2.07,7340688.57,1502.86,2709.37,2225.12,2242.28
thrift,5.04,15699519.4,1543.5,3962.26,598.73,607.05
configuration,0.46,166086.9,191.57,407.54,2354.61,2378.43
commons-io,0.75,109572.39,251.48,331.02,2253.86,2296.73
httpclient,3.77,16107316.73,2327.52,4013.39,2048.52,2078.43
archiva,13.02,215014371.22,10087.46,14663.37,1334.91,1369.45
validator,0.54,35415.19,86.74,188.19,2360.35,2392.39
dbcp,1.13,141069.32,168.7,375.59,2318.05,2346.06
codec,0.57,21972.02,94.31,148.23,2132.16,2166.12
vfs,0.61,119809.62,162.14,346.14,2357.05,2400.62
