COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-11-28 03:15:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-12 08:09:34,4540.0,0.0,2.0,0.0,2.0,1.0,0.0,15.0,9.0,0.0,0.0,4.0,0.0,0.0,39.0,20.0
2005-12-27 02:34:36,6607.0,0.0,5.0,0.0,3.0,1.0,0.0,33.0,9.0,0.0,0.0,4.0,3.0,0.0,45.0,8.0
2006-01-15 00:30:24,5929.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0
2006-01-30 02:51:46,7754.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,9.0,6.0,0.0,0.0,3.0,3.0
2006-02-15 08:56:29,9697.0,1.0,29.0,1.0,0.0,0.0,3.0,0.0,13.0,0.0,12.0,6.0,0.0,0.0,5.0,6.0
2006-03-01 11:39:07,11465.0,1.0,31.0,2.0,2.0,0.0,0.0,2.0,20.0,0.0,11.0,10.0,0.0,4.0,6.0,7.0
2006-03-16 02:57:41,9988.0,0.0,31.0,1.0,2.0,2.0,0.0,25.0,19.0,0.0,11.0,9.0,0.0,4.0,8.0,6.0
2006-03-30 02:57:41,9971.4,0.0,31.0,1.0,2.0,2.0,0.0,25.4,19.0,0.0,11.0,9.0,0.0,3.8,8.0,6.0
2006-04-13 02:57:41,9954.8,0.0,31.0,1.0,2.0,2.0,0.0,25.8,19.0,0.0,11.0,9.0,0.0,3.6,8.0,6.0
2006-04-27 02:57:41,9938.2,0.0,31.0,1.0,2.0,2.0,0.0,26.2,19.0,0.0,11.0,9.0,0.0,3.4,8.0,6.0
2006-05-11 02:57:41,9921.6,0.0,31.0,1.0,2.0,2.0,0.0,26.6,19.0,0.0,11.0,9.0,0.0,3.2,8.0,6.0
2006-06-01 02:29:57,9905.0,0.0,31.0,1.0,2.0,2.0,0.0,27.0,19.0,0.0,11.0,9.0,0.0,3.0,8.0,6.0
2006-06-15 06:11:48,15810.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0
2006-07-06 05:50:09,15969.0,0.0,28.0,1.0,0.0,1.0,0.0,1.0,17.0,0.0,8.0,8.0,0.0,0.0,2.0,1.0
2006-07-20 08:38:56,17100.0,0.0,37.0,1.0,0.0,2.0,0.0,1.0,17.0,0.0,8.0,8.0,0.0,0.0,2.0,1.0
2006-08-04 06:07:00,20019.0,0.0,108.0,1.0,0.0,1.0,0.0,5.0,17.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0
2006-08-26 05:47:59,22731.0,0.0,334.0,1.0,0.0,0.0,0.0,11.0,17.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0
2006-09-09 07:05:03,24361.0,1.0,439.0,1.0,0.0,0.0,0.0,22.0,18.0,0.0,4.0,3.0,0.0,0.0,18.0,2.0
2006-09-28 08:55:32,26619.0,1.0,445.0,1.0,7.0,0.0,0.0,26.0,20.0,0.0,10.0,3.0,0.0,0.0,20.0,2.0
2006-10-16 21:16:15,26028.0,1.0,447.0,1.0,0.0,1.0,0.0,28.0,22.0,0.0,7.0,3.0,0.0,0.0,20.0,2.0
2006-11-03 02:08:35,27938.0,1.0,449.0,1.0,0.0,1.0,0.0,24.0,22.0,0.0,7.0,3.0,0.0,0.0,20.0,2.0
2006-11-19 04:42:34,29057.0,2.0,448.0,1.0,0.0,1.0,0.0,33.0,22.0,0.0,9.0,3.0,0.0,0.0,20.0,4.0
2006-12-05 21:53:44,27861.0,1.0,450.0,1.0,0.0,1.0,0.0,33.0,22.0,0.0,8.0,3.0,0.0,0.0,20.0,2.0
2006-12-22 15:56:26,29005.0,1.0,454.0,1.0,0.0,1.0,0.0,35.0,22.0,0.0,8.0,3.0,0.0,0.0,20.0,2.0
2007-01-11 10:51:31,27415.0,1.0,453.0,1.0,0.0,1.0,0.0,25.0,72.0,0.0,8.0,3.0,0.0,0.0,20.0,2.0
2007-01-25 13:34:17,27118.0,1.0,449.0,1.0,0.0,1.0,0.0,31.0,71.0,0.0,7.0,3.0,0.0,0.0,20.0,2.0
2007-02-09 15:39:41,28434.0,1.0,480.0,1.0,0.0,2.0,0.0,43.0,70.0,7.0,17.0,3.0,0.0,0.0,20.0,7.0
2007-02-23 19:05:21,29713.0,36.0,469.0,3.0,0.0,2.0,0.0,43.0,131.0,9.0,24.0,3.0,0.0,2.0,20.0,7.0
2007-03-09 19:05:21,30888.0,35.5,472.5,17.5,0.0,8.0,0.0,47.5,163.5,57.0,22.0,3.0,0.0,2.0,28.0,7.0
2007-03-29 09:09:33,32063.0,35.0,476.0,32.0,0.0,14.0,0.0,52.0,196.0,105.0,20.0,3.0,0.0,2.0,36.0,7.0
2007-04-12 17:03:26,34825.0,25.0,567.0,54.0,0.0,20.0,25.0,75.0,205.0,79.0,32.0,3.0,0.0,2.0,32.0,6.0
2007-04-26 23:55:51,37975.0,1.0,245.0,37.0,0.0,16.0,34.0,76.0,86.0,15.0,62.0,0.0,0.0,0.0,18.0,5.0
2007-05-11 22:25:12,47145.0,1.0,242.0,37.0,0.0,16.0,34.0,64.0,124.0,15.0,72.0,0.0,0.0,0.0,18.0,6.0
2007-05-29 10:12:01,48893.0,1.0,241.0,37.0,0.0,16.0,34.0,61.0,129.0,15.0,88.0,0.0,0.0,1.0,18.0,6.0
2007-06-14 10:47:02,51573.0,2.0,252.0,38.0,0.0,35.0,38.0,61.0,132.0,15.0,108.0,0.0,0.0,1.0,20.0,6.0
2007-06-28 10:47:02,67140.5,2.0,257.5,47.0,0.0,55.5,60.5,61.5,175.5,16.0,115.0,0.0,0.0,1.0,20.0,6.5
2007-07-23 16:48:30,82708.0,2.0,263.0,56.0,0.0,76.0,83.0,62.0,219.0,17.0,122.0,0.0,0.0,1.0,20.0,7.0
2007-08-09 08:24:40,85684.0,32.0,265.0,56.0,0.0,83.0,83.0,80.0,337.0,17.0,149.0,8.0,2.0,1.0,27.0,6.0
2007-08-26 03:16:11,85924.0,32.0,265.0,56.0,0.0,83.0,83.0,80.0,340.0,18.0,149.0,8.0,2.0,1.0,27.0,6.0
2007-09-10 02:59:47,87629.0,31.0,271.0,56.0,0.0,86.0,85.0,73.0,342.0,18.0,157.0,9.0,2.0,1.0,35.0,6.0
2007-09-25 02:13:13,87133.0,31.0,282.0,56.0,0.0,81.0,83.0,47.0,356.0,17.0,157.0,9.0,2.0,1.0,33.0,5.0
2007-10-10 09:47:20,83846.0,31.0,285.0,56.0,0.0,92.0,86.0,67.0,393.0,19.0,182.0,9.0,2.0,1.0,33.0,6.0
2007-10-25 23:39:05,84571.0,33.0,332.0,56.0,0.0,101.0,86.0,50.0,409.0,19.0,214.0,9.0,0.0,1.0,25.0,7.0
2007-11-09 08:01:03,88348.0,33.0,340.0,56.0,0.0,101.0,92.0,53.0,440.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2007-11-23 08:01:03,87447.0,33.0,338.5,56.0,0.0,101.0,92.5,55.0,439.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2007-12-10 14:43:38,86546.0,33.0,337.0,56.0,0.0,101.0,93.0,57.0,438.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2007-12-24 14:43:38,86641.5,33.0,337.0,56.0,0.0,101.0,93.0,59.5,439.5,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2008-01-10 10:54:32,86737.0,33.0,337.0,56.0,0.0,101.0,93.0,62.0,441.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2008-01-24 11:07:09,86801.0,33.0,337.0,56.0,0.0,101.0,93.0,62.0,442.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2008-02-17 10:40:28,86820.0,38.0,337.0,56.0,0.0,101.0,93.0,63.0,444.0,20.0,236.0,9.0,0.0,2.0,37.0,11.0
2008-03-04 06:13:38,87028.0,38.0,337.0,56.0,0.0,101.0,93.0,63.0,465.0,20.0,236.0,9.0,0.0,2.0,37.0,11.0
2008-03-19 14:36:08,93502.0,38.0,339.0,56.0,0.0,101.0,94.0,58.0,504.0,20.0,236.0,9.0,0.0,2.0,37.0,13.0
2008-04-03 03:42:59,93796.0,38.0,339.0,56.0,0.0,101.0,94.0,59.0,534.0,19.0,237.0,8.0,0.0,2.0,37.0,15.0
2008-04-18 03:05:18,89749.0,47.0,340.0,56.0,0.0,100.0,94.0,72.0,576.0,23.0,239.0,8.0,1.0,2.0,40.0,16.0
2008-05-03 02:38:07,90464.0,47.0,368.0,56.0,0.0,100.0,92.0,74.0,591.0,22.0,239.0,8.0,0.0,2.0,44.0,19.0
2008-05-17 17:39:25,92390.0,47.0,372.0,56.0,0.0,101.0,92.0,70.0,605.0,22.0,254.0,8.0,2.0,2.0,46.0,19.0
2008-06-02 06:51:21,93631.0,47.0,378.0,56.0,0.0,101.0,94.0,69.0,628.0,22.0,254.0,8.0,2.0,2.0,47.0,18.0
2008-06-20 03:49:16,93680.0,47.0,378.0,56.0,0.0,101.0,94.0,65.0,633.0,22.0,254.0,8.0,2.0,2.0,47.0,18.0
2008-07-05 08:40:27,93906.0,47.0,379.0,56.0,0.0,101.0,94.0,100.0,653.0,22.0,254.0,8.0,2.0,2.0,46.0,18.0
2008-07-25 10:47:53,95541.0,47.0,378.0,56.0,0.0,101.0,94.0,99.0,667.0,23.0,256.0,9.0,2.0,2.0,47.0,19.0
2008-08-11 04:28:05,94815.0,47.0,395.0,56.0,0.0,101.0,94.0,99.0,677.0,23.0,260.0,9.0,2.0,2.0,47.0,19.0
2008-09-03 07:20:15,95402.0,47.0,397.0,56.0,0.0,101.0,94.0,102.0,306.0,23.0,260.0,10.0,2.0,2.0,47.0,19.0
2008-09-17 07:20:15,95320.0,47.0,397.0,56.0,0.0,101.0,94.0,104.0,305.0,23.0,259.5,10.5,2.5,2.0,47.5,19.0
2008-10-01 09:11:06,95238.0,47.0,397.0,56.0,0.0,101.0,94.0,106.0,304.0,23.0,259.0,11.0,3.0,2.0,48.0,19.0
2008-10-17 08:35:26,95242.0,47.0,407.0,56.0,0.0,101.0,100.0,101.0,311.0,33.0,264.0,18.0,10.0,2.0,48.0,21.0
2008-11-03 02:16:13,98147.0,47.0,406.0,56.0,0.0,101.0,98.0,91.0,313.0,32.0,306.0,17.0,8.0,2.0,48.0,24.0
