COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2000-10-11 16:43:11,71725.0,255.0,633.0,26.0,237.0,4.0,32.0,453.0,91.0,112.0,170.0,5.0,29.0,264.0,53.0,44.0
2000-10-25 17:57:21,77910.0,233.0,636.0,25.0,237.0,9.0,34.0,529.0,94.0,120.0,197.0,6.0,35.0,281.0,59.0,52.0
2000-11-09 07:38:13,89648.0,271.0,624.0,40.0,256.0,14.0,37.0,702.0,115.0,161.0,267.0,9.0,40.0,298.0,65.0,63.0
2000-11-23 10:49:59,106728.0,354.0,643.0,58.0,335.0,17.0,35.0,890.0,132.0,210.0,294.0,12.0,71.0,320.0,78.0,87.0
2000-12-07 13:24:27,112068.0,368.0,650.0,58.0,328.0,20.0,35.0,921.0,139.0,281.0,292.0,13.0,67.0,396.0,79.0,92.0
2000-12-21 16:35:53,112773.0,373.0,651.0,60.0,333.0,20.0,35.0,948.0,143.0,280.0,289.0,13.0,67.0,397.0,92.0,88.0
2001-01-05 15:49:20,113504.0,373.0,652.0,60.0,338.0,20.0,35.0,951.0,140.0,281.0,284.0,13.0,67.0,399.0,94.0,88.0
2001-01-22 16:38:06,121242.0,407.0,652.0,88.0,356.0,20.0,37.0,1014.0,160.0,304.0,290.0,13.0,66.0,448.0,112.0,102.0
2001-02-06 07:05:04,125307.0,426.0,665.0,93.0,400.0,24.0,36.0,1045.0,169.0,323.0,297.0,15.0,66.0,505.0,124.0,105.0
2001-02-22 14:35:53,128039.0,445.0,696.0,106.0,444.0,24.0,35.0,1056.0,176.0,380.0,303.0,20.0,65.0,517.0,130.0,115.0
2001-03-08 18:17:33,109082.0,398.0,696.0,101.0,289.0,19.0,35.0,900.0,166.0,349.0,282.0,13.0,58.0,300.0,100.0,96.0
2001-03-23 17:23:16,112267.0,433.0,699.0,111.0,285.0,19.0,41.0,926.0,163.0,347.0,283.0,14.0,63.0,333.0,104.0,127.0
2001-04-10 14:48:49,121539.0,456.0,707.0,111.0,291.0,19.0,41.0,945.0,170.0,337.0,296.0,12.0,65.0,382.0,120.0,129.0
2001-04-24 15:32:17,131084.0,517.0,711.0,111.0,291.0,20.0,41.0,967.0,174.0,331.0,300.0,16.0,67.0,382.0,121.0,136.0
2001-05-09 22:43:58,139522.0,526.0,725.0,116.0,313.0,19.0,52.0,921.0,181.0,338.0,302.0,20.0,59.0,390.0,110.0,151.0
2001-05-31 21:10:26,146385.0,542.0,726.0,125.0,315.0,20.0,57.0,971.0,189.0,355.0,363.0,20.0,62.0,430.0,115.0,156.0
2001-06-21 07:54:31,146868.0,551.0,726.0,125.0,318.0,20.0,57.0,952.0,193.0,358.0,363.0,20.0,62.0,427.0,115.0,159.0
2001-07-05 16:19:27,148233.0,557.0,726.0,125.0,326.0,20.0,57.0,957.0,194.0,359.0,363.0,20.0,62.0,431.0,116.0,161.0
2001-07-23 19:36:30,149594.0,557.0,723.0,137.0,357.0,20.0,58.0,953.0,197.0,367.0,363.0,20.0,58.0,434.0,124.0,161.0
2001-08-06 19:38:55,153518.0,563.0,761.0,129.0,389.0,20.0,61.0,973.0,202.0,395.0,367.0,20.0,65.0,451.0,124.0,149.0
2001-08-21 15:03:24,153426.0,563.0,761.0,129.0,388.0,20.0,61.0,975.0,202.0,395.0,367.0,20.0,65.0,451.0,124.0,149.0
2001-09-05 10:00:06,152577.0,562.0,761.0,129.0,394.0,20.0,61.0,988.0,205.0,331.0,367.0,20.0,65.0,450.0,124.0,150.0
2001-09-19 11:16:37,154246.0,509.0,739.0,130.0,393.0,17.0,61.0,968.0,182.0,327.0,516.0,20.0,71.0,450.0,134.0,154.0
2001-10-03 16:08:19,156074.0,515.0,739.0,129.0,456.0,17.0,61.0,974.0,183.0,329.0,518.0,20.0,72.0,454.0,136.0,158.0
2001-10-18 06:28:46,157854.0,526.0,739.0,127.0,459.0,16.0,63.0,990.0,188.0,333.0,520.0,20.0,70.0,456.0,135.0,156.0
2001-11-02 09:47:58,163002.0,546.0,744.0,127.0,459.0,16.0,63.0,1045.0,196.0,336.0,523.0,21.0,77.0,464.0,123.0,159.0
2001-11-19 09:28:24,164391.0,550.0,744.0,127.0,482.0,16.0,63.0,1043.0,201.0,351.0,523.0,21.0,77.0,467.0,123.0,156.0
2001-12-03 15:28:42,168435.0,550.0,741.0,127.0,453.0,16.0,63.0,1051.0,201.0,351.0,523.0,22.0,77.0,475.0,123.0,158.0
2001-12-17 16:02:17,169312.0,553.0,741.0,128.0,458.0,16.0,63.0,1055.0,202.0,355.0,523.0,22.0,77.0,471.0,123.0,160.0
2002-01-02 21:21:17,170164.0,565.0,741.0,128.0,458.0,16.0,63.0,1065.0,202.0,355.0,525.0,22.0,81.0,474.0,123.0,160.0
2002-01-23 14:14:09,170045.0,565.0,741.0,128.0,466.0,16.0,63.0,1082.0,203.0,357.0,526.0,22.0,81.0,474.0,123.0,158.0
2002-02-07 13:10:17,170425.0,567.0,741.0,125.0,473.0,16.0,65.0,1078.0,204.0,358.0,526.0,22.0,81.0,474.0,127.0,159.0
2002-02-22 11:30:54,174898.0,599.0,742.0,125.0,536.0,17.0,65.0,1103.0,212.0,363.0,512.0,21.0,84.0,476.0,124.0,165.0
2002-03-11 09:04:38,174077.0,588.0,701.0,125.0,544.0,17.0,65.0,1091.0,212.0,365.0,508.0,22.0,87.0,477.0,125.0,161.0
2002-03-25 11:02:22,167555.0,698.0,657.0,125.0,543.0,17.0,37.0,939.0,200.0,346.0,494.0,22.0,85.0,469.0,116.0,157.0
2002-04-09 16:27:18,172616.0,711.0,813.0,125.0,564.0,17.0,37.0,951.0,204.0,366.0,494.0,22.0,84.0,523.0,122.0,158.0
2002-04-23 17:10:14,170721.0,714.0,826.0,125.0,563.0,17.0,38.0,923.0,204.0,368.0,358.0,22.0,84.0,522.0,123.0,158.0
2002-05-08 09:42:47,172389.0,730.0,836.0,125.0,566.0,17.0,39.0,928.0,207.0,368.0,331.0,22.0,85.0,526.0,122.0,163.0
2002-05-22 10:06:55,174438.0,740.0,837.0,125.0,569.0,17.0,39.0,925.0,207.0,368.0,331.0,22.0,86.0,527.0,122.0,164.0
2002-06-05 14:38:26,174968.0,742.0,837.0,125.0,571.0,17.0,39.0,925.0,208.0,368.0,331.0,22.0,86.0,529.0,125.0,164.0
2002-06-20 21:35:09,108104.0,734.0,844.0,126.0,575.0,19.0,39.0,931.0,209.0,369.0,329.0,22.0,83.0,530.0,124.0,163.0
2002-07-08 11:54:02,108595.0,733.0,847.0,126.0,589.0,19.0,39.0,930.0,209.0,370.0,329.0,23.0,83.0,530.0,124.0,166.0
2002-07-24 00:02:28,109345.0,736.0,847.0,126.0,598.0,19.0,39.0,938.0,209.0,371.0,330.0,23.0,84.0,531.0,124.0,168.0
2002-08-12 20:34:35,109530.0,738.0,847.0,126.0,607.0,19.0,39.0,936.0,209.0,371.0,330.0,23.0,85.0,533.0,123.0,168.0
