COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2007-01-21 11:11:02,179813.0,325.0,83.0,42.0,195.0,13.0,27.0,35.0,210.0,199.0,147.0,75.0,66.0,145.0,34.0,32.0
2007-02-04 11:31:14,180845.0,325.0,84.0,41.0,195.0,13.0,27.0,35.0,212.0,199.0,147.0,75.0,64.0,145.0,34.0,32.0
2007-02-25 14:04:55,190039.0,326.0,81.0,41.0,195.0,13.0,26.0,35.0,210.0,199.0,146.0,75.0,64.0,145.0,34.0,32.0
2007-03-11 14:04:55,189040.5,326.0,81.0,41.0,195.0,13.0,26.0,35.0,210.5,200.5,146.0,75.0,64.0,146.0,34.0,32.0
2007-03-29 09:22:06,188042.0,326.0,81.0,41.0,195.0,13.0,26.0,35.0,211.0,202.0,146.0,75.0,64.0,147.0,34.0,32.0
2007-04-22 12:41:45,188655.0,328.0,83.0,41.0,195.0,13.0,26.0,35.0,211.0,202.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-05-06 12:41:45,188695.5,328.0,83.0,41.0,195.0,13.5,26.0,35.5,211.0,202.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-05-25 09:26:52,188736.0,328.0,83.0,41.0,195.0,14.0,26.0,36.0,211.0,202.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-06-08 19:29:06,188759.0,328.0,83.0,41.0,195.0,14.0,26.0,36.0,211.0,202.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-06-24 11:06:54,190360.0,329.0,84.0,41.0,195.0,14.0,27.0,36.0,214.0,204.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-07-08 19:11:31,192352.0,330.0,84.0,41.0,195.0,14.0,27.0,34.0,214.0,204.0,148.0,76.0,66.0,147.0,34.0,32.0
2007-07-27 22:04:24,192706.0,330.0,84.0,41.0,195.0,14.0,27.0,36.0,215.0,204.0,148.0,76.0,66.0,147.0,34.0,32.0
2007-08-12 00:32:07,197156.0,331.0,84.0,41.0,192.0,8.0,27.0,36.0,217.0,200.0,148.0,74.0,62.0,147.0,34.0,31.0
2007-08-28 18:03:34,200054.0,330.0,84.0,41.0,192.0,8.0,27.0,37.0,222.0,200.0,148.0,76.0,62.0,147.0,37.0,31.0
2007-09-15 12:20:33,201020.0,330.0,84.0,41.0,192.0,8.0,27.0,37.0,220.0,200.0,150.0,76.0,62.0,147.0,37.0,31.0
2007-10-02 11:16:54,201191.0,331.0,84.0,41.0,192.0,8.0,27.0,38.0,220.0,200.0,151.0,75.0,62.0,147.0,38.0,31.0
2007-10-19 07:20:15,205788.0,333.0,85.0,41.0,192.0,8.0,25.0,42.0,225.0,200.0,153.0,76.0,67.0,148.0,39.0,32.0
2007-11-03 13:17:28,211382.0,334.0,85.0,43.0,192.0,8.0,25.0,45.0,229.0,202.0,153.0,76.0,69.0,148.0,39.0,32.0
2007-11-20 06:26:11,209491.0,331.0,85.0,43.0,195.0,7.0,25.0,45.0,226.0,200.0,153.0,78.0,69.0,148.0,39.0,32.0
2007-12-04 20:27:33,210748.0,331.0,88.0,43.0,192.0,7.0,12.0,37.0,225.0,199.0,156.0,78.0,69.0,148.0,39.0,32.0
2007-12-19 14:53:20,212167.0,330.0,85.0,45.0,180.0,9.0,12.0,35.0,227.0,198.0,154.0,78.0,69.0,148.0,39.0,32.0
2008-01-03 09:47:38,213284.0,331.0,85.0,45.0,180.0,8.0,12.0,34.0,222.0,199.0,154.0,77.0,70.0,148.0,39.0,31.0
2008-01-18 14:23:57,215009.0,331.0,85.0,45.0,180.0,8.0,12.0,33.0,232.0,199.0,155.0,77.0,71.0,148.0,39.0,31.0
2008-02-03 21:42:14,213581.0,331.0,85.0,45.0,180.0,8.0,8.0,29.0,237.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-02-19 00:02:53,214376.0,331.0,85.0,45.0,180.0,8.0,8.0,28.0,237.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-03-05 21:33:06,214988.0,331.0,85.0,45.0,182.0,8.0,8.0,28.0,242.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-03-22 21:31:30,210154.0,331.0,85.0,45.0,182.0,9.0,8.0,34.0,242.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-04-11 11:46:30,216904.0,332.0,85.0,45.0,182.0,9.0,8.0,27.0,242.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-04-26 17:18:00,219441.0,332.0,86.0,45.0,182.0,10.0,8.0,27.0,245.0,201.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-05-14 12:53:17,220536.0,328.0,87.0,45.0,182.0,10.0,8.0,24.0,244.0,202.0,149.0,78.0,70.0,149.0,39.0,31.0
2008-05-29 00:51:17,221426.0,328.0,88.0,43.0,182.0,11.0,8.0,24.0,242.0,204.0,149.0,78.0,72.0,150.0,40.0,31.0
2008-06-12 16:05:47,222652.0,328.0,88.0,43.0,182.0,11.0,8.0,24.0,243.0,209.0,149.0,78.0,72.0,150.0,40.0,31.0
2008-07-02 00:12:36,222875.0,328.0,88.0,39.0,180.0,11.0,8.0,28.0,242.0,210.0,149.0,78.0,72.0,150.0,40.0,31.0
