COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2003-03-09 00:11:46,106029.0,150.0,208.0,309.0,579.0,51.0,16.0,72.0,186.0,255.0,105.0,33.0,80.0,98.0,355.0,46.0
2003-03-23 12:35:11,107645.0,148.0,206.0,308.0,582.0,52.0,16.0,72.0,192.0,262.0,101.0,34.0,81.0,98.0,356.0,41.0
2003-04-09 11:12:20,108995.0,147.0,206.0,306.0,581.0,53.0,16.0,70.0,192.0,265.0,100.0,37.0,81.0,101.0,360.0,11.0
2003-04-23 20:44:59,116125.0,254.0,214.0,309.0,584.0,55.0,19.0,114.0,204.0,260.0,138.0,41.0,84.0,97.0,384.0,14.0
2003-05-08 00:05:05,127056.0,341.0,269.0,306.0,584.0,55.0,28.0,109.0,238.0,267.0,138.0,43.0,88.0,99.0,393.0,23.0
2003-05-22 06:54:52,133787.0,438.0,269.0,315.0,627.0,55.0,30.0,104.0,252.0,271.0,150.0,44.0,88.0,112.0,418.0,30.0
2003-06-06 12:21:10,134029.0,438.0,273.0,317.0,629.0,55.0,30.0,108.0,256.0,276.0,154.0,44.0,98.0,112.0,416.0,34.0
2003-06-21 03:36:14,135832.0,438.0,283.0,319.0,635.0,57.0,30.0,114.0,261.0,283.0,163.0,44.0,101.0,114.0,417.0,39.0
2003-07-05 04:27:27,153488.0,550.0,288.0,352.0,695.0,57.0,43.0,115.0,275.0,315.0,178.0,45.0,103.0,178.0,440.0,83.0
2003-07-19 12:40:44,156271.0,547.0,290.0,356.0,703.0,60.0,44.0,93.0,261.0,328.0,183.0,46.0,104.0,178.0,470.0,80.0
2003-08-04 03:09:42,157927.0,549.0,290.0,356.0,696.0,65.0,44.0,79.0,258.0,331.0,201.0,47.0,106.0,179.0,483.0,81.0
2003-08-18 09:42:29,162990.0,579.0,293.0,362.0,647.0,68.0,44.0,82.0,261.0,322.0,215.0,47.0,110.0,183.0,568.0,52.0
2003-09-02 08:55:26,167080.0,582.0,296.0,369.0,648.0,71.0,44.0,82.0,267.0,326.0,220.0,52.0,115.0,183.0,571.0,57.0
2003-09-18 12:11:50,170538.0,585.0,298.0,376.0,653.0,69.0,45.0,75.0,274.0,329.0,226.0,53.0,121.0,183.0,574.0,54.0
2003-10-03 13:41:00,181682.0,591.0,302.0,380.0,656.0,69.0,23.0,81.0,274.0,332.0,231.0,55.0,120.0,182.0,576.0,53.0
