COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2003-05-14 02:40:18,2088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-29 23:03:29,2078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2003-06-18 17:46:38,2926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,1.0
2003-07-11 16:53:28,3061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,1.0
2003-07-31 20:09:21,3124.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,6.0,0.0,0.0,1.0,0.0,0.0
2003-08-14 20:09:21,3125.75,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,6.0,0.0,0.0,1.0,0.0,0.0
2003-08-28 20:09:21,3127.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,6.0,0.0,0.0,1.0,0.0,0.0
2003-09-11 20:09:21,3129.25,0.75,0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,6.0,0.0,0.0,1.0,0.0,0.0
2003-10-04 15:14:08,3131.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,62.0,6.0,0.0,0.0,1.0,0.0,0.0
2003-10-18 15:14:08,2920.0,1.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,62.0,11.0,0.0,2.0,1.0,0.0,1.0
2003-11-03 04:08:26,2709.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,62.0,16.0,0.0,4.0,1.0,0.0,2.0
2003-11-17 04:08:26,3155.0,3.0,0.5,2.0,0.0,0.0,1.0,0.0,1.0,61.5,16.0,0.0,4.0,1.0,0.0,2.5
2003-12-10 00:04:46,3601.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,61.0,16.0,0.0,4.0,1.0,0.0,3.0
2003-12-24 00:04:46,3662.0,5.5,1.0,2.0,0.0,0.0,1.0,0.0,1.0,61.0,16.5,0.0,4.0,1.0,0.0,3.0
