COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-04-14 19:32:38,1504.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-05-04 02:22:48,4325.0,15.0,11.0,9.0,5.0,0.0,1.0,26.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0
2001-05-18 02:22:48,5381.5,17.5,13.0,9.0,5.0,1.5,3.0,30.0,5.5,0.5,0.0,1.0,0.0,0.0,6.0,7.0
2001-06-05 07:20:10,6438.0,20.0,15.0,9.0,5.0,3.0,5.0,34.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0
2001-06-19 07:20:10,7049.5,20.0,15.0,9.0,5.0,3.0,5.0,34.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0
2001-07-14 23:33:27,7661.0,20.0,15.0,9.0,5.0,3.0,5.0,34.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0
2001-07-28 23:33:27,7677.0,20.5,15.0,9.0,5.0,3.0,5.0,34.5,7.0,1.0,0.0,1.0,0.0,0.0,6.0,8.5
2001-08-22 07:43:53,7693.0,21.0,15.0,9.0,5.0,3.0,5.0,35.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,9.0
2001-09-17 16:43:49,8201.0,22.0,15.0,9.0,5.0,3.0,5.0,38.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,10.0
2001-10-01 16:43:49,8323.5,23.5,15.0,9.0,5.0,3.0,5.5,39.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,10.5
2001-10-19 20:18:21,8446.0,25.0,15.0,9.0,5.0,3.0,6.0,40.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0
2001-11-02 20:18:21,8461.0,26.0,15.0,9.0,5.0,3.0,6.0,40.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0
2001-11-26 17:15:33,8476.0,27.0,15.0,9.0,5.0,3.0,6.0,40.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0
