COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-08-16 18:33:34,25998.0,25.0,21.0,34.0,49.0,9.0,34.0,4.0,45.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-08-31 03:29:55,26299.0,25.0,21.0,34.0,50.0,9.0,35.0,6.0,49.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-09-14 03:29:55,26346.75,25.0,21.0,34.0,50.0,9.0,35.0,6.0,49.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-09-28 03:29:55,26394.5,25.0,21.0,34.0,50.0,9.0,35.0,6.0,49.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-10-12 03:29:55,26442.25,25.0,21.0,34.0,50.0,9.0,35.0,6.0,49.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-10-30 07:47:41,26490.0,25.0,21.0,34.0,50.0,9.0,35.0,6.0,49.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-11-13 07:47:41,25815.5,25.5,21.5,34.0,49.5,9.0,34.5,5.0,49.0,72.0,69.0,18.0,19.0,25.0,22.5,5.0
2005-12-03 16:32:50,25141.0,26.0,22.0,34.0,49.0,9.0,34.0,4.0,49.0,72.0,69.0,18.0,19.0,25.0,24.0,5.0
2005-12-17 16:32:50,26654.0,45.0,22.0,38.0,53.0,9.0,34.5,4.0,49.0,72.5,69.5,18.0,19.0,25.5,31.5,5.0
2006-01-01 20:33:16,28167.0,64.0,22.0,42.0,57.0,9.0,35.0,4.0,49.0,73.0,70.0,18.0,19.0,26.0,39.0,5.0
2006-01-15 20:33:16,26672.0,64.0,24.0,42.0,58.0,9.0,36.0,5.0,51.5,83.0,70.5,18.5,22.0,26.0,39.5,5.0
2006-02-03 12:54:52,25177.0,64.0,26.0,42.0,59.0,9.0,37.0,6.0,54.0,93.0,71.0,19.0,25.0,26.0,40.0,5.0
2006-02-17 13:51:21,26415.0,60.0,20.0,40.0,58.0,6.0,36.0,7.0,46.0,78.0,71.0,17.0,16.0,26.0,40.0,5.0
2006-03-06 15:35:44,24405.0,64.0,27.0,40.0,68.0,7.0,20.0,8.0,48.0,82.0,70.0,17.0,19.0,26.0,40.0,5.0
2006-03-25 17:25:49,24717.0,61.0,26.0,14.0,65.0,5.0,19.0,7.0,38.0,77.0,52.0,21.0,21.0,14.0,68.0,2.0
2006-04-10 12:56:14,47201.0,91.0,31.0,58.0,128.0,13.0,22.0,12.0,76.0,94.0,96.0,38.0,42.0,34.0,137.0,9.0
2006-04-24 15:02:40,49941.0,91.0,36.0,59.0,129.0,14.0,24.0,19.0,81.0,97.0,103.0,43.0,43.0,34.0,175.0,9.0
2006-05-14 15:15:33,54924.0,105.0,36.0,62.0,139.0,14.0,24.0,20.0,97.0,98.0,103.0,43.0,48.0,41.0,179.0,10.0
2006-06-01 11:49:22,56331.0,105.0,36.0,62.0,139.0,15.0,24.0,20.0,102.0,101.0,105.0,45.0,48.0,41.0,183.0,10.0
2006-06-20 11:58:00,63741.0,110.0,38.0,63.0,267.0,18.0,29.0,21.0,117.0,117.0,107.0,45.0,48.0,53.0,230.0,10.0
2006-07-04 15:15:20,64003.0,111.0,38.0,63.0,266.0,18.0,29.0,20.0,118.0,116.0,108.0,46.0,45.0,53.0,228.0,10.0
2006-07-19 10:35:04,69569.0,111.0,48.0,63.0,448.0,19.0,32.0,23.0,121.0,162.0,109.0,47.0,68.0,54.0,278.0,10.0
2006-08-10 13:11:19,79597.0,121.0,59.0,65.0,523.0,21.0,36.0,49.0,136.0,167.0,120.0,49.0,86.0,64.0,323.0,11.0
