COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2008-09-02 23:58:59,73332.0,207.0,234.0,1100.0,286.0,22.0,8.0,392.0,81.0,57.0,234.0,28.0,10.0,351.0,73.0,30.0
2008-09-17 00:28:22,73489.0,205.0,234.0,1098.0,286.0,23.0,8.0,393.0,81.0,57.0,234.0,30.0,10.0,351.0,73.0,30.0
2008-10-01 00:28:22,82576.0,294.0,247.5,1086.0,399.5,29.0,8.0,454.0,94.0,81.0,268.0,31.0,10.0,397.0,82.5,30.0
2008-10-21 18:11:05,91663.0,383.0,261.0,1074.0,513.0,35.0,8.0,515.0,107.0,105.0,302.0,32.0,10.0,443.0,92.0,30.0
2008-11-11 01:50:06,81687.0,408.0,262.0,1051.0,545.0,41.0,12.0,516.0,103.0,124.0,303.0,58.0,16.0,430.0,109.0,32.0
2008-12-03 02:42:18,83381.0,338.0,234.0,1039.0,323.0,39.0,11.0,516.0,65.0,104.0,241.0,58.0,15.0,381.0,108.0,26.0
2008-12-17 10:35:44,86271.0,338.0,281.0,1073.0,323.0,35.0,11.0,565.0,68.0,104.0,241.0,56.0,86.0,398.0,109.0,36.0
2008-12-31 20:28:48,87540.0,340.0,286.0,1069.0,323.0,35.0,12.0,532.0,66.0,104.0,242.0,57.0,86.0,398.0,109.0,36.0
2009-01-20 20:27:15,91017.0,340.0,290.0,1078.0,323.0,35.0,16.0,548.0,69.0,121.0,263.0,58.0,88.0,396.0,112.0,37.0
2009-02-03 23:56:54,91714.0,348.0,293.0,1087.0,320.0,35.0,16.0,548.0,76.0,121.0,268.0,58.0,97.0,397.0,119.0,39.0
2009-02-19 02:36:25,88499.0,343.0,302.0,1054.0,322.0,33.0,16.0,540.0,76.0,125.0,241.0,58.0,98.0,393.0,107.0,39.0
2009-03-07 01:34:14,88585.0,343.0,302.0,1054.0,323.0,33.0,16.0,540.0,76.0,125.0,241.0,58.0,98.0,393.0,106.0,39.0
2009-03-24 22:48:15,88955.0,343.0,302.0,1054.0,323.0,33.0,17.0,542.0,76.0,125.0,241.0,58.0,97.0,393.0,106.0,39.0
2009-04-08 23:54:26,91686.0,357.0,303.0,1055.0,329.0,97.0,18.0,560.0,77.0,127.0,251.0,58.0,97.0,410.0,110.0,40.0
2009-04-23 00:15:03,86439.0,421.0,228.0,804.0,311.0,91.0,17.0,587.0,73.0,115.0,225.0,49.0,96.0,359.0,100.0,40.0
2009-05-07 19:09:04,93170.0,514.0,243.0,831.0,314.0,95.0,22.0,627.0,82.0,132.0,258.0,50.0,104.0,359.0,104.0,46.0
2009-05-22 06:46:15,92287.0,515.0,243.0,834.0,316.0,95.0,22.0,641.0,83.0,136.0,259.0,50.0,104.0,360.0,106.0,48.0
2009-06-07 07:28:07,92917.0,541.0,244.0,846.0,315.0,94.0,25.0,652.0,86.0,138.0,263.0,50.0,104.0,367.0,94.0,52.0
