COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-02-19 18:15:52,547.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2005-03-05 22:20:39,2033.0,48.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,2.0,4.0
2005-03-23 22:12:38,2816.0,48.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,7.0
2005-04-07 19:52:19,10225.0,70.0,7.0,0.0,9.0,0.0,2.0,2.0,13.0,5.0,23.0,2.0,5.0,3.0,7.0,32.0
2005-04-24 21:31:41,11502.0,69.0,7.0,0.0,9.0,0.0,2.0,3.0,18.0,5.0,23.0,2.0,5.0,3.0,7.0,32.0
2005-05-12 19:25:41,11957.0,69.0,7.0,0.0,9.0,0.0,2.0,3.0,14.0,5.0,23.0,2.0,5.0,3.0,7.0,32.0
2005-06-05 16:03:59,12111.0,76.0,8.0,0.0,9.0,0.0,2.0,3.0,15.0,6.0,23.0,2.0,5.0,3.0,7.0,32.0
2005-06-19 16:03:59,12118.333333333334,76.0,8.0,0.0,9.0,0.0,2.0,3.0,15.0,6.0,23.0,2.0,5.0,3.0,7.0,32.666666666666664
2005-07-03 16:03:59,12125.666666666666,76.0,8.0,0.0,9.0,0.0,2.0,3.0,15.0,6.0,23.0,2.0,5.0,3.0,7.0,33.333333333333336
2005-07-23 11:34:09,12133.0,76.0,8.0,0.0,9.0,0.0,2.0,3.0,15.0,6.0,23.0,2.0,5.0,3.0,7.0,34.0
2005-08-07 19:30:48,11866.0,76.0,8.0,0.0,9.0,0.0,2.0,3.0,14.0,6.0,23.0,2.0,7.0,3.0,7.0,0.0
2005-08-21 19:54:42,13049.0,77.0,8.0,0.0,11.0,0.0,2.0,4.0,18.0,10.0,23.0,2.0,16.0,3.0,7.0,0.0
2005-09-11 12:04:47,14035.0,81.0,8.0,0.0,11.0,0.0,2.0,4.0,18.0,8.0,29.0,2.0,16.0,3.0,7.0,0.0
2005-09-27 18:41:30,13819.0,80.0,8.0,0.0,11.0,0.0,0.0,4.0,18.0,9.0,31.0,2.0,16.0,0.0,7.0,0.0
2005-10-12 21:32:29,14019.0,80.0,8.0,0.0,11.0,0.0,0.0,4.0,22.0,10.0,42.0,2.0,16.0,0.0,7.0,0.0
2005-10-26 21:32:29,13640.5,79.5,7.5,0.0,12.0,0.0,0.0,4.0,24.5,10.0,55.0,2.0,12.0,0.0,8.5,0.0
2005-11-20 12:57:03,13262.0,79.0,7.0,0.0,13.0,0.0,0.0,4.0,27.0,10.0,68.0,2.0,8.0,0.0,10.0,0.0
2005-12-04 13:59:25,14349.0,83.0,11.0,0.0,13.0,0.0,0.0,4.0,31.0,14.0,75.0,0.0,8.0,0.0,10.0,0.0
2005-12-19 20:41:00,15127.0,81.0,11.0,1.0,13.0,0.0,0.0,4.0,33.0,15.0,81.0,0.0,8.0,0.0,11.0,0.0
2006-01-08 14:57:03,14912.0,75.0,11.0,1.0,13.0,0.0,0.0,4.0,34.0,18.0,81.0,0.0,6.0,0.0,11.0,0.0
2006-01-29 16:50:48,14680.0,75.0,11.0,1.0,13.0,0.0,0.0,4.0,32.0,18.0,85.0,0.0,6.0,0.0,11.0,0.0
2006-02-17 21:42:16,16119.0,75.0,15.0,1.0,15.0,0.0,0.0,4.0,28.0,18.0,85.0,0.0,6.0,0.0,11.0,0.0
2006-03-11 18:33:23,16004.0,76.0,15.0,1.0,15.0,0.0,0.0,4.0,29.0,18.0,86.0,0.0,6.0,0.0,11.0,0.0
2006-03-28 21:03:47,15919.0,76.0,16.0,1.0,14.0,0.0,0.0,4.0,31.0,18.0,113.0,0.0,6.0,0.0,11.0,0.0
2006-04-11 21:03:47,15676.333333333334,76.0,14.666666666666666,1.0,14.0,0.0,0.0,4.0,30.666666666666668,18.0,113.0,0.0,6.0,0.0,11.0,0.0
2006-04-25 21:03:47,15433.666666666666,76.0,13.333333333333334,1.0,14.0,0.0,0.0,4.0,30.333333333333332,18.0,113.0,0.0,6.0,0.0,11.0,0.0
2006-05-14 18:09:39,15191.0,76.0,12.0,1.0,14.0,0.0,0.0,4.0,30.0,18.0,113.0,0.0,6.0,0.0,11.0,0.0
2006-06-01 16:35:03,15188.0,76.0,12.0,2.0,14.0,0.0,0.0,4.0,30.0,18.0,114.0,0.0,6.0,0.0,11.0,0.0
2006-06-15 16:35:03,15609.0,76.0,12.0,2.0,14.0,0.0,0.0,4.0,30.0,18.0,147.5,0.0,6.0,0.0,11.0,0.0
2006-07-02 11:04:49,16030.0,76.0,12.0,2.0,14.0,0.0,0.0,4.0,30.0,18.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-07-16 11:04:49,16430.5,76.0,12.0,2.0,14.0,0.0,0.0,9.5,31.0,18.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-07-30 14:41:59,16831.0,76.0,12.0,2.0,14.0,0.0,0.0,15.0,32.0,18.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-08-13 20:00:52,18354.0,78.0,12.0,2.0,14.0,1.0,0.0,15.0,36.0,23.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-08-28 09:34:35,18731.0,78.0,12.0,2.0,14.0,1.0,0.0,15.0,36.0,19.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-09-11 19:00:51,20271.0,78.0,15.0,2.0,14.0,1.0,0.0,15.0,39.0,19.0,183.0,0.0,10.0,0.0,14.0,0.0
2006-09-26 20:20:05,20569.0,78.0,15.0,2.0,14.0,1.0,0.0,19.0,41.0,19.0,183.0,0.0,14.0,0.0,14.0,0.0
2006-10-14 11:15:28,21014.0,77.0,10.0,2.0,12.0,4.0,0.0,15.0,43.0,18.0,200.0,0.0,11.0,0.0,14.0,0.0
2006-10-28 12:10:33,25017.0,77.0,11.0,2.0,12.0,4.0,0.0,15.0,49.0,18.0,236.0,0.0,13.0,4.0,13.0,0.0
2006-11-11 12:42:16,24227.0,77.0,12.0,2.0,12.0,4.0,0.0,15.0,48.0,18.0,241.0,0.0,16.0,4.0,14.0,0.0
