COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-04-03 03:11:40,12706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-04-29 03:55:32,14759.0,107.0,576.0,6.0,0.0,49.0,26.0,74.0,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-05-13 03:55:32,14736.142857142857,105.28571428571429,576.0,5.428571428571429,0.0,49.0,26.0,73.71428571428571,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-05-27 03:55:32,14713.285714285714,103.57142857142857,576.0,4.857142857142858,0.0,49.0,26.0,73.42857142857143,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-06-10 03:55:32,14690.42857142857,101.85714285714286,576.0,4.285714285714286,0.0,49.0,26.0,73.14285714285714,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-06-24 03:55:32,14667.57142857143,100.14285714285714,576.0,3.7142857142857144,0.0,49.0,26.0,72.85714285714286,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-07-08 03:55:32,14644.714285714286,98.42857142857143,576.0,3.1428571428571432,0.0,49.0,26.0,72.57142857142857,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-07-22 03:55:32,14621.857142857143,96.71428571428572,576.0,2.5714285714285716,0.0,49.0,26.0,72.28571428571429,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-08-07 18:26:19,14599.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-08-21 18:26:19,14772.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,65.0,42.5,0.0,0.0,13.0,14.0,346.0,248.0
2002-09-17 21:48:07,14945.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,67.0,43.0,0.0,0.0,13.0,14.0,346.0,297.0
2002-10-01 21:48:07,14820.222222222223,95.0,576.0,2.0,0.0,49.0,26.0,72.0,68.22222222222223,43.111111111111114,0.0,0.0,13.0,14.0,346.0,297.0
2002-10-15 21:48:07,14695.444444444445,95.0,576.0,2.0,0.0,49.0,26.0,72.0,69.44444444444444,43.22222222222222,0.0,0.0,13.0,14.0,346.0,297.0
2002-10-29 21:48:07,14570.666666666666,95.0,576.0,2.0,0.0,49.0,26.0,72.0,70.66666666666667,43.333333333333336,0.0,0.0,13.0,14.0,346.0,297.0
2002-11-12 21:48:07,14445.888888888889,95.0,576.0,2.0,0.0,49.0,26.0,72.0,71.88888888888889,43.44444444444444,0.0,0.0,13.0,14.0,346.0,297.0
2002-11-26 21:48:07,14321.111111111111,95.0,576.0,2.0,0.0,49.0,26.0,72.0,73.11111111111111,43.55555555555556,0.0,0.0,13.0,14.0,346.0,297.0
2002-12-10 21:48:07,14196.333333333334,95.0,576.0,2.0,0.0,49.0,26.0,72.0,74.33333333333333,43.666666666666664,0.0,0.0,13.0,14.0,346.0,297.0
2002-12-24 21:48:07,14071.555555555555,95.0,576.0,2.0,0.0,49.0,26.0,72.0,75.55555555555556,43.77777777777778,0.0,0.0,13.0,14.0,346.0,297.0
2003-01-07 21:48:07,13946.777777777777,95.0,576.0,2.0,0.0,49.0,26.0,72.0,76.77777777777777,43.888888888888886,0.0,0.0,13.0,14.0,346.0,297.0
2003-01-26 00:21:46,13822.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,78.0,44.0,0.0,0.0,13.0,14.0,346.0,297.0
2003-02-09 00:21:46,13563.5,94.5,576.0,2.0,0.0,48.5,26.0,74.0,56.0,39.0,0.0,0.0,13.0,13.0,414.0,294.5
2003-03-02 18:15:24,13305.0,94.0,576.0,2.0,0.0,48.0,26.0,76.0,34.0,34.0,0.0,0.0,13.0,12.0,482.0,292.0
2003-03-16 18:15:24,14966.0,94.0,576.6666666666666,11.666666666666666,0.0,48.0,26.0,77.33333333333333,37.666666666666664,34.0,0.0,0.0,13.666666666666666,13.0,484.3333333333333,295.6666666666667
2003-03-30 18:15:24,16627.0,94.0,577.3333333333334,21.333333333333332,0.0,48.0,26.0,78.66666666666667,41.333333333333336,34.0,0.0,0.0,14.333333333333334,14.0,486.6666666666667,299.3333333333333
2003-04-14 12:53:34,18288.0,94.0,578.0,31.0,0.0,48.0,26.0,80.0,45.0,34.0,0.0,0.0,15.0,15.0,489.0,303.0
2003-04-28 12:53:34,18218.5,94.0,578.0,29.5,0.0,48.0,26.0,80.0,44.0,34.0,0.0,0.0,20.5,15.0,489.0,303.0
2003-05-18 04:03:17,18149.0,94.0,578.0,28.0,0.0,48.0,26.0,80.0,43.0,34.0,0.0,0.0,26.0,15.0,489.0,303.0
2003-06-01 11:35:08,18154.0,94.0,578.0,26.0,0.0,48.0,26.0,76.0,43.0,34.0,0.0,0.0,26.0,15.0,489.0,290.0
2003-06-15 11:35:08,18209.25,94.0,578.0,26.0,0.0,48.0,26.0,76.75,43.0,34.0,0.0,0.0,26.0,15.0,489.25,290.0
2003-06-29 11:35:08,18264.5,94.0,578.0,26.0,0.0,48.0,26.0,77.5,43.0,34.0,0.0,0.0,26.0,15.0,489.5,290.0
2003-07-13 11:35:08,18319.75,94.0,578.0,26.0,0.0,48.0,26.0,78.25,43.0,34.0,0.0,0.0,26.0,15.0,489.75,290.0
2003-07-29 02:35:35,18375.0,94.0,578.0,26.0,0.0,48.0,26.0,79.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.0
2003-08-12 02:35:35,18473.5,94.0,578.0,29.0,0.0,48.0,26.0,84.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.5
2003-08-26 05:43:56,18572.0,94.0,578.0,32.0,0.0,48.0,26.0,89.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,291.0
2003-09-09 05:43:56,18596.25,94.0,578.0,32.0,0.0,48.0,26.0,88.25,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.75
2003-09-23 05:43:56,18620.5,94.0,578.0,32.0,0.0,48.0,26.0,87.5,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.5
2003-10-07 05:43:56,18644.75,94.0,578.0,32.0,0.0,48.0,26.0,86.75,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.25
2003-10-21 05:43:56,18669.0,94.0,578.0,32.0,0.0,48.0,26.0,86.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.0
2003-11-04 05:43:56,18693.25,94.0,578.0,32.0,0.0,48.0,26.0,85.25,43.0,34.0,0.0,0.0,26.0,15.0,490.0,289.75
2003-11-18 05:43:56,18717.5,94.0,578.0,32.0,0.0,48.0,26.0,84.5,43.0,34.0,0.0,0.0,26.0,15.0,490.0,289.5
2003-12-02 05:43:56,18741.75,94.0,578.0,32.0,0.0,48.0,26.0,83.75,43.0,34.0,0.0,0.0,26.0,15.0,490.0,289.25
2003-12-29 19:42:44,18766.0,94.0,578.0,32.0,0.0,48.0,26.0,83.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,289.0
2004-01-17 17:20:26,19168.0,139.0,578.0,32.0,0.0,48.0,58.0,68.0,44.0,74.0,0.0,0.0,26.0,14.0,489.0,289.0
2004-02-08 11:26:59,19273.0,139.0,578.0,36.0,0.0,48.0,58.0,68.0,42.0,74.0,0.0,0.0,27.0,14.0,489.0,289.0
2004-02-29 10:27:29,19391.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,489.0,289.0
2004-03-26 12:32:21,19490.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,489.0,289.0
2004-04-10 21:12:14,19738.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-05-04 22:44:05,19815.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-05-28 23:00:28,19817.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-06-22 02:30:33,19821.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-07-06 02:30:33,19817.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.5,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-07-29 11:38:36,19813.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,52.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-08-12 11:38:36,20039.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,53.0,74.0,2.0,0.0,27.0,14.0,491.0,289.0
2004-09-02 15:44:26,20265.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,54.0,74.0,4.0,0.0,27.0,14.0,491.0,289.0
2004-09-23 12:12:00,20902.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,55.0,74.0,77.0,0.0,27.0,14.0,491.0,289.0
2004-10-07 12:12:00,21174.25,147.0,583.0,36.0,0.75,49.5,58.0,68.0,55.0,74.25,77.0,0.0,27.0,14.0,491.5,297.75
2004-10-21 12:12:00,21446.5,147.0,588.0,36.0,1.5,51.0,58.0,68.0,55.0,74.5,77.0,0.0,27.0,14.0,492.0,306.5
2004-11-04 12:12:00,21718.75,147.0,593.0,36.0,2.25,52.5,58.0,68.0,55.0,74.75,77.0,0.0,27.0,14.0,492.5,315.25
2004-11-23 12:52:20,21991.0,147.0,598.0,36.0,3.0,54.0,58.0,68.0,55.0,75.0,77.0,0.0,27.0,14.0,493.0,324.0
2004-12-10 16:01:30,22067.0,147.0,598.0,36.0,3.0,54.0,58.0,68.0,55.0,75.0,77.0,0.0,27.0,14.0,493.0,324.0
2005-01-02 03:17:50,22485.0,159.0,598.0,36.0,3.0,54.0,58.0,70.0,58.0,75.0,77.0,0.0,29.0,14.0,493.0,328.0
2005-01-16 03:17:50,22522.0,159.0,598.0,36.0,3.0,54.0,58.0,70.0,55.0,75.0,77.0,0.0,28.0,14.5,493.0,327.5
2005-02-05 02:04:42,22559.0,159.0,598.0,36.0,3.0,54.0,58.0,70.0,52.0,75.0,77.0,0.0,27.0,15.0,493.0,327.0
