COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2011-05-11 04:54:36,32880.0,298.0,7.0,9.0,408.0,0.0,7.0,0.0,18.0,32.0,41.0,2.0,4.0,91.0,50.0,6.0
2011-05-25 04:54:36,33020.75,280.0,8.0,9.875,357.0,0.0,8.625,8.125,24.0,32.125,45.5,2.0,4.125,91.0,50.0,7.0
2011-06-08 04:54:36,33161.5,262.0,9.0,10.75,306.0,0.0,10.25,16.25,30.0,32.25,50.0,2.0,4.25,91.0,50.0,8.0
2011-06-22 04:54:36,33302.25,244.0,10.0,11.625,255.0,0.0,11.875,24.375,36.0,32.375,54.5,2.0,4.375,91.0,50.0,9.0
2011-07-06 04:54:36,33443.0,226.0,11.0,12.5,204.0,0.0,13.5,32.5,42.0,32.5,59.0,2.0,4.5,91.0,50.0,10.0
2011-07-20 04:54:36,33583.75,208.0,12.0,13.375,153.0,0.0,15.125,40.625,48.0,32.625,63.5,2.0,4.625,91.0,50.0,11.0
2011-08-03 04:54:36,33724.5,190.0,13.0,14.25,102.0,0.0,16.75,48.75,54.0,32.75,68.0,2.0,4.75,91.0,50.0,12.0
2011-08-17 04:54:36,33865.25,172.0,14.0,15.125,51.0,0.0,18.375,56.875,60.0,32.875,72.5,2.0,4.875,91.0,50.0,13.0
2011-09-09 17:21:34,34006.0,154.0,15.0,16.0,0.0,0.0,20.0,65.0,66.0,33.0,77.0,2.0,5.0,91.0,50.0,14.0
2011-09-23 17:21:34,27264.5,106.0,15.0,13.0,0.0,0.0,18.0,64.5,63.5,26.0,72.5,2.0,3.5,47.5,50.0,13.0
2011-10-09 05:46:51,20523.0,58.0,15.0,10.0,0.0,0.0,16.0,64.0,61.0,19.0,68.0,2.0,2.0,4.0,50.0,12.0
2011-10-23 11:35:10,20444.0,58.0,7.0,3.0,0.0,0.0,4.0,13.0,64.0,19.0,81.0,2.0,1.0,4.0,50.0,4.0
2011-11-07 09:45:31,26085.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,113.0,2.0,0.0,4.0,10.0,2.0
2011-11-21 09:45:31,26087.8,58.0,1.0,0.0,0.0,0.0,0.0,0.0,38.6,25.0,113.0,2.0,0.0,4.0,9.4,2.0
2011-12-05 09:45:31,26090.6,58.0,1.0,0.0,0.0,0.0,0.0,0.0,38.2,25.0,113.0,2.0,0.0,4.0,8.8,2.0
2011-12-19 09:45:31,26093.4,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.8,25.0,113.0,2.0,0.0,4.0,8.2,2.0
2012-01-02 09:45:31,26096.2,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.4,25.0,113.0,2.0,0.0,4.0,7.6,2.0
2012-01-25 03:31:12,26099.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-02-08 03:31:12,26092.878048780487,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-02-22 03:31:12,26086.756097560974,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-03-07 03:31:12,26080.634146341465,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-03-21 03:31:12,26074.51219512195,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-04-04 03:31:12,26068.39024390244,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-04-18 03:31:12,26062.268292682926,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-05-02 03:31:12,26056.146341463416,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-05-16 03:31:12,26050.024390243903,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-05-30 03:31:12,26043.90243902439,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-06-13 03:31:12,26037.780487804877,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
2012-06-27 03:31:12,26031.658536585364,58.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,113.0,2.0,0.0,4.0,7.0,2.0
