COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-01-06 05:06:21,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-20 05:06:21,694.5,0.0,0.0,1.25,0.5,0.0,0.0,2.5,1.0,0.75,0.0,0.75,0.75,0.0,0.0,1.25
2002-02-03 05:06:21,1350.0,0.0,0.0,2.5,1.0,0.0,0.0,4.0,2.0,1.5,0.0,1.5,1.5,0.0,0.0,2.5
2002-02-17 05:06:21,2005.5,0.0,0.0,3.75,1.5,0.0,0.0,5.5,3.0,2.25,0.0,2.25,2.25,0.0,0.0,3.75
2002-03-11 05:12:02,2661.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0
2002-03-30 04:21:03,4132.0,0.0,0.0,5.0,6.0,0.0,0.0,14.0,9.0,3.0,0.0,3.0,7.0,0.0,0.0,5.0
2002-04-13 04:21:03,4257.833333333333,0.3333333333333333,0.0,5.083333333333333,6.583333333333333,0.0,0.0,15.333333333333334,9.25,3.0,0.0,3.0,8.083333333333334,0.0,0.25,5.083333333333333
2002-04-27 04:21:03,4383.666666666667,0.6666666666666666,0.0,5.166666666666667,7.166666666666667,0.0,0.0,16.666666666666668,9.5,3.0,0.0,3.0,9.166666666666666,0.0,0.5,5.166666666666667
2002-05-11 04:21:03,4509.5,1.0,0.0,5.25,7.75,0.0,0.0,18.0,9.75,3.0,0.0,3.0,10.25,0.0,0.75,5.25
2002-05-25 04:21:03,4635.333333333333,1.3333333333333333,0.0,5.333333333333333,8.333333333333334,0.0,0.0,19.333333333333332,10.0,3.0,0.0,3.0,11.333333333333332,0.0,1.0,5.333333333333333
2002-06-08 04:21:03,4761.166666666667,1.6666666666666665,0.0,5.416666666666667,8.916666666666668,0.0,0.0,20.666666666666664,10.25,3.0,0.0,3.0,12.416666666666666,0.0,1.25,5.416666666666667
2002-06-22 04:21:03,4887.0,2.0,0.0,5.5,9.5,0.0,0.0,22.0,10.5,3.0,0.0,3.0,13.5,0.0,1.5,5.5
2002-07-06 04:21:03,5012.833333333333,2.333333333333333,0.0,5.583333333333333,10.083333333333334,0.0,0.0,23.333333333333332,10.75,3.0,0.0,3.0,14.583333333333332,0.0,1.75,5.583333333333333
2002-07-20 04:21:03,5138.666666666667,2.6666666666666665,0.0,5.666666666666667,10.666666666666668,0.0,0.0,24.666666666666664,11.0,3.0,0.0,3.0,15.666666666666666,0.0,2.0,5.666666666666667
