COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2014-07-23 18:17:17,57033.0,389.0,74.0,100.0,115.0,15.0,3.0,62.0,91.0,27.0,105.0,32.0,33.0,90.0,98.0,7.0
2014-08-14 06:08:48,57565.0,389.0,74.0,104.0,115.0,15.0,3.0,66.0,89.0,26.0,105.0,31.0,33.0,90.0,97.0,7.0
2014-08-28 06:08:48,57671.333333333336,388.3333333333333,74.66666666666667,108.0,115.0,15.0,3.0,63.0,89.33333333333333,26.0,105.0,31.0,33.333333333333336,90.0,97.0,7.0
2014-09-11 06:08:48,57777.666666666664,387.6666666666667,75.33333333333333,112.0,115.0,15.0,3.0,60.0,89.66666666666667,26.0,105.0,31.0,33.666666666666664,90.0,97.0,7.0
2014-09-28 17:15:05,57884.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.0,105.0,31.0,34.0,90.0,97.0,7.0
2014-10-12 17:15:05,57964.5,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.0,105.5,31.0,35.5,90.0,97.0,7.0
2014-10-28 04:35:14,58045.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.0,106.0,31.0,37.0,90.0,97.0,7.0
2014-11-11 04:35:14,58183.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.333333333333332,106.0,31.0,37.0,90.0,97.0,7.0
2014-11-25 04:35:14,58321.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.666666666666668,106.0,31.0,37.0,90.0,97.0,7.0
2014-12-20 14:29:07,58459.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,27.0,106.0,31.0,37.0,90.0,97.0,7.0
2015-01-03 14:29:07,58476.333333333336,387.0,76.0,116.0,115.0,15.0,3.0,56.666666666666664,90.0,27.0,106.0,31.0,36.666666666666664,90.0,97.0,7.0
2015-01-17 14:29:07,58493.666666666664,387.0,76.0,116.0,115.0,15.0,3.0,56.333333333333336,90.0,27.0,106.0,31.0,36.333333333333336,90.0,97.0,7.0
2015-02-06 05:17:31,58511.0,387.0,76.0,116.0,115.0,15.0,3.0,56.0,90.0,27.0,106.0,31.0,36.0,90.0,97.0,7.0
2015-02-20 05:17:31,58610.5,387.0,76.0,116.0,115.0,15.0,3.0,55.5,90.0,27.0,106.0,31.0,36.0,90.0,97.0,7.0
2015-03-08 22:07:59,58710.0,387.0,76.0,116.0,115.0,15.0,3.0,55.0,90.0,27.0,106.0,31.0,36.0,90.0,97.0,7.0
2015-03-25 07:38:44,57998.0,389.0,76.0,118.0,115.0,15.0,3.0,44.0,91.0,27.0,106.0,31.0,38.0,90.0,99.0,7.0
2015-04-09 18:16:37,59497.0,389.0,76.0,118.0,115.0,15.0,3.0,44.0,91.0,27.0,106.0,31.0,38.0,90.0,99.0,7.0
2015-05-05 02:38:36,59537.0,389.0,76.0,118.0,115.0,15.0,3.0,44.0,91.0,27.0,106.0,31.0,38.0,90.0,99.0,7.0
2015-05-19 02:38:36,59357.0,390.0,76.0,117.5,115.0,15.0,3.0,42.0,91.0,27.0,106.0,31.0,39.5,91.0,99.0,7.0
2015-06-04 17:51:16,59177.0,391.0,76.0,117.0,115.0,15.0,3.0,40.0,91.0,27.0,106.0,31.0,41.0,92.0,99.0,7.0
2015-06-27 00:03:30,57047.0,391.0,76.0,117.0,115.0,15.0,3.0,40.0,91.0,27.0,107.0,31.0,41.0,90.0,99.0,6.0
2015-07-11 00:03:30,57735.0,387.0,75.6,117.0,114.8,15.0,3.0,40.0,91.0,27.0,102.2,31.0,41.0,90.0,98.8,6.0
2015-07-25 00:03:30,58423.0,383.0,75.2,117.0,114.6,15.0,3.0,40.0,91.0,27.0,97.4,31.0,41.0,90.0,98.6,6.0
2015-08-08 00:03:30,59111.0,379.0,74.8,117.0,114.4,15.0,3.0,40.0,91.0,27.0,92.6,31.0,41.0,90.0,98.4,6.0
2015-08-22 00:03:30,59799.0,375.0,74.4,117.0,114.2,15.0,3.0,40.0,91.0,27.0,87.8,31.0,41.0,90.0,98.2,6.0
2015-09-06 18:02:42,60487.0,371.0,74.0,117.0,114.0,15.0,3.0,40.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-09-29 01:56:44,60513.0,371.0,74.0,117.0,114.0,15.0,3.0,40.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-10-18 17:00:41,60518.0,371.0,74.0,117.0,114.0,15.0,3.0,39.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-11-08 21:21:38,60575.0,371.0,74.0,117.0,114.0,15.0,3.0,39.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-12-06 20:30:07,60766.0,371.0,74.0,117.0,113.0,15.0,3.0,38.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-12-20 20:30:07,60793.5,371.0,74.0,117.0,113.0,15.0,3.0,37.666666666666664,91.0,27.0,83.33333333333333,31.0,41.0,90.0,98.0,6.0
2016-01-03 20:30:07,60821.0,371.0,74.0,117.0,113.0,15.0,3.0,37.333333333333336,91.0,27.0,83.66666666666667,31.0,41.0,90.0,98.0,6.0
2016-01-17 20:30:07,60848.5,371.0,74.0,117.0,113.0,15.0,3.0,37.0,91.0,27.0,84.0,31.0,41.0,90.0,98.0,6.0
2016-01-31 20:30:07,60876.0,371.0,74.0,117.0,113.0,15.0,3.0,36.666666666666664,91.0,27.0,84.33333333333333,31.0,41.0,90.0,98.0,6.0
2016-02-14 20:30:07,60903.5,371.0,74.0,117.0,113.0,15.0,3.0,36.333333333333336,91.0,27.0,84.66666666666667,31.0,41.0,90.0,98.0,6.0
2016-03-02 06:46:43,60931.0,371.0,74.0,117.0,113.0,15.0,3.0,36.0,91.0,27.0,85.0,31.0,41.0,90.0,98.0,6.0
2016-03-22 23:30:42,61148.0,371.0,74.0,117.0,120.0,15.0,3.0,36.0,92.0,27.0,86.0,31.0,41.0,90.0,98.0,9.0
2016-04-05 23:30:42,61198.0,374.5,74.0,117.0,117.5,16.0,3.0,36.0,92.0,28.0,85.5,31.0,41.0,90.0,98.5,9.0
2016-05-02 16:15:28,61248.0,378.0,74.0,117.0,115.0,17.0,3.0,36.0,92.0,29.0,85.0,31.0,41.0,90.0,99.0,9.0
2016-05-16 16:15:28,61396.666666666664,377.6666666666667,74.0,117.0,115.0,17.0,3.0,35.0,91.66666666666667,29.0,85.0,31.0,41.0,90.0,99.0,9.0
2016-05-30 16:15:28,61545.333333333336,377.3333333333333,74.0,117.0,115.0,17.0,3.0,34.0,91.33333333333333,29.0,85.0,31.0,41.0,90.0,99.0,9.0
2016-06-15 17:11:39,61694.0,377.0,74.0,117.0,115.0,17.0,3.0,33.0,91.0,29.0,85.0,31.0,41.0,90.0,99.0,9.0
2016-06-29 17:11:39,62115.0,377.0,74.5,117.0,115.0,17.0,3.0,35.0,92.0,29.0,86.0,31.0,41.0,90.0,99.0,9.0
2016-07-26 23:33:27,62536.0,377.0,75.0,117.0,115.0,17.0,3.0,37.0,93.0,29.0,87.0,31.0,41.0,90.0,99.0,9.0
2016-08-13 13:01:51,62727.0,377.0,75.0,119.0,115.0,18.0,3.0,37.0,94.0,29.0,87.0,31.0,41.0,90.0,99.0,9.0
2016-09-08 20:52:26,62776.0,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-09-22 20:52:26,63038.8,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-10-06 20:52:26,63301.6,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-10-20 20:52:26,63564.4,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-11-03 20:52:26,63827.2,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-11-24 16:18:08,64090.0,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-12-20 13:47:25,64173.0,376.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
