SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
71725,2000-10-11 16:43:11,255,633,26,237,4,32,453,91,112,170,5,29,264,53,44
71812,2000-10-11 18:54:20,255,633,26,237,4,32,457,91,112,170,5,29,264,53,44
71703,2000-10-12 10:57:56,255,633,26,237,4,32,457,92,113,176,5,29,264,53,45
71677,2000-10-13 11:39:25,255,633,26,237,4,32,459,92,112,178,5,28,264,53,45
71794,2000-10-13 13:20:41,256,633,26,237,4,32,459,92,112,177,5,29,264,53,45
71803,2000-10-13 14:47:48,256,633,26,237,4,32,459,92,112,177,5,29,264,53,45
72203,2000-10-13 15:26:44,256,633,26,237,4,32,459,92,112,177,5,29,264,54,45
72298,2000-10-13 15:43:29,256,633,26,237,4,32,459,92,113,177,5,29,264,54,45
72364,2000-10-15 13:07:10,257,633,26,237,4,32,461,92,113,177,5,30,264,54,45
65831,2000-10-16 06:51:48,257,633,26,237,5,32,474,92,113,177,5,31,264,54,45
72426,2000-10-16 12:40:36,257,633,26,237,5,32,474,92,113,177,5,33,264,54,45
71222,2000-10-17 07:06:48,257,633,26,237,5,32,487,93,115,183,5,33,264,54,45
71235,2000-10-18 11:14:18,257,633,26,237,5,32,487,93,115,183,5,33,264,54,45
71373,2000-10-19 10:05:44,257,633,26,237,5,32,487,93,117,183,5,33,264,54,45
72473,2000-10-19 13:22:25,257,633,26,237,5,32,487,93,117,183,5,33,264,54,45
72402,2000-10-19 13:33:00,257,633,26,237,5,32,487,93,117,183,5,33,264,54,46
72441,2000-10-19 13:35:28,257,633,26,237,5,32,489,93,117,183,5,33,264,54,46
72562,2000-10-20 10:56:46,257,636,26,237,5,32,498,93,117,183,6,33,264,54,45
72781,2000-10-20 11:06:35,257,636,26,237,5,32,493,95,117,183,6,34,264,54,46
72770,2000-10-21 10:14:28,257,636,26,237,5,32,495,95,117,183,6,34,264,54,46
72803,2000-10-21 10:52:46,257,636,26,237,5,32,495,95,117,183,6,34,264,54,46
72811,2000-10-21 21:00:01,257,636,26,237,5,32,495,95,117,183,6,34,264,54,46
73698,2000-10-23 09:45:02,258,636,26,237,6,34,508,96,118,185,6,35,267,56,48
75994,2000-10-23 16:08:06,258,636,26,237,6,34,524,95,118,185,6,35,267,59,49
76131,2000-10-23 16:32:27,258,636,26,237,6,34,524,95,118,186,6,35,267,59,49
76492,2000-10-24 11:42:15,260,637,26,237,6,34,527,96,118,186,6,35,267,59,50
77974,2000-10-24 18:08:28,233,636,25,237,9,34,529,94,120,196,6,35,281,59,52
77910,2000-10-25 17:57:21,233,636,25,237,9,34,529,94,120,197,6,35,281,59,52
77491,2000-10-25 18:16:20,234,636,25,244,10,34,564,96,120,201,6,35,282,59,54
77509,2000-10-26 13:22:48,234,636,25,244,10,34,562,96,120,201,6,36,281,59,54
78590,2000-10-26 17:46:37,240,636,25,248,10,34,577,96,120,203,6,38,281,59,55
78562,2000-10-27 07:04:50,240,636,25,247,10,34,578,94,120,203,6,36,281,59,55
78582,2000-10-27 08:34:43,240,635,25,247,10,34,578,94,120,202,6,36,281,59,55
79013,2000-10-27 10:54:36,240,635,25,247,10,34,586,94,120,203,6,36,281,59,55
79015,2000-10-27 11:00:18,240,635,25,247,10,34,586,94,120,203,6,36,281,59,55
79150,2000-10-27 13:03:45,240,635,25,247,10,34,586,94,120,203,6,36,281,59,55
79208,2000-10-27 13:13:14,240,635,25,247,10,34,586,94,120,204,6,38,281,59,55
79298,2000-10-27 14:31:42,240,635,25,247,10,34,585,94,120,204,6,38,281,59,55
78244,2000-10-27 16:40:51,240,635,25,247,11,34,591,95,120,204,6,38,282,59,56
77205,2000-10-28 14:48:54,243,635,32,247,13,34,589,94,128,203,6,38,282,59,57
78676,2000-10-28 22:50:20,243,635,32,247,13,34,589,94,128,203,6,38,282,59,57
82554,2000-10-29 15:28:07,244,637,32,247,13,34,594,98,128,210,6,39,285,59,57
83177,2000-10-29 18:44:55,244,637,32,247,13,34,616,100,131,211,6,39,285,59,57
83191,2000-10-30 15:43:34,244,637,32,247,13,34,619,100,131,209,6,39,284,59,58
83775,2000-10-30 15:55:24,245,637,32,247,13,34,619,103,131,211,6,39,284,59,58
83765,2000-10-30 17:59:24,245,637,32,247,13,34,623,103,131,211,6,39,284,59,58
84230,2000-10-31 10:28:44,249,646,32,247,13,34,637,104,131,227,6,39,288,60,60
84248,2000-10-31 12:05:59,249,640,32,247,13,34,636,104,131,216,8,39,288,60,60
84629,2000-10-31 13:55:39,249,640,35,247,13,34,639,104,132,218,8,39,290,60,61
84629,2000-10-31 14:10:28,249,640,35,247,13,34,640,104,132,218,8,39,290,60,61
84641,2000-10-31 14:15:17,249,640,35,247,13,34,640,104,132,218,8,39,290,60,61
84657,2000-10-31 14:31:51,249,640,35,247,13,34,641,104,132,218,8,39,290,60,61
84652,2000-10-31 15:43:31,249,640,35,247,13,34,639,104,132,218,8,39,290,60,61
84635,2000-10-31 16:55:26,249,640,35,247,13,34,639,104,132,218,8,39,290,60,58
84758,2000-10-31 22:14:14,249,640,35,247,13,34,638,104,133,218,8,39,290,60,59
84793,2000-11-01 04:52:31,249,640,35,247,13,34,646,104,133,219,8,39,290,60,59
84755,2000-11-01 05:16:03,249,640,35,247,13,34,646,104,133,219,8,39,290,60,59
84943,2000-11-01 16:50:29,249,640,35,247,13,34,648,104,133,219,8,39,290,60,59
84950,2000-11-01 19:04:49,249,640,35,247,13,34,647,104,133,219,8,39,290,60,59
85111,2000-11-01 21:57:40,250,640,35,249,13,34,663,106,135,222,8,39,293,60,59
85068,2000-11-01 22:41:19,250,640,35,249,13,34,667,105,134,216,8,39,293,60,60
86868,2000-11-02 05:30:06,250,640,35,252,13,34,671,108,141,222,8,39,293,60,60
88041,2000-11-02 08:55:38,262,646,35,252,13,34,675,115,142,231,8,39,293,62,60
88022,2000-11-02 09:09:56,262,646,35,252,13,34,675,115,142,231,8,39,293,62,60
88025,2000-11-02 12:25:06,262,646,33,252,12,34,675,115,142,231,8,39,293,62,60
88107,2000-11-02 15:49:28,262,646,34,252,12,34,675,115,142,231,8,39,293,62,60
88089,2000-11-03 00:50:36,262,646,34,252,12,34,675,115,142,231,8,39,293,62,61
