SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
48024,2001-10-29 19:59:54,120,4,556,230,5,0,41,201,38,54,12,21,55,52,54
48040,2001-11-20 11:41:05,120,4,558,230,5,0,41,201,38,54,12,21,55,52,54
48050,2001-12-14 18:31:18,120,4,558,230,5,0,41,201,38,54,12,21,55,52,54
48065,2001-12-14 18:31:58,120,4,558,230,5,0,41,201,38,54,12,22,55,52,54
47869,2002-02-04 08:43:22,120,4,558,230,5,0,41,200,38,54,13,22,55,52,54
47859,2002-02-04 12:44:25,120,4,558,231,5,0,41,200,38,54,13,22,55,52,54
47854,2002-02-04 13:07:31,120,4,558,231,5,0,41,200,38,54,13,22,55,52,54
47898,2002-03-01 10:17:23,120,4,560,231,5,0,41,200,38,55,13,22,55,52,54
47929,2002-03-01 10:53:23,120,4,560,231,5,0,41,200,38,55,13,22,55,52,54
47937,2002-03-04 13:36:57,120,4,562,231,5,0,41,200,38,55,13,22,55,52,54
47929,2002-03-06 17:49:42,120,4,562,231,5,0,41,200,38,55,13,22,55,52,54
47980,2002-03-09 22:30:15,120,4,562,231,5,0,41,200,38,55,13,22,55,52,54
47996,2002-03-11 17:19:49,120,4,562,237,5,0,41,200,38,55,13,22,55,52,48
48611,2002-03-12 17:52:00,122,4,578,231,5,0,41,202,38,56,13,22,56,55,48
48591,2002-04-03 14:42:28,122,4,578,231,5,0,41,202,38,56,13,22,56,55,48
48605,2002-04-05 08:59:39,122,4,579,231,5,0,41,202,38,55,13,22,56,55,48
48705,2002-04-23 20:55:54,122,4,579,231,5,0,41,202,38,55,13,22,56,55,48
48778,2002-04-24 11:01:31,122,4,579,231,5,0,41,202,38,55,13,22,56,55,47
48712,2002-04-26 22:35:40,122,4,585,231,5,0,40,202,38,55,13,22,56,55,49
49028,2002-05-08 20:59:29,122,4,587,232,5,0,42,203,38,55,13,22,56,55,49
49027,2002-05-10 14:45:56,122,4,589,232,5,0,42,203,38,55,13,22,56,55,49
49052,2002-05-17 19:24:04,122,4,589,232,5,0,42,203,38,55,13,22,56,55,49
49058,2002-06-03 09:06:37,122,4,589,233,5,0,42,203,38,55,13,22,56,55,48
48960,2002-06-05 11:05:37,122,4,589,233,5,0,42,203,38,55,13,22,56,55,43
48707,2002-06-06 11:31:17,122,4,589,233,5,0,42,204,38,55,13,22,56,55,43
48781,2002-06-06 11:32:05,122,4,585,233,5,0,42,205,34,54,13,22,56,54,43
