SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
1380,2001-03-27 05:25:57,9,0,0,0,0,6,3,1,14,0,0,0,0,6,2
1550,2001-03-27 05:33:07,24,0,0,1,0,6,3,2,14,0,0,0,0,6,6
1590,2001-04-03 00:09:35,24,0,0,2,0,6,3,2,14,0,0,0,0,6,8
1595,2001-04-03 18:21:24,25,0,0,2,0,6,3,2,14,0,0,0,0,6,8
1595,2001-04-16 13:28:52,25,0,0,2,0,6,3,2,14,0,0,0,0,6,8
1679,2001-04-16 16:30:13,25,0,0,2,0,6,4,3,14,0,0,0,0,6,8
1879,2001-05-07 00:32:33,25,0,0,2,0,6,4,3,14,0,0,0,0,13,8
2151,2001-05-07 02:09:02,28,0,0,2,0,6,5,3,14,0,0,0,0,13,10
2155,2001-05-20 00:32:24,28,0,0,2,0,6,5,3,14,0,0,0,0,13,10
2158,2001-05-21 04:20:21,28,0,0,2,0,6,5,2,14,0,0,0,0,13,10
5609,2001-07-14 23:54:51,28,0,0,2,0,6,5,3,14,0,0,0,0,13,10
7053,2001-08-21 21:59:02,31,0,6,2,0,6,6,3,23,0,0,1,0,13,10
9071,2001-08-21 23:05:08,31,0,6,2,0,6,6,3,23,0,0,1,0,13,10
9101,2001-09-03 16:39:18,31,0,6,2,0,6,6,3,23,0,0,1,0,13,10
9108,2001-09-03 17:34:36,32,0,6,2,0,6,6,3,23,0,0,1,0,13,10
9127,2001-09-19 02:04:10,32,0,6,2,0,6,6,3,23,0,0,1,0,13,10
9152,2001-10-14 00:54:24,32,0,6,2,0,6,6,3,23,0,0,1,0,13,10
9337,2001-10-14 01:15:07,32,0,6,2,0,6,6,3,24,0,0,1,0,13,10
9733,2001-12-15 19:19:24,32,0,6,2,0,6,6,3,26,0,0,1,0,13,12
9823,2001-12-24 23:27:04,32,0,6,2,0,6,7,3,24,0,0,1,0,13,10
9825,2001-12-28 00:33:56,32,0,6,2,0,6,8,3,24,0,0,1,0,13,10
10186,2001-12-28 03:59:41,45,0,6,2,0,6,9,3,24,0,0,1,0,13,10
10541,2002-01-04 21:25:17,46,0,6,2,0,6,9,3,24,0,0,1,0,14,10
10493,2002-01-06 00:47:06,46,0,6,2,0,6,9,3,24,0,0,1,0,14,16
12135,2002-01-06 06:01:08,44,0,6,2,0,6,14,4,25,0,0,1,0,14,17
18182,2002-01-09 19:27:30,44,0,6,4,0,6,15,5,25,0,0,1,0,14,21
18695,2002-01-09 19:42:07,44,0,6,4,0,6,15,6,25,0,0,1,0,14,21
19513,2002-01-12 20:44:05,53,0,6,4,0,6,27,6,25,0,0,1,0,14,25
19566,2002-01-16 23:31:37,53,0,6,4,0,6,27,6,25,0,0,1,0,14,25
19640,2002-01-23 22:32:53,53,0,6,4,0,6,27,6,25,0,0,1,0,14,25
19582,2002-01-23 22:35:59,53,0,6,4,0,6,29,6,25,0,0,1,0,14,25
19588,2002-01-27 04:12:42,53,0,6,0,0,6,2,6,25,0,0,1,0,14,25
19901,2002-03-06 20:21:24,54,0,6,0,0,6,2,6,25,0,0,1,0,14,25
19911,2002-03-07 06:43:17,54,0,6,0,0,6,2,6,25,0,0,1,0,14,25
20240,2002-03-11 04:49:53,54,0,6,0,0,6,2,6,25,0,0,1,0,14,25
20168,2002-03-14 20:10:38,54,0,6,0,0,6,2,6,25,0,0,1,0,14,25
20178,2002-03-18 00:52:41,55,0,6,0,0,6,2,6,25,0,0,1,0,14,25
21633,2002-03-18 16:32:43,69,0,6,0,0,7,4,7,25,0,0,1,0,20,25
21667,2002-03-24 09:56:05,69,0,6,0,0,3,4,7,25,0,0,1,0,14,25
