SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2088,2003-05-14 02:40:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,2003-05-29 23:03:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2920,2003-06-11 03:23:26,0,0,0,0,0,0,0,0,59,0,0,0,1,0,1
2926,2003-06-18 17:46:38,0,0,0,0,0,0,0,0,59,0,0,0,1,0,1
3061,2003-07-11 16:53:28,0,0,0,0,0,0,0,0,60,0,0,0,1,0,1
3023,2003-07-11 17:07:00,0,0,0,0,0,0,0,0,62,0,0,0,1,0,1
3091,2003-07-11 20:14:37,0,0,0,0,0,0,0,1,62,5,0,0,1,0,1
3124,2003-07-31 20:09:21,0,0,2,0,0,0,0,1,62,6,0,0,1,0,0
3131,2003-10-04 15:14:08,1,0,2,0,0,0,0,1,62,6,0,0,1,0,0
3365,2003-10-04 16:28:52,1,0,2,0,0,0,0,1,62,6,0,0,1,0,0
3365,2003-10-05 21:34:22,1,0,2,0,0,0,0,1,62,6,0,0,1,0,0
3365,2003-10-12 01:35:17,1,0,2,0,0,1,0,1,62,8,0,0,1,0,0
3367,2003-10-12 02:17:11,1,0,2,0,0,1,0,1,62,8,0,0,1,0,0
3491,2003-10-12 02:17:51,1,0,2,0,0,1,0,1,62,15,0,4,1,0,2
3569,2003-10-12 02:54:40,1,0,2,0,0,1,5,1,62,17,0,6,1,0,2
2767,2003-10-13 16:49:24,1,0,2,0,0,1,5,1,62,17,0,6,1,0,2
2709,2003-11-03 04:08:26,1,0,2,0,0,1,0,1,62,16,0,4,1,0,2
2737,2003-11-03 07:23:33,1,0,2,0,0,1,0,1,62,16,0,4,1,0,2
2870,2003-11-03 19:04:34,1,1,2,0,0,1,0,1,60,16,0,4,1,0,2
2885,2003-11-04 02:43:09,3,1,2,0,0,1,0,1,60,16,0,4,1,0,2
2831,2003-11-06 16:31:47,3,1,2,0,0,1,0,1,61,16,0,4,1,0,2
3462,2003-11-07 21:32:04,4,1,2,0,0,1,0,1,61,16,0,4,1,0,3
3459,2003-11-07 22:37:26,5,1,2,0,0,1,0,1,61,16,0,4,1,0,3
3601,2003-12-10 00:04:46,5,1,2,0,0,1,0,1,61,16,0,4,1,0,3
3729,2003-12-11 23:44:11,6,1,2,0,0,1,0,1,61,16,0,4,1,0,3
3723,2004-01-09 19:02:47,6,1,2,0,0,1,0,1,61,17,0,4,1,0,3
4558,2004-01-22 03:03:18,7,1,11,0,0,1,0,3,61,17,0,0,1,0,1
4576,2004-03-17 19:54:27,7,1,11,0,0,1,0,3,61,17,0,0,1,0,1
4348,2004-03-21 01:18:56,7,1,11,0,0,1,1,3,61,17,0,0,1,0,1
4346,2004-03-21 01:26:35,7,1,11,0,0,1,1,2,61,20,0,0,1,0,1
4451,2004-03-21 01:58:40,7,1,11,0,0,1,0,3,61,20,0,0,1,0,1
4451,2004-03-21 01:59:11,7,1,11,0,0,1,0,3,61,20,0,0,1,0,1
5022,2004-03-21 02:20:25,7,1,13,0,0,1,0,5,62,34,0,0,1,0,1
4970,2004-03-29 07:59:00,7,1,13,0,0,1,0,5,62,34,0,0,1,0,1
5101,2004-03-29 07:59:57,7,1,13,0,0,1,0,6,62,34,0,0,1,0,1
5553,2004-03-29 23:04:09,7,1,17,0,0,1,0,8,62,50,0,0,1,0,1
5725,2004-04-09 21:40:26,7,1,17,0,0,1,0,9,62,54,0,0,1,0,1
5724,2004-04-09 22:21:43,7,1,17,0,0,1,0,7,62,54,0,0,1,1,1
5914,2004-04-18 21:33:38,7,1,17,0,0,1,0,7,62,54,0,0,1,1,1
5908,2004-05-24 00:28:10,7,1,17,0,0,1,0,7,62,54,0,0,1,1,1
5928,2004-06-02 00:55:38,7,1,17,0,0,1,0,7,62,54,0,0,1,1,1
5926,2004-07-26 22:55:40,7,1,17,0,0,1,0,7,62,54,0,0,1,1,1
5946,2004-07-27 15:22:10,7,1,17,0,0,1,0,7,62,54,0,0,1,1,1
5948,2004-09-21 02:07:20,7,1,18,0,0,1,0,7,62,54,0,0,1,1,1
5948,2005-04-14 18:39:07,7,1,18,0,0,1,0,7,62,54,0,0,1,1,1
5962,2008-03-08 07:49:46,7,2,18,0,0,1,0,7,62,55,0,0,1,1,1
5962,2008-03-08 07:51:41,7,2,18,0,0,1,0,7,62,55,0,0,1,1,1
6082,2008-03-08 09:00:24,8,2,18,0,0,1,0,7,121,55,0,0,1,1,1
6102,2008-04-27 00:35:56,8,2,18,0,0,1,0,7,121,56,0,0,1,1,1
7211,2008-06-18 19:16:03,10,2,18,1,0,1,0,9,124,60,0,0,3,1,1
7216,2008-06-19 21:06:55,10,2,18,1,0,1,0,9,124,60,0,1,3,1,1
7266,2008-06-20 00:00:41,10,2,18,1,0,1,0,9,124,60,0,5,3,1,2
7301,2008-06-20 00:45:42,10,2,18,1,0,1,0,9,124,60,0,5,3,1,2
7296,2008-06-20 00:49:00,10,2,18,1,0,1,0,9,124,60,0,5,3,1,2
7301,2008-06-20 17:09:11,10,2,18,1,0,1,0,9,124,60,0,5,3,1,2
7301,2008-06-21 01:59:09,8,2,18,1,0,1,0,9,124,60,0,5,3,1,2
