SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
1504,2001-04-14 19:32:38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,2001-04-14 19:50:31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,2001-04-16 05:01:03,2,4,1,0,0,1,0,0,0,0,0,0,0,6,0
1928,2001-04-16 22:39:21,2,5,1,0,0,1,0,0,0,0,0,0,0,6,0
2562,2001-04-16 22:42:04,8,5,1,0,0,1,11,2,0,0,0,0,0,6,0
2623,2001-04-20 16:54:10,8,5,5,0,0,1,15,2,0,0,0,0,0,6,3
3010,2001-04-21 12:19:57,8,5,5,0,0,1,15,2,0,0,0,0,0,6,3
3322,2001-04-21 12:22:30,12,5,5,0,0,1,26,2,0,0,0,0,0,6,3
3631,2001-04-22 19:56:37,12,11,5,5,0,1,26,2,0,0,0,0,0,6,3
3675,2001-04-24 18:48:38,14,11,5,5,0,1,26,3,0,0,0,0,0,6,4
3465,2001-04-24 23:48:04,14,11,9,5,0,1,26,3,0,0,0,0,0,6,4
3475,2001-04-26 00:05:47,14,11,9,5,0,1,26,3,0,0,0,0,0,6,4
4313,2001-04-26 00:06:00,14,11,9,5,0,1,26,4,0,0,1,0,0,6,6
4325,2001-05-04 02:22:48,15,11,9,5,0,1,26,4,0,0,1,0,0,6,6
4325,2001-05-04 02:23:44,15,11,9,5,0,1,26,4,0,0,1,0,0,6,6
4327,2001-05-04 16:33:18,15,11,9,5,0,1,27,4,0,0,1,0,0,6,6
5045,2001-05-04 16:34:27,15,11,9,5,0,1,27,4,0,0,1,0,0,6,6
6409,2001-05-06 11:04:25,19,15,9,5,1,5,30,7,1,0,1,0,0,6,7
6427,2001-05-06 11:10:36,19,15,9,5,3,5,33,7,1,0,1,0,0,6,7
6417,2001-05-10 00:40:09,19,15,9,5,3,5,33,7,1,0,1,0,0,6,7
6417,2001-05-14 10:42:53,20,15,9,5,3,5,33,7,1,0,1,0,0,6,7
6438,2001-06-05 07:20:10,20,15,9,5,3,5,34,7,1,0,1,0,0,6,8
7661,2001-07-14 23:33:27,20,15,9,5,3,5,34,7,1,0,1,0,0,6,8
7693,2001-08-22 07:43:53,21,15,9,5,3,5,35,7,1,0,1,0,0,6,9
7625,2001-08-23 12:04:40,22,15,9,5,3,5,35,7,1,0,1,0,0,6,10
8078,2001-08-29 15:28:07,22,15,9,5,3,5,36,7,1,0,1,0,0,6,10
8083,2001-08-29 15:48:42,22,15,9,5,3,5,36,7,1,0,1,0,0,6,10
8109,2001-08-29 16:10:29,22,15,9,5,3,5,36,7,1,0,1,0,0,6,10
8201,2001-09-17 16:43:49,22,15,9,5,3,5,38,7,3,0,1,0,0,6,10
8399,2001-09-18 10:41:39,25,15,9,5,3,5,39,7,3,0,1,0,0,6,11
8443,2001-09-21 03:14:40,25,15,9,5,3,6,39,7,3,0,1,0,0,6,11
8446,2001-10-19 20:18:21,25,15,9,5,3,6,40,7,3,0,1,0,0,6,11
8466,2001-10-19 20:33:01,27,15,9,5,3,6,40,7,3,0,1,0,0,6,11
