SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
0,2002-06-10 18:01:16,97,8,0,0,0,0,4,3,26,0,2,0,0,56,6
2913,2002-06-16 23:00:59,100,8,0,0,0,0,4,4,26,0,2,0,0,194,6
3279,2002-06-19 21:25:40,113,8,0,0,0,0,5,5,26,0,2,0,0,194,6
3935,2002-07-04 22:32:13,126,8,0,0,0,0,8,6,26,0,4,0,0,320,79
3936,2002-07-22 22:49:58,126,2,0,0,0,0,8,5,24,0,4,0,0,318,78
4318,2002-07-29 22:12:37,128,80,0,0,0,0,7,5,24,0,4,0,0,318,139
4283,2002-07-30 23:06:22,128,80,0,0,0,0,7,5,24,0,4,0,0,318,139
4370,2002-08-03 23:45:09,126,94,0,0,0,0,7,5,24,0,4,0,2,364,207
4559,2002-08-04 23:04:53,126,111,0,0,0,0,7,5,24,0,5,2,2,364,207
4421,2002-08-14 22:27:40,126,111,0,0,0,0,8,5,48,0,6,2,2,364,208
4482,2002-08-15 20:31:23,139,111,0,0,0,0,8,5,48,0,4,0,2,364,208
4484,2002-08-15 22:05:19,139,111,0,0,0,0,8,5,48,0,4,0,2,364,208
4212,2002-08-18 19:07:42,139,112,0,0,0,0,8,5,48,0,4,0,2,364,208
3787,2002-08-24 22:15:31,138,112,0,0,0,0,11,5,48,0,5,0,2,364,208
3787,2002-08-26 20:15:02,138,112,0,0,0,0,11,3,48,0,5,0,2,360,208
3764,2002-08-31 17:53:11,138,112,0,0,0,0,11,3,48,0,5,0,2,360,208
3758,2002-09-01 22:54:56,138,112,0,0,0,0,9,3,48,0,5,0,2,360,208
3850,2002-09-09 19:35:24,138,112,0,0,0,0,9,3,48,0,5,0,2,360,208
3871,2002-09-09 19:51:21,138,112,0,0,0,0,9,3,48,0,5,0,2,361,208
