SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2523,2005-08-05 12:21:46,15,0,0,0,1,0,0,15,0,0,2,1,3,2,0
2254,2005-08-19 04:07:50,15,0,0,0,1,0,0,15,0,0,2,1,3,2,0
2234,2005-08-31 10:19:40,12,0,0,0,1,0,0,13,0,0,2,1,3,2,0
2266,2005-08-31 10:48:16,13,0,0,0,1,0,0,13,0,0,2,1,3,2,0
2258,2005-09-22 21:57:56,13,0,0,0,1,0,0,14,0,0,4,1,3,2,0
2268,2005-09-22 23:57:31,13,0,0,0,1,0,0,13,0,0,2,1,3,2,0
2746,2005-09-23 14:09:14,13,0,0,0,0,0,0,14,0,0,2,1,3,2,0
2311,2006-01-28 23:15:24,13,0,0,0,0,0,4,19,0,0,2,1,3,2,0
2353,2006-01-29 00:15:04,5,0,0,0,0,0,4,18,0,0,2,1,3,2,0
2126,2006-02-12 00:14:47,4,0,0,0,0,0,4,20,0,0,2,1,3,2,0
2353,2006-03-11 19:18:50,4,0,0,0,0,0,8,20,0,0,2,1,3,2,0
2604,2006-03-12 12:07:59,5,0,0,0,1,0,9,22,0,0,2,1,3,2,3
2751,2006-05-24 20:29:38,5,0,0,0,1,0,9,24,0,1,2,1,3,2,3
2282,2006-07-09 20:32:36,3,0,0,0,1,0,9,25,0,5,2,1,3,2,3
2329,2007-11-29 23:24:30,3,0,0,0,1,0,9,25,0,11,2,1,3,2,3
2319,2007-12-04 12:11:05,3,0,0,0,1,0,3,24,0,13,2,1,3,2,3
2755,2007-12-04 22:15:42,3,0,0,0,1,0,3,24,0,13,2,1,3,2,3
2835,2007-12-06 22:32:34,3,0,0,0,1,0,4,24,0,13,2,1,3,2,3
2585,2007-12-07 16:38:27,3,0,0,0,1,0,6,23,0,16,2,1,3,2,3
3011,2007-12-07 16:39:01,3,0,0,0,1,0,6,23,0,18,2,1,4,2,3
3142,2008-01-01 22:50:59,3,0,0,0,1,0,6,23,0,19,2,1,4,2,3
3188,2008-01-23 22:13:53,3,0,0,0,1,0,5,22,0,19,2,1,4,2,3
3196,2008-02-08 17:02:37,3,0,0,0,1,0,5,22,0,20,2,1,4,2,3
3211,2008-04-07 08:59:39,3,0,0,0,1,0,4,21,0,20,2,1,4,2,4
3182,2008-04-07 13:00:54,3,0,0,0,1,0,4,21,0,21,2,1,4,2,3
3159,2008-04-11 16:37:11,3,0,0,0,1,0,4,21,0,21,2,1,4,2,3
3142,2008-04-23 15:04:09,3,0,0,0,1,0,4,20,0,21,2,1,4,2,3
3115,2008-04-26 17:07:48,3,0,0,0,1,0,4,19,0,21,2,1,4,2,3
3145,2008-06-20 16:12:45,3,0,0,0,1,0,4,19,0,21,2,1,4,2,3
3052,2008-07-18 19:39:05,3,0,0,0,1,0,4,19,0,21,2,1,4,2,3
3072,2008-07-18 20:25:50,3,0,0,0,1,0,4,20,0,21,2,1,4,2,0
3072,2008-07-18 21:20:27,3,0,0,0,1,0,4,20,0,22,2,1,4,2,0
3072,2008-11-13 23:58:31,3,0,0,0,1,0,4,20,0,22,2,1,4,2,0
3100,2008-11-14 00:04:44,3,0,0,0,1,0,4,20,0,23,2,1,4,2,0
3208,2009-01-13 22:56:37,3,0,0,0,1,0,4,19,0,23,2,1,4,2,0
3233,2009-02-01 21:18:31,3,0,0,0,1,0,4,19,0,24,2,1,4,2,0
3233,2009-02-17 23:51:27,3,0,0,0,1,0,4,19,0,24,2,1,4,2,0
3233,2009-02-23 13:47:04,3,0,0,0,1,0,4,19,0,25,2,1,4,2,0
3017,2009-04-26 15:01:06,3,0,0,0,1,0,4,18,0,25,2,1,4,2,0
3453,2009-04-30 21:57:03,3,0,0,0,1,0,4,18,0,25,2,2,4,2,0
3498,2009-07-14 15:23:55,3,0,0,0,1,0,4,18,0,25,2,2,4,2,0
3498,2010-03-04 18:03:14,3,0,0,0,1,0,4,18,0,26,2,2,4,2,0
3183,2010-05-31 22:16:39,3,0,0,0,1,0,4,18,0,26,2,2,4,2,0
3325,2010-06-04 08:53:38,3,0,0,2,1,0,4,17,0,26,2,2,4,2,0
3325,2010-08-12 16:18:02,3,0,0,2,1,0,4,16,0,27,2,2,4,2,0
3327,2010-08-12 18:08:25,3,0,0,2,1,0,4,16,0,27,2,2,4,2,0
3407,2010-08-12 18:09:28,3,0,0,2,1,0,4,17,0,29,2,2,4,2,0
3385,2010-08-13 11:08:38,3,0,0,2,1,0,4,17,0,32,2,2,4,2,0
3689,2010-08-13 15:14:09,3,0,0,2,1,0,4,17,0,34,2,2,4,2,0
3526,2010-08-13 16:15:02,3,0,0,2,1,0,4,17,0,34,2,2,4,2,0
3446,2010-08-13 20:56:21,3,0,0,2,1,0,4,17,0,35,2,2,4,2,0
3476,2010-08-13 20:56:45,3,0,0,2,1,0,4,17,0,35,2,2,4,2,0
3681,2010-08-13 23:14:57,3,0,0,2,1,0,4,17,0,36,2,2,4,2,0
3661,2010-09-02 20:41:11,3,0,0,2,1,0,4,16,0,36,2,2,4,2,0
3654,2010-09-02 20:42:42,3,0,0,2,1,0,4,16,0,36,2,2,4,2,0
3672,2010-09-13 20:01:12,3,0,0,2,1,0,4,16,0,38,2,2,4,2,0
3704,2010-09-14 20:23:08,3,0,0,2,1,0,5,16,0,42,2,2,4,2,0
3706,2010-09-20 19:17:55,3,0,0,2,1,0,5,16,0,42,2,2,4,2,0
3711,2010-09-20 19:18:34,4,0,0,2,1,0,5,16,0,42,2,2,4,2,0
3693,2010-09-20 19:19:18,4,0,0,2,1,0,5,16,0,43,2,2,4,2,0
3713,2010-09-20 20:03:15,4,0,0,0,1,0,5,16,0,44,2,2,4,2,0
3701,2010-10-04 03:49:59,4,0,0,0,1,0,5,16,0,44,2,2,4,2,0
3703,2010-10-05 22:54:13,4,0,0,0,1,0,5,16,0,45,2,2,4,2,0
3615,2010-10-05 23:01:33,4,0,1,0,1,0,5,16,0,45,2,2,4,2,0
3895,2010-10-24 19:54:09,4,0,1,0,1,0,5,15,0,46,2,2,4,2,0
3905,2010-10-24 20:29:47,4,0,1,0,1,0,5,15,0,48,2,2,4,2,0
4005,2010-11-05 19:07:57,4,0,1,0,1,0,5,16,0,50,2,2,4,2,0
3878,2011-02-04 14:29:32,4,0,1,0,1,0,4,15,0,50,2,2,4,2,0
3833,2011-02-21 07:30:50,4,0,1,0,1,0,4,15,0,50,2,2,4,2,0
3867,2011-10-09 10:40:55,4,0,1,0,1,0,4,15,0,50,2,2,4,2,0
3951,2011-10-10 21:33:07,4,0,1,0,1,0,4,15,0,50,2,2,4,2,0
3985,2011-10-10 21:47:27,4,0,1,0,1,0,4,15,0,51,2,2,4,2,0
4005,2011-11-30 07:57:29,4,0,1,0,1,0,4,15,0,52,2,2,4,2,0
4015,2012-04-02 14:36:30,4,0,1,0,1,0,4,15,0,53,2,2,4,2,0
4003,2012-04-02 14:49:30,4,0,1,0,1,0,4,15,0,53,2,2,4,2,0
4003,2012-10-22 19:14:08,4,0,1,0,1,0,4,15,0,54,2,2,4,2,0
4005,2013-12-20 03:14:49,4,0,1,0,1,0,4,15,0,54,2,2,4,2,0
3865,2013-12-28 14:20:34,4,0,1,0,1,0,4,15,0,54,2,2,4,2,0
3847,2013-12-28 14:33:22,4,0,1,0,1,0,4,9,0,58,2,2,4,2,0
3837,2014-01-02 18:07:58,4,0,1,0,1,0,4,9,0,58,2,2,4,2,0
4690,2014-01-09 17:54:51,4,0,1,0,1,0,5,9,0,62,2,2,4,2,0
5232,2014-01-10 14:23:40,4,0,1,0,1,0,5,9,0,75,2,2,4,2,0
5228,2014-01-10 15:55:04,4,0,1,0,1,0,5,8,0,65,2,2,4,2,0
5173,2014-01-11 10:34:22,4,1,1,0,1,0,1,7,0,64,2,2,4,2,0
5074,2014-01-11 11:30:16,4,1,1,0,1,0,1,7,0,64,2,2,4,2,0
5059,2014-01-11 13:02:36,4,1,0,0,1,0,1,6,0,64,2,2,4,2,0
5049,2014-01-11 14:12:45,4,1,0,0,1,0,0,6,0,64,2,2,4,2,0
4929,2014-01-11 14:19:34,4,1,0,0,1,0,0,6,0,64,2,2,4,2,0
4929,2014-02-05 01:17:47,4,1,0,0,1,0,0,6,0,64,2,2,4,2,0
4949,2014-02-05 01:54:34,4,1,0,0,1,0,0,6,0,64,2,2,4,2,0
5089,2016-01-06 09:37:15,4,1,0,0,1,0,0,6,0,66,2,2,4,2,0
5209,2016-01-06 10:07:02,4,1,0,0,1,0,0,6,0,69,2,2,4,2,0
5229,2016-01-06 13:10:09,4,1,0,0,1,0,0,6,0,70,2,2,4,2,0
5294,2016-01-06 15:12:26,4,2,0,0,1,0,0,6,0,73,2,2,4,2,0
5404,2016-01-08 20:21:33,4,2,0,0,1,0,0,6,0,73,2,2,4,2,0
5222,2016-01-08 21:12:32,4,2,0,0,1,0,0,6,0,73,2,2,4,2,0
5322,2016-01-08 21:16:44,4,2,0,0,1,0,0,6,0,69,2,2,4,2,0
5282,2016-01-08 23:29:56,4,2,0,0,1,0,0,6,0,68,2,2,4,2,0
5307,2016-01-11 17:59:34,4,2,0,0,1,0,0,6,0,69,2,2,4,2,0
5537,2017-10-08 10:10:03,4,2,0,0,1,0,0,6,0,69,2,2,4,2,0
