SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
863,2002-07-17 01:17:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,2002-07-19 03:56:51,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
798,2002-07-22 05:00:46,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
788,2002-08-22 04:26:47,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
791,2002-10-26 22:22:29,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
982,2002-10-26 22:42:34,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
979,2002-10-26 22:43:01,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1244,2002-10-27 02:41:20,7,0,0,0,1,0,1,1,0,1,0,0,0,0,0
1287,2002-10-27 17:05:36,7,0,0,0,1,0,1,1,0,1,0,0,0,0,0
1404,2002-10-27 17:05:52,7,0,0,0,1,0,1,1,0,1,0,0,0,0,2
1404,2002-10-27 18:45:59,7,0,0,0,1,0,3,1,0,1,0,0,0,0,1
1479,2002-11-10 06:31:10,7,0,0,0,1,0,3,1,0,1,0,0,0,0,1
1469,2003-03-01 21:17:44,7,0,0,0,1,0,3,1,0,1,0,0,0,0,1
1494,2003-03-03 06:23:39,7,0,0,0,1,0,3,1,0,1,0,0,0,0,1
1516,2003-03-07 23:12:41,7,0,0,0,1,0,3,1,0,1,0,0,0,0,1
1443,2003-03-07 23:13:14,7,0,0,0,1,0,3,1,0,3,0,0,0,0,4
1444,2003-03-08 05:01:39,7,0,0,0,1,0,3,1,0,3,0,0,0,0,4
1363,2003-03-08 18:29:17,7,0,0,0,1,0,0,1,0,3,0,0,0,0,4
1378,2003-03-08 18:30:03,7,0,0,0,1,0,0,1,0,3,0,0,0,0,6
1384,2003-03-15 22:34:22,7,0,0,0,1,0,0,1,0,3,0,0,0,0,6
2412,2003-04-27 17:30:07,16,0,0,0,1,1,0,9,0,3,0,0,0,1,5
2344,2003-05-03 04:47:38,9,0,0,0,1,1,0,9,0,3,0,0,0,1,5
2349,2003-06-01 00:18:13,10,0,0,0,1,1,0,9,0,3,0,0,0,1,5
2423,2004-02-25 21:07:13,10,0,0,0,1,1,0,9,0,2,0,0,0,1,5
2322,2004-03-12 07:34:46,21,0,0,0,1,1,0,9,0,3,0,0,0,1,5
2102,2004-10-11 05:06:33,21,0,0,0,1,1,0,7,0,3,0,0,0,1,5
2211,2004-10-14 04:48:15,21,0,0,0,2,1,0,7,0,3,0,0,0,1,5
2231,2004-10-16 18:17:50,21,0,0,0,2,3,0,7,0,3,0,0,0,1,3
2211,2004-10-29 04:17:23,21,0,0,0,2,3,0,6,0,3,0,0,0,1,3
2261,2004-10-31 02:03:47,21,0,0,0,2,4,0,6,0,3,0,0,0,1,3
3038,2004-10-31 05:21:43,25,0,0,0,2,5,1,6,0,3,0,0,0,1,3
3049,2004-12-08 03:02:26,25,0,0,0,2,5,1,4,0,3,0,0,0,1,3
3069,2004-12-08 03:48:13,25,0,0,0,2,5,1,5,0,3,0,0,0,1,3
3069,2004-12-08 03:50:21,25,0,0,0,2,6,1,4,0,3,0,0,0,1,3
3382,2004-12-08 03:53:42,26,0,0,0,3,6,1,4,0,3,0,0,0,1,3
3477,2004-12-08 03:55:02,26,0,0,0,3,6,1,6,0,3,0,0,0,1,3
3539,2005-11-27 23:04:45,25,0,0,0,2,6,1,7,0,3,0,0,0,1,3
3512,2005-11-28 01:18:41,25,0,0,0,2,6,1,7,0,3,0,0,0,1,3
3398,2005-11-28 03:59:34,27,0,0,0,2,6,2,8,0,3,0,0,0,1,3
3350,2006-06-09 15:43:27,27,0,0,0,2,6,2,8,0,3,0,0,0,1,3
3550,2006-06-18 19:19:46,27,0,0,0,3,6,3,9,0,3,0,0,0,1,3
4216,2006-08-02 20:49:46,28,0,0,0,4,6,4,11,2,3,0,0,0,1,3
4181,2006-08-04 21:24:30,28,0,0,0,4,6,4,11,2,3,0,0,0,1,3
4204,2006-08-06 03:14:36,28,0,2,0,4,6,6,14,2,3,0,0,0,0,3
4278,2006-08-06 23:34:18,28,0,2,0,2,6,6,15,2,3,0,0,0,0,2
4344,2006-08-07 00:15:56,28,0,2,0,2,6,6,15,2,3,0,0,0,0,2
4441,2006-08-07 20:54:54,28,0,2,0,2,6,6,15,2,3,0,0,0,0,2
