SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
249,2002-01-26 02:47:42,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0
444,2002-01-28 04:44:49,0,0,0,0,0,0,2,0,1,2,0,1,0,3,0
440,2002-01-28 05:01:49,0,0,0,0,0,0,2,0,1,2,0,1,0,3,0
510,2002-02-22 06:12:38,5,2,2,0,0,0,0,0,1,2,0,1,0,3,0
668,2002-02-22 06:13:44,5,2,6,0,0,0,0,1,1,2,0,1,0,3,0
883,2002-02-23 04:29:53,5,2,6,0,0,0,1,1,1,2,0,1,0,3,0
893,2002-07-08 22:13:52,5,2,6,0,0,0,1,1,1,1,0,1,0,3,0
2242,2002-07-08 22:14:46,5,24,6,0,0,4,1,5,1,1,0,7,0,4,0
3959,2002-07-08 22:15:44,5,24,11,0,0,4,1,7,33,1,0,7,2,4,0
5160,2002-07-08 22:16:09,5,24,11,0,0,4,1,7,33,1,0,7,2,4,0
5836,2002-07-08 22:16:37,5,25,11,0,0,4,1,8,33,7,0,8,2,4,0
7715,2002-07-08 22:19:10,6,28,11,2,1,4,1,10,33,18,0,13,2,4,0
7725,2002-07-09 14:55:32,6,28,11,2,1,4,1,10,33,18,0,13,2,4,0
7415,2002-07-28 01:28:09,7,28,11,2,1,4,1,11,33,18,0,15,2,5,0
7788,2002-07-28 03:10:01,7,28,11,2,1,4,4,12,33,18,0,13,2,4,0
7621,2002-07-28 03:15:41,7,28,11,2,1,4,4,16,33,18,0,13,2,4,0
7064,2002-10-18 22:01:33,7,28,11,2,1,4,4,8,33,18,0,13,2,4,0
7064,2002-11-11 19:34:02,7,28,11,2,1,4,4,8,33,18,0,13,2,4,0
7693,2002-11-12 07:42:44,7,25,11,2,1,4,4,8,33,14,0,13,2,6,0
7324,2002-11-12 07:57:46,7,28,11,2,1,4,4,8,33,18,0,13,2,4,0
7343,2002-11-12 08:05:12,8,28,11,2,1,4,6,8,33,18,0,13,2,4,0
7343,2002-12-07 20:27:39,8,28,11,2,1,4,6,8,33,18,0,13,2,4,0
7386,2002-12-07 20:29:24,8,28,11,2,1,4,6,8,33,18,0,13,2,4,0
7111,2002-12-07 20:31:08,8,28,11,2,1,4,5,8,33,18,0,13,2,4,0
5262,2003-01-27 02:22:31,8,28,6,2,1,4,5,4,1,17,0,11,0,4,0
5267,2003-02-25 09:03:50,8,28,6,2,1,4,5,4,1,17,0,11,0,4,0
5655,2003-04-04 14:03:26,8,28,6,7,1,4,8,4,1,17,0,11,0,4,1
5994,2003-05-16 22:34:35,8,28,6,7,1,4,8,4,1,17,0,24,0,4,1
6171,2003-07-25 07:51:26,7,28,6,7,1,8,9,8,1,17,0,28,0,4,1
5958,2003-07-27 17:20:23,7,22,6,7,1,8,6,8,1,17,0,28,0,4,1
5958,2003-07-27 17:22:18,6,22,6,7,1,8,6,8,1,17,0,28,0,4,1
6108,2003-07-29 13:07:39,6,22,6,7,1,8,6,8,1,17,0,28,0,4,1
6635,2003-08-21 18:40:48,6,22,6,7,1,8,6,9,1,17,0,31,0,5,1
6922,2003-08-21 18:42:53,6,22,6,7,1,8,6,9,1,18,0,28,0,4,1
7063,2003-08-21 18:53:51,6,22,7,7,1,8,6,9,1,18,0,31,0,4,1
7131,2003-08-21 18:56:12,8,22,7,7,1,8,6,9,1,18,0,31,0,4,6
7166,2003-09-20 19:52:38,8,22,7,5,1,8,6,9,1,13,0,31,0,4,6
7210,2003-10-17 20:16:18,8,22,7,5,1,8,6,9,1,13,0,36,0,4,7
7215,2003-11-22 20:03:52,9,22,7,5,1,8,6,9,1,13,0,36,0,4,7
7220,2003-11-22 20:44:48,12,21,7,5,1,8,6,9,1,13,0,36,0,4,7
7388,2003-11-22 20:47:30,12,21,7,5,1,8,6,8,1,12,0,36,0,4,7
7398,2003-11-22 20:48:10,12,21,7,5,1,8,6,8,1,12,0,36,0,4,7
7378,2003-11-22 21:06:41,12,21,7,5,1,8,6,8,1,12,0,36,0,3,7
7365,2003-11-23 09:18:55,12,21,7,5,1,8,6,8,1,12,0,36,0,3,7
7637,2003-11-23 09:20:54,12,21,7,5,1,8,7,8,1,12,0,36,0,3,7
7927,2003-11-23 09:32:45,12,21,8,5,1,8,7,8,1,12,0,36,0,3,7
5012,2003-11-23 20:43:30,13,20,8,5,0,8,10,9,1,6,0,34,0,3,7
5282,2003-11-25 01:11:04,13,20,8,5,0,8,10,9,1,6,0,32,0,3,7
4914,2003-11-26 07:50:05,13,20,8,5,0,4,11,7,1,6,0,32,0,3,7
4915,2003-11-27 04:07:09,13,20,8,5,0,4,11,7,1,6,0,32,0,3,8
4925,2003-11-27 04:08:14,13,20,8,5,0,4,11,7,1,6,0,32,0,3,10
4920,2003-11-27 06:27:52,13,20,8,5,0,4,11,7,1,6,0,32,0,3,10
4573,2003-12-25 11:03:35,13,20,7,5,0,4,11,6,1,6,0,28,0,3,9
4653,2003-12-29 06:18:08,13,20,7,5,0,4,11,6,1,6,0,28,0,3,9
4653,2003-12-30 06:52:49,13,20,7,5,0,4,11,6,1,6,0,28,0,3,9
5189,2003-12-30 07:00:04,13,20,7,5,0,4,11,6,1,6,0,28,0,3,9
3994,2003-12-30 15:23:23,13,21,7,0,0,4,10,4,1,6,0,28,0,3,9
3984,2003-12-30 15:26:16,13,21,7,0,0,4,5,4,1,6,0,28,0,3,9
4109,2004-01-02 07:31:18,13,21,7,0,0,4,2,4,1,6,0,30,0,3,9
4113,2004-01-02 08:06:57,13,21,7,0,0,4,2,4,1,6,0,30,0,3,9
