SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
1209,2002-02-11 18:14:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,2002-02-12 21:34:35,0,0,0,0,0,0,24,0,1,2,0,0,0,0,0
2712,2002-02-13 16:00:39,1,0,0,0,0,0,25,0,1,2,0,0,0,0,0
2845,2002-02-13 17:03:09,1,0,0,0,0,0,25,0,1,3,0,0,0,3,0
3105,2002-02-15 18:25:06,1,0,0,0,0,0,39,0,0,4,0,0,0,3,0
3105,2002-02-19 15:40:58,1,0,0,0,0,0,39,0,0,4,0,0,0,3,0
3340,2002-03-07 02:46:04,1,0,0,0,0,0,40,0,0,4,0,0,0,3,0
3339,2002-03-07 03:57:13,1,0,0,0,0,0,40,0,0,4,0,0,0,3,0
3240,2002-04-24 11:59:13,1,0,0,0,0,0,41,0,0,4,0,0,0,3,0
3427,2002-04-24 13:03:03,1,0,0,0,0,0,41,0,0,4,0,0,0,3,0
3432,2002-04-25 16:47:07,1,0,0,0,0,0,41,0,1,4,0,0,0,3,0
3540,2002-04-25 18:14:09,1,0,0,0,0,0,45,0,1,4,0,0,0,3,0
3600,2002-04-25 18:58:47,2,0,0,0,0,0,50,0,1,4,0,0,0,3,0
3643,2002-04-25 19:25:08,2,0,0,0,0,0,55,0,1,4,0,0,0,3,0
3735,2002-04-26 04:29:41,2,0,0,0,0,0,55,0,1,4,0,0,0,3,0
4100,2002-04-26 07:56:10,2,0,0,0,0,0,55,0,1,4,0,0,0,3,0
3874,2002-04-26 11:28:55,2,0,0,0,0,0,57,0,1,6,0,0,0,3,0
3991,2002-04-26 12:20:12,2,0,0,0,0,0,58,1,1,7,0,0,0,3,0
6055,2002-05-15 06:25:50,2,0,0,0,0,0,99,10,1,9,0,2,0,3,0
6122,2002-05-15 16:21:06,2,0,0,0,0,0,98,10,1,7,0,2,0,0,0
6341,2002-05-16 16:29:55,2,0,0,0,0,0,105,10,1,7,0,2,0,0,0
5968,2002-05-16 18:20:35,2,0,0,0,0,0,108,10,1,7,0,2,0,0,0
5841,2002-05-17 15:18:15,2,0,0,0,0,0,128,10,1,7,0,2,0,0,1
6226,2002-05-20 10:09:28,3,0,0,0,0,0,148,15,1,7,0,2,0,0,1
5995,2002-05-21 16:53:26,3,0,0,0,0,0,135,11,1,7,0,2,0,0,1
6848,2002-05-25 18:27:22,3,0,0,0,1,0,171,21,1,7,0,2,0,2,1
7054,2002-05-30 08:13:50,3,0,0,0,1,0,194,23,1,7,0,2,0,2,1
7215,2002-05-30 12:15:25,3,0,0,0,1,0,200,24,2,7,0,2,0,3,1
7233,2002-05-30 14:27:07,4,0,0,0,1,0,204,24,2,7,0,2,0,3,1
7239,2002-05-30 14:58:30,4,0,0,0,1,0,204,24,2,7,2,2,0,3,1
7192,2002-06-01 10:21:14,4,0,0,0,1,0,209,24,2,7,2,2,0,3,1
7426,2002-06-02 17:29:02,4,0,0,0,1,0,217,26,3,7,0,2,0,5,1
8063,2002-06-05 07:12:58,4,0,0,0,1,3,215,26,3,7,0,2,0,5,1
8068,2002-06-05 17:05:21,4,0,0,0,1,3,215,26,1,7,0,2,0,3,1
8068,2002-06-05 17:14:38,4,0,0,0,1,3,216,26,1,7,0,2,0,3,1
8070,2002-06-05 18:03:38,4,0,0,0,1,3,217,26,1,7,0,2,0,3,1
8119,2002-06-06 07:13:41,5,0,0,0,1,3,217,26,1,8,0,2,0,3,1
8219,2002-06-07 09:00:36,5,0,0,0,1,3,217,26,0,8,0,2,0,3,1
8391,2002-06-07 09:36:11,6,0,0,0,1,3,223,28,0,8,0,2,0,3,1
8071,2002-06-08 16:45:10,6,0,0,0,1,3,223,29,0,9,0,2,0,7,1
9001,2002-06-11 21:41:11,6,0,0,0,1,3,249,29,0,9,0,2,0,7,1
8973,2002-06-11 22:59:22,6,0,0,0,1,3,249,29,0,9,0,2,0,7,1
8981,2002-06-12 04:32:28,6,0,0,0,1,3,249,29,0,9,0,2,0,7,1
8677,2002-06-12 06:07:29,6,0,0,0,1,3,248,29,0,9,0,2,0,7,1
8674,2002-06-12 13:54:47,6,0,0,0,1,3,247,29,0,9,0,2,0,7,1
8757,2002-06-12 17:09:41,6,0,0,0,1,3,247,29,0,9,0,2,0,7,1
8879,2002-06-12 19:28:08,6,0,0,0,1,3,247,29,0,9,0,2,0,7,1
8682,2002-06-12 22:01:07,6,0,0,0,1,3,247,29,0,9,0,2,0,7,1
9244,2002-06-12 22:09:46,6,0,0,0,1,3,253,29,0,9,0,2,0,7,1
9071,2002-06-13 08:16:47,6,0,0,0,1,3,254,29,0,9,0,2,0,7,1
9121,2002-06-13 21:31:14,6,0,0,0,2,3,253,29,0,11,0,2,0,7,1
9166,2002-06-14 04:04:12,6,0,0,0,2,3,265,31,0,9,0,2,0,7,1
9159,2002-06-14 06:53:03,6,0,0,0,2,3,271,31,0,10,0,2,0,7,1
9333,2002-06-14 10:24:14,6,0,0,0,2,3,271,31,0,13,0,2,0,7,1
9321,2002-06-14 14:13:48,6,0,0,0,2,3,268,31,0,13,0,2,0,7,1
9348,2002-06-17 10:15:24,6,0,0,0,2,3,268,31,0,13,0,2,0,7,1
9530,2002-06-18 08:31:02,6,0,0,0,2,3,280,31,0,13,0,2,0,7,2
9611,2002-06-18 12:27:24,6,0,0,0,2,3,288,30,0,13,0,2,0,7,2
9793,2002-06-18 12:30:10,6,0,0,0,2,3,290,32,0,13,0,2,0,7,2
10792,2002-06-18 18:36:43,6,0,0,0,3,4,306,33,0,13,0,7,0,9,4
10812,2002-06-19 17:14:01,6,0,0,0,3,4,297,33,0,13,0,7,0,10,4
11576,2002-06-20 14:30:43,6,0,0,0,3,4,309,37,0,13,0,7,0,10,4
11171,2002-06-21 02:57:17,6,0,0,0,3,4,309,37,0,13,0,7,0,10,4
11722,2002-06-21 16:57:17,6,0,0,0,3,4,308,38,0,14,0,7,0,15,5
12325,2002-06-22 16:55:51,6,3,0,0,3,4,312,38,0,14,0,7,0,15,5
12272,2002-06-23 01:29:34,6,3,0,0,3,4,317,38,0,14,0,7,0,15,6
13799,2002-06-24 11:17:09,6,3,0,0,3,4,317,42,0,14,0,7,0,15,8
13344,2002-06-25 19:12:29,6,3,0,0,3,4,328,42,0,14,0,7,0,15,8
13407,2002-06-25 20:43:30,6,3,0,0,3,6,329,43,0,14,0,7,0,15,9
13412,2002-06-25 21:02:25,6,3,0,0,3,6,326,43,0,14,0,7,0,15,9
13519,2002-06-26 09:17:44,6,3,0,0,3,6,328,43,0,14,0,7,0,15,9
13539,2002-06-26 09:43:31,6,3,0,0,3,6,328,43,0,15,0,7,0,15,9
13732,2002-06-26 11:46:45,6,3,0,0,3,6,328,43,0,15,0,7,0,15,9
12841,2002-06-26 13:09:09,6,3,0,0,3,6,329,43,0,15,0,7,0,15,9
12769,2002-06-26 14:50:44,6,3,0,0,3,6,329,43,0,15,0,7,0,15,9
12989,2002-06-27 14:09:15,6,3,0,0,3,6,329,45,0,15,0,7,0,15,9
13629,2002-06-27 14:16:24,6,3,0,0,3,10,333,47,0,15,0,9,0,15,12
13641,2002-06-27 21:08:08,6,3,0,0,3,10,331,47,0,15,0,9,0,15,12
13688,2002-06-28 03:30:24,6,3,0,0,3,10,331,47,0,15,0,9,0,15,12
14786,2002-07-07 19:38:11,6,3,0,0,3,8,317,47,0,15,0,7,4,15,11
14806,2002-07-09 21:13:07,6,3,0,0,3,8,317,47,0,15,0,7,4,15,11
14791,2002-07-10 16:12:17,6,3,0,0,3,8,317,47,0,15,0,7,4,15,11
14835,2002-07-10 18:53:50,6,3,0,0,3,8,317,49,0,15,1,7,4,15,11
15086,2002-07-13 00:49:45,6,3,0,0,3,8,325,49,0,15,1,8,4,16,11
