SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
5564,2003-12-24 14:28:22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4890,2004-01-16 14:23:39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4518,2004-01-16 17:31:39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
4498,2004-01-16 17:32:37,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1
4500,2004-01-16 17:59:04,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1
4884,2004-01-18 16:15:46,0,0,0,12,0,0,0,1,0,5,0,1,0,0,1
4886,2004-01-23 11:08:56,0,0,0,12,0,0,0,1,0,5,0,1,0,0,1
5180,2004-01-23 11:52:36,0,0,0,12,0,0,0,1,0,5,0,1,0,0,2
5182,2004-01-30 14:05:01,0,0,0,12,0,0,0,1,0,7,0,1,0,0,2
5252,2004-01-30 14:46:37,0,0,0,12,0,0,0,1,0,7,0,1,0,0,2
5140,2004-02-12 12:59:19,0,6,0,12,2,0,0,1,0,7,0,1,0,0,2
5108,2004-02-14 18:54:21,0,6,1,12,2,0,0,1,0,7,0,1,0,0,0
5383,2004-02-14 19:10:42,0,6,1,12,2,0,0,1,0,7,0,1,0,0,0
5366,2004-02-14 20:06:23,0,6,1,12,2,0,0,1,0,8,0,1,0,0,0
5408,2004-02-15 11:58:37,0,6,1,12,2,0,0,1,0,9,0,1,0,0,0
5273,2004-02-24 13:08:03,0,6,2,12,2,0,0,1,0,10,0,1,0,0,0
5273,2004-02-27 17:41:36,0,4,1,12,2,0,0,4,0,10,0,1,0,0,0
5973,2004-03-08 23:27:09,0,4,1,12,2,0,0,4,0,12,0,1,0,0,0
5803,2004-03-09 10:31:31,0,4,1,12,2,0,0,4,0,12,0,1,0,0,0
5900,2004-03-13 17:04:04,0,4,1,12,2,0,0,4,0,12,1,1,0,0,0
5591,2004-03-28 14:42:45,0,4,1,12,2,0,1,4,0,28,1,1,0,0,0
5508,2004-03-28 14:43:04,0,4,1,12,2,0,1,4,0,28,1,2,0,0,0
6207,2004-04-01 18:43:04,0,4,1,12,2,0,1,7,0,31,1,2,0,0,0
6315,2004-05-04 22:14:29,0,4,1,12,2,0,1,7,0,32,1,2,0,0,0
6799,2004-05-13 12:19:16,0,4,18,12,2,0,1,7,0,32,1,1,0,0,0
7111,2004-06-03 15:32:46,0,4,18,12,2,0,1,8,0,32,1,1,0,0,0
7151,2004-06-04 12:58:53,0,4,18,12,2,0,1,8,0,33,1,1,0,0,0
7151,2004-06-10 09:38:00,0,4,18,12,2,0,1,8,0,33,1,1,0,0,0
7151,2004-06-15 10:12:29,0,4,18,12,2,0,1,8,0,33,1,1,0,0,0
7159,2004-06-15 10:40:54,0,4,18,12,2,0,1,8,0,33,1,1,0,0,0
7169,2004-06-15 15:53:58,0,4,18,12,2,0,1,8,0,33,1,1,0,0,0
7165,2004-06-16 15:17:09,0,4,18,12,2,0,1,8,0,33,1,1,0,0,0
7165,2004-06-17 14:39:54,0,2,18,12,2,0,1,8,0,33,1,1,0,0,0
7247,2004-06-21 09:58:54,0,2,18,12,2,0,2,8,0,33,1,1,0,0,0
7245,2004-06-21 15:35:15,0,2,18,12,2,0,2,8,0,35,1,1,0,0,0
7250,2004-06-21 17:45:29,0,3,18,12,2,0,2,8,0,35,1,2,0,0,0
7240,2004-06-21 18:42:39,0,3,18,12,2,0,2,9,0,35,1,1,0,0,0
7280,2004-06-21 18:44:30,0,3,18,12,2,0,2,10,0,35,1,1,0,0,0
7124,2004-06-24 12:35:15,0,3,18,2,2,0,2,10,0,35,1,1,0,0,0
7126,2004-07-05 09:54:17,0,1,18,0,2,0,2,10,0,35,2,1,0,0,0
7149,2004-07-08 15:34:20,0,1,18,0,2,0,2,10,0,35,2,1,0,0,0
6458,2004-07-12 12:14:38,0,1,18,0,2,0,2,10,0,36,2,1,0,0,0
6465,2004-07-12 14:12:22,0,1,18,0,2,0,2,2,0,36,2,1,0,0,0
6479,2004-07-12 14:35:29,0,1,18,0,2,0,2,2,0,36,2,1,0,0,0
6499,2004-07-12 14:38:29,0,1,18,0,2,0,1,2,0,37,2,1,0,0,0
6598,2004-07-13 14:10:06,0,1,18,0,2,0,1,2,0,38,2,1,0,0,0
6566,2004-07-21 12:38:56,0,1,18,0,2,0,1,2,1,38,2,1,0,0,0
6583,2004-07-24 15:49:01,0,1,18,0,2,0,1,2,1,38,2,1,0,0,0
6596,2004-07-24 16:26:10,0,1,18,0,2,0,1,2,1,38,2,0,0,0,0
6321,2004-08-12 15:45:22,0,1,18,1,2,0,1,3,1,36,2,0,0,0,0
6324,2004-08-12 15:46:15,0,1,18,1,2,0,1,3,1,36,2,0,0,0,0
6504,2004-08-12 16:06:01,0,1,18,5,2,0,1,3,1,37,2,0,0,0,0
7516,2004-08-12 16:29:38,0,1,18,15,2,0,1,4,1,37,2,0,0,0,1
7524,2004-08-12 16:53:52,0,1,18,15,2,0,1,4,1,37,2,0,0,0,1
7508,2004-08-12 17:29:53,0,1,18,15,2,0,1,4,1,38,2,0,0,0,0
7627,2004-08-14 11:21:27,0,1,18,11,2,0,1,5,1,38,2,0,0,0,1
8449,2004-08-16 22:16:33,0,1,18,10,2,0,1,4,1,39,2,0,0,0,3
8460,2004-08-20 15:49:27,0,1,18,10,2,0,1,4,1,39,2,0,0,0,3
8493,2004-09-06 12:52:12,0,1,18,10,2,0,1,4,1,39,2,0,0,0,4
8495,2004-09-06 13:12:04,0,1,19,10,2,0,1,4,1,40,2,0,0,0,4
8499,2004-09-10 13:34:54,0,1,19,10,2,0,1,4,1,40,2,0,0,0,4
8504,2004-09-16 13:54:15,0,1,19,10,2,0,1,4,1,40,2,0,0,0,4
8514,2004-09-16 21:35:57,0,1,19,10,2,0,1,4,1,40,2,0,0,0,4
8571,2004-09-19 21:54:46,0,1,19,10,2,0,1,4,1,43,2,0,0,0,4
9308,2004-09-19 22:01:50,0,1,20,10,2,0,2,9,1,69,2,0,0,0,4
9238,2004-09-20 09:37:07,0,1,20,10,2,0,2,9,1,69,2,0,0,0,4
9241,2004-09-20 09:48:40,1,0,20,10,2,0,2,9,1,69,2,0,0,0,4
9459,2004-09-20 15:55:08,1,0,20,10,2,0,2,9,1,69,2,0,0,0,4
9459,2004-09-20 18:59:15,1,0,20,10,2,0,2,9,1,69,2,0,0,0,4
10459,2004-09-20 19:46:26,1,0,34,10,2,0,2,10,1,72,2,0,0,0,4
10509,2004-09-21 17:18:27,1,0,34,10,2,0,2,10,1,75,2,0,0,0,4
10501,2004-09-21 17:49:39,1,0,34,10,2,0,2,10,1,75,2,0,0,0,4
10493,2004-09-21 18:14:44,1,0,34,1,2,0,2,10,1,76,2,0,0,0,4
10714,2004-09-22 17:17:31,1,0,34,1,2,0,2,11,1,81,2,1,0,0,3
10742,2004-09-23 08:41:56,1,0,34,1,2,0,2,10,1,82,2,1,0,0,3
10758,2004-09-23 11:42:00,1,0,34,1,2,0,2,10,1,83,2,1,0,0,3
10767,2004-09-23 11:47:57,1,0,34,1,2,0,2,10,1,85,2,1,0,0,3
10782,2004-10-04 18:14:59,1,0,34,1,2,0,2,10,1,86,2,1,0,0,3
10872,2004-10-04 21:45:11,1,0,34,1,2,0,2,10,1,88,2,1,0,0,3
10534,2004-10-05 21:17:25,1,0,34,1,2,0,2,10,1,88,2,1,0,0,3
10607,2004-10-11 09:17:09,1,0,34,1,2,0,2,10,1,89,2,2,0,0,3
11310,2004-10-14 09:54:36,1,0,34,1,2,0,1,17,1,89,2,2,0,0,3
13117,2004-10-18 09:54:38,1,0,34,1,2,0,1,17,1,102,2,2,0,0,3
13133,2004-10-18 10:19:27,1,0,34,1,0,0,1,17,1,102,2,2,0,0,3
13149,2004-10-18 10:44:31,1,0,51,1,0,0,1,17,1,102,2,2,0,0,3
13615,2004-10-18 12:50:42,1,0,34,1,0,0,1,17,1,102,2,2,0,0,3
13575,2004-10-18 14:05:23,1,0,34,1,0,0,1,17,1,102,2,2,0,0,3
13780,2004-10-18 15:45:10,1,0,34,1,0,0,1,17,1,103,2,2,0,0,3
12822,2004-10-19 13:41:44,1,0,34,1,0,0,1,17,1,102,2,2,0,0,1
12802,2004-11-13 17:02:51,1,0,34,1,0,0,1,17,1,102,2,2,0,0,1
12802,2004-11-13 17:03:18,1,0,34,1,0,0,1,17,1,103,2,2,0,0,1
12812,2004-11-14 18:29:02,1,0,34,1,0,0,1,17,1,103,2,2,0,0,1
12814,2004-11-14 19:06:32,1,0,34,1,0,0,1,17,1,104,2,2,0,0,1
12730,2004-11-19 01:56:30,1,0,34,1,0,0,1,17,1,104,2,2,0,0,1
12669,2004-11-19 13:19:50,1,0,34,1,0,0,1,17,1,107,2,1,0,0,1
12681,2004-11-19 19:25:47,1,0,34,1,0,0,1,17,1,107,2,1,0,0,1
12686,2004-11-19 19:26:48,1,1,34,1,0,0,1,17,1,108,2,1,0,0,1
12770,2004-12-04 15:45:40,1,1,34,1,0,0,1,17,1,112,2,1,0,0,1
13070,2004-12-13 16:40:14,1,1,34,1,0,0,0,17,1,115,2,1,0,0,1
13085,2004-12-14 17:03:51,1,0,34,1,0,0,0,17,1,115,2,1,0,0,1
13124,2004-12-18 16:33:03,1,0,34,1,0,0,0,18,1,115,2,1,0,0,1
13014,2004-12-23 18:40:21,1,0,34,1,0,0,0,19,1,115,2,1,0,0,1
12919,2004-12-23 18:41:04,1,0,34,1,0,0,0,19,0,115,2,1,0,0,1
12929,2004-12-23 18:42:25,1,0,34,1,0,0,0,17,0,116,2,1,0,0,1
12959,2005-01-03 18:32:46,1,0,34,1,0,0,0,17,0,118,2,1,0,0,1
12979,2005-01-15 15:29:30,1,0,34,1,0,0,0,17,0,119,2,1,0,0,1
13081,2005-02-14 10:03:35,1,0,34,1,0,0,0,17,0,119,2,1,0,0,1
