SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2528,2003-09-27 15:45:02,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0
2593,2003-09-27 16:49:13,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0
2593,2004-02-27 07:57:51,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0
2593,2004-08-19 05:44:58,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0
2425,2004-11-05 16:03:22,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0
2405,2005-04-27 16:01:42,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0
2290,2010-03-15 08:09:26,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0
2480,2010-03-19 16:55:14,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0
2395,2010-03-27 14:14:45,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0
2381,2010-04-23 16:03:39,0,1,0,0,0,0,4,1,0,1,0,0,1,0,0
2508,2010-09-24 11:28:45,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
2562,2010-10-15 15:32:40,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
2881,2010-10-15 19:20:55,0,0,0,0,0,0,4,1,1,3,0,0,1,7,0
2931,2010-10-15 20:08:04,0,0,0,0,0,0,4,1,1,3,0,0,1,9,0
2940,2010-10-16 05:11:32,0,0,0,0,0,0,4,1,1,3,0,0,1,10,0
3736,2010-10-16 14:41:02,1,0,0,1,0,0,4,2,1,3,0,0,4,9,0
3645,2010-10-16 14:58:39,1,0,0,1,0,0,1,2,1,3,0,0,4,9,0
3627,2010-10-16 15:43:32,1,0,0,1,0,0,0,2,1,3,0,0,4,9,0
3647,2010-10-17 10:32:51,1,0,0,1,0,0,0,2,1,3,0,0,4,9,0
3657,2010-10-17 11:06:15,1,0,0,1,0,0,0,2,1,3,0,0,4,9,0
3562,2010-10-17 11:40:21,1,0,0,1,0,0,0,2,2,3,0,0,4,9,0
3597,2010-10-17 11:48:41,1,0,0,1,0,0,0,2,2,3,0,0,4,9,0
3656,2010-10-20 05:21:16,1,0,0,1,0,0,0,2,2,3,0,0,4,9,0
3842,2011-06-02 16:29:44,1,0,0,1,0,0,0,2,2,3,0,1,4,9,0
3857,2011-08-01 20:31:34,1,0,0,1,0,0,0,2,2,3,0,2,4,9,0
4062,2017-10-20 07:48:15,1,0,0,1,0,0,0,2,2,3,0,2,4,9,0
4162,2017-10-20 18:52:50,1,0,0,1,0,0,0,2,2,3,0,2,4,9,0
4168,2017-11-02 13:10:04,1,0,0,1,0,0,0,2,2,3,0,2,4,9,0
