SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
5364,2001-04-15 17:31:40,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0
5890,2002-01-16 00:19:36,17,0,0,0,0,0,1,1,0,0,0,2,0,0,2
6056,2002-03-17 14:55:20,17,0,0,0,0,0,1,2,0,1,0,2,0,0,2
6091,2002-03-19 06:05:34,17,0,0,0,0,0,1,2,0,1,0,2,0,0,2
6105,2002-04-03 11:57:16,17,0,0,0,0,0,1,2,0,1,0,2,0,0,2
6073,2002-04-03 12:42:50,17,0,0,0,0,0,1,2,0,1,0,2,0,0,2
6481,2002-05-16 21:25:38,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6501,2002-05-27 13:15:43,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6511,2002-05-29 01:24:09,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6531,2002-06-20 00:16:51,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6551,2002-06-21 21:56:13,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6586,2002-06-23 21:41:42,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6548,2002-06-29 16:45:08,23,0,0,0,0,0,5,7,0,1,0,2,0,0,2
6558,2002-06-29 17:36:37,23,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6560,2002-07-20 17:37:44,24,0,0,0,0,0,5,8,0,1,0,2,0,0,2
6460,2002-07-20 22:55:34,25,0,0,0,0,1,5,9,0,1,0,2,0,0,2
9034,2002-08-05 06:42:01,53,2,0,0,0,1,10,15,1,5,0,3,0,0,4
9064,2002-09-05 23:38:49,53,2,0,0,0,1,10,15,1,5,0,3,0,0,4
9068,2002-10-19 19:21:51,53,2,0,0,0,1,10,15,1,5,0,3,0,0,4
8954,2002-10-31 21:14:32,53,2,0,0,0,1,10,15,1,5,0,3,0,0,4
9046,2002-10-31 21:41:50,61,2,0,0,0,1,10,17,1,12,0,3,0,0,4
9058,2002-11-01 15:27:21,61,2,0,0,0,1,10,17,1,12,0,3,0,0,4
9052,2002-11-01 15:42:33,61,2,0,0,0,1,10,17,1,12,0,3,0,0,4
9062,2002-11-07 19:22:31,61,2,0,0,0,1,10,17,1,12,0,3,0,0,4
9075,2002-11-07 21:06:57,61,2,0,0,0,1,10,17,1,12,0,3,0,0,5
8778,2002-11-08 18:51:07,65,2,0,4,0,1,10,18,1,15,0,6,0,0,5
8821,2002-11-08 19:17:24,66,2,0,4,0,1,17,18,1,15,0,6,0,0,5
9169,2002-11-16 19:18:27,68,2,0,4,0,1,17,21,1,15,0,6,0,0,5
9372,2003-03-06 14:58:42,74,2,0,4,0,1,17,21,1,15,0,6,0,0,5
9394,2003-03-06 15:22:25,74,2,0,4,0,1,17,21,1,16,0,6,0,0,5
9404,2003-03-06 18:13:37,74,2,0,4,0,1,16,21,1,15,0,6,0,0,5
9419,2003-03-06 18:59:12,74,2,0,4,0,1,16,21,1,15,0,6,0,0,5
9375,2003-03-06 19:25:38,74,2,0,4,0,1,17,21,1,15,0,6,0,0,5
9436,2003-03-07 00:24:09,74,2,0,5,0,1,3,21,1,18,0,7,0,0,5
9294,2003-04-02 00:48:49,74,2,0,5,0,1,3,21,1,18,0,7,0,0,5
9489,2003-04-09 00:19:37,74,2,0,5,0,1,3,21,1,18,0,7,0,0,5
9467,2003-04-09 00:47:01,74,2,0,5,0,1,3,21,1,17,0,7,0,0,5
9457,2003-04-15 01:56:28,74,2,0,5,0,1,3,21,1,17,0,7,0,0,5
9422,2003-06-02 04:54:12,74,2,0,5,0,1,3,21,1,17,0,7,0,0,5
9269,2003-06-29 12:42:16,74,2,0,5,0,1,3,21,1,17,0,8,0,0,5
9262,2003-08-11 12:12:27,46,2,0,4,0,1,3,21,1,17,0,6,0,0,5
9294,2003-08-11 14:08:39,46,2,0,4,0,1,3,21,1,17,0,6,0,0,5
9334,2003-08-11 14:37:12,46,2,0,4,0,1,3,21,1,17,0,6,0,0,5
9429,2003-08-11 14:49:33,46,2,0,4,0,1,3,24,1,17,0,6,0,0,5
9479,2003-08-11 14:51:25,48,2,0,4,0,1,5,24,2,17,0,6,0,0,5
9516,2003-08-11 14:53:34,48,2,0,4,0,1,7,24,2,17,0,6,0,0,5
9526,2003-08-11 15:59:16,48,2,0,4,0,1,7,24,2,17,0,6,0,0,5
9358,2003-08-11 16:02:10,48,2,0,4,0,1,7,24,2,17,0,6,0,0,5
9366,2003-08-11 23:55:43,50,2,0,4,0,1,6,24,2,19,0,6,0,0,3
10178,2003-08-12 06:09:21,50,3,0,4,0,1,17,30,3,21,0,6,0,0,3
9714,2003-08-13 15:47:17,50,2,0,4,0,1,6,29,2,20,0,5,0,0,0
9762,2003-08-21 19:00:26,51,2,0,4,0,1,6,29,2,20,0,5,0,0,0
9764,2003-08-21 22:21:37,51,2,0,4,0,1,6,29,2,20,0,5,0,0,0
9949,2003-08-21 22:24:28,52,2,0,4,0,1,6,30,2,23,0,5,0,0,0
9997,2003-08-22 12:40:00,52,2,0,4,0,1,6,30,2,23,0,5,0,0,0
9997,2003-08-22 16:08:32,52,2,0,4,0,1,6,30,2,23,0,5,0,0,0
10017,2003-08-25 16:17:45,53,2,0,4,0,1,6,30,2,23,0,5,0,0,0
10067,2003-08-25 16:19:59,53,2,0,4,0,1,6,30,2,23,0,5,0,0,0
10132,2003-08-26 14:16:33,53,2,0,4,0,1,6,30,2,23,0,5,0,0,0
10149,2003-08-26 14:19:28,55,2,0,4,0,1,6,30,2,23,0,5,0,0,0
10266,2003-08-26 14:20:15,55,2,0,4,0,1,6,30,2,23,0,6,0,0,0
10308,2003-09-13 22:29:39,56,2,0,4,0,1,6,30,2,23,0,6,0,0,0
10333,2003-09-14 00:10:54,56,2,0,4,0,1,6,30,2,23,0,6,0,0,0
10323,2003-09-14 00:12:40,56,2,0,4,0,1,6,30,2,23,0,6,0,0,0
10343,2003-09-14 00:15:47,56,2,0,4,0,1,6,30,2,24,0,6,0,0,0
10354,2003-09-14 00:19:43,56,2,0,5,0,1,6,30,2,24,0,6,0,0,0
10402,2003-09-20 14:28:54,57,2,0,5,0,1,6,30,2,24,0,6,0,0,0
10407,2003-09-20 14:29:59,58,2,0,5,0,1,6,30,2,24,0,6,0,0,0
10467,2003-09-29 06:01:54,58,2,0,5,0,1,7,30,2,24,0,6,0,0,0
10467,2003-09-30 20:50:29,58,2,0,5,0,1,7,31,2,24,0,6,0,0,0
10900,2003-10-13 05:06:00,58,2,0,5,0,1,18,33,2,24,0,6,0,0,0
10889,2003-10-15 19:52:13,58,2,0,6,0,1,7,33,2,24,0,6,0,0,0
10883,2003-10-15 19:53:30,58,2,0,6,0,1,7,33,2,24,0,6,0,0,0
11015,2003-10-15 19:55:57,58,2,0,6,0,1,7,33,2,24,0,6,0,0,0
10987,2003-10-26 15:44:27,59,2,0,6,0,1,7,33,1,24,0,6,0,0,0
11207,2003-10-26 17:17:33,59,2,0,6,0,1,7,34,1,24,0,6,0,0,0
11091,2003-11-02 17:46:12,59,2,0,6,0,1,7,34,1,23,0,6,0,0,0
