SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
3357,2003-11-09 18:18:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3377,2003-11-09 19:03:54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3389,2003-11-10 16:16:32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3497,2003-11-28 19:32:10,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3598,2003-11-28 21:07:38,8,0,0,0,0,0,0,4,0,0,0,0,0,7,0
3803,2003-11-28 21:11:33,8,0,0,0,0,0,0,5,0,0,0,0,0,7,0
3813,2003-12-07 17:25:01,8,0,0,0,0,0,0,5,0,0,0,0,0,7,0
3743,2004-03-09 03:05:51,8,0,0,0,0,0,1,6,0,0,0,0,0,7,0
3739,2004-03-14 23:03:54,8,0,0,0,0,0,1,8,0,0,0,0,0,7,0
3739,2004-07-19 01:41:26,7,0,0,0,0,0,1,7,0,0,0,0,0,7,0
3615,2004-09-03 13:01:58,7,0,0,0,0,0,1,7,0,0,0,0,0,7,0
3605,2004-09-03 13:14:07,7,0,0,0,0,0,1,7,0,0,0,0,0,7,0
3668,2004-11-01 03:08:12,7,0,0,0,0,0,1,7,0,0,0,0,0,13,0
3686,2004-12-19 02:38:19,7,0,0,0,0,0,1,8,0,0,0,0,0,13,0
3804,2004-12-19 02:59:49,7,0,0,0,0,0,2,10,0,0,0,0,0,13,0
3769,2005-02-19 20:46:46,7,0,0,0,0,0,2,10,0,1,0,0,0,13,0
3761,2006-11-01 17:33:50,7,0,0,0,0,0,2,10,0,1,0,0,0,13,0
3811,2006-11-03 17:03:06,7,0,0,0,0,0,2,10,6,1,0,0,0,19,0
3855,2006-11-03 20:20:06,7,0,0,0,0,0,2,12,6,1,0,0,0,19,0
3857,2006-11-03 20:21:07,7,0,0,0,0,0,2,12,6,1,0,0,0,19,0
3810,2006-11-06 04:46:20,7,1,0,0,0,0,2,12,6,1,0,0,0,19,0
3847,2006-11-07 23:16:34,7,1,0,0,0,0,2,12,6,1,0,0,0,19,0
4173,2009-02-25 10:01:31,7,1,0,1,1,0,2,12,3,8,0,5,0,16,0
