SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
1219,2001-05-12 17:25:55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2029,2001-05-22 02:55:03,26,0,0,0,0,0,2,5,0,0,0,0,0,1,0
2029,2001-05-22 04:06:27,26,0,0,0,0,0,2,5,0,0,0,0,0,1,0
2149,2001-05-22 04:19:11,26,0,0,0,0,0,2,6,0,0,0,0,0,1,0
2154,2001-05-22 04:48:36,27,0,0,0,0,0,3,6,0,0,0,0,0,1,0
2154,2001-05-22 04:57:02,27,0,0,0,0,0,6,6,0,0,0,0,0,1,1
2159,2001-07-19 20:55:52,28,0,0,0,0,0,6,6,0,0,0,0,0,1,1
2164,2001-08-04 22:04:15,28,0,0,0,0,0,6,6,1,0,0,0,0,1,1
2184,2001-08-04 22:26:37,29,0,0,0,0,0,6,7,1,0,0,0,0,1,1
2293,2001-08-04 23:14:57,29,0,0,0,0,0,6,7,1,0,0,0,0,1,1
2316,2001-08-04 23:46:29,32,0,0,0,0,0,8,7,1,0,0,0,0,1,1
2238,2001-08-08 03:21:17,32,0,0,0,0,0,8,7,1,0,0,0,0,1,1
2258,2001-08-13 18:59:46,32,0,0,0,0,0,8,7,1,0,0,0,0,1,1
2258,2001-08-20 18:23:39,32,0,0,0,0,0,9,7,0,0,0,0,0,1,1
2378,2001-08-20 18:28:40,32,0,0,0,0,0,9,8,0,0,0,0,0,1,1
2508,2001-08-20 19:18:42,33,0,0,0,0,0,9,8,0,0,0,0,0,1,1
3306,2001-08-20 21:59:43,58,0,0,0,0,0,9,12,0,0,0,0,0,1,1
3210,2001-08-20 22:06:23,58,1,0,0,0,0,9,12,0,0,0,0,0,1,1
3288,2001-08-20 22:12:02,58,1,0,0,0,0,9,12,0,0,0,0,0,1,1
3337,2001-08-26 05:09:36,61,1,0,0,0,0,9,14,0,0,0,0,0,1,1
3771,2001-08-26 22:13:44,62,1,0,0,0,0,8,15,0,0,1,0,0,1,1
4080,2001-09-05 03:33:26,62,1,0,0,0,0,16,16,0,0,1,0,0,1,2
4084,2001-09-05 18:52:37,62,1,0,0,0,0,16,16,0,0,3,0,0,1,2
4109,2001-09-19 17:04:09,63,1,0,0,0,0,17,16,0,0,3,0,0,1,2
4495,2001-09-20 20:42:04,63,2,1,0,0,0,17,18,0,0,3,0,0,1,3
4685,2001-09-21 10:00:41,63,2,1,0,0,0,17,18,0,0,3,0,0,1,3
4749,2001-10-11 00:28:42,63,2,1,0,0,0,17,18,0,0,3,0,0,1,3
4756,2001-10-13 01:34:59,64,2,1,0,0,0,17,18,0,0,3,0,0,1,3
4771,2001-10-16 15:36:56,65,2,1,0,0,0,17,18,0,0,3,0,0,1,3
4803,2001-11-14 18:42:16,65,2,1,0,0,0,17,18,0,0,3,0,0,1,3
4959,2001-11-14 19:54:05,69,3,1,0,0,0,19,20,0,0,3,0,0,1,3
4989,2001-12-04 17:11:08,69,3,1,0,0,0,19,20,0,0,3,0,0,1,3
5412,2001-12-04 19:48:47,71,3,1,0,2,0,20,21,0,13,3,0,0,1,4
6151,2001-12-04 19:52:00,71,5,1,12,4,0,34,25,1,13,3,0,0,1,4
6153,2002-01-04 02:34:08,71,5,1,12,4,0,34,25,1,13,3,0,0,1,4
6061,2002-01-04 05:32:11,71,5,1,12,4,0,34,25,1,13,3,0,0,1,4
6091,2002-01-05 00:48:55,71,5,1,0,4,0,34,25,1,13,3,0,0,1,4
6091,2002-01-05 19:29:08,71,5,1,0,4,0,34,25,1,13,3,0,0,1,4
6091,2002-01-05 19:48:39,71,5,1,0,4,0,34,25,1,13,3,0,0,1,4
6089,2002-01-05 23:02:53,71,5,1,0,4,0,34,25,1,13,3,0,0,1,4
6099,2002-01-08 23:46:01,71,5,1,0,4,0,34,25,1,13,3,0,0,1,4
6134,2002-01-09 02:04:13,71,5,1,0,4,0,34,25,1,13,3,0,0,1,4
6114,2002-01-09 20:22:51,71,5,1,0,4,0,34,25,1,13,4,0,0,1,4
6203,2002-01-09 20:26:05,75,5,1,0,4,0,36,26,1,13,4,0,0,1,4
6238,2002-01-17 01:51:21,75,5,1,0,4,0,36,26,1,13,4,0,0,1,4
6375,2002-01-23 21:25:22,76,5,1,0,4,0,36,27,1,13,4,0,0,1,4
6343,2002-01-23 22:38:01,76,5,1,0,4,0,37,27,1,13,4,0,0,1,4
6344,2002-01-27 01:53:03,76,5,1,0,4,0,22,27,1,13,4,0,0,1,4
6344,2002-02-14 07:04:01,76,5,1,0,4,0,22,27,1,13,4,0,0,1,4
6404,2002-03-11 20:18:45,76,5,1,0,4,0,22,28,1,13,4,0,0,1,4
6424,2002-03-12 19:10:20,76,5,1,0,4,0,22,28,1,14,4,0,0,1,4
6754,2002-03-20 20:28:28,82,5,1,0,4,0,22,30,1,14,4,0,0,1,4
7219,2002-03-23 17:45:59,82,5,1,0,4,0,22,34,1,14,4,0,0,1,4
7336,2002-04-18 21:23:44,82,5,1,0,4,0,22,34,1,14,4,0,0,1,5
7440,2002-06-05 21:23:24,84,5,1,0,4,0,22,34,1,14,4,0,0,1,5
7541,2002-07-08 18:26:14,85,5,1,0,4,0,22,36,1,14,4,0,0,1,5
7543,2002-07-08 21:25:30,85,5,1,0,3,0,23,36,1,14,4,0,0,1,5
7548,2002-07-10 18:12:33,85,5,1,0,3,0,23,36,1,14,4,0,0,1,6
8032,2002-07-16 21:23:28,88,5,1,0,3,0,23,37,1,16,4,0,0,1,6
8189,2002-07-29 21:05:15,90,5,1,0,3,0,23,37,1,16,4,0,0,1,6
8282,2002-07-31 17:23:55,95,5,1,0,3,0,23,37,1,16,4,0,0,1,6
8292,2002-08-05 20:48:49,95,5,1,0,3,0,23,37,3,16,4,0,0,1,6
8287,2002-08-08 20:00:23,95,5,1,0,3,0,23,37,3,16,4,0,0,1,6
8259,2002-08-20 00:58:55,100,5,1,0,3,0,24,37,2,16,4,0,0,1,6
8261,2002-08-20 21:15:14,100,5,1,0,3,0,24,37,2,16,4,0,0,1,6
8221,2002-08-23 13:42:57,100,5,1,0,3,1,24,37,2,16,4,0,0,1,6
7589,2002-09-04 18:01:16,100,5,1,0,3,1,24,38,2,16,4,0,0,1,6
7639,2002-09-24 20:50:07,100,5,1,0,3,1,24,38,2,16,4,0,0,1,7
7833,2002-09-30 19:48:51,100,6,1,0,3,1,27,39,2,16,4,0,0,1,9
7925,2002-10-02 19:23:12,100,6,1,0,3,1,27,39,2,16,4,0,0,1,7
8454,2002-10-02 20:27:18,107,7,1,0,3,3,31,41,2,16,4,0,0,1,17
8569,2002-10-25 21:31:49,112,7,1,0,3,3,31,44,2,16,4,0,0,1,17
8609,2002-12-16 02:14:15,112,7,1,0,3,3,31,44,4,16,4,0,0,1,17
8658,2003-01-18 18:47:08,112,8,1,0,3,3,34,45,4,17,4,0,0,1,19
8410,2003-02-06 23:25:01,112,8,1,0,3,3,34,45,4,18,4,0,0,1,19
8540,2003-03-10 21:10:11,112,8,1,0,3,3,34,45,4,18,4,0,0,2,19
8625,2003-03-12 22:10:51,112,8,1,0,3,3,34,45,4,18,4,0,0,2,19
8675,2003-03-15 18:36:15,112,8,1,0,3,3,34,45,4,20,4,0,0,2,19
8784,2003-03-15 18:37:51,112,8,1,0,3,3,34,45,4,20,4,0,0,2,19
8814,2003-03-15 18:38:54,112,8,1,0,3,3,34,45,4,20,4,0,0,2,19
9439,2003-03-15 18:41:04,112,8,1,0,3,3,47,46,4,24,4,0,0,2,19
9476,2003-03-27 18:55:30,112,8,1,0,3,3,50,46,4,27,4,0,0,2,19
9958,2003-04-02 19:05:12,112,8,1,0,2,3,53,50,10,27,4,0,2,3,19
10140,2003-04-13 20:46:03,113,8,1,0,2,3,53,53,10,29,4,0,2,3,19
10148,2003-04-14 21:31:04,113,8,1,0,2,3,52,53,10,29,4,0,2,3,19
10708,2003-04-17 11:08:17,114,8,2,0,2,3,0,54,10,31,4,0,2,3,19
10806,2003-04-28 17:51:32,114,8,2,0,2,3,0,56,10,31,4,0,2,3,19
10857,2003-05-22 17:00:55,114,8,2,0,2,3,0,56,10,32,4,0,2,3,19
10895,2003-07-13 15:57:36,114,8,2,0,2,3,0,56,10,33,4,0,2,3,19
10902,2003-07-31 21:59:00,114,8,2,0,2,3,0,56,11,33,4,0,2,3,19
10958,2003-08-02 09:54:07,115,8,2,0,2,3,0,57,11,34,4,0,2,3,19
11295,2003-08-14 18:26:00,115,8,2,0,2,3,0,58,11,34,4,0,2,3,19
11309,2003-08-17 02:50:05,115,8,2,0,2,3,0,58,11,34,4,0,2,3,20
11769,2003-09-25 20:06:42,115,8,2,0,2,3,3,61,11,35,4,0,2,3,20
12045,2003-10-04 12:26:51,115,9,2,7,2,3,4,61,11,35,4,0,2,3,22
12739,2003-10-04 12:30:12,117,9,2,7,2,3,15,62,11,38,4,0,2,3,22
14498,2003-10-04 12:40:06,119,10,2,7,2,3,29,74,11,50,4,0,2,3,22
14498,2003-10-13 20:52:21,117,10,2,7,2,3,29,74,11,50,4,0,2,3,22
14490,2003-10-22 18:28:57,117,10,2,7,2,3,29,75,11,52,4,0,2,3,22
14570,2003-10-23 20:07:02,117,10,2,7,2,3,29,77,11,56,4,0,2,3,22
14515,2003-10-28 22:31:02,117,9,2,7,2,3,29,77,11,53,4,0,2,3,22
14539,2003-10-28 22:31:54,117,9,2,7,2,3,30,78,11,54,4,0,2,3,22
14636,2003-10-28 23:31:38,117,9,2,7,2,3,30,79,11,54,4,0,2,3,22
14646,2003-11-02 23:26:59,117,9,2,7,2,3,30,80,11,54,4,0,2,3,22
14960,2003-11-12 23:20:46,117,9,2,7,2,3,32,81,11,57,4,0,2,3,25
14990,2003-11-12 23:21:18,117,9,2,7,2,3,32,82,11,57,4,0,2,3,25
15043,2003-11-16 22:37:35,117,9,2,8,2,3,32,85,11,57,4,0,2,3,25
15048,2003-11-18 22:32:16,117,9,2,7,2,3,32,85,12,57,4,0,2,3,25
15262,2003-11-19 20:40:26,117,9,2,7,2,3,35,86,13,58,5,0,2,3,26
15428,2003-11-19 21:07:06,117,10,2,7,2,3,38,87,13,58,5,0,2,3,27
15498,2003-11-19 22:17:17,117,10,2,7,2,3,38,87,13,59,5,0,2,3,27
18325,2003-12-02 23:23:10,119,10,2,7,2,3,39,90,16,60,5,0,2,3,27
18345,2003-12-03 23:21:52,119,10,2,7,2,3,39,91,16,60,5,0,2,3,27
18841,2004-01-06 22:15:22,119,18,2,7,2,3,42,94,16,60,5,0,2,3,28
18843,2004-01-06 22:15:57,119,18,2,7,2,3,42,94,16,60,5,0,2,3,28
18856,2004-02-09 20:30:34,118,18,2,7,2,3,42,94,16,60,5,0,2,3,28
18901,2004-02-15 01:02:14,118,21,2,7,2,3,42,95,16,60,5,0,2,3,28
18921,2004-02-15 01:25:34,118,21,2,7,2,3,42,95,16,60,5,0,2,3,28
18985,2004-02-16 02:26:38,119,21,2,7,2,3,42,95,16,63,5,0,2,3,28
19007,2004-02-27 23:41:18,119,21,2,7,2,3,42,95,16,65,5,0,2,3,28
19007,2004-02-28 13:32:55,119,21,2,7,2,3,42,96,16,65,5,0,2,3,28
19597,2004-02-29 05:06:57,119,21,2,7,2,3,42,101,17,65,5,0,2,4,30
19617,2004-02-29 05:52:54,119,21,2,7,2,3,42,102,17,65,5,0,2,4,30
19617,2004-03-01 07:20:40,119,21,2,7,2,3,42,102,17,65,5,0,2,4,30
19665,2004-03-07 19:37:08,120,21,2,7,2,3,42,102,17,66,5,0,2,4,30
19702,2004-03-15 21:44:53,120,21,2,7,2,3,42,102,17,66,5,0,2,4,30
19965,2004-03-23 07:11:00,120,21,2,7,2,3,42,102,17,67,9,0,2,4,30
19940,2004-04-02 01:53:41,121,21,2,7,2,3,42,102,17,67,9,0,2,4,30
20296,2004-04-04 05:03:23,123,21,2,7,2,3,46,104,17,67,9,0,2,4,30
20316,2004-04-04 18:19:24,123,21,2,7,2,3,46,105,17,69,9,0,2,4,30
20738,2004-04-07 22:16:59,123,21,2,8,6,3,65,123,17,74,9,0,2,4,31
20603,2004-04-14 08:30:54,121,21,2,3,6,3,65,125,17,74,9,0,2,4,30
20816,2004-04-17 10:03:06,123,21,2,0,6,3,64,129,17,76,9,0,2,4,30
21018,2004-04-17 10:54:06,123,21,2,0,6,3,66,131,17,76,9,0,2,4,30
21134,2004-04-17 10:57:46,123,21,2,0,6,3,66,132,17,76,9,0,2,4,30
21716,2004-05-01 20:36:11,149,21,2,0,6,5,66,139,17,76,9,0,2,5,30
20894,2004-05-10 06:30:09,123,21,2,0,6,5,66,134,17,76,9,0,2,4,30
20899,2004-06-08 08:26:47,123,21,2,0,6,5,66,134,17,77,9,0,2,4,30
20874,2004-09-18 09:31:11,124,18,2,0,6,5,66,133,17,77,9,0,2,4,30
21027,2004-09-20 21:59:23,125,19,2,0,6,5,67,134,17,81,9,0,2,4,31
21567,2004-11-30 02:38:24,125,19,2,0,6,5,69,139,17,81,9,0,2,4,31
21579,2004-11-30 04:36:46,125,19,2,0,6,5,69,139,17,81,9,0,2,4,31
21594,2004-11-30 04:40:54,125,19,2,0,6,5,69,139,17,81,9,0,2,4,31
21614,2005-01-12 10:33:06,125,19,2,0,6,5,69,139,17,81,9,0,2,4,31
21614,2005-01-12 10:47:03,125,19,2,0,6,5,69,139,17,81,9,0,2,4,31
21688,2005-01-17 09:45:23,125,19,2,0,6,5,73,140,17,81,9,0,2,4,31
21850,2005-01-17 09:56:34,125,19,2,0,6,5,77,142,17,81,9,0,2,4,31
21883,2005-01-17 10:26:58,125,19,2,0,6,5,77,142,18,81,9,0,2,4,31
21876,2005-01-17 10:28:38,125,19,2,0,6,5,77,142,19,81,9,0,2,4,31
21876,2005-01-18 00:11:12,125,19,2,0,6,5,77,142,19,82,9,0,2,4,31
21876,2005-02-10 12:58:31,125,19,2,0,6,5,77,142,19,82,9,0,2,4,31
21866,2005-02-16 04:51:55,125,19,2,0,6,6,77,142,19,82,9,0,2,4,31
21866,2005-02-26 12:58:36,125,19,2,0,6,6,77,150,19,82,9,0,2,4,31
21920,2005-03-06 22:42:30,125,19,2,0,6,6,77,150,19,84,9,0,2,4,31
21950,2005-03-07 10:12:40,125,19,2,0,6,6,77,150,19,84,9,0,2,4,31
21930,2005-04-15 06:42:27,125,19,2,0,6,7,77,150,19,84,9,0,2,4,31
22091,2005-04-15 06:43:30,125,19,7,0,6,7,77,150,19,84,9,0,2,4,32
22093,2005-05-06 06:01:05,125,19,7,0,6,7,77,150,19,84,9,0,2,4,32
21946,2005-05-25 02:03:02,126,19,7,0,6,7,77,150,19,84,9,0,2,4,32
21771,2005-09-04 20:55:28,126,19,7,0,6,8,14,150,19,88,10,0,2,4,32
21776,2005-10-17 08:54:58,126,19,7,0,6,8,14,150,19,88,10,0,2,4,32
21777,2005-10-17 09:09:19,126,21,7,0,6,8,14,150,19,88,10,0,2,4,32
21809,2006-02-18 04:40:46,126,21,7,0,6,8,14,150,19,88,10,0,2,4,32
21740,2006-03-14 01:35:05,126,21,7,0,6,8,14,150,19,87,10,0,2,4,32
21737,2006-03-14 01:49:09,126,21,7,0,6,8,14,150,19,87,10,0,2,4,32
21757,2006-03-14 02:21:42,126,21,7,0,6,8,14,150,19,87,10,0,2,4,31
21814,2006-04-30 10:19:12,127,21,8,0,6,8,15,151,21,88,10,0,2,4,31
21935,2006-09-26 02:05:24,127,22,8,0,6,8,15,152,21,89,10,0,2,4,31
21935,2006-11-06 08:09:25,127,22,8,0,6,8,15,159,21,89,10,0,2,4,31
21898,2006-11-09 10:08:34,127,22,8,0,6,8,15,159,21,89,10,0,2,4,28
21643,2006-11-14 19:36:29,126,22,8,0,6,8,15,159,21,89,10,0,2,4,3
21635,2006-11-17 20:59:09,126,22,8,0,6,8,15,159,21,89,10,0,2,4,3
21653,2006-11-25 21:53:07,127,24,8,0,6,8,15,159,21,89,10,0,2,4,3
21698,2006-11-26 01:54:32,131,24,8,0,6,8,15,160,21,90,10,0,2,4,4
21689,2007-08-21 16:41:16,131,24,9,0,6,8,15,161,21,91,10,0,2,4,5
21756,2008-03-15 14:45:04,132,24,10,0,6,10,15,162,21,92,10,0,2,4,5
21866,2008-12-23 05:44:07,132,24,10,0,6,10,15,162,21,98,10,0,2,4,5
22035,2008-12-23 18:20:34,133,25,10,0,6,10,15,162,21,98,10,0,2,4,5
22186,2008-12-23 20:04:44,133,26,10,0,6,10,15,162,21,98,10,0,2,4,5
22166,2008-12-23 20:18:22,133,26,10,0,6,10,15,162,21,98,10,0,2,4,5
22066,2008-12-23 20:32:22,133,26,10,0,6,10,15,161,21,98,10,0,2,4,5
22096,2008-12-23 20:39:37,133,26,10,0,6,10,15,161,21,98,10,0,2,4,5
22141,2008-12-23 20:45:23,133,26,10,0,6,10,15,162,21,98,10,0,2,4,5
22191,2008-12-23 20:48:09,133,26,10,0,6,10,15,163,21,98,10,0,2,4,5
22266,2008-12-23 21:03:21,133,26,10,0,6,10,15,163,21,98,10,0,2,4,5
22366,2008-12-23 21:14:13,133,26,10,0,6,10,15,163,21,98,10,0,2,4,5
22326,2008-12-23 21:27:42,133,26,10,0,6,10,15,161,21,98,10,0,2,4,5
22381,2008-12-23 21:29:23,133,26,10,0,6,10,15,161,21,98,10,0,2,4,5
22701,2008-12-24 03:57:06,133,26,10,0,6,10,15,163,21,98,10,0,2,4,5
22681,2008-12-24 04:00:54,133,26,10,0,6,10,15,162,21,98,10,0,2,4,5
22691,2008-12-24 04:05:00,133,26,10,0,6,10,15,162,21,98,11,0,2,4,5
22983,2008-12-24 06:10:07,133,26,10,0,6,9,15,163,21,98,11,0,2,4,5
22741,2010-01-27 17:35:09,133,26,10,0,6,9,15,163,21,98,11,0,2,4,5
22438,2010-01-27 17:40:49,133,26,10,0,6,9,15,178,21,98,11,0,2,4,5
22306,2010-01-27 17:44:33,133,26,10,0,6,9,15,171,21,98,11,0,2,4,5
22193,2010-01-27 17:48:28,133,26,10,0,6,9,15,173,21,98,11,0,2,4,5
22136,2010-01-27 18:28:33,133,26,10,0,6,2,14,174,21,99,11,0,2,4,5
22962,2010-08-23 01:11:08,138,22,10,0,6,2,14,173,21,99,11,0,2,4,4
28838,2010-08-23 01:12:12,138,22,10,0,6,2,14,180,21,102,11,0,2,4,4
31542,2010-09-01 18:15:22,138,25,10,0,6,2,14,187,21,105,11,0,2,5,4
31515,2010-09-02 19:09:47,129,24,10,0,3,2,14,182,21,105,11,0,2,5,4
31515,2010-09-02 19:43:25,129,24,10,0,3,2,14,183,21,105,11,0,2,5,4
31515,2010-09-02 19:45:22,129,24,10,0,3,2,14,184,21,105,11,0,2,5,4
31515,2010-09-02 19:50:06,129,24,10,0,3,2,14,185,21,105,11,0,2,5,4
31510,2010-09-02 20:24:31,129,24,10,0,3,2,14,185,21,105,11,0,2,5,4
20,2011-01-25 20:58:15,12,8,1,0,0,2,7,70,2,16,3,0,0,1,1
20,2011-01-25 21:53:27,12,8,1,0,0,2,7,70,2,16,3,0,0,1,1
140,2011-01-25 22:07:47,12,8,1,0,0,2,7,70,2,16,3,0,0,1,1
310,2011-01-25 22:23:36,12,8,1,0,0,2,7,70,2,20,3,0,0,1,1
310,2011-01-26 14:46:03,12,8,1,0,0,2,7,70,2,20,3,0,0,1,1
427,2011-01-26 16:03:07,12,8,1,0,0,2,7,70,3,20,4,0,0,1,1
489,2011-01-26 16:04:18,12,9,2,0,0,2,7,71,3,20,4,0,0,1,2
732,2011-01-26 16:23:32,12,9,2,0,0,2,7,72,8,20,4,0,1,1,2
752,2011-01-27 17:24:53,12,9,2,0,0,2,7,73,8,20,4,0,1,1,2
872,2011-01-27 17:28:18,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1458,2011-01-29 20:37:28,12,9,2,0,0,2,7,75,21,20,4,0,1,1,2
1463,2011-01-29 20:40:51,12,9,2,0,0,2,7,75,21,20,4,0,1,1,2
1463,2011-01-29 20:43:14,12,9,2,0,0,2,7,75,21,20,4,0,1,1,2
1823,2011-01-29 20:44:17,12,9,2,0,0,2,7,75,21,20,4,0,1,1,2
1643,2011-01-29 20:45:11,12,9,2,0,0,2,7,75,21,20,4,0,1,1,2
1152,2011-01-29 21:00:44,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1152,2011-01-29 21:06:14,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1287,2011-01-29 21:29:53,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1292,2011-01-29 21:38:37,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1439,2011-01-30 14:36:27,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1559,2011-01-30 14:47:52,12,9,2,0,0,2,7,74,10,20,4,0,1,1,2
1722,2011-01-30 19:11:49,12,9,2,0,0,2,7,75,11,20,5,0,1,1,2
1733,2011-01-30 19:57:02,12,9,2,0,0,2,7,75,11,20,5,0,1,1,2
1738,2011-01-30 20:14:00,12,9,2,0,0,2,7,75,11,20,5,0,1,1,2
