SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
25998,2005-08-16 18:33:34,25,21,34,49,9,34,4,45,72,69,18,19,25,21,5
25996,2005-08-19 19:53:58,25,21,34,49,9,34,5,51,72,69,18,19,25,21,5
26280,2005-08-23 04:04:57,25,21,34,50,9,35,6,49,72,69,18,19,25,21,5
26138,2005-08-23 04:09:41,25,23,34,50,9,35,6,49,72,69,18,19,25,21,5
26138,2005-08-23 04:17:37,25,23,34,50,9,35,6,49,72,69,18,19,25,21,5
26138,2005-08-23 04:22:29,25,23,34,50,9,35,6,49,72,69,18,19,25,21,5
26133,2005-08-23 06:15:34,25,23,34,50,9,35,6,49,72,69,18,19,25,21,5
26299,2005-08-31 03:29:55,25,21,34,50,9,35,6,49,72,69,18,19,25,21,5
26490,2005-10-30 07:47:41,25,21,34,50,9,35,6,49,72,69,18,19,25,21,5
26068,2005-11-01 02:18:06,25,22,34,50,9,35,6,49,72,69,18,19,25,21,5
24633,2005-11-08 08:49:41,25,22,34,49,9,34,4,49,72,69,18,19,25,21,5
25442,2005-11-08 08:57:20,26,22,34,49,9,34,4,50,72,69,18,19,25,23,5
25105,2005-11-08 09:09:05,26,22,34,49,9,34,4,49,72,69,18,19,25,23,5
25141,2005-12-03 16:32:50,26,22,34,49,9,34,4,49,72,69,18,19,25,24,5
25236,2005-12-05 18:55:22,26,22,34,49,9,34,4,49,72,69,18,19,25,24,5
25266,2005-12-05 19:36:35,26,22,34,49,9,34,4,49,72,69,18,19,25,24,5
28165,2005-12-08 20:55:55,64,22,42,57,9,35,4,49,73,70,18,19,26,39,5
28167,2006-01-01 20:33:16,64,22,42,57,9,35,4,49,73,70,18,19,26,39,5
28171,2006-01-13 13:55:13,64,22,42,57,9,35,4,49,73,70,18,19,26,39,5
25177,2006-02-03 12:54:52,64,26,42,59,9,37,6,54,93,71,19,25,26,40,5
25183,2006-02-05 13:28:26,60,15,40,57,6,36,6,44,72,71,17,16,26,39,5
25193,2006-02-06 08:50:11,60,15,40,57,6,36,6,44,70,71,17,16,26,40,5
25230,2006-02-06 10:59:19,60,15,40,57,6,36,7,44,71,71,17,16,26,40,5
25260,2006-02-06 12:57:30,60,15,40,57,6,36,7,44,71,71,17,16,26,40,5
25270,2006-02-07 10:03:16,60,15,40,57,6,36,7,44,71,71,17,16,26,40,5
25270,2006-02-07 10:25:23,60,15,40,57,6,36,7,44,71,71,17,16,26,40,5
26267,2006-02-07 14:45:57,60,20,40,58,6,36,7,44,78,71,17,16,26,40,5
26315,2006-02-08 09:10:13,60,20,40,58,6,36,7,45,78,71,17,16,26,40,5
26317,2006-02-13 15:46:16,60,20,40,58,6,36,7,45,78,71,17,16,26,40,5
