SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
55,2005-12-21 19:17:17,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0
332,2005-12-21 19:50:25,10,2,0,0,0,0,0,0,1,0,0,2,0,0,0
441,2006-05-07 20:18:21,18,8,0,2,0,0,0,1,2,0,0,2,0,2,0
576,2006-05-10 15:13:32,18,2,0,2,0,0,0,1,2,0,0,2,0,2,0
946,2006-05-14 20:57:03,18,2,0,2,0,0,0,1,2,0,0,2,0,4,0
781,2006-05-14 21:19:51,18,2,0,2,0,0,0,1,2,0,0,2,0,3,0
966,2006-05-14 21:26:00,18,2,0,2,0,0,0,1,2,0,0,2,0,3,0
1555,2006-05-25 13:30:49,18,2,0,2,0,0,0,2,3,18,0,2,0,4,0
1685,2006-05-25 15:41:10,18,2,0,2,0,0,0,2,3,21,0,2,0,4,0
1993,2006-05-28 17:30:41,18,2,0,2,0,0,0,3,3,21,0,2,0,5,0
2242,2006-05-28 17:31:16,18,2,0,2,0,0,0,4,3,21,0,2,0,5,0
2352,2006-05-28 19:46:39,18,2,0,2,0,0,0,4,3,21,0,2,0,6,0
3394,2006-05-28 19:48:24,18,2,0,2,0,0,0,5,3,71,0,5,0,6,0
3451,2006-05-28 19:58:04,18,2,0,2,0,0,0,5,3,71,0,5,0,6,0
3505,2006-05-28 20:09:14,18,2,0,2,0,0,0,5,3,71,0,5,0,6,0
3501,2006-05-28 20:22:48,18,2,0,2,0,0,0,5,3,71,0,5,0,6,0
3638,2006-05-28 21:03:18,18,2,0,2,0,0,0,4,3,73,0,5,0,6,0
4438,2006-06-17 21:51:43,18,2,0,2,0,0,0,9,3,98,0,5,0,5,0
5214,2006-06-25 17:22:45,18,2,0,2,0,0,0,10,3,113,0,5,0,7,0
5730,2006-06-25 22:34:09,18,2,0,2,0,0,0,11,3,127,0,7,0,7,0
5822,2006-06-28 17:19:31,18,2,0,2,0,0,0,11,3,129,0,7,0,7,0
6147,2006-06-29 17:48:45,18,5,0,2,0,0,1,11,3,129,0,7,0,7,0
6140,2006-06-29 18:06:11,20,5,0,2,0,0,1,11,3,129,0,7,0,7,0
