SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
24708,2001-09-03 01:22:31,5,0,1,0,3,1,9,1,0,2,0,0,2,4,1
24765,2001-09-08 20:59:58,5,0,1,0,3,1,9,1,0,4,0,0,2,4,1
25397,2001-09-08 21:01:00,5,0,1,0,3,2,10,1,0,4,0,0,2,4,1
25654,2001-09-09 00:52:04,5,0,1,0,3,2,10,1,1,4,0,0,2,4,3
23071,2001-09-21 23:22:45,6,0,1,74,4,2,12,2,1,3,0,0,5,19,4
23166,2001-09-26 01:21:54,9,0,1,74,1,2,11,2,2,3,0,0,5,22,3
23177,2001-09-26 23:37:39,9,0,1,74,1,2,11,2,2,4,0,0,5,22,3
24880,2002-04-10 03:40:21,9,0,1,74,1,2,15,4,12,37,0,0,5,35,3
24904,2002-04-11 02:57:41,9,0,1,74,1,2,15,4,12,37,0,0,5,35,3
24929,2002-04-11 03:00:11,9,0,1,74,1,2,15,4,12,39,0,0,5,35,3
24874,2002-04-12 02:28:06,9,0,1,74,1,2,15,4,12,39,0,0,5,35,3
25872,2002-04-21 21:52:34,17,0,1,74,1,2,18,6,19,54,0,0,5,40,3
25870,2002-04-24 03:31:59,12,0,1,74,1,2,19,4,17,38,0,3,5,38,3
25810,2002-04-24 04:06:46,12,0,1,74,1,2,29,4,17,38,0,3,5,38,3
25827,2002-04-26 00:57:11,12,0,1,74,1,2,17,4,17,38,0,3,5,38,3
25930,2002-04-26 01:00:38,12,0,2,74,1,2,17,6,22,41,0,3,5,38,3
24756,2002-04-26 03:28:37,13,0,1,74,1,2,18,6,17,41,0,3,5,38,3
24760,2002-04-28 04:31:13,13,0,1,74,1,2,18,6,17,2,0,3,5,38,3
24760,2002-04-28 04:35:48,13,0,1,74,1,2,18,6,17,2,0,3,5,38,3
24836,2002-04-28 04:36:27,13,0,1,74,1,2,19,6,19,2,0,3,5,38,3
25440,2002-04-28 04:37:01,13,0,1,74,0,2,19,6,19,2,0,3,5,38,3
25513,2002-05-08 00:39:29,13,0,1,74,0,2,19,6,19,4,0,3,5,38,3
24867,2002-05-08 00:40:00,14,0,1,74,0,2,21,6,23,4,0,3,6,39,3
24873,2002-05-08 23:03:28,14,0,1,74,0,2,18,6,21,4,0,3,6,39,3
25102,2002-05-08 23:05:05,14,0,1,74,0,2,18,6,21,4,0,3,6,42,3
25111,2002-05-14 23:08:26,14,0,1,74,0,2,18,6,21,4,0,3,6,42,3
25233,2002-05-29 00:40:58,14,0,5,74,0,2,18,6,21,4,0,3,6,42,3
25373,2002-05-29 00:41:53,14,0,5,74,0,2,18,6,21,4,0,3,6,42,3
25506,2002-05-29 00:42:07,14,0,5,74,0,2,18,6,21,4,0,3,6,42,3
25511,2002-05-30 01:57:35,14,0,5,74,0,2,18,6,21,4,0,3,6,42,3
