SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
12706,2002-04-03 03:11:40,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
12516,2002-04-03 04:36:04,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
12625,2002-04-03 04:36:57,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
15112,2002-04-03 04:37:29,2,0,0,0,0,0,0,94,20,0,0,0,5,2,0
15607,2002-04-03 04:38:06,4,29,0,0,0,0,0,96,20,0,0,0,5,2,0
17213,2002-04-03 04:38:40,5,29,0,10,0,0,0,102,33,0,0,2,6,2,1
18411,2002-04-03 04:39:14,6,29,2,14,0,0,0,109,33,0,0,2,6,2,1
19320,2002-04-03 04:39:47,6,29,2,14,0,0,0,113,35,0,0,2,6,3,1
20102,2002-04-03 04:40:24,7,29,2,14,0,0,0,119,35,0,0,2,6,3,1
23091,2002-04-03 04:41:43,9,29,2,18,0,0,0,125,40,0,0,2,12,3,1
24877,2002-04-03 04:42:22,11,37,2,26,0,0,0,132,42,0,0,2,14,3,2
24639,2002-04-03 04:42:49,11,427,2,26,0,26,0,146,42,0,0,2,14,3,3
13260,2002-04-12 04:42:48,46,576,2,26,0,26,72,37,42,0,0,13,14,3,3
13202,2002-04-13 04:55:00,46,576,2,0,0,26,72,37,42,0,0,13,14,3,3
14759,2002-04-29 03:55:32,107,576,6,0,49,26,74,63,42,0,0,13,14,346,199
14611,2002-04-30 13:59:42,107,576,6,0,49,26,74,63,42,0,0,13,14,346,199
14599,2002-05-03 14:52:30,95,576,6,0,49,26,72,63,42,0,0,13,14,346,199
14599,2002-08-07 18:26:19,95,576,2,0,49,26,72,63,42,0,0,13,14,346,199
14929,2002-08-15 17:47:44,95,576,2,0,49,26,72,67,42,0,0,13,14,346,297
14945,2002-09-17 21:48:07,95,576,2,0,49,26,72,67,43,0,0,13,14,346,297
14913,2002-09-17 22:02:32,95,576,2,0,49,26,72,67,44,0,0,13,14,346,297
14825,2002-09-19 16:23:55,95,576,2,0,49,26,72,67,44,0,0,13,14,346,297
14785,2002-09-19 18:09:25,95,576,2,0,49,26,72,67,44,0,0,13,14,346,297
14789,2002-09-20 14:36:42,95,576,2,0,49,26,72,67,44,0,0,13,14,346,297
13822,2003-01-26 00:21:46,95,576,2,0,49,26,72,78,44,0,0,13,14,346,297
13752,2003-01-26 03:56:14,94,576,2,0,49,26,72,55,34,0,0,13,12,345,297
12995,2003-01-28 18:53:04,93,576,2,0,48,26,72,30,34,0,0,13,12,482,291
13305,2003-03-02 18:15:24,94,576,2,0,48,26,76,34,34,0,0,13,12,482,292
14144,2003-03-02 18:18:24,94,576,2,0,48,26,76,39,34,0,0,13,12,489,298
14786,2003-03-02 18:27:41,94,576,2,0,48,26,77,45,34,0,0,13,12,489,298
14804,2003-03-03 15:25:56,94,576,2,0,48,26,77,45,34,0,0,13,12,489,298
14794,2003-03-15 21:45:06,94,576,2,0,48,26,76,45,34,0,0,13,12,489,298
18288,2003-04-14 12:53:34,94,578,31,0,48,26,80,45,34,0,0,15,15,489,303
18248,2003-04-19 19:56:41,94,578,31,0,48,26,80,45,34,0,0,26,15,489,303
18149,2003-05-18 04:03:17,94,578,28,0,48,26,80,43,34,0,0,26,15,489,303
18154,2003-06-01 11:35:08,94,578,26,0,48,26,76,43,34,0,0,26,15,489,290
18375,2003-07-29 02:35:35,94,578,26,0,48,26,79,43,34,0,0,26,15,490,290
18380,2003-07-29 02:43:40,94,578,26,0,48,26,79,43,34,0,0,26,15,490,290
18382,2003-08-05 18:07:03,94,578,26,0,48,26,79,43,34,0,0,26,15,490,290
18392,2003-08-05 18:10:38,94,578,26,0,48,26,83,43,34,0,0,26,15,490,290
18355,2003-08-05 18:56:42,94,578,26,0,48,26,83,43,34,0,0,26,15,490,290
18564,2003-08-10 09:23:32,94,578,32,0,48,26,89,43,34,0,0,26,15,490,291
18572,2003-08-26 05:43:56,94,578,32,0,48,26,89,43,34,0,0,26,15,490,291
18898,2003-09-04 20:32:43,94,578,32,0,48,26,89,43,34,0,0,26,15,490,294
18766,2003-12-29 19:42:44,94,578,32,0,48,26,83,43,34,0,0,26,15,490,289
18883,2004-01-01 20:49:48,94,578,32,0,48,26,85,43,34,0,0,26,15,490,289
18883,2004-01-02 03:39:07,94,578,32,0,48,26,85,44,34,0,0,26,15,490,289
19035,2004-01-02 22:16:41,94,578,32,0,48,26,86,44,34,0,0,26,15,490,289
19040,2004-01-03 13:49:11,94,578,32,0,48,26,86,44,35,0,0,26,15,490,289
19083,2004-01-05 22:11:12,94,578,32,0,48,26,86,44,35,0,0,26,15,490,289
19087,2004-01-06 18:52:56,94,578,32,0,48,26,86,44,35,0,0,26,15,490,289
19089,2004-01-06 19:02:02,94,578,32,0,48,26,86,44,35,0,0,26,15,490,289
18892,2004-01-06 19:53:58,94,578,32,0,48,26,88,44,35,0,0,26,15,490,289
18922,2004-01-09 06:19:23,94,578,32,0,48,26,87,44,29,0,0,26,14,490,289
19093,2004-01-09 09:07:03,95,578,32,0,48,26,87,46,35,0,0,26,14,490,289
19258,2004-01-10 15:36:41,140,578,32,0,48,58,95,46,35,0,0,26,14,490,289
19178,2004-01-11 03:38:48,139,578,32,0,48,58,99,45,29,0,0,26,14,489,289
19168,2004-01-17 17:20:26,139,578,32,0,48,58,68,44,74,0,0,26,14,489,289
19177,2004-01-17 21:04:21,139,578,32,0,48,58,68,42,74,0,0,26,14,489,289
19273,2004-02-08 11:26:59,139,578,36,0,48,58,68,42,74,0,0,27,14,489,289
19418,2004-02-17 05:14:02,147,578,36,0,48,58,68,42,74,0,0,27,14,489,289
19391,2004-02-29 10:27:29,147,578,36,0,48,58,68,51,74,0,0,27,14,489,289
19434,2004-03-10 03:37:16,147,578,36,0,48,58,68,51,74,0,0,27,14,489,289
19490,2004-03-26 12:32:21,147,578,36,0,48,58,68,51,74,0,0,27,14,489,289
19696,2004-03-26 12:54:57,147,578,36,0,48,58,68,51,74,0,0,27,14,491,289
19721,2004-04-06 04:40:57,147,578,36,0,48,58,68,52,74,0,0,27,14,491,289
19738,2004-04-10 21:12:14,147,578,36,0,48,58,68,51,74,0,0,27,14,491,289
19845,2004-04-16 01:52:24,147,578,36,0,48,58,68,51,74,0,0,27,14,491,289
19815,2004-05-04 22:44:05,147,578,36,0,48,58,68,51,74,0,0,27,14,491,289
19817,2004-05-28 23:00:28,147,578,36,0,48,58,68,51,74,0,0,27,14,491,289
19821,2004-06-22 02:30:33,147,578,36,0,48,58,68,51,74,0,0,27,14,491,289
19821,2004-06-29 04:54:32,147,578,36,0,48,58,68,52,74,0,0,27,14,491,289
19813,2004-07-29 11:38:36,147,578,36,0,48,58,68,52,74,0,0,27,14,491,289
19813,2004-08-08 19:50:48,147,578,36,0,48,58,68,52,74,0,0,27,14,491,289
20265,2004-09-02 15:44:26,147,578,36,0,48,58,68,54,74,4,0,27,14,491,289
20275,2004-09-08 17:14:46,147,578,36,0,48,58,68,54,74,4,0,27,14,491,289
20277,2004-09-15 02:24:04,147,578,36,0,48,58,68,54,74,4,0,27,14,491,289
20902,2004-09-23 12:12:00,147,578,36,0,48,58,68,55,74,77,0,27,14,491,289
22013,2004-09-23 12:14:47,147,595,36,0,48,58,68,59,74,77,0,27,14,491,317
21148,2004-09-23 13:42:06,147,595,36,0,48,58,68,52,74,77,0,27,14,491,317
21146,2004-09-24 05:03:01,147,595,36,0,48,58,68,53,74,77,0,27,14,491,317
21652,2004-09-27 11:21:21,147,598,36,3,54,58,68,53,75,77,0,27,14,491,317
22091,2004-09-27 11:22:31,147,598,36,3,54,58,68,54,75,77,0,27,14,493,317
21961,2004-10-05 17:40:24,147,598,36,3,54,58,68,54,75,77,0,27,14,493,324
21991,2004-11-23 12:52:20,147,598,36,3,54,58,68,55,75,77,0,27,14,493,324
22004,2004-11-26 09:41:32,147,598,36,3,54,58,68,55,75,77,0,27,14,493,324
22065,2004-12-03 14:47:46,147,598,36,3,54,58,68,55,75,77,0,27,14,493,324
22067,2004-12-10 16:01:30,147,598,36,3,54,58,68,55,75,77,0,27,14,493,324
22066,2004-12-13 11:32:27,147,598,36,3,54,58,68,55,75,77,0,27,14,493,324
22485,2005-01-02 03:17:50,159,598,36,3,54,58,70,58,75,77,0,29,14,493,328
22533,2005-01-12 03:51:32,159,598,36,3,54,58,70,51,75,77,0,29,15,493,327
22559,2005-01-13 12:45:30,159,598,36,3,54,58,70,51,75,77,0,27,15,493,327
22559,2005-02-05 02:04:42,159,598,36,3,54,58,70,52,75,77,0,27,15,493,327
22736,2005-02-05 12:56:14,160,598,42,3,54,58,81,52,74,77,0,27,15,493,333
22797,2005-02-26 13:13:04,160,598,42,3,54,58,81,57,74,77,0,27,15,493,333
23065,2005-03-09 12:31:01,160,598,42,3,54,58,81,57,74,77,0,39,15,493,333
23064,2005-04-08 18:42:20,160,598,42,3,54,58,80,58,74,77,0,39,15,493,333
23094,2005-04-15 14:00:13,160,598,42,3,54,58,80,58,74,77,0,39,15,493,333
23084,2005-04-15 16:46:29,160,598,42,4,54,58,80,58,74,77,0,39,15,493,333
23221,2005-04-15 16:50:48,160,598,42,4,54,58,80,59,74,77,0,39,15,493,429
23341,2005-04-17 18:41:12,160,598,42,3,54,58,80,59,74,77,0,39,15,493,429
23339,2005-04-22 11:22:25,160,598,42,3,54,58,80,60,74,77,0,39,15,493,429
23339,2005-05-02 20:09:55,160,598,42,3,54,58,79,134,74,77,0,39,15,493,429
23359,2005-05-02 21:00:40,160,598,42,3,54,58,79,134,74,77,0,39,15,493,429
23550,2005-06-06 23:15:51,160,598,42,3,54,58,79,135,74,77,0,39,15,493,433
23550,2005-06-15 04:17:03,160,598,42,3,54,58,79,137,74,77,0,39,15,493,433
23550,2005-07-18 10:18:09,160,598,42,3,54,58,79,137,74,77,0,39,15,493,433
23550,2005-10-19 01:23:33,160,598,42,3,54,58,79,138,74,77,0,39,15,493,433
23550,2005-12-23 21:22:50,160,598,42,3,54,58,79,138,74,77,0,39,15,493,433
23569,2006-01-04 04:26:40,160,598,42,3,54,58,79,139,74,77,0,39,15,493,433
23569,2006-01-20 01:22:14,160,598,42,3,54,58,79,139,74,77,0,39,15,493,433
23569,2006-01-28 14:14:29,160,598,42,3,54,58,79,140,74,77,0,39,15,493,433
23569,2006-01-28 17:51:49,160,598,42,3,54,58,79,141,74,77,0,39,15,493,433
34898,2006-01-28 18:00:32,172,630,46,6,60,59,80,236,98,81,0,42,28,504,433
23569,2006-02-14 02:48:43,160,598,42,3,54,58,79,60,74,77,0,39,15,493,433
23764,2006-04-17 15:25:21,160,598,42,3,54,58,79,60,74,77,0,39,15,494,433
22010,2006-08-25 21:03:10,159,598,42,3,53,58,79,42,74,77,0,39,15,484,427
22086,2006-08-25 21:05:56,159,604,42,3,53,58,79,42,74,77,0,39,15,484,427
22074,2006-08-25 21:51:30,159,604,42,3,53,58,79,42,74,77,0,39,15,484,427
22153,2006-08-26 09:17:06,159,604,42,3,53,58,75,43,74,77,0,39,15,484,427
22538,2006-08-26 09:24:11,159,604,42,38,53,58,75,44,74,77,0,39,15,484,427
22538,2006-08-26 09:36:36,159,604,42,38,53,58,75,44,74,77,0,39,15,484,427
22535,2006-08-26 11:56:49,159,604,42,38,53,58,75,44,74,77,0,39,15,484,427
22468,2006-08-26 12:09:50,159,808,43,255,53,58,75,45,110,77,0,39,15,484,427
22470,2006-08-26 12:24:34,159,808,43,255,53,58,75,45,110,77,0,39,15,484,427
22498,2006-08-26 12:35:44,159,808,43,255,53,58,75,45,110,77,0,39,15,484,427
22478,2006-08-27 10:06:55,159,808,43,255,53,58,74,45,110,77,0,39,15,484,425
22597,2006-08-27 15:22:03,159,808,43,395,53,58,74,45,110,77,0,39,15,484,425
23038,2006-08-27 16:44:59,159,808,43,395,53,74,74,45,110,77,0,39,15,484,425
23136,2006-08-28 17:47:02,159,808,43,395,53,74,74,47,110,77,0,39,15,484,425
23085,2006-08-29 20:47:29,159,808,43,395,53,74,74,47,110,77,0,39,15,484,425
23045,2006-08-29 20:56:17,159,804,42,394,53,74,74,46,110,77,0,39,15,484,425
23045,2006-08-30 08:05:49,159,804,42,394,53,74,74,46,110,77,0,39,15,484,425
22934,2006-08-30 11:04:26,159,804,42,394,53,74,74,46,110,77,0,39,15,484,425
23169,2006-08-30 19:53:54,159,805,42,394,53,74,74,46,145,77,35,39,15,519,425
23019,2006-09-02 13:44:52,159,803,42,394,53,74,74,48,145,77,35,39,15,554,425
22924,2006-09-02 16:26:26,159,802,42,394,53,74,74,48,145,77,35,39,15,554,425
22517,2006-11-02 21:02:43,159,802,42,394,53,74,79,48,145,77,35,39,15,554,425
22520,2006-11-11 16:27:37,158,794,42,383,52,71,79,28,143,77,34,39,15,542,417
22537,2006-11-11 17:46:12,158,828,42,383,52,71,79,28,143,77,34,39,15,542,417
22537,2006-11-11 18:00:21,158,828,42,383,52,71,79,28,143,77,34,39,15,542,417
22537,2006-11-25 12:57:17,158,828,42,383,52,71,79,28,143,77,34,39,15,542,417
23720,2006-11-29 05:46:24,158,828,42,383,52,71,79,869,143,77,34,39,15,542,417
23720,2006-11-29 17:57:24,158,815,42,372,52,68,79,867,141,77,33,39,15,540,417
22539,2006-11-30 16:45:28,158,815,42,372,52,68,79,867,141,77,33,39,15,540,417
22437,2006-12-18 23:13:08,156,807,42,372,51,68,78,849,141,77,33,36,15,530,409
22437,2006-12-20 09:59:58,154,799,42,372,50,68,77,831,141,77,33,33,15,520,401
22439,2006-12-20 11:03:27,154,799,42,372,50,68,77,831,141,77,33,33,15,520,401
22399,2006-12-21 16:28:51,154,799,42,372,50,68,77,883,141,77,33,33,15,520,401
22399,2007-01-03 11:23:44,154,799,42,372,50,68,77,883,141,77,33,33,15,520,401
22404,2007-01-27 20:21:52,151,797,42,372,49,68,76,865,141,77,33,30,15,510,393
23720,2008-01-07 03:15:46,150,790,42,361,49,65,75,863,139,77,32,30,15,508,393
22404,2008-01-07 03:17:30,150,790,42,361,49,65,75,863,139,77,32,30,15,508,393
22409,2008-02-17 23:07:00,143,779,42,350,47,62,72,825,137,77,31,30,15,486,377
