SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
32880,2011-05-11 04:54:36,298,7,9,408,0,7,0,18,32,41,2,4,91,50,6
32870,2011-05-11 16:37:53,298,15,16,408,0,20,4,18,33,71,2,4,91,52,14
32746,2011-05-12 19:25:49,298,15,16,408,0,20,4,19,33,71,2,4,91,52,14
32766,2011-05-14 00:06:04,298,15,16,408,0,20,4,19,33,71,2,4,91,52,14
32786,2011-05-14 10:03:21,298,15,16,408,0,20,4,19,33,71,2,4,91,52,14
32732,2011-05-14 12:13:34,298,15,16,408,0,20,4,19,33,71,2,4,91,52,14
32276,2011-05-14 13:18:29,303,15,18,408,0,20,4,38,33,78,2,6,91,57,14
32276,2011-05-14 15:38:11,298,15,16,0,0,20,4,38,33,76,2,5,91,50,14
33880,2011-05-17 09:22:09,299,15,16,0,0,20,65,68,33,77,2,5,91,50,14
33844,2011-05-17 10:47:47,150,15,16,0,0,20,65,66,33,77,2,5,91,50,14
33844,2011-05-17 19:27:20,150,15,16,0,0,20,65,66,33,77,2,5,91,50,14
33862,2011-05-18 21:25:18,150,15,16,0,0,20,65,66,33,77,2,5,91,50,14
33882,2011-05-22 12:23:34,150,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34042,2011-05-22 12:37:42,150,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34042,2011-05-22 12:48:02,151,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34052,2011-05-22 13:08:38,152,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34052,2011-05-22 13:41:54,152,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34052,2011-05-22 15:50:20,153,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34052,2011-05-22 15:50:48,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34062,2011-05-22 16:55:40,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34062,2011-05-22 17:06:00,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34077,2011-05-22 18:14:35,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34050,2011-05-23 07:28:18,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34050,2011-05-23 07:48:54,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34043,2011-05-23 19:54:33,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34011,2011-05-23 19:55:57,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
34006,2011-09-09 17:21:34,154,15,16,0,0,20,65,66,33,77,2,5,91,50,14
