SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2201,2001-10-01 07:27:57,0,0,5,0,0,0,53,5,0,0,0,0,0,0,1
7167,2001-10-01 07:34:43,28,88,21,0,2,1,98,7,1,7,0,3,0,3,20
7363,2001-10-01 08:25:05,28,88,21,0,2,1,98,7,1,7,0,3,0,3,20
8179,2001-10-01 08:28:25,29,88,32,0,2,1,99,8,1,7,0,4,0,3,26
28873,2001-10-01 08:39:01,133,119,195,0,26,19,366,28,19,19,5,26,30,28,48
28873,2001-10-01 11:30:50,133,119,195,0,26,19,366,28,19,19,5,26,30,28,48
29214,2001-10-02 10:39:49,133,119,197,0,26,19,374,29,19,19,5,26,30,28,48
29247,2001-10-04 07:47:35,133,119,197,0,26,19,374,29,19,19,5,26,30,28,48
29581,2001-10-04 07:48:47,133,119,200,0,28,19,376,29,19,19,5,26,30,28,48
29660,2001-10-04 09:21:45,133,119,203,0,28,19,376,30,19,19,5,30,30,28,49
29783,2001-10-04 19:22:55,133,120,204,0,29,19,376,30,19,19,5,31,30,29,49
30027,2001-10-04 19:26:35,133,120,204,0,29,19,380,31,19,20,5,30,30,29,50
30269,2001-10-05 13:06:11,133,120,216,0,29,19,386,32,19,21,5,30,30,29,50
30303,2001-10-06 10:55:57,133,120,216,0,29,19,386,32,20,21,5,30,30,29,50
31365,2001-10-08 16:47:18,140,120,229,0,29,19,412,35,20,22,5,30,30,29,52
31367,2001-10-08 17:39:57,140,120,228,0,29,19,413,35,19,22,5,30,30,29,52
32346,2001-10-08 17:41:19,140,120,227,0,29,19,418,36,19,23,5,30,30,29,53
31826,2001-10-08 18:26:44,140,120,227,0,29,19,418,36,19,23,5,30,30,29,53
32074,2001-10-09 17:45:21,140,123,230,0,29,19,418,36,19,23,5,30,33,29,53
32134,2001-10-10 10:46:16,140,123,228,0,29,19,423,37,19,23,5,30,33,29,53
32590,2001-10-11 14:36:40,140,123,231,0,29,19,430,38,19,23,5,30,33,29,53
32727,2001-10-14 12:34:36,141,123,231,0,29,19,430,38,19,23,5,30,33,29,53
33491,2001-10-22 07:36:35,141,123,233,0,29,19,441,40,19,23,5,30,33,29,54
34149,2001-10-22 07:43:03,146,123,243,0,29,19,457,41,19,24,5,30,33,30,54
34108,2001-10-22 07:44:10,85,121,243,0,29,19,456,41,19,24,5,30,33,30,53
34109,2001-10-22 11:41:24,85,121,243,0,29,19,456,41,19,24,5,30,33,30,53
34322,2001-10-22 18:42:54,87,121,247,0,30,19,460,42,19,25,5,31,33,31,53
34243,2001-10-23 15:11:59,87,121,248,0,31,19,460,43,19,25,5,31,33,31,53
35766,2001-10-29 09:49:51,90,121,255,0,31,19,465,45,19,25,5,31,33,31,53
35767,2001-10-30 15:02:03,88,121,250,0,30,19,457,45,19,25,5,31,33,31,53
35769,2001-10-31 07:33:37,88,121,250,0,30,19,457,45,19,25,5,31,33,31,53
36054,2001-10-31 07:37:26,88,121,250,0,30,19,457,45,19,26,5,31,33,31,53
35020,2001-10-31 07:58:01,92,121,250,0,30,19,457,45,19,26,5,31,33,31,54
35021,2001-11-26 14:19:06,91,121,250,0,30,19,453,42,19,26,5,31,33,31,54
35624,2001-11-26 14:37:17,91,121,250,0,30,19,453,42,19,26,5,31,33,31,54
35765,2001-11-26 14:40:37,93,121,251,0,30,19,456,42,19,28,5,31,33,31,54
36476,2001-11-26 15:53:10,93,121,253,0,30,19,463,43,19,28,5,31,33,31,54
36596,2001-11-26 18:49:25,93,121,253,0,30,19,463,43,19,28,5,31,33,32,54
36651,2001-11-26 19:29:32,93,121,253,0,30,19,463,43,19,28,5,31,33,32,54
36818,2001-11-27 16:02:52,95,121,256,0,32,19,490,43,19,30,5,31,33,32,54
37721,2001-11-27 18:22:37,96,121,257,0,33,19,499,46,19,30,5,31,33,32,56
37673,2001-11-27 19:38:19,96,121,257,0,33,19,499,46,19,30,5,31,30,34,56
38654,2001-12-03 10:17:29,126,122,257,0,33,19,526,46,19,30,6,33,30,33,56
39201,2001-12-10 07:13:07,128,123,262,0,33,19,529,46,19,30,6,34,30,35,57
39255,2001-12-11 16:10:57,128,123,272,0,33,19,528,46,19,30,6,34,30,35,57
38550,2001-12-11 17:57:06,128,123,272,0,33,19,528,46,19,30,6,34,30,35,57
38552,2001-12-12 14:04:42,101,122,272,0,33,19,513,46,19,30,5,32,30,35,57
38718,2001-12-18 11:20:16,101,123,278,0,35,19,513,46,19,31,5,32,30,35,58
38725,2001-12-18 11:20:55,101,123,278,0,35,19,513,46,19,31,5,32,30,35,58
38766,2001-12-19 12:56:39,101,123,278,0,35,19,513,46,19,31,5,32,30,35,58
40284,2002-01-07 13:08:23,105,125,316,0,35,19,525,48,19,41,5,34,46,35,64
40328,2002-01-07 13:09:29,105,125,316,0,35,19,525,48,19,41,5,34,46,35,64
44051,2002-01-07 13:16:18,118,127,371,0,35,19,546,56,24,41,5,34,46,36,72
44402,2002-01-07 20:02:22,113,129,386,0,35,19,551,58,26,41,5,34,46,36,71
44522,2002-01-08 10:23:24,113,129,388,0,35,19,555,57,25,41,5,34,46,36,71
44563,2002-01-08 16:19:27,113,129,393,0,35,19,555,57,26,41,5,34,46,36,71
44512,2002-01-14 10:13:27,113,129,394,0,35,19,554,57,26,41,5,34,46,36,71
45323,2002-01-16 13:16:17,113,128,395,0,36,19,557,57,26,39,5,36,46,38,71
45835,2002-01-16 13:17:14,118,128,400,0,36,19,605,58,26,39,5,36,46,38,71
45774,2002-01-17 12:46:44,116,128,395,0,37,19,605,57,26,39,5,36,46,38,71
45899,2002-01-17 12:51:47,111,128,395,0,37,19,603,57,26,39,5,36,46,38,71
45817,2002-01-17 16:55:16,111,128,395,0,37,19,603,57,26,39,5,36,46,38,71
45748,2002-01-18 09:51:13,111,128,397,0,37,19,603,57,26,39,5,36,46,38,70
45471,2002-01-18 15:49:10,111,128,388,0,38,19,603,57,26,39,5,36,46,38,71
45957,2002-01-21 17:26:20,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
46005,2002-01-21 22:33:09,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
46040,2002-01-21 22:34:05,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
46060,2002-01-22 13:42:38,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
46062,2002-01-29 08:32:36,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
46082,2002-01-29 08:37:40,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
46102,2002-01-29 18:52:46,110,129,395,0,38,19,610,57,26,40,5,34,46,41,71
45960,2002-01-30 13:51:04,110,129,395,0,38,19,610,58,26,40,5,34,46,41,71
45972,2002-01-30 13:58:39,110,129,395,0,38,19,547,58,26,40,5,34,46,41,71
46191,2002-02-12 15:53:26,110,129,399,0,38,19,553,58,26,41,5,34,46,41,71
46209,2002-02-13 13:37:23,110,129,399,0,38,19,553,58,26,41,5,34,46,41,71
46227,2002-02-15 22:25:43,110,129,399,0,38,19,553,58,26,41,5,34,46,41,71
46243,2002-02-15 22:26:23,110,129,399,0,38,19,553,58,26,41,5,34,46,41,71
46209,2002-02-18 08:06:24,110,129,399,0,38,19,553,58,26,41,5,34,46,41,71
46530,2002-02-19 10:42:11,111,129,400,0,39,19,563,58,26,41,5,34,46,41,71
47529,2002-02-19 12:20:06,117,130,400,0,39,19,563,60,29,44,5,34,62,41,75
47544,2002-02-19 14:06:41,117,130,400,0,39,19,563,60,29,44,5,34,62,41,75
47545,2002-02-19 14:42:59,117,130,400,0,39,19,562,60,29,44,5,34,62,41,75
47577,2002-02-19 23:08:01,117,130,400,0,39,19,562,60,29,45,5,34,62,41,75
47597,2002-02-21 12:21:55,117,130,400,0,39,19,562,60,29,45,5,34,62,41,75
47576,2002-02-25 14:24:38,117,130,400,0,38,19,562,60,29,45,5,34,62,41,75
47581,2002-02-25 16:21:30,117,130,400,0,38,19,562,60,29,44,5,34,62,41,75
48046,2002-02-25 16:22:41,117,130,406,0,38,19,573,61,29,44,5,34,62,41,77
48054,2002-02-25 20:13:23,117,130,406,0,38,19,573,61,29,44,5,34,62,41,77
48061,2002-02-26 09:53:21,117,130,402,0,38,19,573,61,29,44,5,34,62,41,78
48074,2002-03-05 08:54:22,117,130,402,0,38,19,573,61,29,44,5,34,62,41,78
48080,2002-03-05 09:08:51,117,130,402,0,38,19,573,61,29,44,5,34,62,41,78
48081,2002-03-05 09:42:16,117,130,402,0,38,19,573,61,29,44,5,33,62,41,78
48106,2002-03-25 16:40:04,117,130,402,0,38,19,573,61,29,44,5,33,62,41,79
48056,2002-03-25 16:43:28,117,130,402,0,38,19,573,61,29,44,5,33,62,41,79
48035,2002-03-26 09:55:12,117,131,402,0,38,19,573,61,30,44,5,33,62,41,79
48040,2002-04-06 11:00:58,117,130,401,0,38,19,573,61,30,44,5,33,62,41,79
47919,2002-04-15 08:29:06,118,130,401,0,38,19,574,61,30,44,5,33,62,42,79
48011,2002-04-16 14:58:10,118,130,401,0,39,19,574,61,30,42,5,33,62,42,79
48061,2002-05-05 12:08:13,118,130,401,0,39,19,577,63,30,42,5,33,62,43,79
48081,2002-05-06 14:44:43,118,130,401,0,39,19,534,63,30,42,5,33,62,43,79
48603,2002-05-06 14:46:45,118,130,403,0,39,19,541,65,30,42,5,33,62,46,80
49007,2002-05-06 14:53:34,118,130,403,0,39,19,542,66,30,44,5,33,62,46,80
49045,2002-05-06 14:57:29,118,130,403,0,39,19,542,66,30,44,5,33,62,46,80
50493,2002-05-10 11:54:08,129,130,414,0,39,19,549,70,30,55,5,33,62,47,79
50368,2002-05-10 11:55:51,129,130,414,0,39,19,549,70,30,55,5,33,62,47,79
50370,2002-05-13 07:08:44,129,130,414,0,39,19,549,70,30,55,5,33,62,47,79
51924,2002-05-13 13:58:51,129,130,429,0,39,19,549,70,30,63,5,33,62,47,79
52320,2002-05-14 09:29:47,129,130,429,0,39,19,549,70,30,65,5,33,62,47,79
52369,2002-05-14 13:01:03,129,130,429,0,39,19,549,69,30,65,5,33,62,48,79
51376,2002-05-24 11:13:13,128,130,429,0,39,19,546,67,30,65,5,33,56,44,79
51381,2002-05-24 11:25:54,128,130,429,0,39,19,546,67,30,65,5,33,56,44,79
50874,2002-05-24 11:33:14,131,140,430,0,39,19,549,67,30,65,5,33,56,44,80
50731,2002-05-24 11:35:36,129,120,429,0,39,18,548,66,30,65,5,33,56,44,78
