SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
0,2008-05-16 20:33:47,37,1,17,0,19,1,54,12,1,226,0,2,45,9,43
18669,2008-06-30 19:13:23,37,1,17,0,19,1,54,13,1,226,0,2,45,9,43
19426,2008-07-02 23:55:04,37,1,17,0,19,1,88,14,1,227,0,2,45,12,43
19384,2008-10-07 23:03:47,37,1,17,2,19,1,88,12,1,227,0,2,45,12,42
19448,2008-11-21 21:31:36,37,1,17,2,19,1,88,12,1,230,0,2,45,12,42
19505,2008-11-21 23:07:05,37,1,19,2,19,1,100,12,1,230,0,2,45,12,42
19645,2008-12-02 02:06:31,37,1,19,2,19,1,104,13,1,233,0,2,45,12,42
19680,2009-01-05 21:02:48,37,1,19,2,19,1,104,13,1,234,0,2,45,12,42
20274,2009-01-05 21:02:58,37,1,19,2,19,1,104,13,1,259,0,2,45,12,42
20274,2009-01-15 23:47:51,37,1,19,2,19,1,104,13,1,259,0,2,45,12,42
21022,2009-01-29 01:51:08,37,1,19,2,19,1,104,13,1,272,0,2,45,15,42
18693,2009-02-03 00:49:25,32,1,13,2,19,1,98,12,1,272,0,2,31,15,7
18800,2009-02-05 00:24:42,32,1,13,2,19,1,98,13,1,274,0,2,31,15,7
17688,2009-02-10 04:49:39,36,1,5,4,14,2,72,7,3,310,0,2,14,15,7
17694,2009-02-10 18:10:57,36,1,8,4,14,2,72,7,3,310,0,2,14,15,7
11585,2009-03-13 00:28:06,36,1,8,4,14,2,79,7,3,164,0,2,14,15,7
11620,2009-03-19 18:57:43,36,1,8,4,14,2,24,7,3,164,0,2,14,15,7
11639,2009-03-26 06:15:05,36,1,8,4,14,2,24,7,3,164,0,2,14,15,7
11644,2009-03-30 21:35:00,36,1,8,4,14,2,24,13,3,164,0,2,14,15,7
11644,2009-04-01 20:10:15,36,1,8,4,14,2,24,13,3,164,0,2,14,15,7
11646,2009-04-10 17:20:51,36,1,8,4,14,2,25,13,3,164,0,2,14,15,7
11658,2009-04-29 23:20:56,36,1,8,4,14,2,25,13,3,164,0,2,14,15,7
11663,2009-06-04 02:05:25,36,1,8,4,14,2,25,13,3,164,0,2,14,15,7
11783,2009-07-31 19:32:34,36,1,8,4,14,2,25,13,3,164,0,2,14,15,7
11781,2009-08-14 20:04:15,36,1,8,4,14,2,25,14,3,164,0,2,14,15,7
12022,2009-08-20 01:00:18,36,1,8,4,14,2,24,14,3,164,0,2,14,15,8
12241,2009-09-01 23:03:47,36,2,10,4,14,2,24,10,3,180,0,2,14,15,8
12261,2009-09-25 20:28:35,36,2,10,4,14,2,24,10,3,181,0,2,14,15,8
12472,2009-10-01 20:53:45,36,2,15,4,14,2,24,10,3,182,0,2,14,15,8
12515,2009-10-15 01:24:26,36,2,15,4,14,2,24,10,3,184,0,2,14,15,8
12761,2009-11-11 21:01:35,36,2,15,4,14,2,24,10,3,191,0,2,14,15,8
12805,2009-11-12 20:52:25,36,2,16,4,14,2,24,10,3,191,0,2,14,15,8
12815,2009-11-19 17:26:38,36,2,16,4,14,2,24,11,3,190,0,2,14,15,8
12815,2009-12-07 00:42:38,36,2,16,4,14,2,24,11,3,190,0,2,14,15,8
12815,2009-12-18 19:41:11,36,2,16,4,14,2,24,11,3,190,0,2,14,15,8
12875,2009-12-31 18:59:15,36,2,16,4,14,2,24,11,3,193,0,2,14,15,8
12914,2010-01-21 03:20:01,36,2,13,4,14,2,24,12,3,193,0,2,14,15,8
13890,2010-02-15 03:24:55,36,4,13,4,14,2,24,12,3,193,0,4,14,19,8
13975,2010-02-18 18:27:51,36,4,13,5,14,2,24,14,3,194,0,4,14,19,8
14263,2010-02-23 19:06:25,36,4,13,5,14,2,27,14,3,202,0,4,14,19,8
14263,2010-02-26 21:38:42,36,4,13,5,14,2,27,15,3,202,0,4,14,19,8
14383,2010-03-02 18:39:57,37,4,13,5,14,2,27,16,3,203,0,4,14,19,8
14229,2010-03-02 18:49:02,37,4,13,5,14,3,27,16,3,238,0,4,14,19,8
14229,2010-03-09 05:19:14,37,4,13,5,14,2,27,17,3,203,0,4,14,19,8
13258,2010-03-26 05:05:59,37,5,15,5,14,2,27,18,3,204,0,5,14,22,8
12966,2010-03-26 05:58:34,37,4,13,5,14,2,27,17,3,219,0,5,14,11,8
13031,2010-03-26 23:30:35,37,4,13,5,14,1,22,19,3,180,0,5,14,11,7
13011,2010-03-26 23:38:23,37,4,13,5,14,1,22,18,3,179,0,5,14,11,7
12876,2010-03-27 05:56:26,37,4,8,5,14,1,24,18,3,179,0,5,14,11,7
12407,2010-03-28 21:02:38,37,4,8,5,14,1,10,18,3,160,0,5,14,11,7
12545,2010-03-29 23:57:09,38,4,8,5,14,1,10,18,3,161,0,5,14,11,7
12657,2010-04-03 19:45:20,38,4,11,5,14,1,10,18,3,158,0,5,14,11,7
12671,2010-04-03 20:25:04,38,4,12,5,14,1,10,18,3,158,0,5,14,11,7
12926,2010-04-03 22:52:03,40,4,12,5,14,1,10,18,3,158,0,5,14,11,7
12849,2010-04-05 16:28:21,40,4,12,8,14,3,10,18,3,158,0,5,14,11,7
12185,2010-04-15 07:01:51,40,4,12,8,14,3,10,18,3,158,0,5,14,11,7
11891,2010-04-22 21:17:39,40,4,12,8,14,3,10,18,3,119,0,5,14,8,7
11957,2010-04-25 15:20:02,40,4,12,8,14,3,10,18,3,120,0,5,14,8,7
11956,2010-04-26 19:37:44,40,4,12,8,14,3,10,18,3,120,0,5,14,8,7
11958,2010-04-26 19:37:53,40,4,12,8,14,3,10,18,3,120,0,5,14,8,7
12247,2010-04-30 21:35:38,48,4,12,8,14,3,10,18,3,124,0,5,14,8,7
11892,2010-05-01 13:45:38,48,4,12,8,14,3,10,18,3,124,0,5,14,8,7
11979,2010-05-12 20:54:07,40,4,12,8,14,3,10,18,3,119,0,5,14,8,7
12465,2010-05-26 16:34:48,40,4,9,8,14,3,10,19,3,119,0,5,14,8,7
12465,2010-06-09 21:30:54,40,4,9,8,14,3,10,19,3,119,0,5,14,8,7
12469,2010-06-23 21:17:48,40,4,11,8,14,3,10,19,3,119,0,5,14,8,7
12481,2010-07-28 22:31:12,40,4,11,8,14,3,10,19,3,119,0,5,14,8,7
12479,2010-08-05 21:13:06,40,4,11,8,14,3,10,19,3,120,0,5,14,8,7
12479,2010-08-05 22:05:35,40,4,11,8,14,3,10,20,3,120,0,5,14,8,7
12619,2010-08-06 00:18:25,40,4,11,8,14,3,10,22,3,120,0,5,14,8,7
12632,2010-08-12 16:59:19,40,4,11,8,14,3,10,22,3,116,0,5,14,7,7
12762,2010-08-13 00:13:16,40,4,11,8,14,3,10,25,3,116,0,5,14,7,7
12860,2010-08-15 23:19:06,40,4,11,8,14,3,10,25,3,116,0,5,14,7,7
12900,2010-08-19 21:41:58,40,4,11,8,14,3,10,25,3,116,0,5,14,7,7
12860,2010-08-27 06:16:37,40,4,11,8,14,3,10,25,3,116,0,5,14,7,7
13495,2010-09-08 00:06:35,41,4,11,8,14,3,14,27,4,116,0,6,14,8,7
13401,2010-09-08 21:47:45,41,5,11,9,14,3,16,27,4,116,0,6,14,8,7
13397,2010-09-10 16:16:01,41,5,11,9,15,3,16,27,4,116,0,6,14,8,7
13458,2010-09-17 19:27:36,41,5,11,9,15,3,15,28,4,116,0,6,14,8,7
13471,2010-09-17 23:38:25,41,5,11,9,15,3,15,28,4,116,0,6,14,8,7
15220,2010-09-20 17:49:09,65,5,11,10,15,3,16,42,4,118,0,9,20,8,7
15225,2010-09-27 17:12:36,65,5,11,10,15,3,16,42,4,118,0,9,20,8,7
15226,2010-09-27 23:51:22,65,5,11,10,15,3,16,42,4,118,0,9,20,8,7
15386,2010-09-28 00:11:01,65,5,11,10,15,3,16,42,5,121,0,9,20,8,7
15416,2010-09-30 19:36:05,65,5,11,10,15,3,16,42,5,121,0,9,20,8,7
15426,2010-10-06 00:28:10,65,5,11,10,15,3,16,42,5,121,0,9,20,8,7
15444,2010-10-06 20:04:40,65,5,11,10,15,3,18,43,5,122,1,9,20,8,7
15885,2010-10-19 17:20:57,65,5,11,10,15,3,11,43,5,122,1,9,20,8,7
15887,2010-10-19 18:06:45,65,5,11,10,15,3,3,43,5,122,1,9,20,8,7
15913,2010-10-19 23:00:27,65,5,11,10,15,3,16,43,5,122,1,9,20,8,7
15548,2010-10-22 20:23:57,65,5,11,10,15,3,16,43,5,122,1,9,20,8,7
17031,2010-10-23 22:25:04,65,5,11,10,15,3,27,44,5,123,1,9,20,16,8
16923,2010-10-24 21:41:24,65,5,11,10,15,3,27,45,5,123,1,9,20,16,7
16989,2010-10-27 17:54:10,65,3,11,10,15,3,30,45,5,123,1,8,20,16,7
17093,2010-10-27 19:39:56,65,3,11,10,15,3,31,45,5,123,1,8,21,16,7
17874,2010-10-27 23:26:52,69,3,14,15,16,3,31,45,13,123,1,9,20,19,7
18181,2010-11-02 12:36:52,69,3,14,15,16,3,32,46,13,123,1,10,20,23,7
18351,2010-11-05 17:14:52,69,3,14,15,16,3,32,46,13,123,1,10,20,23,7
18359,2010-11-19 00:06:51,69,3,14,15,16,3,32,46,13,123,1,10,20,23,7
18959,2011-01-08 03:49:16,69,3,12,15,16,3,32,46,13,123,1,10,20,23,7
18963,2011-01-22 21:32:50,69,3,12,15,16,3,32,46,13,123,1,10,20,23,7
18970,2011-01-22 21:35:48,69,3,12,15,16,3,32,46,13,123,1,10,20,23,7
18988,2011-01-26 18:25:17,69,3,12,15,16,3,32,46,13,123,1,10,20,23,7
19199,2011-02-08 17:26:37,72,3,12,15,16,3,32,46,13,123,1,10,20,23,7
19204,2011-02-16 19:29:50,72,3,12,15,16,3,32,46,13,123,1,10,20,23,7
19219,2011-02-22 20:15:03,72,4,12,15,16,3,33,46,13,123,1,10,20,24,7
19293,2011-02-24 16:04:03,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18948,2011-03-07 19:37:46,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18886,2011-03-15 09:55:33,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18898,2011-03-15 17:25:23,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18886,2011-03-24 17:24:27,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18887,2011-04-06 21:30:53,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18849,2011-04-09 11:10:04,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18860,2011-06-14 19:38:27,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18924,2011-07-13 18:15:41,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18931,2011-07-29 21:08:04,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18993,2011-07-30 15:10:42,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
18864,2011-08-03 21:21:43,72,5,12,15,16,3,33,46,13,123,1,10,20,24,7
19155,2011-08-11 18:50:58,72,5,12,15,17,3,40,46,13,123,1,10,20,24,7
19564,2011-08-18 00:02:50,72,5,12,15,17,3,40,49,13,123,1,10,20,24,7
19567,2011-08-24 00:22:30,72,5,12,15,17,3,40,49,13,123,1,10,20,24,7
19672,2011-09-20 22:53:31,73,5,12,15,17,3,40,50,13,123,1,10,20,24,7
19684,2011-09-29 22:51:54,73,5,12,15,17,3,33,50,13,123,1,10,20,24,7
19690,2011-10-14 06:35:28,73,5,12,15,17,3,33,50,13,123,1,10,20,24,7
