SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
39,2002-01-06 05:06:21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1990,2002-01-06 05:08:43,0,0,5,5,1,0,4,2,3,0,3,2,0,0,4
2066,2002-01-15 06:06:24,0,0,5,5,1,0,4,3,3,0,3,2,0,0,5
2252,2002-01-17 04:14:22,0,0,5,5,1,0,4,3,3,0,3,2,0,0,5
2661,2002-03-11 05:12:02,0,0,5,2,0,0,7,4,3,0,3,3,0,0,5
2636,2002-03-13 05:39:32,0,0,5,2,0,0,7,4,3,0,3,3,0,0,5
2957,2002-03-17 00:15:53,0,0,5,2,0,0,7,4,3,0,3,3,0,0,5
2937,2002-03-17 00:20:50,0,0,5,2,0,0,7,4,3,0,3,3,0,0,5
3194,2002-03-17 00:27:35,0,0,5,2,0,0,7,5,3,0,3,3,0,0,5
3199,2002-03-17 18:30:55,0,0,5,2,0,0,7,4,3,0,3,3,0,0,5
3200,2002-03-19 06:18:43,0,0,5,2,0,0,7,4,3,0,3,3,0,0,5
4132,2002-03-30 04:21:03,0,0,5,6,0,0,14,9,3,0,3,7,0,0,5
4206,2002-03-30 04:25:59,0,0,5,6,0,0,15,9,3,0,3,16,0,0,5
4924,2002-03-30 04:26:51,0,0,5,9,0,0,26,12,3,0,3,19,0,0,5
4754,2002-03-30 04:28:35,0,0,5,9,0,0,26,12,3,0,3,19,0,0,5
4622,2002-03-30 05:13:12,0,0,5,9,0,0,26,10,3,0,3,19,0,0,5
4593,2002-04-02 01:59:11,0,0,5,9,0,0,26,10,3,0,3,19,0,0,5
4825,2002-04-02 01:59:44,0,0,5,10,0,0,28,11,3,0,3,19,0,0,5
5642,2002-09-19 17:11:46,4,0,6,13,0,0,30,12,3,0,3,20,0,3,6
6130,2002-09-24 20:23:35,4,0,6,15,0,0,32,13,3,0,3,21,0,3,6
6402,2002-10-10 23:44:32,4,0,6,16,0,0,33,12,3,0,0,22,0,3,4
6483,2002-10-16 18:48:08,4,0,8,17,0,0,33,12,3,0,0,22,0,3,2
6488,2002-10-16 23:00:21,4,0,8,17,0,0,33,12,3,0,0,22,0,3,2
6485,2002-12-15 21:46:41,4,0,8,17,0,0,35,12,3,0,0,22,0,3,2
6635,2003-01-20 06:15:06,4,0,8,18,0,0,37,13,3,0,0,23,0,3,2
6529,2003-03-20 01:11:18,4,0,7,15,0,0,9,13,3,0,0,21,0,3,2
6407,2003-04-29 00:53:43,4,0,5,14,0,0,9,13,3,0,0,21,0,3,0
6342,2003-04-29 01:14:29,4,0,5,14,0,0,9,13,3,0,0,21,0,3,0
6461,2003-04-29 01:45:43,5,0,5,14,0,0,9,13,3,0,0,12,0,3,0
6410,2003-04-29 02:15:35,6,0,1,14,0,0,9,13,4,0,0,12,0,3,0
6630,2003-04-30 18:47:33,16,0,1,14,0,0,9,13,4,0,0,12,0,3,0
6900,2003-04-30 19:04:24,17,0,9,14,0,0,9,13,4,0,0,12,0,3,0
6967,2003-04-30 20:31:45,17,0,9,14,0,0,9,13,4,0,0,12,0,3,0
6770,2003-05-01 02:40:22,16,0,1,14,0,0,9,13,4,0,0,12,0,3,0
6944,2003-05-01 02:42:30,17,0,1,14,0,0,9,13,4,0,0,12,0,3,0
6976,2003-05-02 05:25:28,17,0,1,14,0,0,9,13,4,0,0,12,0,3,0
6991,2003-05-02 05:36:35,17,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7120,2003-05-02 18:28:19,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7160,2003-05-02 23:38:00,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7242,2003-05-02 23:39:31,20,0,1,14,0,0,9,13,7,0,0,12,0,3,0
7210,2003-05-02 23:48:54,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7034,2003-05-03 00:08:02,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7146,2003-05-03 02:16:37,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7148,2003-05-03 05:08:01,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7092,2003-05-03 15:53:53,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7097,2003-05-03 20:22:43,20,0,1,14,0,0,9,13,4,0,0,12,0,3,0
7107,2003-05-03 20:39:03,20,0,1,14,0,0,9,13,5,0,0,12,0,3,0
7108,2003-05-03 20:53:59,20,0,1,14,0,0,9,13,5,0,0,12,0,3,0
7251,2003-05-18 21:31:06,20,0,1,14,0,0,9,13,5,0,0,12,0,3,0
6988,2003-05-22 02:29:47,20,0,1,14,0,0,9,12,5,0,0,12,0,3,0
7268,2003-05-22 02:52:07,20,0,1,13,0,0,9,13,5,0,0,12,0,3,0
7288,2003-05-22 03:12:18,20,0,1,13,0,0,9,13,5,0,0,12,0,3,0
7286,2003-05-22 05:03:03,20,0,1,13,0,0,9,13,5,0,0,12,0,4,0
7301,2003-05-24 17:09:41,20,0,1,13,0,0,9,14,5,0,0,12,0,4,0
7336,2003-05-24 18:26:49,20,0,1,13,0,0,9,15,5,0,0,12,0,4,0
7370,2003-05-24 18:27:50,20,0,1,13,0,0,9,16,5,0,0,12,0,4,0
7383,2003-05-24 18:36:19,20,0,1,13,0,1,9,16,5,0,0,12,0,4,0
7422,2003-05-24 19:17:57,20,0,1,13,0,1,9,17,5,0,0,12,0,4,0
7431,2003-05-24 19:24:58,20,0,1,13,0,1,9,17,5,0,0,12,0,4,0
7456,2003-05-24 20:09:39,20,0,1,13,0,1,9,17,5,0,0,12,0,4,0
7716,2003-05-25 18:00:24,20,0,1,13,0,2,9,17,5,0,0,12,0,4,0
7756,2003-05-25 18:18:31,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7593,2003-05-28 04:14:32,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7668,2003-05-28 04:28:01,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7668,2003-05-28 04:30:58,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7698,2003-05-29 03:02:01,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7713,2003-05-29 03:03:56,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7728,2003-05-29 03:04:33,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
7745,2003-06-05 01:17:43,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
8195,2003-06-07 18:31:18,20,0,1,13,0,2,9,18,5,0,0,12,0,4,0
8282,2003-06-08 07:11:25,19,0,1,13,0,2,9,18,5,0,0,12,0,4,0
8282,2003-06-08 07:14:51,19,0,1,13,0,2,9,18,5,0,0,12,0,4,0
8554,2003-06-08 21:33:22,19,0,1,13,0,2,9,18,5,0,0,12,0,4,0
8594,2003-08-12 00:29:34,19,0,1,13,0,2,10,17,5,0,0,12,0,4,0
8281,2003-08-22 02:31:50,19,0,1,13,0,2,10,17,5,0,0,12,0,4,0
8439,2003-08-26 15:18:56,19,0,1,13,0,2,10,17,5,0,0,12,0,4,0
8436,2003-08-26 16:11:01,19,0,1,13,0,1,10,17,5,0,0,12,0,4,0
7903,2003-09-06 05:17:59,19,0,1,13,0,1,10,17,5,0,0,13,0,4,0
7902,2003-09-06 05:22:47,19,0,1,1,0,1,10,9,5,0,0,1,0,4,0
7544,2003-09-28 20:39:57,19,0,1,1,0,1,10,9,5,0,0,0,0,4,0
7542,2004-01-17 17:32:28,19,0,1,1,0,1,2,9,5,1,0,0,0,4,0
7622,2004-01-17 17:35:27,19,0,1,1,0,1,2,9,5,5,0,0,0,4,0
7627,2004-01-17 18:10:49,19,0,1,1,0,1,2,9,5,5,0,0,0,4,0
7627,2004-01-17 19:22:02,19,0,1,1,0,1,3,9,5,5,0,0,0,4,0
7747,2004-01-17 21:37:20,19,0,1,1,0,1,3,9,5,5,0,0,0,4,0
7952,2004-01-17 21:56:49,19,0,1,1,0,1,3,9,5,8,0,0,0,4,0
7852,2004-01-19 14:11:33,20,0,1,1,0,1,3,9,5,8,0,0,0,4,0
8242,2004-02-01 02:25:08,20,0,1,1,0,2,3,9,5,8,0,0,0,4,0
8242,2004-03-30 02:42:06,20,0,1,1,0,2,3,9,5,8,0,0,0,4,0
9057,2004-04-04 13:53:25,20,0,1,2,0,2,3,10,6,8,0,1,0,8,0
7351,2004-04-10 21:01:59,20,0,1,2,0,2,3,11,6,8,0,1,0,8,0
7844,2004-06-08 14:48:35,20,0,1,2,0,2,5,12,6,8,0,1,0,8,0
8015,2004-06-08 15:05:38,20,0,1,2,0,2,7,13,6,8,0,1,0,8,0
7349,2004-08-27 16:13:52,20,0,1,2,0,2,3,11,6,8,0,1,0,8,0
7734,2004-10-04 03:54:46,20,0,1,2,0,2,4,11,7,8,0,1,0,8,0
7651,2004-11-12 16:02:52,20,0,1,2,0,2,4,11,7,8,0,1,0,8,0
7653,2004-11-26 21:25:12,20,0,1,2,0,2,4,9,7,7,0,1,0,8,0
7631,2004-11-26 21:35:19,20,0,1,2,0,2,4,9,7,7,0,1,0,8,0
7708,2004-12-07 00:00:15,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
7408,2005-02-13 23:50:12,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
7448,2005-02-16 14:38:37,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
7513,2005-02-16 14:50:57,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
7567,2005-04-26 06:15:17,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
7655,2005-08-14 19:42:37,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
7576,2005-08-14 21:11:48,20,0,1,1,0,2,4,10,7,8,0,0,0,8,0
8088,2005-08-30 03:03:15,21,0,1,1,0,2,4,10,7,8,0,0,0,8,0
8092,2005-08-30 03:58:06,21,0,1,1,0,2,6,10,7,8,0,0,0,8,0
7927,2005-09-15 00:40:52,22,0,1,1,0,2,6,10,7,8,0,0,0,8,0
7932,2005-09-15 05:48:33,22,0,1,1,0,2,6,10,7,8,0,0,0,8,0
7932,2005-09-15 06:40:47,22,0,1,1,0,3,6,10,7,8,0,0,0,8,0
7982,2005-09-24 02:39:53,22,0,1,1,0,3,6,11,7,8,0,0,0,8,0
8212,2005-10-04 02:59:43,22,0,1,1,0,3,6,11,7,9,0,0,0,8,0
8310,2005-10-04 03:15:56,22,0,5,1,0,3,6,11,7,9,0,0,0,8,0
8454,2005-10-31 15:12:50,23,0,5,1,0,3,6,11,7,9,0,0,0,8,0
8492,2006-01-09 06:47:15,23,0,5,1,0,3,6,11,7,9,0,0,0,8,0
10390,2006-01-19 06:38:24,62,0,15,1,0,3,6,21,12,9,0,0,0,8,0
10624,2006-01-22 03:24:40,63,0,15,1,0,3,6,23,12,9,0,0,3,8,0
10627,2006-03-10 00:36:37,63,0,15,1,0,3,6,23,10,9,0,0,3,8,0
10666,2006-03-10 07:55:23,63,0,15,1,1,3,7,23,10,9,0,0,3,8,0
10692,2006-03-21 04:08:30,63,0,15,1,1,3,7,23,10,9,0,0,3,8,0
10697,2006-05-04 04:27:39,63,0,15,1,1,3,7,23,10,9,0,0,3,8,0
10732,2006-05-30 17:41:51,63,0,15,1,1,3,7,23,10,9,0,0,3,8,0
10644,2006-10-05 18:29:09,63,0,15,1,1,3,7,23,10,9,0,0,3,8,0
10654,2006-10-06 20:33:55,63,0,15,1,1,3,7,23,10,9,0,0,3,8,0
10644,2006-11-22 21:31:54,63,0,15,1,1,3,7,27,10,9,0,0,3,8,0
10910,2006-11-22 22:25:19,63,0,15,1,1,3,7,27,10,10,0,0,3,8,1
10940,2006-11-22 23:51:09,63,0,15,1,1,3,7,27,10,10,0,1,3,8,2
10950,2006-11-23 05:42:30,63,0,15,1,1,3,7,27,10,10,0,1,3,8,2
11433,2006-12-08 02:24:05,63,0,15,1,1,3,10,28,10,10,0,1,3,8,2
11979,2006-12-09 00:33:59,63,0,15,1,1,3,10,29,10,10,0,1,3,8,2
11989,2006-12-12 17:00:42,63,0,15,1,1,3,10,29,10,10,0,1,3,8,2
12051,2006-12-12 17:02:56,63,0,21,1,1,3,10,29,10,10,0,1,3,8,2
12116,2006-12-13 17:02:53,64,0,21,1,1,3,10,30,11,10,0,1,3,8,2
12156,2006-12-13 17:04:25,64,0,21,1,1,3,10,31,11,10,0,1,3,8,2
12398,2006-12-13 17:35:23,65,0,21,1,1,3,10,31,11,10,0,1,3,8,2
12403,2006-12-15 08:29:27,65,0,21,1,1,3,10,28,9,10,0,1,3,8,2
12498,2006-12-15 09:10:03,65,0,21,1,1,3,10,28,9,10,0,1,3,8,2
12503,2006-12-19 15:10:09,65,0,21,1,1,3,10,28,9,10,0,1,3,8,2
12497,2007-01-08 02:11:38,73,0,21,1,1,3,7,32,9,10,0,1,3,8,2
12702,2007-02-26 17:12:37,62,0,21,1,1,3,8,31,9,10,0,1,3,8,2
12621,2007-10-18 00:11:37,63,0,21,3,1,3,8,32,9,10,0,1,3,8,2
12619,2007-10-19 22:56:56,63,0,21,3,1,3,8,33,9,10,0,1,3,8,2
12997,2007-10-24 22:12:12,64,0,21,2,1,3,8,37,12,10,0,1,3,8,2
13691,2007-10-25 00:17:42,75,0,21,2,1,3,8,39,12,10,0,1,3,8,2
13691,2007-10-25 01:21:00,81,0,21,2,1,3,10,38,13,10,0,1,3,8,2
13679,2007-10-28 06:09:48,81,0,21,2,1,3,10,37,13,10,0,1,3,8,2
13684,2007-10-28 06:26:49,81,0,21,2,1,3,10,37,12,10,0,1,3,8,2
13719,2007-10-29 09:25:38,88,0,21,2,1,3,11,37,12,10,0,1,3,8,2
13810,2007-10-30 09:12:23,88,0,21,2,1,3,11,37,12,10,0,1,3,8,2
13815,2007-10-31 05:20:16,88,0,21,2,1,3,11,37,12,10,0,1,3,8,2
13705,2007-11-02 21:49:21,88,0,21,2,1,3,10,37,12,10,0,1,3,8,2
13702,2007-11-02 22:25:16,88,0,21,2,1,3,10,37,11,10,0,1,3,8,2
13877,2007-11-02 23:28:52,88,0,21,2,1,3,9,39,11,10,0,1,3,8,2
13912,2007-11-12 17:41:43,90,0,21,2,1,3,9,39,11,10,0,1,3,8,2
14235,2007-11-14 04:21:21,90,0,22,2,1,3,9,39,11,10,0,1,3,8,2
14272,2007-11-14 04:55:45,90,0,22,2,1,3,9,37,11,10,0,1,3,8,2
14252,2007-11-14 05:47:09,90,0,22,2,1,3,9,37,11,10,0,1,3,8,2
14231,2007-11-14 16:34:43,88,0,22,2,1,3,8,36,10,10,0,1,3,8,2
14233,2007-11-14 17:28:11,88,0,22,2,1,3,8,36,10,10,0,1,3,8,2
14356,2007-11-14 19:36:45,88,0,22,2,1,3,8,36,10,10,0,1,3,8,2
14240,2007-11-14 19:49:23,88,0,22,2,1,3,8,36,10,10,0,1,3,8,2
14247,2007-11-16 18:42:24,88,0,22,2,1,3,8,36,10,10,0,1,3,8,2
14529,2010-02-04 21:27:34,88,0,22,2,1,4,12,36,9,10,0,1,3,8,2
14583,2010-02-11 14:46:51,88,0,22,2,1,4,12,38,9,10,0,1,3,8,2
14569,2011-04-18 20:06:17,88,0,22,2,1,4,5,38,9,10,0,1,3,8,2
14305,2011-04-18 21:54:24,73,0,22,2,1,4,5,38,9,10,0,1,3,8,2
14392,2011-05-27 15:00:45,75,0,22,2,1,4,3,36,9,10,0,1,3,8,0
14502,2011-05-27 15:16:36,75,0,22,2,1,4,3,36,9,10,0,1,3,8,0
14675,2011-05-27 22:10:47,75,0,22,2,1,4,2,36,9,10,0,1,3,8,0
14698,2012-01-05 17:15:19,75,0,22,2,1,5,2,37,9,10,0,1,3,8,0
14718,2012-01-28 21:20:15,75,0,22,2,1,5,2,37,9,10,0,1,3,8,0
14713,2013-02-02 01:02:24,75,0,22,2,1,5,2,37,9,10,0,1,3,8,0
14718,2014-01-29 15:23:35,75,0,22,2,1,5,2,37,9,10,0,1,3,8,0
14720,2014-01-29 19:04:13,75,0,22,2,1,5,3,37,9,10,0,1,3,8,0
14477,2014-12-26 12:33:35,71,0,22,2,1,5,1,37,9,10,0,1,3,8,0
14481,2014-12-26 12:44:11,71,0,22,2,1,5,1,36,9,10,0,1,3,8,0
14553,2014-12-29 00:43:22,71,0,22,2,1,6,1,37,9,10,0,1,3,8,0
14567,2014-12-29 15:54:59,71,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14577,2014-12-30 13:34:34,72,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14734,2014-12-31 01:23:26,72,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14754,2015-01-01 15:55:17,74,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14744,2015-01-01 16:40:05,75,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14754,2015-01-01 16:44:02,76,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14764,2015-01-02 02:22:36,76,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14764,2015-01-02 04:13:17,76,0,22,0,1,6,1,35,9,10,0,1,3,8,0
14934,2015-01-02 13:17:17,76,0,22,0,1,6,1,35,9,12,0,1,3,8,0
14979,2015-01-02 19:12:59,76,0,22,0,1,6,1,35,9,12,0,2,3,8,0
