SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
4175,2002-07-17 10:23:44,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4290,2002-08-20 02:57:02,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0
4293,2002-08-20 06:10:50,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0
4293,2002-08-21 01:38:44,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0
4293,2002-08-21 01:39:47,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0
4403,2002-08-21 01:40:45,1,0,0,0,0,0,3,0,0,1,1,0,0,1,0
4490,2002-08-21 01:44:56,1,0,0,0,0,0,3,0,0,1,1,0,0,1,0
5637,2002-08-21 06:21:26,1,0,0,0,0,0,3,0,0,1,2,0,0,1,0
5533,2002-08-21 07:00:13,1,0,0,0,0,0,4,1,0,1,2,0,0,1,0
4756,2002-08-21 13:10:57,1,0,0,0,0,0,5,1,1,1,2,1,0,1,0
5853,2002-08-21 14:28:08,1,0,0,0,0,0,5,1,1,1,2,1,0,1,0
6235,2002-08-22 01:32:49,2,0,0,0,1,0,7,2,1,1,2,2,0,1,0
5983,2002-08-22 08:00:39,2,0,0,0,1,0,8,2,1,1,2,2,0,1,0
5983,2002-10-21 00:47:39,2,0,0,0,1,0,8,2,1,1,2,2,0,1,0
4686,2002-10-21 01:40:39,2,0,0,0,1,0,8,2,1,1,2,2,0,1,0
4655,2002-10-21 02:52:41,2,0,0,0,1,0,8,2,1,1,2,2,0,1,0
4817,2002-10-22 11:41:49,2,0,0,0,1,0,5,2,1,1,2,1,0,1,0
6352,2002-10-22 13:01:57,2,1,0,0,1,0,5,2,1,1,2,1,0,1,0
6211,2002-10-23 10:56:33,2,1,0,0,1,0,5,2,1,3,2,1,0,1,0
6888,2002-10-23 10:58:52,2,1,0,0,1,0,5,2,1,5,3,1,0,1,0
6888,2002-10-23 11:59:42,2,1,0,0,1,0,5,2,1,5,3,1,0,1,0
6686,2002-10-23 13:12:15,2,1,0,0,1,0,6,2,1,5,3,1,0,1,0
6688,2002-10-24 02:01:52,2,1,0,0,1,0,7,2,1,5,3,1,0,1,0
6648,2002-10-24 02:11:03,2,1,0,0,1,0,8,2,1,5,3,1,0,1,0
7109,2002-10-25 03:59:10,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
7114,2002-10-25 11:02:44,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
7144,2002-10-25 11:05:08,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
7256,2002-10-25 11:07:39,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
7296,2002-10-25 11:10:40,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
7126,2002-10-27 08:06:37,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
7120,2002-10-27 08:15:01,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
6968,2002-10-28 02:05:06,2,1,0,0,1,0,8,2,1,3,5,1,0,1,0
6968,2002-10-31 10:26:54,2,1,0,0,1,0,9,2,1,3,5,1,0,1,0
7278,2002-10-31 10:35:18,2,1,0,0,1,0,9,2,1,5,5,1,0,1,0
7278,2002-10-31 10:40:58,2,1,0,0,1,0,10,2,1,5,5,1,0,1,0
7302,2002-11-01 03:21:38,2,1,0,0,1,0,10,2,1,5,5,1,0,1,0
7297,2002-11-01 03:24:03,2,1,0,0,1,0,10,2,1,5,5,1,0,1,0
7494,2002-11-01 03:25:51,2,1,0,0,1,0,10,2,0,5,5,1,0,1,0
7494,2002-11-01 03:27:30,2,1,0,0,1,0,11,2,0,5,5,1,0,1,0
7481,2002-11-17 03:39:21,2,1,0,0,1,0,8,2,0,5,5,1,0,1,0
7996,2002-11-21 04:25:58,2,1,0,0,1,0,10,3,0,19,6,4,0,2,0
7996,2002-11-23 00:03:56,1,1,0,0,1,0,10,3,0,19,6,4,0,2,0
8006,2002-11-23 00:11:53,1,1,0,0,1,0,10,3,0,19,6,4,0,2,0
8013,2002-11-23 00:14:45,1,1,0,0,1,0,10,3,0,19,7,4,0,2,0
8431,2002-11-23 00:32:12,1,1,0,0,2,0,10,4,0,20,7,4,0,2,0
8415,2002-11-23 00:33:55,1,1,0,0,2,0,11,4,0,19,7,4,0,2,0
8682,2002-11-25 05:40:59,1,1,0,0,2,0,5,4,0,19,7,4,0,2,0
8220,2002-11-25 05:50:03,1,1,0,0,2,0,5,4,0,20,7,4,0,2,0
8225,2002-11-25 05:51:15,1,1,0,0,2,0,5,4,0,20,7,4,0,2,0
8229,2003-01-21 02:44:57,1,1,0,0,2,0,5,4,0,20,7,4,0,2,0
8224,2003-01-21 02:45:32,1,1,0,0,2,0,5,4,0,20,7,4,0,2,0
8522,2003-01-21 23:51:24,1,1,0,0,2,0,5,4,0,20,7,4,0,2,0
8443,2003-01-21 23:58:24,1,1,0,0,2,0,5,4,0,20,7,4,0,2,0
8553,2003-01-23 04:34:36,1,1,0,0,2,0,5,4,0,20,7,4,0,4,0
8563,2003-01-23 04:35:45,1,1,0,0,2,0,5,4,0,20,7,4,0,4,0
8720,2003-01-23 04:41:56,1,1,0,0,2,0,5,5,0,22,7,7,0,5,0
8617,2003-01-23 12:27:28,1,1,0,0,2,0,5,4,0,20,7,5,0,5,0
8617,2003-01-23 12:33:04,1,1,0,0,2,0,5,4,0,20,7,5,0,5,0
6966,2003-01-24 00:20:04,1,1,0,0,2,0,8,4,0,20,7,5,0,5,0
6800,2003-02-12 02:05:20,1,1,0,0,2,0,8,4,0,20,7,5,0,5,0
6810,2003-02-12 07:42:41,1,1,0,0,2,0,8,4,0,20,7,5,0,4,0
6908,2003-02-12 07:44:56,1,1,0,0,2,0,7,5,0,20,7,5,0,4,0
7012,2003-02-12 07:45:07,1,1,0,0,2,0,7,6,0,20,7,5,0,4,0
7205,2003-02-13 04:28:46,1,1,0,0,2,0,7,8,0,20,9,5,0,4,0
7025,2003-02-15 00:07:45,1,1,0,0,2,0,7,8,0,20,9,5,0,4,0
7316,2003-02-15 00:17:06,1,1,0,0,2,0,9,8,0,21,9,5,0,5,1
7170,2003-02-15 00:19:50,1,1,0,0,2,0,9,8,0,22,9,5,0,5,1
7130,2003-02-15 02:35:35,1,1,0,0,2,0,9,8,0,22,9,5,0,5,1
7465,2003-02-20 07:30:36,1,1,0,0,2,0,9,8,0,22,9,6,0,7,0
7485,2003-02-20 07:32:21,1,1,0,0,2,0,9,8,0,23,9,6,0,7,0
7315,2003-02-21 05:12:03,1,1,0,0,3,0,9,8,0,23,9,6,0,7,0
7990,2003-02-21 05:15:51,2,1,0,0,3,0,9,8,0,30,9,6,0,16,0
