Approach,Type,MAPE,MAE,MSE,RMSE
sarimax_results,STD,1.41,2078.64,83974917.91,3145.27
arimax_results,TD,1.65,2349.81,91732529.59,3469.03
sarima_lm_results,STD,13.32,13871.48,2243328013.34,15842.22
arima_lm_results,TD,15.02,17586.97,4106433264.19,19400.41
svr,~TD,23.12,27822.99,7906379274.17,28620.02
L2,~TD,4.5,3706.95,127080558.97,5192.83
mlr,~TD,4.62,3978.65,161057687.1,5567.3
xgb,~TD,5.8,4600.92,229827111.91,5950.18
rf,~TD,1.9,2572.85,107454277.16,4202.8
sgd,~TD,4.89,4478.4,211084765.34,5956.63
L1,~TD,5.09,4609.15,218688362.32,6067.31
