projects,mlr,svr,xgb,rf,sgd,L1,L2,ARIMA+LM,ARIMAX,SARIMA+LM,SARIMAX
archiva,16011.57039133866,12148.847268450874,3451.596064814815,3888.592370370373,17262.024218962917,17350.04272069568,16018.56770028785,29211.54,3103.34,35458.77,3036.31
bcel,1876.957492008965,1580.979563486128,451.2195246571729,522.7076375326504,862.4935075219742,1442.4851341562814,1496.323343878213,1612.62,279.2,1612.8,449.86
codec,170.44289783636563,8615.687268549555,52.74287510702055,43.097991311088826,233.13510586783036,193.5612912936741,172.96222695308242,1539.88,41.44,1475.16,42.08
collections,651.0841023934022,2884.9869673050566,249.9710390093536,223.27005102040744,691.3585964835546,604.8922745368425,643.22261900771,5328.13,224.11,4880.96,309.55
commons-cli,1456.18888758259,1025.88578432412,181.8397472403987,57.85354598825828,1455.9998067248332,1442.1881769437844,1441.5897689531378,2672.71,59.96,2669.82,62.06
commons-exec,56.172381793645656,1386.1109157890974,8.561875640368882,8.183606557377075,52.20459692835221,51.197753467344704,46.41300959463735,162.6,5.35,158.03,6.64
configuration,1375.8688346580527,11399.689646342224,249.2631656364465,207.85866628121383,1488.7519937899394,1585.8019269704096,1390.3121774339409,2372.56,143.53,2372.91,73.44
dbcp,476.7063724538086,578.6661317228314,216.62352070262224,157.37671546546497,533.522535351236,744.6901548300739,589.7097619077965,752.05,141.76,752.05,166.94
hive,36442.74506820743,386739.9534387465,33509.59173387097,18848.02516129032,38606.00361582991,37635.9113525252,36440.692626493474,77326.88,12670.38,75349.06,12670.38
httpclient,1591.0016888606824,12489.485037443214,1378.1006218112248,1270.6361870748294,2005.0680148695756,1912.361051649852,1584.7274109250352,20212.09,1141.82,20213.98,1141.82
httpcore,3038.100031783344,28913.600615899217,1119.716829412686,1237.8366103494077,3467.4334797322654,2825.1186546571557,3379.171492738188,51117.87,722.81,50453.71,722.81
jxpath,979.4550110672096,888.9345188806788,61.07710193452381,28.490466262702803,879.4770389410392,941.8820526244205,958.7796093987904,306.48,11.44,677.49,11.53
santuario,5500.032622063621,44702.54644213865,548.271368243243,446.3169401544424,4537.834688882376,5198.100260055833,5496.925347038576,14348.77,378.08,13102.6,485.54
validator,616.0239896437845,1667.7625244000883,78.69737413194444,75.13494940927524,660.3108883916698,646.8768467474822,619.3898752619567,1049.37,27.09,1026.32,36.85
