projects,mlr,svr,xgb,rf,sgd,L1,L2,ARIMA+LM,ARIMAX,SARIMA+LM,SARIMAX
archiva,15552.30856991236,13281.106033022808,7148.6370192307695,7797.113846153845,16118.350033700834,15888.790336324048,15554.558388799527,26142.92,10087.46,25273.38,4330.45
bcel,1448.6760300139806,1360.636652925131,663.8303571428576,920.9551857142868,910.9359296392682,1289.736680575537,1411.0064068511433,1397.04,272.29,1429.31,273.07
codec,188.15172694241875,8871.989258678,86.20909288194437,69.62127224627268,506.95480453895146,136.35688555799197,191.3237792938961,1332.39,94.31,1275.31,92.07
collections,435.007176747869,2896.50320213198,404.65830813172073,446.5827419354856,795.3790120431551,788.3252296061511,445.09217614719233,4054.7,606.52,4067.05,583.12
commons-cli,1100.8098391011758,1097.3507464733188,191.1776017409105,84.34846634615374,1236.8017838593985,1528.8669552493898,1172.0421055476404,2016.15,67.3,1952.35,87.83
commons-exec,168.84019086110897,1360.3533250370344,18.49507472826089,18.138486312400143,37.91506493889489,35.33367282867861,35.018430701228006,184.16,9.77,204.05,9.74
configuration,1386.5252500305214,11373.889966474531,421.65041307471256,356.0044471811732,1560.709034965443,1972.2325586484455,1403.3208171556237,5680.46,191.57,6629.81,211.19
dbcp,667.3823903837131,671.8111284509785,301.5380476409314,297.1650326797385,1141.2690811502432,691.062248867656,650.6135757690936,920.65,168.7,922.3,201.81
hive,36689.754975093376,389357.4893475715,41745.71666666667,32650.49800000001,46089.8130941454,47700.8841663388,31388.321958968103,263086.97,29126.47,186734.28,29126.47
httpclient,1449.3670840160762,13289.01489093946,1080.1224524456522,1294.346739130435,2154.630152539787,1554.086852771489,1448.4868923078143,18583.94,2327.52,18077.76,2318.74
httpcore,4171.783406859641,29271.75285522524,1764.0416165865386,1952.2318508158523,3893.121065929894,4322.143615538181,4180.16977159906,7400.39,1502.86,12091.14,1502.86
jxpath,1088.3125249083123,957.2199478131872,83.77446546052565,62.82661311571361,914.7482521772944,950.9665880930625,1055.8183349209676,308.16,34.94,276.01,
santuario,7461.30281076939,45086.30868199078,963.93505859375,795.7468750000025,7001.5840472376085,6956.422754045947,7460.8911526338015,5127.44,1734.44,5742.84,1734.22
validator,612.2663396652359,1829.6836205367545,108.80218010979736,105.84787059787172,556.023124224145,652.8006493832434,598.3541817617177,2167.94,86.74,2041.76,81.92
