projects,mlr,svr,xgb,rf,sgd,L1,L2,ARIMA+LM,ARIMAX,SARIMA+LM,SARIMAX
archiva,16.35209745223449,12.269049706647117,3.891001377868228,4.003683860065598,17.9940829501187,18.23027544432194,16.361300868656958,56.17,3.35,84.56,3.42
bcel,3.362204986241996,2.8515170834600747,0.8266184281264846,0.959947735513359,1.566759120818217,2.6135157676130243,2.708073185486098,2.87,0.5,2.87,0.72
codec,1.0225870923167837,52.381002821275366,0.3152648284469631,0.259221090730468,1.4244547730554418,1.1749661076581503,1.037334135543572,10.37,0.25,9.88,0.25
collections,1.2494807455156745,5.4183153391692445,0.4781407813864881,0.4433814886693102,1.329553284133932,1.157085849309758,1.2338208606127798,11.39,0.44,10.3,0.61
commons-cli,19.051279226164443,13.253111159941216,2.362162121995,0.7437095679618925,18.99270769427731,18.85943609827389,18.867579299144307,53.38,0.81,53.3,0.84
commons-exec,1.0666113573884524,26.36443141856459,0.1619012317912976,0.1547558556319353,0.9890437657044088,0.973596947132776,0.884836192888681,3.18,0.1,3.09,0.13
configuration,3.174234497968066,27.369892918038936,0.5873326989550081,0.4872790138369027,3.4506646234771408,3.687814731873474,3.2095657447592205,6.07,0.35,6.07,0.18
dbcp,3.28552348693216,3.9679608085574185,1.5174965351004337,1.1208135669822037,3.712323252269641,5.1730997144897,4.075524482968845,5.27,0.95,5.27,1.08
hive,5.991243990616104,64.50188476423693,5.382434812613044,3.1976153739205087,6.444243276156637,6.244245979579293,5.990941494197291,14.7,2.11,14.34,2.11
httpclient,2.571056564313676,18.16218369206815,2.2232000351303696,2.0347779168840843,3.2194060229920893,3.0790948174586825,2.5612009224608494,23.8,1.83,23.8,1.83
httpcore,4.163637322934894,39.91161826777629,1.4819437487928595,1.62940257527285,4.7137958358850245,3.8809450009239472,4.62894671936408,40.67,0.95,40.38,0.95
jxpath,3.332938760073368,2.992270717645487,0.2100297329440152,0.0971950048180467,2.983905110110042,3.202165377016613,3.2620046317373363,1.05,0.04,2.38,0.04
santuario,4.559640523028716,37.37920379223924,0.457411553704114,0.3723440944692859,3.7626861568521575,4.307863039105062,4.557108392091023,10.65,0.31,9.82,0.41
validator,3.753358002266384,10.239207859148667,0.471208912879454,0.448635675842902,4.029639819545743,3.944450894254543,3.7738795125988616,6.98,0.17,6.82,0.23
