projects,mlr,svr,xgb,rf,sgd,L1,L2,ARIMA+LM,ARIMAX,SARIMA+LM,SARIMAX
archiva,16.92302619795448,13.342303466148042,6.973203279830864,7.474174706907732,17.504878585055646,17.238190975109458,16.925341967532887,43.98,13.02,42.14,4.82
bcel,2.63524927025557,2.463915982934821,1.21089032531135,1.671605646408271,1.669575735240418,2.341034305474839,2.567118281041516,2.49,0.49,2.54,0.49
codec,1.1402691526632829,53.9618396243838,0.5209631812086427,0.4229108113123529,3.093412750611602,0.8355445699590615,1.1592393106304968,8.83,0.57,8.42,0.56
collections,0.8704035170663591,5.478008818281148,0.7802828249262326,0.8881651441166009,1.5721763758905518,1.5198897041441326,0.8891975486727137,8.41,1.19,8.44,1.14
commons-cli,14.304948544304423,14.225969926860303,2.5173072779269536,1.1059786198064467,16.203869936919997,19.843384636754607,15.401611372284574,35.54,0.88,34.01,1.15
commons-exec,3.161468889602506,25.779004460450437,0.3490670852457345,0.342341228653007,0.7237441741802096,0.679794128353989,0.6729843413339751,3.62,0.18,4.03,0.18
configuration,3.2280816548957647,27.456142941519268,0.9876750494149062,0.8351469361070807,3.650688924946885,4.663288906678308,3.2693214253594443,16.56,0.46,20.05,0.51
dbcp,4.536611854044456,4.600677020900543,2.0657716230872025,2.0304173833389507,7.953942378869898,4.746172256510164,4.430136401360779,6.55,1.13,6.57,1.31
hive,5.767201578821399,64.71826467510662,6.727753673044541,5.1713916372345,7.41499357542282,7.670124323246386,4.949788281138514,85.34,5.02,48.41,5.02
httpclient,2.320777598190857,18.270618507541855,1.6975809369619586,2.096532284057208,3.449878751968178,2.486996785328288,2.3192612257384893,21.84,3.77,21.41,3.76
httpcore,5.750286474062422,40.25547631162302,2.3375629228181114,2.57780409640513,5.389288868469126,5.960199914786121,5.765834773317767,9.01,2.07,12.84,2.07
jxpath,3.699947981850723,3.220206084604529,0.2870264981111774,0.2141564646691587,3.1020853110890165,3.226483652997546,3.588649921778293,1.06,0.12,0.94,
santuario,6.201307093929984,37.83495619526827,0.8062009017440366,0.6644983756082014,5.802338254758206,5.768988616844125,6.200868118603871,4.53,1.36,5.11,1.36
validator,3.7748604982721456,11.264897975153634,0.6564179470745507,0.6377047585744593,3.4058655288858404,4.130377216168042,3.685405391434703,11.71,0.54,11.12,0.51
