projects,mlr,svr,xgb,rf,sgd,L1,L2,ARIMA+LM,ARIMAX,SARIMA+LM,SARIMAX
archiva,19074.247510938047,18939.7715894661,12615.029923953549,14779.774730107982,19736.608570494343,19588.830016290576,19077.596234793367,31044.9,14663.37,30564.97,7736.49
bcel,4890.206553132581,1749.3404316220528,985.929702052742,1282.8598837178697,1228.8613108183822,3306.8286183055884,4637.537248160793,1785.17,419.53,1820.2,439.74
codec,232.6788706607812,8894.243843045324,174.92741787417526,163.74940779608156,551.7111888101131,186.11255174776988,241.832620480022,1551.75,148.23,1497.85,144.72
collections,612.6265169641438,3484.424031481653,854.3083044368939,1001.8843119996008,997.494938397168,1015.975119776146,635.951325072084,4865.7,1107.58,4876.66,1026.04
commons-cli,1117.6685840723092,1116.2803038261047,199.47646367113583,93.74686684147196,1256.4563365569602,1542.6159203578632,1202.2883958269877,2055.66,80.78,1990.03,111.22
commons-exec,188.48077328203567,1366.0145718786605,19.45683336503016,19.097888676767575,42.138660902200286,41.3804747362076,40.5548215072429,233.42,10.37,256.13,10.34
configuration,1888.4032844622573,11545.178829072303,882.9772653584088,792.6661640123077,2032.4272237221924,2326.221613257166,1899.3541221547075,6809.15,407.54,7856.93,417.41
dbcp,912.6452786586322,728.1454594183216,632.9762204623897,694.2480644996408,1430.169643995055,862.0265737442262,792.4933655056103,991.0,375.59,992.77,529.97
hive,51167.52812321636,392324.5180444763,55548.594185569615,42317.87613849314,60130.39779401091,61447.81960556707,44039.14175973016,283687.32,39679.51,207549.54,39679.51
httpclient,2155.764008194668,18286.42587445639,1911.876719455273,4210.629701396915,3405.6221188029185,2281.526732396931,2152.0838515033047,20406.26,4013.39,19820.9,4004.25
httpcore,6888.481420642961,29338.874199709884,3103.40266665649,3497.005513602397,6946.758689725083,6688.021842408237,6992.528302212088,8163.74,2709.37,15909.2,2709.37
jxpath,1254.6314994647537,1231.913465802359,99.2143384256252,70.59200535210586,1059.7260978701622,1100.976673777472,1215.0697455395298,403.33,42.76,300.8,
santuario,11314.346525603856,45212.11110045502,1682.4494151050656,1575.4444498453854,11000.699306927712,10766.755648189866,11311.738835299624,6868.28,4431.12,7450.26,4430.96
validator,835.1072422804951,1896.673444419048,180.9045626758545,179.68204324528185,667.0932938655867,861.9517482479208,785.5198802069418,2250.66,188.19,2117.01,120.18
