COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-11-28 03:15:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-30 04:37:28,6484.0,0.0,6.0,0.0,3.0,1.0,0.0,15.0,9.0,0.0,1.0,4.0,3.0,0.0,42.0,9.0
2006-01-30 02:51:46,7754.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,9.0,6.0,0.0,0.0,3.0,3.0
2006-03-01 11:39:07,11465.0,1.0,31.0,2.0,2.0,0.0,0.0,2.0,20.0,0.0,11.0,10.0,0.0,4.0,6.0,7.0
2006-03-31 11:39:07,10945.0,0.6666666666666667,31.0,1.6666666666666667,2.0,0.6666666666666666,0.0,10.333333333333334,19.666666666666668,0.0,11.0,9.666666666666666,0.0,3.6666666666666665,6.666666666666667,6.666666666666667
2006-04-30 11:39:07,10425.0,0.33333333333333337,31.0,1.3333333333333335,2.0,1.3333333333333333,0.0,18.666666666666668,19.333333333333332,0.0,11.0,9.333333333333334,0.0,3.3333333333333335,7.333333333333333,6.333333333333333
2006-06-01 02:29:57,9905.0,0.0,31.0,1.0,2.0,2.0,0.0,27.0,19.0,0.0,11.0,9.0,0.0,3.0,8.0,6.0
2006-07-06 05:50:09,15969.0,0.0,28.0,1.0,0.0,1.0,0.0,1.0,17.0,0.0,8.0,8.0,0.0,0.0,2.0,1.0
2006-08-08 06:26:51,20537.0,0.0,112.0,1.0,0.0,1.0,0.0,5.0,17.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0
2006-09-07 09:09:21,24273.0,0.0,448.0,1.0,0.0,0.0,0.0,21.0,17.0,0.0,4.0,3.0,0.0,0.0,18.0,2.0
2006-10-09 09:51:18,25928.0,1.0,447.0,1.0,0.0,1.0,0.0,28.0,22.0,0.0,7.0,3.0,0.0,0.0,20.0,2.0
2006-11-10 22:47:44,29139.0,1.0,448.0,1.0,0.0,1.0,0.0,31.0,22.0,0.0,7.0,3.0,0.0,0.0,20.0,3.0
2006-12-11 06:43:39,29000.0,1.0,454.0,1.0,0.0,1.0,0.0,35.0,22.0,0.0,8.0,3.0,0.0,0.0,20.0,2.0
2007-01-11 10:51:31,27415.0,1.0,453.0,1.0,0.0,1.0,0.0,25.0,72.0,0.0,8.0,3.0,0.0,0.0,20.0,2.0
2007-02-12 02:59:06,28422.0,1.0,469.0,1.0,0.0,2.0,0.0,42.0,70.0,7.0,17.0,3.0,0.0,0.0,20.0,7.0
2007-03-29 09:09:33,32063.0,35.0,476.0,32.0,0.0,14.0,0.0,52.0,196.0,105.0,20.0,3.0,0.0,2.0,36.0,7.0
2007-05-01 12:46:46,42606.0,1.0,249.0,37.0,0.0,16.0,34.0,76.0,86.0,15.0,69.0,0.0,0.0,0.0,18.0,5.0
2007-06-03 05:24:12,51421.0,2.0,242.0,38.0,0.0,35.0,38.0,61.0,131.0,15.0,108.0,0.0,0.0,1.0,20.0,6.0
2007-07-23 16:48:30,82708.0,2.0,263.0,56.0,0.0,76.0,83.0,62.0,219.0,17.0,122.0,0.0,0.0,1.0,20.0,7.0
2007-08-26 03:16:11,85924.0,32.0,265.0,56.0,0.0,83.0,83.0,80.0,340.0,18.0,149.0,8.0,2.0,1.0,27.0,6.0
2007-09-25 18:02:43,87163.0,31.0,281.0,56.0,0.0,81.0,83.0,47.0,355.0,17.0,157.0,9.0,2.0,1.0,33.0,5.0
2007-10-25 23:39:05,84571.0,33.0,332.0,56.0,0.0,101.0,86.0,50.0,409.0,19.0,214.0,9.0,0.0,1.0,25.0,7.0
2007-12-10 14:43:38,86546.0,33.0,337.0,56.0,0.0,101.0,93.0,57.0,438.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2008-01-10 10:54:32,86737.0,33.0,337.0,56.0,0.0,101.0,93.0,62.0,441.0,20.0,237.0,9.0,0.0,2.0,37.0,11.0
2008-02-17 10:40:28,86820.0,38.0,337.0,56.0,0.0,101.0,93.0,63.0,444.0,20.0,236.0,9.0,0.0,2.0,37.0,11.0
2008-03-19 14:36:08,93502.0,38.0,339.0,56.0,0.0,101.0,94.0,58.0,504.0,20.0,236.0,9.0,0.0,2.0,37.0,13.0
2008-04-20 11:13:55,89784.0,47.0,339.0,56.0,0.0,100.0,94.0,74.0,576.0,22.0,239.0,8.0,1.0,2.0,40.0,16.0
2008-05-20 14:34:48,92879.0,47.0,372.0,56.0,0.0,102.0,92.0,70.0,607.0,22.0,254.0,8.0,2.0,2.0,48.0,19.0
2008-06-20 03:49:16,93680.0,47.0,378.0,56.0,0.0,101.0,94.0,65.0,633.0,22.0,254.0,8.0,2.0,2.0,47.0,18.0
2008-07-25 10:47:53,95541.0,47.0,378.0,56.0,0.0,101.0,94.0,99.0,667.0,23.0,256.0,9.0,2.0,2.0,47.0,19.0
2008-09-03 07:20:15,95402.0,47.0,397.0,56.0,0.0,101.0,94.0,102.0,306.0,23.0,260.0,10.0,2.0,2.0,47.0,19.0
2008-10-06 09:05:09,96726.0,47.0,397.0,56.0,0.0,101.0,100.0,101.0,311.0,23.0,266.0,11.0,10.0,2.0,48.0,21.0
2008-11-13 05:59:08,98127.0,54.0,407.0,56.0,0.0,105.0,118.0,107.0,315.0,32.0,314.0,17.0,8.0,2.0,48.0,40.0
2008-12-16 02:13:25,98899.0,109.0,408.0,56.0,0.0,105.0,118.0,106.0,337.0,33.0,315.0,17.0,8.0,2.0,46.0,40.0
2009-02-04 01:09:17,98936.0,117.0,408.0,56.0,0.0,105.0,118.0,112.0,340.0,33.0,315.0,17.0,8.0,2.0,46.0,41.0
2009-03-06 06:48:58,94642.0,117.0,444.0,53.0,0.0,101.0,117.0,88.0,341.0,31.0,308.0,28.0,8.0,2.0,43.0,43.0
2009-04-29 21:21:40,95731.0,117.0,457.0,53.0,0.0,99.0,116.0,75.0,609.0,32.0,310.0,28.0,8.0,2.0,44.0,21.0
2009-06-11 08:16:06,98144.0,117.0,457.0,54.0,0.0,109.0,116.0,138.0,666.0,32.0,312.0,28.0,8.0,2.0,53.0,21.0
2009-07-16 06:57:47,98558.0,117.0,457.0,54.0,0.0,109.0,116.0,140.0,666.0,32.0,312.0,28.0,8.0,2.0,53.0,21.0
2009-08-17 09:40:44,99052.0,117.0,457.0,54.0,0.0,109.0,116.0,140.0,674.0,32.0,312.0,28.0,8.0,2.0,90.0,21.0
2009-09-17 07:48:55,99459.0,117.0,458.0,55.0,0.0,109.0,116.0,140.0,673.0,32.0,311.0,28.0,9.0,2.0,91.0,22.0
2009-10-22 23:47:04,100386.0,130.0,478.0,55.0,1.0,109.0,116.0,133.0,696.0,32.0,312.0,28.0,9.0,3.0,113.0,22.0
2009-11-22 12:25:10,99326.0,114.0,479.0,55.0,1.0,109.0,116.0,162.0,680.0,32.0,312.0,28.0,9.0,3.0,95.0,22.0
2009-12-23 01:02:15,63745.0,64.0,257.0,29.0,1.0,50.0,53.0,92.0,379.0,22.0,201.0,20.0,6.0,3.0,66.0,18.0
2010-01-28 09:42:53,102145.0,54.0,207.0,22.0,1.0,43.0,41.0,84.0,306.0,21.0,163.0,16.0,5.0,3.0,58.0,15.0
2010-03-01 05:56:12,68658.0,18.0,80.0,7.0,1.0,19.0,17.0,62.0,110.0,13.0,84.0,7.0,3.0,3.0,41.0,9.0
2010-04-06 10:48:51,66863.0,21.0,80.0,7.0,1.0,19.0,14.0,67.0,105.0,15.0,80.0,7.0,3.0,2.0,41.0,10.0
2010-05-15 14:41:11,66772.0,21.0,83.0,7.0,1.0,19.0,14.0,68.0,106.0,15.0,80.0,7.0,3.0,2.0,41.0,10.0
2010-07-04 11:27:10,67183.0,20.0,83.0,7.0,1.0,19.0,14.0,70.0,107.0,15.0,80.0,7.0,3.0,2.0,41.0,11.0
2010-08-19 07:15:58,67459.0,20.0,83.0,7.0,1.0,20.0,14.0,73.0,107.0,15.0,90.0,7.0,3.0,2.0,41.0,11.0
2010-09-28 09:09:32,68722.0,20.0,84.0,7.0,1.0,20.0,14.0,73.0,111.0,15.0,94.0,7.0,3.0,2.0,41.0,14.0
2010-11-05 11:22:06,69429.0,20.0,84.0,7.0,1.0,20.0,14.0,71.0,112.0,15.0,99.0,7.0,3.0,2.0,41.0,14.0
2010-12-06 13:58:34,69798.0,20.0,84.0,7.0,1.0,20.0,14.0,88.0,115.0,15.0,99.0,7.0,3.0,2.0,41.0,14.0
2011-01-28 03:19:09,71737.0,22.0,85.0,7.0,1.0,20.0,14.0,74.0,117.0,15.0,105.0,7.0,3.0,2.0,41.0,13.0
2011-03-16 14:53:40,71711.0,22.0,85.0,7.0,1.0,20.0,14.0,74.0,117.0,15.0,105.0,7.0,3.0,2.0,41.0,13.0
2011-04-29 11:30:08,71788.0,22.0,85.0,7.0,1.0,20.0,14.0,75.0,118.0,15.0,105.0,7.0,3.0,2.0,41.0,13.0
2011-05-29 18:00:17,74865.0,23.0,90.0,7.0,0.0,21.0,14.0,110.0,122.0,16.0,114.0,7.0,3.0,2.0,41.0,17.0
2011-06-28 22:19:47,80013.0,22.0,106.0,7.0,0.0,23.0,14.0,113.0,125.0,17.0,120.0,7.0,3.0,2.0,41.0,13.0
2011-08-10 15:51:26,77671.0,22.0,106.0,7.0,0.0,23.0,14.0,114.0,125.0,17.0,120.0,7.0,3.0,2.0,41.0,13.0
2011-09-10 07:34:10,79153.0,24.0,108.0,7.0,0.0,25.0,14.0,96.0,142.0,17.0,130.0,9.0,3.0,2.0,41.0,12.0
2011-10-10 15:34:12,87576.0,19.0,141.0,7.0,0.0,25.0,14.0,52.0,143.0,18.0,130.0,9.0,3.0,2.0,41.0,15.0
2011-11-09 16:21:33,89830.0,20.0,143.0,7.0,0.0,25.0,14.0,62.0,143.0,18.0,135.0,12.0,3.0,2.0,41.0,16.0
2011-12-09 20:10:36,115264.0,20.0,143.0,7.0,0.0,25.0,14.0,61.0,142.0,18.0,136.0,10.0,3.0,2.0,41.0,16.0
2012-01-09 12:44:02,110234.0,17.0,142.0,8.0,0.0,34.0,12.0,69.0,146.0,18.0,112.0,10.0,3.0,2.0,52.0,15.0
2012-02-08 17:44:06,116422.0,17.0,142.0,8.0,0.0,34.0,12.0,68.0,153.0,18.0,110.0,10.0,3.0,2.0,52.0,15.0
