COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2000-10-11 16:43:11,71725.0,255.0,633.0,26.0,237.0,4.0,32.0,453.0,91.0,112.0,170.0,5.0,29.0,264.0,53.0,44.0
2000-11-10 17:14:39,90870.0,284.0,630.0,40.0,259.0,15.0,37.0,746.0,119.0,162.0,277.0,9.0,40.0,312.0,66.0,67.0
2000-12-11 13:35:11,112045.0,368.0,650.0,58.0,328.0,20.0,35.0,921.0,139.0,281.0,292.0,13.0,67.0,396.0,79.0,92.0
2001-01-11 10:23:53,116751.0,378.0,651.0,60.0,340.0,20.0,35.0,963.0,143.0,285.0,286.0,13.0,66.0,435.0,94.0,87.0
2001-02-11 20:36:42,124769.0,427.0,681.0,93.0,400.0,24.0,36.0,1051.0,170.0,324.0,300.0,18.0,64.0,506.0,129.0,104.0
2001-03-14 00:53:22,109148.0,398.0,699.0,101.0,289.0,19.0,35.0,902.0,166.0,348.0,282.0,14.0,58.0,300.0,100.0,95.0
2001-04-13 21:17:03,123893.0,491.0,710.0,111.0,291.0,20.0,41.0,960.0,173.0,337.0,299.0,15.0,65.0,382.0,120.0,129.0
2001-05-14 04:31:09,139728.0,527.0,725.0,116.0,313.0,19.0,52.0,918.0,182.0,338.0,302.0,20.0,60.0,390.0,111.0,151.0
2001-06-21 07:54:31,146868.0,551.0,726.0,125.0,318.0,20.0,57.0,952.0,193.0,358.0,363.0,20.0,62.0,427.0,115.0,159.0
2001-07-23 19:36:30,149594.0,557.0,723.0,137.0,357.0,20.0,58.0,953.0,197.0,367.0,363.0,20.0,58.0,434.0,124.0,161.0
2001-08-29 11:49:31,152041.0,558.0,761.0,129.0,388.0,20.0,61.0,977.0,204.0,330.0,367.0,20.0,65.0,450.0,124.0,149.0
2001-09-28 12:02:48,155921.0,514.0,739.0,129.0,456.0,17.0,61.0,967.0,183.0,329.0,520.0,20.0,71.0,454.0,134.0,158.0
2001-10-29 19:13:54,161496.0,544.0,743.0,127.0,459.0,16.0,63.0,1001.0,192.0,336.0,522.0,21.0,77.0,464.0,135.0,159.0
2001-11-29 12:34:10,168424.0,550.0,741.0,127.0,452.0,16.0,63.0,1051.0,201.0,351.0,523.0,22.0,77.0,475.0,123.0,159.0
2002-01-02 21:21:17,170164.0,565.0,741.0,128.0,458.0,16.0,63.0,1065.0,202.0,355.0,525.0,22.0,81.0,474.0,123.0,160.0
2002-02-06 13:18:33,170436.0,566.0,741.0,125.0,473.0,16.0,65.0,1079.0,204.0,358.0,526.0,22.0,81.0,474.0,127.0,159.0
2002-03-11 09:04:38,174077.0,588.0,701.0,125.0,544.0,17.0,65.0,1091.0,212.0,365.0,508.0,22.0,87.0,477.0,125.0,161.0
2002-04-10 16:19:03,172851.0,711.0,813.0,125.0,564.0,17.0,37.0,951.0,203.0,367.0,493.0,22.0,84.0,523.0,123.0,158.0
2002-05-14 08:57:32,172497.0,730.0,836.0,125.0,566.0,17.0,39.0,929.0,207.0,368.0,331.0,22.0,85.0,526.0,122.0,163.0
2002-06-13 11:19:39,107483.0,729.0,844.0,125.0,575.0,17.0,39.0,918.0,209.0,368.0,329.0,22.0,83.0,530.0,125.0,163.0
2002-07-18 07:45:01,109316.0,735.0,847.0,126.0,597.0,19.0,39.0,938.0,209.0,371.0,330.0,23.0,83.0,531.0,124.0,168.0
