COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-03-27 05:25:57,1380.0,9.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,6.0,2.0
2001-05-07 00:32:33,1879.0,25.0,0.0,0.0,2.0,0.0,6.0,4.0,3.0,14.0,0.0,0.0,0.0,0.0,13.0,8.0
2001-06-06 00:32:33,3744.0,26.5,0.0,0.0,2.0,0.0,6.0,4.5,3.0,14.0,0.0,0.0,0.0,0.0,13.0,9.0
2001-07-14 23:54:51,5609.0,28.0,0.0,0.0,2.0,0.0,6.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,13.0,10.0
2001-08-21 21:59:02,7053.0,31.0,0.0,6.0,2.0,0.0,6.0,6.0,3.0,23.0,0.0,0.0,1.0,0.0,13.0,10.0
2001-10-14 00:54:24,9152.0,32.0,0.0,6.0,2.0,0.0,6.0,6.0,3.0,23.0,0.0,0.0,1.0,0.0,13.0,10.0
2001-11-13 00:54:24,9442.5,32.0,0.0,6.0,2.0,0.0,6.0,6.0,3.0,24.5,0.0,0.0,1.0,0.0,13.0,11.0
2001-12-15 19:19:24,9733.0,32.0,0.0,6.0,2.0,0.0,6.0,6.0,3.0,26.0,0.0,0.0,1.0,0.0,13.0,12.0
2002-01-16 23:31:37,19566.0,53.0,0.0,6.0,4.0,0.0,6.0,27.0,6.0,25.0,0.0,0.0,1.0,0.0,14.0,25.0
2002-03-06 20:21:24,19901.0,54.0,0.0,6.0,0.0,0.0,6.0,2.0,6.0,25.0,0.0,0.0,1.0,0.0,14.0,25.0
2002-04-06 23:28:35,21724.0,69.0,0.0,6.0,0.0,0.0,3.0,4.0,7.0,26.0,0.0,0.0,1.0,0.0,14.0,25.0
2002-05-17 07:25:50,22178.0,82.0,0.0,6.0,0.0,0.0,3.0,4.0,20.0,26.0,0.0,0.0,1.0,0.0,16.0,25.0
