COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2007-01-21 11:11:02,179813.0,325.0,83.0,42.0,195.0,13.0,27.0,35.0,210.0,199.0,147.0,75.0,66.0,145.0,34.0,32.0
2007-02-25 14:04:55,190039.0,326.0,81.0,41.0,195.0,13.0,26.0,35.0,210.0,199.0,146.0,75.0,64.0,145.0,34.0,32.0
2007-03-29 09:22:06,188042.0,326.0,81.0,41.0,195.0,13.0,26.0,35.0,211.0,202.0,146.0,75.0,64.0,147.0,34.0,32.0
2007-05-01 00:02:40,188693.0,328.0,83.0,41.0,195.0,14.0,26.0,36.0,211.0,202.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-06-08 19:29:06,188759.0,328.0,83.0,41.0,195.0,14.0,26.0,36.0,211.0,202.0,148.0,75.0,66.0,147.0,34.0,32.0
2007-07-14 21:19:06,192698.0,330.0,84.0,41.0,195.0,14.0,27.0,34.0,215.0,204.0,148.0,76.0,66.0,147.0,34.0,32.0
2007-08-14 21:56:22,197440.0,331.0,84.0,41.0,192.0,8.0,27.0,37.0,218.0,200.0,148.0,74.0,62.0,147.0,34.0,31.0
2007-09-15 12:20:33,201020.0,330.0,84.0,41.0,192.0,8.0,27.0,37.0,220.0,200.0,150.0,76.0,62.0,147.0,37.0,31.0
2007-10-19 07:20:15,205788.0,333.0,85.0,41.0,192.0,8.0,25.0,42.0,225.0,200.0,153.0,76.0,67.0,148.0,39.0,32.0
2007-11-20 06:26:11,209491.0,331.0,85.0,43.0,195.0,7.0,25.0,45.0,226.0,200.0,153.0,78.0,69.0,148.0,39.0,32.0
2007-12-20 18:36:50,212259.0,330.0,85.0,45.0,180.0,9.0,12.0,34.0,226.0,198.0,154.0,77.0,69.0,148.0,39.0,31.0
2008-01-19 23:06:50,215004.0,331.0,85.0,45.0,180.0,8.0,12.0,33.0,232.0,199.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-02-19 00:02:53,214376.0,331.0,85.0,45.0,180.0,8.0,8.0,28.0,237.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-03-22 21:31:30,210154.0,331.0,85.0,45.0,182.0,9.0,8.0,34.0,242.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-04-22 14:08:37,218837.0,332.0,85.0,45.0,182.0,10.0,8.0,28.0,244.0,200.0,153.0,77.0,70.0,148.0,39.0,31.0
2008-05-23 23:23:37,221092.0,328.0,88.0,43.0,182.0,10.0,8.0,24.0,244.0,202.0,149.0,78.0,70.0,149.0,39.0,31.0
2008-06-25 12:35:52,222828.0,328.0,88.0,39.0,180.0,11.0,8.0,24.0,242.0,210.0,149.0,78.0,72.0,150.0,40.0,31.0
