COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2003-03-09 00:11:46,106029.0,150.0,208.0,309.0,579.0,51.0,16.0,72.0,186.0,255.0,105.0,33.0,80.0,98.0,355.0,46.0
2003-04-09 11:12:20,108995.0,147.0,206.0,306.0,581.0,53.0,16.0,70.0,192.0,265.0,100.0,37.0,81.0,101.0,360.0,11.0
2003-05-12 13:23:58,127485.0,341.0,269.0,306.0,585.0,55.0,28.0,109.0,239.0,267.0,139.0,43.0,88.0,99.0,394.0,23.0
2003-06-13 10:27:38,135264.0,438.0,283.0,316.0,629.0,55.0,30.0,106.0,259.0,281.0,154.0,44.0,99.0,114.0,416.0,38.0
2003-07-14 02:50:45,154483.0,547.0,290.0,356.0,699.0,59.0,43.0,97.0,268.0,328.0,181.0,46.0,107.0,178.0,454.0,84.0
2003-08-13 08:44:54,163172.0,578.0,291.0,362.0,687.0,67.0,44.0,80.0,264.0,321.0,214.0,47.0,107.0,188.0,564.0,52.0
2003-09-12 14:46:58,169990.0,585.0,297.0,376.0,654.0,69.0,45.0,96.0,274.0,330.0,226.0,53.0,121.0,183.0,573.0,54.0
2003-10-13 12:08:10,182579.0,592.0,304.0,389.0,647.0,72.0,23.0,80.0,276.0,333.0,235.0,57.0,121.0,182.0,579.0,54.0
2003-11-13 13:15:19,174878.0,587.0,310.0,378.0,640.0,69.0,18.0,77.0,277.0,337.0,243.0,57.0,128.0,183.0,598.0,57.0
2003-12-14 15:25:36,193550.0,591.0,315.0,382.0,642.0,79.0,17.0,65.0,294.0,355.0,263.0,57.0,135.0,187.0,594.0,61.0
2004-01-15 13:26:39,198500.0,593.0,320.0,383.0,703.0,85.0,15.0,61.0,299.0,363.0,286.0,60.0,137.0,200.0,615.0,56.0
2004-02-15 10:06:53,201318.0,601.0,309.0,359.0,712.0,87.0,15.0,56.0,297.0,383.0,298.0,62.0,142.0,197.0,613.0,56.0
2004-03-16 15:56:43,223131.0,644.0,298.0,358.0,760.0,104.0,15.0,71.0,648.0,407.0,383.0,67.0,127.0,231.0,665.0,57.0
2004-04-16 09:39:57,218546.0,550.0,285.0,357.0,743.0,108.0,15.0,67.0,622.0,398.0,381.0,66.0,128.0,229.0,621.0,67.0
2004-05-16 15:20:48,231137.0,567.0,290.0,380.0,814.0,108.0,15.0,79.0,709.0,419.0,382.0,66.0,130.0,230.0,640.0,63.0
2004-06-15 19:06:45,228865.0,566.0,260.0,378.0,807.0,112.0,14.0,71.0,695.0,409.0,374.0,65.0,127.0,231.0,632.0,65.0
2004-07-16 12:36:46,235503.0,570.0,259.0,380.0,806.0,136.0,14.0,77.0,721.0,410.0,379.0,65.0,129.0,231.0,635.0,67.0
2004-08-17 11:05:12,234727.0,570.0,259.0,379.0,805.0,137.0,14.0,66.0,718.0,406.0,377.0,65.0,129.0,229.0,626.0,65.0
2004-09-16 20:08:06,235950.0,557.0,259.0,379.0,807.0,137.0,14.0,66.0,715.0,415.0,381.0,67.0,127.0,228.0,632.0,65.0
2004-10-18 13:10:24,248221.0,579.0,266.0,387.0,839.0,144.0,14.0,95.0,734.0,433.0,387.0,66.0,139.0,237.0,642.0,73.0
2004-11-17 17:41:23,254473.0,577.0,268.0,397.0,841.0,140.0,14.0,54.0,736.0,432.0,408.0,71.0,137.0,235.0,649.0,74.0
2004-12-17 20:51:32,260478.0,624.0,268.0,389.0,837.0,132.0,14.0,58.0,757.0,440.0,432.0,74.0,136.0,239.0,655.0,71.0
2005-01-16 21:35:37,260590.0,624.0,276.0,387.0,826.0,132.0,14.0,64.0,757.0,461.0,415.0,72.0,126.0,217.0,662.0,70.0
2005-02-16 22:14:12,233434.0,579.0,270.0,376.0,693.0,119.0,15.0,53.0,524.0,430.0,313.0,64.0,112.0,204.0,571.0,70.0
2005-03-19 16:53:06,66980.0,288.0,102.0,140.0,200.0,36.0,1.0,18.0,128.0,156.0,117.0,30.0,27.0,49.0,181.0,11.0
2005-04-20 03:06:20,68234.0,297.0,101.0,139.0,204.0,37.0,1.0,24.0,139.0,155.0,125.0,32.0,26.0,49.0,183.0,11.0
2005-05-22 16:59:13,66640.0,199.0,105.0,133.0,202.0,37.0,1.0,16.0,165.0,158.0,116.0,27.0,28.0,47.0,175.0,11.0
2005-06-26 21:29:01,67397.0,201.0,105.0,133.0,202.0,36.0,1.0,21.0,171.0,158.0,117.0,27.0,28.0,47.0,175.0,10.0
2005-07-27 19:26:02,68747.0,201.0,105.0,134.0,213.0,36.0,1.0,23.0,178.0,165.0,119.0,27.0,28.0,47.0,178.0,10.0
2005-08-30 17:15:36,68997.0,192.0,106.0,134.0,192.0,36.0,1.0,27.0,180.0,167.0,118.0,27.0,28.0,47.0,172.0,7.0
2005-09-29 17:20:10,69998.0,191.0,108.0,135.0,189.0,38.0,1.0,24.0,199.0,169.0,121.0,27.0,28.0,47.0,175.0,9.0
2005-10-30 06:03:17,71231.0,192.0,101.0,135.0,189.0,37.0,3.0,13.0,240.0,172.0,108.0,27.0,28.0,47.0,176.0,8.0
2005-11-29 15:35:23,71388.0,192.0,100.0,135.0,189.0,37.0,3.0,15.0,246.0,173.0,108.0,27.0,28.0,47.0,176.0,8.0
2005-12-30 13:30:37,72058.0,195.0,101.0,135.0,189.0,38.0,3.0,12.0,611.0,176.0,111.0,28.0,29.0,47.0,177.0,4.0
2006-01-31 20:13:40,144628.0,272.0,173.0,175.0,385.0,76.0,5.0,14.0,426.0,386.0,277.0,47.0,44.0,86.0,342.0,11.0
2006-03-03 10:13:14,141258.0,263.0,168.0,174.0,382.0,74.0,6.0,10.0,420.0,351.0,279.0,45.0,43.0,85.0,349.0,11.0
2006-04-02 16:42:51,221786.0,328.0,317.0,335.0,549.0,125.0,6.0,13.0,527.0,425.0,362.0,63.0,83.0,105.0,535.0,18.0
2006-05-05 14:09:22,224789.0,344.0,306.0,334.0,529.0,129.0,6.0,17.0,300.0,417.0,372.0,63.0,83.0,105.0,538.0,18.0
2006-06-08 02:39:13,225800.0,341.0,310.0,335.0,536.0,122.0,6.0,9.0,297.0,431.0,388.0,65.0,84.0,105.0,541.0,17.0
2006-07-10 14:57:34,226045.0,342.0,305.0,336.0,562.0,119.0,6.0,7.0,299.0,427.0,390.0,69.0,82.0,105.0,546.0,16.0
2006-08-10 06:33:57,281266.0,343.0,306.0,337.0,559.0,121.0,6.0,15.0,303.0,392.0,390.0,69.0,81.0,105.0,552.0,16.0
2006-09-09 18:09:01,281882.0,324.0,304.0,333.0,550.0,125.0,6.0,17.0,298.0,377.0,396.0,69.0,79.0,105.0,550.0,17.0
2006-10-16 21:28:28,279997.0,315.0,300.0,333.0,548.0,107.0,5.0,17.0,277.0,364.0,306.0,68.0,77.0,105.0,537.0,19.0
2006-11-16 07:43:14,281688.0,318.0,308.0,333.0,543.0,103.0,5.0,15.0,284.0,362.0,310.0,68.0,77.0,105.0,538.0,17.0
2006-12-17 16:06:18,280192.0,321.0,303.0,332.0,532.0,102.0,5.0,11.0,274.0,352.0,306.0,68.0,77.0,105.0,538.0,12.0
2007-01-17 17:42:59,282280.0,322.0,300.0,315.0,548.0,99.0,5.0,10.0,289.0,353.0,315.0,68.0,76.0,106.0,540.0,10.0
