COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-04-14 19:32:38,1504.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-05 07:20:10,6438.0,20.0,15.0,9.0,5.0,3.0,5.0,34.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0
2001-07-14 23:33:27,7661.0,20.0,15.0,9.0,5.0,3.0,5.0,34.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0
2001-08-22 07:43:53,7693.0,21.0,15.0,9.0,5.0,3.0,5.0,35.0,7.0,1.0,0.0,1.0,0.0,0.0,6.0,9.0
2001-10-19 20:18:21,8446.0,25.0,15.0,9.0,5.0,3.0,6.0,40.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0
2001-11-26 17:15:33,8476.0,27.0,15.0,9.0,5.0,3.0,6.0,40.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0
2002-01-20 04:36:08,11802.0,27.0,33.0,9.0,5.0,3.0,11.0,41.0,8.0,3.0,0.0,7.0,94.0,0.0,6.0,25.0
2002-02-20 18:01:34,12133.0,37.0,33.0,9.0,18.0,3.0,11.0,44.0,8.0,1.0,1.0,7.0,94.0,0.0,16.0,24.0
2002-03-25 05:50:57,13928.0,63.0,36.0,9.0,37.0,6.0,52.0,56.0,8.0,2.0,1.0,10.0,98.0,0.0,15.0,27.0
2002-05-02 06:17:19,14650.0,71.0,47.0,9.0,37.0,6.0,56.0,71.0,10.0,2.0,1.0,13.0,100.0,0.0,16.0,32.0
2002-06-04 16:01:28,16328.0,98.0,50.0,9.0,50.0,12.0,56.0,123.0,16.0,2.0,1.0,13.0,101.0,0.0,19.0,32.0
2002-07-09 16:48:56,17006.0,110.0,55.0,1.0,117.0,14.0,56.0,136.0,22.0,18.0,7.0,14.0,100.0,0.0,20.0,27.0
2002-08-10 00:36:34,17052.0,110.0,55.0,1.0,117.0,14.0,56.0,136.0,22.0,18.0,7.0,14.0,100.0,0.0,20.0,27.0
2002-09-09 00:36:34,18450.0,102.0,54.5,2.0,139.0,14.0,56.0,107.5,22.5,22.0,7.5,15.0,100.0,0.0,20.0,30.0
2002-10-12 22:35:10,19848.0,94.0,54.0,3.0,161.0,14.0,56.0,79.0,23.0,26.0,8.0,16.0,100.0,0.0,20.0,33.0
2002-11-18 23:58:17,20119.0,94.0,54.0,3.0,148.0,14.0,56.0,8.0,23.0,27.0,8.0,16.0,100.0,0.0,20.0,31.0
2003-01-04 15:00:57,21846.0,96.0,54.0,4.0,134.0,14.0,59.0,8.0,30.0,27.0,8.0,18.0,107.0,0.0,23.0,35.0
2003-02-20 23:14:03,23177.0,134.0,60.0,6.0,147.0,16.0,58.0,3.0,34.0,30.0,8.0,18.0,106.0,0.0,20.0,37.0
2003-04-04 20:42:03,24819.0,137.0,60.0,6.0,143.0,18.0,58.0,3.0,46.0,30.0,8.0,18.0,106.0,0.0,21.0,42.0
2003-05-06 10:24:01,40032.0,357.0,70.0,17.0,173.0,38.0,66.0,2.0,133.0,48.0,10.0,18.0,107.0,0.0,21.0,29.0
2003-06-05 10:24:01,42209.0,385.5,72.5,17.0,172.0,38.0,65.5,2.5,137.0,56.5,11.0,18.0,108.0,0.0,21.0,30.5
2003-07-08 18:04:49,44386.0,414.0,75.0,17.0,171.0,38.0,65.0,3.0,141.0,65.0,12.0,18.0,109.0,0.0,21.0,32.0
2003-08-20 21:03:16,44607.0,417.0,75.0,17.0,172.0,38.0,65.0,3.0,141.0,65.0,12.0,18.0,109.0,0.0,21.0,32.0
2003-09-19 22:21:53,49244.0,436.0,75.0,48.0,172.0,38.0,65.0,8.0,184.0,66.0,12.0,18.0,118.0,2.0,21.0,38.0
2003-10-28 18:48:10,53955.0,442.0,70.0,48.0,159.0,33.0,66.0,6.0,185.0,67.0,12.0,31.0,141.0,2.0,34.0,49.0
2003-11-27 23:57:09,61518.0,562.0,76.0,48.0,146.0,9.0,61.0,2.0,197.0,96.0,10.0,33.0,237.0,11.0,34.0,56.0
2003-12-28 18:08:54,68115.0,570.0,82.0,49.0,213.0,11.0,63.0,2.0,238.0,116.0,11.0,36.0,249.0,11.0,41.0,58.0
2004-02-18 01:00:08,47045.0,240.0,47.0,34.0,176.0,11.0,57.0,0.0,102.0,81.0,9.0,35.0,285.0,9.0,40.0,56.0
2004-03-31 21:43:27,48021.0,241.0,47.0,34.0,176.0,11.0,60.0,0.0,107.0,81.0,9.0,37.0,309.0,9.0,40.0,58.0
2004-04-30 22:53:16,50616.0,239.0,47.0,35.0,180.0,13.0,62.0,0.0,110.0,75.0,9.0,37.0,321.0,25.0,40.0,63.0
2004-05-31 22:39:20,51011.0,239.0,48.0,32.0,181.0,13.0,61.0,0.0,112.0,75.0,10.0,37.0,323.0,25.0,40.0,64.0
2004-07-17 21:02:47,52390.0,246.0,48.0,32.0,177.0,16.0,61.0,1.0,116.0,74.0,10.0,37.0,349.0,25.0,40.0,65.0
2004-08-16 21:02:47,52499.5,246.0,48.0,32.0,177.5,16.0,61.0,1.0,116.0,74.0,10.0,37.0,351.5,25.0,40.0,65.0
2004-09-22 23:03:50,52609.0,246.0,48.0,32.0,178.0,16.0,61.0,1.0,116.0,74.0,10.0,37.0,354.0,25.0,40.0,65.0
2004-10-22 23:03:50,52642.0,246.0,48.0,32.0,178.5,16.0,61.0,1.0,116.0,74.0,10.0,37.0,354.0,25.0,40.0,65.0
2004-12-11 06:22:58,52675.0,246.0,48.0,32.0,179.0,16.0,61.0,1.0,116.0,74.0,10.0,37.0,354.0,25.0,40.0,65.0
2005-01-22 00:47:49,52847.0,246.0,48.0,32.0,177.0,16.0,61.0,1.0,116.0,74.0,10.0,37.0,356.0,25.0,40.0,67.0
2005-02-26 12:55:26,52847.0,246.0,48.0,32.0,177.0,16.0,61.0,1.0,117.0,74.0,10.0,37.0,356.0,25.0,40.0,67.0
2005-03-28 12:55:26,52980.5,250.0,48.0,32.0,177.0,16.0,61.0,1.0,117.5,74.0,10.0,37.0,356.0,25.0,40.0,67.0
2005-05-07 17:26:58,53114.0,254.0,48.0,32.0,177.0,16.0,61.0,1.0,118.0,74.0,10.0,37.0,356.0,25.0,40.0,67.0
2005-06-25 16:39:34,53814.0,259.0,48.0,32.0,177.0,16.0,62.0,1.0,119.0,74.0,11.0,40.0,360.0,25.0,40.0,67.0
2005-08-05 23:07:00,54419.0,259.0,48.0,32.0,184.0,16.0,62.0,2.0,124.0,74.0,11.0,40.0,375.0,25.0,40.0,67.0
2005-09-04 23:07:00,54419.0,259.0,48.0,32.0,184.0,16.0,62.0,2.0,124.0,74.0,10.5,40.0,375.0,25.0,40.0,67.0
2005-10-08 12:49:53,54419.0,259.0,48.0,32.0,184.0,16.0,62.0,2.0,124.0,74.0,10.0,40.0,375.0,25.0,40.0,67.0
2005-11-11 20:39:13,54623.0,261.0,48.0,32.0,184.0,16.0,62.0,2.0,124.0,74.0,10.0,40.0,378.0,25.0,40.0,66.0
2006-01-02 19:34:53,55287.0,261.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,75.0,10.0,40.0,385.0,25.0,40.0,69.0
2006-02-07 23:10:36,55230.0,262.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,75.0,10.0,40.0,385.0,25.0,40.0,68.0
2006-03-09 23:10:36,55294.5,262.5,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.5,10.0,40.0,386.5,25.0,40.0,67.0
2006-05-06 16:10:31,55359.0,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.0,10.0,40.0,388.0,25.0,40.0,66.0
2006-06-05 16:10:31,55437.0,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.0,10.0,40.0,389.5,25.0,40.0,66.0
2006-07-18 22:03:00,55515.0,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.0,10.0,40.0,391.0,25.0,40.0,66.0
2006-08-17 22:03:00,55542.88888888889,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.11111111111111,10.0,40.0,391.0,25.0,40.0,65.77777777777777
2006-09-16 22:03:00,55570.77777777778,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.22222222222223,10.0,40.0,391.0,25.0,40.0,65.55555555555556
2006-10-16 22:03:00,55598.666666666664,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.33333333333333,10.0,40.0,391.0,25.0,40.0,65.33333333333333
2006-11-15 22:03:00,55626.555555555555,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.44444444444444,10.0,40.0,391.0,25.0,40.0,65.11111111111111
2006-12-15 22:03:00,55654.444444444445,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.55555555555556,10.0,40.0,391.0,25.0,40.0,64.88888888888889
2007-01-14 22:03:00,55682.333333333336,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.66666666666667,10.0,40.0,391.0,25.0,40.0,64.66666666666667
2007-02-13 22:03:00,55710.22222222222,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.77777777777777,10.0,40.0,391.0,25.0,40.0,64.44444444444444
2007-03-15 22:03:00,55738.11111111111,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,74.88888888888889,10.0,40.0,391.0,25.0,40.0,64.22222222222223
2007-04-21 13:44:46,55766.0,263.0,48.0,32.0,186.0,16.0,60.0,2.0,125.0,75.0,10.0,40.0,391.0,25.0,40.0,64.0
2007-05-21 13:44:46,55750.5,263.0,48.0,32.0,185.75,16.0,60.0,2.0,125.0,75.0,10.0,39.5,390.75,25.0,40.0,64.0
2007-06-20 13:44:46,55735.0,263.0,48.0,32.0,185.5,16.0,60.0,2.0,125.0,75.0,10.0,39.0,390.5,25.0,40.0,64.0
2007-07-20 13:44:46,55719.5,263.0,48.0,32.0,185.25,16.0,60.0,2.0,125.0,75.0,10.0,38.5,390.25,25.0,40.0,64.0
2007-09-05 13:38:47,55704.0,263.0,48.0,32.0,185.0,16.0,60.0,2.0,125.0,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2007-10-05 13:38:47,55707.5,263.0,48.0,32.0,185.0,16.0,60.0,2.0,124.66666666666667,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2007-11-04 13:38:47,55711.0,263.0,48.0,32.0,185.0,16.0,60.0,2.0,124.33333333333333,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2007-12-04 13:38:47,55714.5,263.0,48.0,32.0,185.0,16.0,60.0,2.0,124.0,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2008-01-03 13:38:47,55718.0,263.0,48.0,32.0,185.0,16.0,60.0,2.0,123.66666666666667,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2008-02-02 13:38:47,55721.5,263.0,48.0,32.0,185.0,16.0,60.0,2.0,123.33333333333333,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2008-03-15 23:23:48,55725.0,263.0,48.0,32.0,185.0,16.0,60.0,2.0,123.0,75.0,10.0,38.0,390.0,25.0,40.0,64.0
2008-05-13 06:53:35,55878.0,263.0,48.0,32.0,185.0,16.0,60.0,2.0,123.0,76.0,10.0,38.0,390.0,25.0,40.0,64.0
2008-06-12 06:53:35,55881.2,263.0,48.0,32.0,185.0,16.0,60.0,2.6,123.0,76.0,10.0,38.0,389.8,25.0,40.0,64.0
2008-07-12 06:53:35,55884.4,263.0,48.0,32.0,185.0,16.0,60.0,3.2,123.0,76.0,10.0,38.0,389.6,25.0,40.0,64.0
2008-08-11 06:53:35,55887.6,263.0,48.0,32.0,185.0,16.0,60.0,3.8,123.0,76.0,10.0,38.0,389.4,25.0,40.0,64.0
2008-09-10 06:53:35,55890.8,263.0,48.0,32.0,185.0,16.0,60.0,4.4,123.0,76.0,10.0,38.0,389.2,25.0,40.0,64.0
2008-11-04 00:15:36,55894.0,263.0,48.0,32.0,185.0,16.0,60.0,5.0,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2008-12-04 00:15:36,55915.0,263.0,48.0,32.0,185.0,16.0,60.5,5.0,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2009-01-05 09:09:55,55936.0,263.0,48.0,32.0,185.0,16.0,61.0,5.0,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2009-02-04 09:09:55,55934.0,263.0,48.0,32.0,185.0,16.0,61.0,4.25,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2009-03-06 09:09:55,55932.0,263.0,48.0,32.0,185.0,16.0,61.0,3.5,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2009-04-05 09:09:55,55930.0,263.0,48.0,32.0,185.0,16.0,61.0,2.75,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2009-05-20 04:30:13,55928.0,263.0,48.0,32.0,185.0,16.0,61.0,2.0,123.0,76.0,10.0,38.0,389.0,25.0,40.0,64.0
2009-06-19 04:30:13,55949.333333333336,263.6666666666667,48.0,32.0,185.0,16.0,61.666666666666664,2.0,126.0,76.0,10.0,38.333333333333336,390.6666666666667,25.0,40.0,64.0
2009-07-19 04:30:13,55970.666666666664,264.3333333333333,48.0,32.0,185.0,16.0,62.333333333333336,2.0,129.0,76.0,10.0,38.666666666666664,392.3333333333333,25.0,40.0,64.0
2009-09-15 05:29:56,55992.0,265.0,48.0,32.0,185.0,16.0,63.0,2.0,132.0,76.0,10.0,39.0,394.0,25.0,40.0,64.0
2009-10-15 05:29:56,52801.0,252.0,40.0,32.0,169.0,11.666666666666668,45.33333333333333,3.0,116.66666666666667,69.33333333333333,11.0,35.666666666666664,360.6666666666667,25.0,36.666666666666664,44.0
2009-11-14 05:29:56,49610.0,239.0,32.0,32.0,153.0,7.333333333333334,27.666666666666664,4.0,101.33333333333333,62.666666666666664,12.0,32.333333333333336,327.3333333333333,25.0,33.333333333333336,24.0
2009-12-29 23:12:18,46419.0,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-01-28 23:12:18,46323.333333333336,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-02-27 23:12:18,46227.666666666664,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-03-29 23:12:18,46132.0,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-04-28 23:12:18,46036.333333333336,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-05-28 23:12:18,45940.666666666664,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-07-18 07:43:15,45845.0,226.0,24.0,32.0,137.0,3.0,10.0,5.0,86.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-08-17 07:43:15,45981.5,226.0,24.0,32.0,137.0,3.0,8.0,4.5,91.5,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-10-01 02:27:12,46118.0,226.0,24.0,32.0,137.0,3.0,6.0,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-10-31 02:27:12,45372.5,216.5,24.0,32.0,137.0,3.0,3.5,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2010-12-20 19:24:29,44627.0,207.0,24.0,32.0,137.0,3.0,1.0,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2011-02-10 23:50:23,44609.0,207.0,24.0,32.0,137.0,3.0,1.0,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,4.0
2011-03-12 23:50:23,44632.666666666664,208.0,24.0,32.0,137.0,3.3333333333333335,1.0,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,4.333333333333333
2011-04-11 23:50:23,44656.333333333336,209.0,24.0,32.0,137.0,3.6666666666666665,1.0,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,4.666666666666667
2011-05-24 02:46:02,44680.0,210.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,13.0,29.0,294.0,25.0,30.0,5.0
2011-07-20 14:44:46,45034.0,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2011-08-19 14:44:46,45033.71428571428,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2011-09-18 14:44:46,45033.42857142857,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2011-10-18 14:44:46,45033.142857142855,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2011-11-17 14:44:46,45032.857142857145,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2011-12-17 14:44:46,45032.57142857143,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2012-01-16 14:44:46,45032.28571428572,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2012-03-10 14:28:37,45032.0,212.0,24.0,32.0,137.0,4.0,1.0,4.0,97.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2012-04-09 17:27:15,45063.0,212.0,24.0,32.0,137.0,4.0,1.0,4.0,98.0,56.0,14.0,29.0,294.0,25.0,30.0,6.0
2012-06-03 10:22:04,45709.0,213.0,24.0,32.0,137.0,4.0,1.0,5.0,99.0,56.0,16.0,29.0,295.0,25.0,30.0,6.0
2012-07-15 10:12:33,45804.0,214.0,24.0,32.0,137.0,4.0,1.0,1.0,100.0,47.0,16.0,29.0,295.0,25.0,30.0,6.0
2012-08-16 20:50:27,49740.0,216.0,24.0,32.0,134.0,6.0,7.0,1.0,104.0,51.0,16.0,29.0,307.0,25.0,30.0,6.0
2012-09-15 20:50:27,49841.75,218.25,23.75,32.0,132.5,6.0,7.25,1.0,104.0,51.0,15.75,29.25,307.0,25.0,30.0,6.25
2012-10-15 20:50:27,49943.5,220.5,23.5,32.0,131.0,6.0,7.5,1.0,104.0,51.0,15.5,29.5,307.0,25.0,30.0,6.5
2012-11-14 20:50:27,50045.25,222.75,23.25,32.0,129.5,6.0,7.75,1.0,104.0,51.0,15.25,29.75,307.0,25.0,30.0,6.75
2013-01-07 16:48:10,50147.0,225.0,23.0,32.0,128.0,6.0,8.0,1.0,104.0,51.0,15.0,30.0,307.0,25.0,30.0,7.0
2013-02-07 18:59:43,49774.0,225.0,23.0,32.0,11.0,5.0,1.0,0.0,106.0,49.0,15.0,30.0,307.0,25.0,31.0,10.0
2013-03-17 10:01:09,50190.0,223.0,22.0,32.0,12.0,5.0,1.0,0.0,108.0,48.0,15.0,32.0,309.0,25.0,25.0,10.0
2013-04-16 19:53:49,50302.0,220.0,22.0,33.0,11.0,5.0,1.0,0.0,111.0,52.0,15.0,32.0,310.0,25.0,25.0,10.0
2013-06-09 18:35:24,47490.0,220.0,21.0,33.0,11.0,6.0,1.0,1.0,107.0,41.0,18.0,35.0,295.0,25.0,31.0,6.0
2013-07-09 18:35:24,47102.333333333336,220.0,21.0,33.0,11.0,6.0,1.0,1.0,107.33333333333333,40.333333333333336,17.666666666666668,35.0,294.3333333333333,25.0,33.333333333333336,6.0
2013-08-08 18:35:24,46714.666666666664,220.0,21.0,33.0,11.0,6.0,1.0,1.0,107.66666666666667,39.666666666666664,17.333333333333332,35.0,293.6666666666667,25.0,35.666666666666664,6.0
2013-09-09 19:38:49,46327.0,220.0,21.0,33.0,11.0,6.0,1.0,1.0,108.0,39.0,17.0,35.0,293.0,25.0,38.0,6.0
2013-10-20 21:12:51,46247.0,220.0,21.0,33.0,11.0,6.0,1.0,1.0,108.0,39.0,17.0,35.0,293.0,25.0,38.0,6.0
2013-11-20 07:51:32,46526.0,211.0,21.0,33.0,11.0,7.0,1.0,0.0,116.0,39.0,17.0,35.0,304.0,25.0,27.0,6.0
2013-12-20 07:51:32,47054.75,212.75,21.0,33.0,11.0,7.5,1.0,0.0,117.25,39.25,17.0,35.5,304.5,25.0,27.0,6.0
2014-01-19 07:51:32,47583.5,214.5,21.0,33.0,11.0,8.0,1.0,0.0,118.5,39.5,17.0,36.0,305.0,25.0,27.0,6.0
2014-02-18 07:51:32,48112.25,216.25,21.0,33.0,11.0,8.5,1.0,0.0,119.75,39.75,17.0,36.5,305.5,25.0,27.0,6.0
