COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-08-05 12:21:46,2523.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0
2005-09-22 21:57:56,2258.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0
2005-10-22 21:57:56,2271.25,13.0,0.0,0.0,0.0,0.75,0.0,1.0,15.25,0.0,0.0,3.5,1.0,3.0,2.0,0.0
2005-11-21 21:57:56,2284.5,13.0,0.0,0.0,0.0,0.5,0.0,2.0,16.5,0.0,0.0,3.0,1.0,3.0,2.0,0.0
2005-12-21 21:57:56,2297.75,13.0,0.0,0.0,0.0,0.25,0.0,3.0,17.75,0.0,0.0,2.5,1.0,3.0,2.0,0.0
2006-01-28 23:15:24,2311.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0
2006-03-11 19:18:50,2353.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0
2006-04-10 19:18:50,2552.0,4.5,0.0,0.0,0.0,0.5,0.0,8.5,22.0,0.0,0.5,2.0,1.0,3.0,2.0,1.5
2006-05-24 20:29:38,2751.0,5.0,0.0,0.0,0.0,1.0,0.0,9.0,24.0,0.0,1.0,2.0,1.0,3.0,2.0,3.0
2006-07-09 20:32:36,2282.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,5.0,2.0,1.0,3.0,2.0,3.0
2006-08-08 20:32:36,2284.9375,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,5.375,2.0,1.0,3.0,2.0,3.0
2006-09-07 20:32:36,2287.875,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,5.75,2.0,1.0,3.0,2.0,3.0
2006-10-07 20:32:36,2290.8125,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,6.125,2.0,1.0,3.0,2.0,3.0
2006-11-06 20:32:36,2293.75,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,6.5,2.0,1.0,3.0,2.0,3.0
2006-12-06 20:32:36,2296.6875,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,6.875,2.0,1.0,3.0,2.0,3.0
2007-01-05 20:32:36,2299.625,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,7.25,2.0,1.0,3.0,2.0,3.0
2007-02-04 20:32:36,2302.5625,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,7.625,2.0,1.0,3.0,2.0,3.0
2007-03-06 20:32:36,2305.5,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,8.0,2.0,1.0,3.0,2.0,3.0
2007-04-05 20:32:36,2308.4375,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,8.375,2.0,1.0,3.0,2.0,3.0
2007-05-05 20:32:36,2311.375,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,8.75,2.0,1.0,3.0,2.0,3.0
2007-06-04 20:32:36,2314.3125,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,9.125,2.0,1.0,3.0,2.0,3.0
2007-07-04 20:32:36,2317.25,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,9.5,2.0,1.0,3.0,2.0,3.0
2007-08-03 20:32:36,2320.1875,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,9.875,2.0,1.0,3.0,2.0,3.0
2007-09-02 20:32:36,2323.125,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,10.25,2.0,1.0,3.0,2.0,3.0
2007-10-02 20:32:36,2326.0625,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,10.625,2.0,1.0,3.0,2.0,3.0
2007-11-29 23:24:30,2329.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,0.0,11.0,2.0,1.0,3.0,2.0,3.0
2008-01-01 22:50:59,3142.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,23.0,0.0,19.0,2.0,1.0,4.0,2.0,3.0
2008-02-08 17:02:37,3196.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,22.0,0.0,20.0,2.0,1.0,4.0,2.0,3.0
2008-04-07 08:59:39,3211.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,21.0,0.0,20.0,2.0,1.0,4.0,2.0,4.0
2008-05-07 08:59:39,3178.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,20.0,0.0,20.5,2.0,1.0,4.0,2.0,3.5
2008-06-20 16:12:45,3145.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,21.0,2.0,1.0,4.0,2.0,3.0
2008-07-20 16:12:45,3126.75,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.25,0.0,21.25,2.0,1.0,4.0,2.0,2.25
2008-08-19 16:12:45,3108.5,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.5,0.0,21.5,2.0,1.0,4.0,2.0,1.5
2008-09-18 16:12:45,3090.25,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.75,0.0,21.75,2.0,1.0,4.0,2.0,0.75
2008-11-13 23:58:31,3072.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,20.0,0.0,22.0,2.0,1.0,4.0,2.0,0.0
2008-12-13 23:58:31,3140.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.5,0.0,22.5,2.0,1.0,4.0,2.0,0.0
2009-01-13 22:56:37,3208.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,23.0,2.0,1.0,4.0,2.0,0.0
2009-02-17 23:51:27,3233.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,24.0,2.0,1.0,4.0,2.0,0.0
2009-03-19 23:51:27,3125.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.5,0.0,24.5,2.0,1.0,4.0,2.0,0.0
2009-04-26 15:01:06,3017.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.0,2.0,1.0,4.0,2.0,0.0
2009-05-26 15:01:06,3257.5,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.0,2.0,1.5,4.0,2.0,0.0
2009-07-14 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.0,2.0,2.0,4.0,2.0,0.0
2009-08-13 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.142857142857142,2.0,2.0,4.0,2.0,0.0
2009-09-12 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.285714285714285,2.0,2.0,4.0,2.0,0.0
2009-10-12 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.428571428571427,2.0,2.0,4.0,2.0,0.0
2009-11-11 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.571428571428573,2.0,2.0,4.0,2.0,0.0
2009-12-11 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.714285714285715,2.0,2.0,4.0,2.0,0.0
2010-01-10 15:23:55,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,25.857142857142858,2.0,2.0,4.0,2.0,0.0
2010-03-04 18:03:14,3498.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,26.0,2.0,2.0,4.0,2.0,0.0
2010-04-03 18:03:14,3340.5,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,26.0,2.0,2.0,4.0,2.0,0.0
2010-05-31 22:16:39,3183.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,0.0,26.0,2.0,2.0,4.0,2.0,0.0
2010-06-30 22:16:39,3254.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,17.0,0.0,26.5,2.0,2.0,4.0,2.0,0.0
2010-08-12 16:18:02,3325.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,16.0,0.0,27.0,2.0,2.0,4.0,2.0,0.0
2010-09-13 20:01:12,3672.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,16.0,0.0,38.0,2.0,2.0,4.0,2.0,0.0
2010-10-24 19:54:09,3895.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,15.0,0.0,46.0,2.0,2.0,4.0,2.0,0.0
2010-11-23 19:54:09,3889.3333333333335,4.0,0.0,1.0,0.0,1.0,0.0,4.666666666666667,15.0,0.0,47.333333333333336,2.0,2.0,4.0,2.0,0.0
2010-12-23 19:54:09,3883.6666666666665,4.0,0.0,1.0,0.0,1.0,0.0,4.333333333333333,15.0,0.0,48.666666666666664,2.0,2.0,4.0,2.0,0.0
2011-02-04 14:29:32,3878.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-03-06 14:29:32,3876.625,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-04-05 14:29:32,3875.25,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-05-05 14:29:32,3873.875,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-06-04 14:29:32,3872.5,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-07-04 14:29:32,3871.125,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-08-03 14:29:32,3869.75,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-09-02 14:29:32,3868.375,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-10-09 10:40:55,3867.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,50.0,2.0,2.0,4.0,2.0,0.0
2011-11-30 07:57:29,4005.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0,0.0,52.0,2.0,2.0,4.0,2.0,0.0
