COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-02-11 18:14:17,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-13 18:14:17,2224.5,0.5,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0
2002-04-24 11:59:13,3240.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
2002-05-25 18:27:22,6848.0,3.0,0.0,0.0,0.0,1.0,0.0,171.0,21.0,1.0,7.0,0.0,2.0,0.0,2.0,1.0
2002-06-25 19:12:29,13344.0,6.0,3.0,0.0,0.0,3.0,4.0,328.0,42.0,0.0,14.0,0.0,7.0,0.0,15.0,8.0
2002-07-30 17:57:20,18701.0,9.0,3.0,0.0,0.0,3.0,8.0,341.0,72.0,2.0,21.0,1.0,9.0,4.0,29.0,15.0
2002-09-05 13:36:44,21143.0,9.0,3.0,0.0,0.0,2.0,8.0,373.0,78.0,2.0,26.0,1.0,6.0,4.0,31.0,14.0
2002-10-08 11:26:00,26313.0,10.0,5.0,0.0,1.0,3.0,7.0,469.0,135.0,4.0,35.0,2.0,4.0,4.0,69.0,16.0
2002-11-08 18:27:52,34058.0,14.0,6.0,0.0,6.0,3.0,7.0,536.0,217.0,4.0,43.0,2.0,8.0,4.0,80.0,18.0
2002-12-09 15:18:26,36945.0,11.0,7.0,0.0,12.0,3.0,3.0,535.0,228.0,5.0,45.0,2.0,8.0,4.0,81.0,16.0
2003-01-11 08:59:46,31802.0,5.0,2.0,0.0,11.0,1.0,0.0,16.0,68.0,3.0,37.0,0.0,7.0,4.0,35.0,8.0
2003-02-11 15:29:07,31629.0,2.0,2.0,0.0,2.0,0.0,0.0,8.0,11.0,1.0,0.0,0.0,2.0,4.0,11.0,9.0
2003-03-20 17:12:41,34301.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,8.0
2003-04-20 03:16:24,34276.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,8.0
2003-05-20 03:16:24,34362.0,2.0,1.5,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,7.5
2003-06-25 02:57:55,34448.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,7.0
2003-07-28 00:34:11,34620.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,7.0
2003-09-04 01:32:45,34730.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2003-10-04 01:32:45,34769.8,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2003-11-03 01:32:45,34809.6,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2003-12-03 01:32:45,34849.4,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2004-01-02 01:32:45,34889.2,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2004-02-05 22:32:30,34929.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2004-03-26 22:40:12,35964.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2004-04-25 22:40:12,36081.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2004-06-21 11:18:30,36198.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,11.0,6.0
2004-08-12 04:25:43,36529.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,0.0,2.0,2.0,4.0,11.0,6.0
2004-09-13 03:09:29,38316.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,7.0
2004-10-26 16:42:56,39076.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0
2004-12-08 10:00:28,39435.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0
2005-01-20 05:18:27,39251.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0
2005-03-03 00:34:58,40200.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
2005-04-02 00:34:58,40350.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.25
2005-05-02 00:34:58,40500.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5
2005-06-01 00:34:58,40650.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.75
2005-07-19 17:34:00,40800.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2005-08-18 17:34:00,40863.0,2.0,0.0,0.0,1.3333333333333335,0.0,0.0,7.0,1.3333333333333335,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2005-09-17 17:34:00,40926.0,2.0,0.0,0.0,0.6666666666666667,0.0,0.0,6.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2005-11-13 13:33:00,40989.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2005-12-13 13:33:00,41025.77777777778,2.0,0.0,0.0,0.0,0.0,0.0,5.194444444444445,0.0,0.0,0.027777777777777776,0.0,0.0,1.0,0.9722222222222222,1.9722222222222223
2006-01-12 13:33:00,41062.555555555555,2.0,0.0,0.0,0.0,0.0,0.0,5.388888888888889,0.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.9444444444444444,1.9444444444444444
2006-02-11 13:33:00,41099.333333333336,2.0,0.0,0.0,0.0,0.0,0.0,5.583333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.9166666666666666,1.9166666666666667
2006-03-13 13:33:00,41136.11111111111,2.0,0.0,0.0,0.0,0.0,0.0,5.777777777777778,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.8888888888888888,1.8888888888888888
