COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2003-12-24 14:28:22,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2004-01-30 14:05:01,5182.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0
2004-03-08 23:27:09,5973.0,0.0,4.0,1.0,12.0,2.0,0.0,0.0,4.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0
2004-05-04 22:14:29,6315.0,0.0,4.0,1.0,12.0,2.0,0.0,1.0,7.0,0.0,32.0,1.0,2.0,0.0,0.0,0.0
2004-06-04 12:58:53,7151.0,0.0,4.0,18.0,12.0,2.0,0.0,1.0,8.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0
2004-07-05 09:54:17,7126.0,0.0,1.0,18.0,0.0,2.0,0.0,2.0,10.0,0.0,35.0,2.0,1.0,0.0,0.0,0.0
2004-08-12 15:45:22,6321.0,0.0,1.0,18.0,1.0,2.0,0.0,1.0,3.0,1.0,36.0,2.0,0.0,0.0,0.0,0.0
2004-09-16 13:54:15,8504.0,0.0,1.0,19.0,10.0,2.0,0.0,1.0,4.0,1.0,40.0,2.0,0.0,0.0,0.0,4.0
2004-10-18 09:54:38,13117.0,1.0,0.0,34.0,1.0,2.0,0.0,1.0,17.0,1.0,102.0,2.0,2.0,0.0,0.0,3.0
2004-11-19 01:56:30,12730.0,1.0,0.0,34.0,1.0,0.0,0.0,1.0,17.0,1.0,104.0,2.0,2.0,0.0,0.0,1.0
2004-12-23 18:40:21,13014.0,1.0,0.0,34.0,1.0,0.0,0.0,0.0,19.0,1.0,115.0,2.0,1.0,0.0,0.0,1.0
2005-02-14 10:03:35,13081.0,1.0,0.0,34.0,1.0,0.0,0.0,0.0,17.0,0.0,119.0,2.0,1.0,0.0,0.0,1.0
2005-03-21 17:58:56,13232.0,1.0,0.0,34.0,1.0,0.0,1.0,0.0,19.0,0.0,123.0,2.0,1.0,0.0,0.0,2.0
2005-05-02 10:55:17,13261.0,1.0,0.0,34.0,1.0,0.0,1.0,0.0,19.0,0.0,124.0,2.0,1.0,0.0,0.0,2.0
2005-06-04 14:21:39,13463.0,1.0,0.0,34.0,1.0,0.0,1.0,0.0,19.0,0.0,130.0,2.0,1.0,0.0,0.0,2.0
2005-07-18 19:36:33,13536.0,1.0,0.0,34.0,1.0,0.0,1.0,0.0,19.0,0.0,132.0,2.0,1.0,0.0,0.0,2.0
2005-08-19 16:16:31,16894.0,52.0,0.0,40.0,19.0,0.0,1.0,9.0,27.0,10.0,146.0,2.0,1.0,15.0,0.0,6.0
2005-09-18 22:40:39,17121.0,52.0,0.0,40.0,19.0,0.0,1.0,9.0,28.0,10.0,153.0,2.0,1.0,15.0,0.0,6.0
2005-11-05 18:58:40,15973.0,50.0,0.0,41.0,3.0,0.0,1.0,0.0,20.0,9.0,150.0,2.0,1.0,15.0,0.0,1.0
2005-12-06 03:10:27,15862.0,49.0,0.0,41.0,3.0,0.0,1.0,0.0,20.0,9.0,150.0,2.0,1.0,15.0,0.0,1.0
2006-01-05 15:34:20,16896.0,49.0,0.0,41.0,3.0,0.0,2.0,0.0,23.0,9.0,154.0,1.0,1.0,15.0,0.0,1.0
2006-02-15 20:12:34,18555.0,49.0,0.0,41.0,3.0,0.0,2.0,0.0,23.0,9.0,155.0,1.0,1.0,15.0,0.0,1.0
2006-03-24 15:18:22,19041.0,49.0,0.0,41.0,3.0,0.0,4.0,0.0,24.0,10.0,158.0,1.0,1.0,15.0,0.0,1.0
2006-04-26 11:05:50,20545.0,50.0,0.0,41.0,3.0,0.0,7.0,0.0,24.0,10.0,159.0,2.0,1.0,15.0,0.0,1.0
2006-06-01 19:52:53,20422.0,50.0,0.0,41.0,3.0,0.0,7.0,0.0,24.0,10.0,159.0,2.0,1.0,15.0,0.0,1.0
2006-07-02 15:28:13,20444.0,50.0,0.0,41.0,3.0,0.0,7.0,0.0,24.0,10.0,159.0,2.0,1.0,15.0,0.0,1.0
2006-08-12 15:23:52,20891.0,49.0,0.0,41.0,3.0,0.0,9.0,0.0,23.0,10.0,159.0,2.0,1.0,16.0,0.0,1.0
2006-09-11 15:23:52,20966.0,49.0,0.0,41.0,3.0,0.0,9.0,0.0,23.5,10.0,162.0,2.0,1.0,16.0,0.0,1.0
2006-10-16 20:26:04,21041.0,49.0,0.0,41.0,3.0,0.0,9.0,0.0,24.0,10.0,165.0,2.0,1.0,16.0,0.0,1.0
2006-11-20 19:05:19,20829.0,49.0,0.0,41.0,3.0,0.0,9.0,0.0,24.0,10.0,168.0,2.0,1.0,16.0,2.0,1.0
2006-12-22 18:18:57,21743.0,49.0,0.0,41.0,3.0,0.0,9.0,4.0,24.0,10.0,170.0,3.0,1.0,16.0,2.0,1.0
2007-01-28 16:24:53,21222.0,49.0,0.0,41.0,3.0,0.0,10.0,4.0,24.0,9.0,170.0,4.0,1.0,16.0,2.0,1.0
2007-03-03 20:18:14,21252.0,49.0,0.0,41.0,3.0,0.0,10.0,4.0,24.0,9.0,170.0,4.0,1.0,16.0,2.0,1.0
2007-04-04 10:46:33,21288.0,49.0,0.0,41.0,3.0,0.0,10.0,4.0,24.0,10.0,170.0,4.0,1.0,16.0,2.0,1.0
2007-05-22 10:49:26,23991.0,59.0,0.0,41.0,62.0,0.0,18.0,7.0,27.0,13.0,196.0,4.0,2.0,23.0,2.0,6.0
