COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-04-15 17:31:40,5364.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2001-05-15 17:31:40,5422.444444444444,3.666666666666667,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2222222222222222
2001-06-14 17:31:40,5480.888888888889,5.333333333333334,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4444444444444444
2001-07-14 17:31:40,5539.333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666
2001-08-13 17:31:40,5597.777777777777,8.666666666666668,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8888888888888888
2001-09-12 17:31:40,5656.222222222223,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.1111111111111112
2001-10-12 17:31:40,5714.666666666667,12.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3333333333333333
2001-11-11 17:31:40,5773.111111111111,13.666666666666668,0.0,0.0,0.0,0.0,0.0,0.7777777777777777,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.5555555555555554
2001-12-11 17:31:40,5831.555555555556,15.333333333333334,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.7777777777777777
2002-01-16 00:19:36,5890.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2002-02-15 00:19:36,5973.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.5,0.0,2.0,0.0,0.0,2.0
2002-03-17 14:55:20,6056.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2002-04-16 14:55:20,6268.5,20.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2002-05-16 21:25:38,6481.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2002-06-20 00:16:51,6531.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2002-07-20 17:37:44,6560.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2002-09-05 23:38:49,9064.0,53.0,2.0,0.0,0.0,0.0,1.0,10.0,15.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0
2002-10-19 19:21:51,9068.0,53.0,2.0,0.0,0.0,0.0,1.0,10.0,15.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0
2002-11-18 19:21:51,9144.0,58.25,2.0,0.0,1.0,0.0,1.0,11.75,16.5,1.0,7.5,0.0,3.75,0.0,0.0,4.25
2002-12-18 19:21:51,9220.0,63.5,2.0,0.0,2.0,0.0,1.0,13.5,18.0,1.0,10.0,0.0,4.5,0.0,0.0,4.5
2003-01-17 19:21:51,9296.0,68.75,2.0,0.0,3.0,0.0,1.0,15.25,19.5,1.0,12.5,0.0,5.25,0.0,0.0,4.75
2003-03-06 14:58:42,9372.0,74.0,2.0,0.0,4.0,0.0,1.0,17.0,21.0,1.0,15.0,0.0,6.0,0.0,0.0,5.0
2003-04-09 00:19:37,9489.0,74.0,2.0,0.0,5.0,0.0,1.0,3.0,21.0,1.0,18.0,0.0,7.0,0.0,0.0,5.0
2003-06-02 04:54:12,9422.0,74.0,2.0,0.0,5.0,0.0,1.0,3.0,21.0,1.0,17.0,0.0,7.0,0.0,0.0,5.0
2003-07-02 04:54:12,9342.0,60.0,2.0,0.0,4.5,0.0,1.0,3.0,21.0,1.0,17.0,0.0,6.5,0.0,0.0,5.0
2003-08-11 12:12:27,9262.0,46.0,2.0,0.0,4.0,0.0,1.0,3.0,21.0,1.0,17.0,0.0,6.0,0.0,0.0,5.0
2003-09-13 22:29:39,10308.0,56.0,2.0,0.0,4.0,0.0,1.0,6.0,30.0,2.0,23.0,0.0,6.0,0.0,0.0,0.0
2003-10-15 19:52:13,10889.0,58.0,2.0,0.0,6.0,0.0,1.0,7.0,33.0,2.0,24.0,0.0,6.0,0.0,0.0,0.0
2003-11-14 19:52:13,11105.5,58.0,2.0,0.0,7.5,0.0,1.0,7.0,34.5,1.5,25.0,0.0,7.5,0.0,0.0,0.0
2003-12-22 14:58:39,11322.0,58.0,2.0,0.0,9.0,0.0,1.0,7.0,36.0,1.0,26.0,0.0,9.0,0.0,0.0,0.0
2004-01-25 19:49:27,11338.0,58.0,3.0,0.0,9.0,0.0,1.0,9.0,38.0,0.0,26.0,0.0,9.0,0.0,0.0,0.0
2004-02-28 21:51:59,11447.0,60.0,3.0,0.0,9.0,0.0,1.0,9.0,40.0,0.0,28.0,0.0,9.0,0.0,0.0,0.0
2004-04-25 10:36:24,11948.0,60.0,3.0,0.0,29.0,0.0,1.0,9.0,40.0,0.0,28.0,0.0,13.0,0.0,0.0,0.0
2004-05-25 10:36:24,12060.5,60.0,3.0,2.0,31.0,0.0,1.0,9.0,41.0,0.0,28.0,0.0,16.0,0.0,0.0,0.5
2004-06-29 20:14:29,12173.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,42.0,0.0,28.0,0.0,19.0,0.0,0.0,1.0
2004-08-21 21:00:15,12190.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,42.0,0.0,28.0,0.0,19.0,0.0,0.0,5.0
2004-09-20 21:00:15,12188.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,42.0,0.0,28.25,0.0,19.0,0.0,0.0,5.0
2004-10-20 21:00:15,12186.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,42.0,0.0,28.5,0.0,19.0,0.0,0.0,5.0
2004-11-19 21:00:15,12184.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,42.0,0.0,28.75,0.0,19.0,0.0,0.0,5.0
2005-01-15 23:34:21,12182.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,42.0,0.0,29.0,0.0,19.0,0.0,0.0,5.0
2005-02-25 18:20:49,12321.0,60.0,3.0,4.0,33.0,0.0,1.0,9.0,43.0,0.0,29.0,0.0,19.0,0.0,0.0,6.0
2005-03-27 18:20:49,12346.583333333334,60.083333333333336,3.0,4.0,33.0,0.0,1.0,9.083333333333334,43.083333333333336,0.0,29.083333333333332,0.0,19.0,0.0,0.0,6.083333333333333
2005-04-26 18:20:49,12372.166666666666,60.166666666666664,3.0,4.0,33.0,0.0,1.0,9.166666666666666,43.166666666666664,0.0,29.166666666666668,0.0,19.0,0.0,0.0,6.166666666666667
2005-05-26 18:20:49,12397.75,60.25,3.0,4.0,33.0,0.0,1.0,9.25,43.25,0.0,29.25,0.0,19.0,0.0,0.0,6.25
2005-06-25 18:20:49,12423.333333333334,60.333333333333336,3.0,4.0,33.0,0.0,1.0,9.333333333333334,43.333333333333336,0.0,29.333333333333332,0.0,19.0,0.0,0.0,6.333333333333333
2005-07-25 18:20:49,12448.916666666666,60.416666666666664,3.0,4.0,33.0,0.0,1.0,9.416666666666666,43.416666666666664,0.0,29.416666666666668,0.0,19.0,0.0,0.0,6.416666666666667
2005-08-24 18:20:49,12474.5,60.5,3.0,4.0,33.0,0.0,1.0,9.5,43.5,0.0,29.5,0.0,19.0,0.0,0.0,6.5
2005-09-23 18:20:49,12500.083333333334,60.583333333333336,3.0,4.0,33.0,0.0,1.0,9.583333333333334,43.583333333333336,0.0,29.583333333333332,0.0,19.0,0.0,0.0,6.583333333333333
2005-10-23 18:20:49,12525.666666666666,60.666666666666664,3.0,4.0,33.0,0.0,1.0,9.666666666666666,43.666666666666664,0.0,29.666666666666668,0.0,19.0,0.0,0.0,6.666666666666667
2005-11-22 18:20:49,12551.25,60.75,3.0,4.0,33.0,0.0,1.0,9.75,43.75,0.0,29.75,0.0,19.0,0.0,0.0,6.75
2005-12-22 18:20:49,12576.833333333334,60.833333333333336,3.0,4.0,33.0,0.0,1.0,9.833333333333334,43.833333333333336,0.0,29.833333333333332,0.0,19.0,0.0,0.0,6.833333333333333
2006-01-21 18:20:49,12602.416666666666,60.916666666666664,3.0,4.0,33.0,0.0,1.0,9.916666666666666,43.916666666666664,0.0,29.916666666666668,0.0,19.0,0.0,0.0,6.916666666666667
2006-03-09 14:41:07,12628.0,61.0,3.0,4.0,33.0,0.0,1.0,10.0,44.0,0.0,30.0,0.0,19.0,0.0,0.0,7.0
2006-04-09 04:42:24,12685.0,62.0,3.0,4.0,33.0,1.0,1.0,10.0,46.0,0.0,37.0,0.0,19.0,0.0,0.0,7.0
2006-05-20 17:27:47,12898.0,62.0,3.0,5.0,33.0,1.0,1.0,10.0,46.0,0.0,37.0,0.0,20.0,0.0,0.0,9.0
2006-07-09 21:50:32,12685.0,62.0,3.0,4.0,33.0,1.0,1.0,10.0,46.0,0.0,39.0,0.0,19.0,0.0,0.0,7.0
2006-08-08 21:50:32,12721.0,63.0,3.0,4.0,33.0,1.0,1.0,10.0,46.5,0.0,39.5,0.0,19.0,0.0,0.0,8.0
2006-09-09 20:20:00,12757.0,64.0,3.0,4.0,33.0,1.0,1.0,10.0,47.0,0.0,40.0,0.0,19.0,0.0,0.0,9.0
2006-10-29 21:48:02,13348.0,77.0,3.0,4.0,48.0,1.0,1.0,10.0,49.0,0.0,41.0,0.0,19.0,0.0,0.0,10.0
2006-11-28 21:48:02,13343.714285714286,77.0,3.0,4.0,48.0,1.0,1.0,10.0,49.0,0.0,41.0,0.0,19.0,0.0,0.0,10.0
2006-12-28 21:48:02,13339.42857142857,77.0,3.0,4.0,48.0,1.0,1.0,10.0,49.0,0.0,41.0,0.0,19.0,0.0,0.0,10.0
2007-01-27 21:48:02,13335.142857142857,77.0,3.0,4.0,48.0,1.0,1.0,10.0,49.0,0.0,41.0,0.0,19.0,0.0,0.0,10.0
2007-02-26 21:48:02,13330.857142857143,77.0,3.0,4.0,48.0,1.0,1.0,10.0,49.0,0.0,41.0,0.0,19.0,0.0,0.0,10.0
2007-03-28 21:48:02,13326.57142857143,77.0,3.0,4.0,48.0,1.0,1.0,10.0,49.0,0.0,41.0,0.0,19.0,0.0,0.0,10.0
