COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-05-12 17:25:55,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-11 17:25:55,1689.0,14.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2001-07-19 20:55:52,2159.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2001-08-20 18:23:39,2258.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2001-09-20 20:42:04,4495.0,63.0,2.0,1.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0
2001-11-14 18:42:16,4803.0,65.0,2.0,1.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0
2002-01-04 02:34:08,6153.0,71.0,5.0,1.0,12.0,4.0,0.0,34.0,25.0,1.0,13.0,3.0,0.0,0.0,1.0,4.0
2002-02-14 07:04:01,6344.0,76.0,5.0,1.0,0.0,4.0,0.0,22.0,27.0,1.0,13.0,4.0,0.0,0.0,1.0,4.0
2002-03-20 20:28:28,6754.0,82.0,5.0,1.0,0.0,4.0,0.0,22.0,30.0,1.0,14.0,4.0,0.0,0.0,1.0,4.0
2002-04-19 20:28:28,7097.0,83.0,5.0,1.0,0.0,4.0,0.0,22.0,32.0,1.0,14.0,4.0,0.0,0.0,1.0,4.5
2002-06-05 21:23:24,7440.0,84.0,5.0,1.0,0.0,4.0,0.0,22.0,34.0,1.0,14.0,4.0,0.0,0.0,1.0,5.0
2002-07-08 18:26:14,7541.0,85.0,5.0,1.0,0.0,4.0,0.0,22.0,36.0,1.0,14.0,4.0,0.0,0.0,1.0,5.0
2002-08-08 20:00:23,8287.0,95.0,5.0,1.0,0.0,3.0,0.0,23.0,37.0,3.0,16.0,4.0,0.0,0.0,1.0,6.0
2002-09-24 20:50:07,7639.0,100.0,5.0,1.0,0.0,3.0,1.0,24.0,38.0,2.0,16.0,4.0,0.0,0.0,1.0,7.0
2002-10-25 21:31:49,8569.0,112.0,7.0,1.0,0.0,3.0,3.0,31.0,44.0,2.0,16.0,4.0,0.0,0.0,1.0,17.0
2002-12-16 02:14:15,8609.0,112.0,7.0,1.0,0.0,3.0,3.0,31.0,44.0,4.0,16.0,4.0,0.0,0.0,1.0,17.0
2003-01-18 18:47:08,8658.0,112.0,8.0,1.0,0.0,3.0,3.0,34.0,45.0,4.0,17.0,4.0,0.0,0.0,1.0,19.0
2003-03-10 21:10:11,8540.0,112.0,8.0,1.0,0.0,3.0,3.0,34.0,45.0,4.0,18.0,4.0,0.0,0.0,2.0,19.0
2003-04-13 20:46:03,10140.0,113.0,8.0,1.0,0.0,2.0,3.0,53.0,53.0,10.0,29.0,4.0,0.0,2.0,3.0,19.0
2003-05-22 17:00:55,10857.0,114.0,8.0,2.0,0.0,2.0,3.0,0.0,56.0,10.0,32.0,4.0,0.0,2.0,3.0,19.0
