COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-08-16 18:33:34,25998.0,25.0,21.0,34.0,49.0,9.0,34.0,4.0,45.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-09-15 18:33:34,26244.0,25.0,21.0,34.0,49.5,9.0,34.5,5.0,47.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-10-30 07:47:41,26490.0,25.0,21.0,34.0,50.0,9.0,35.0,6.0,49.0,72.0,69.0,18.0,19.0,25.0,21.0,5.0
2005-12-03 16:32:50,25141.0,26.0,22.0,34.0,49.0,9.0,34.0,4.0,49.0,72.0,69.0,18.0,19.0,25.0,24.0,5.0
2006-01-13 13:55:13,28171.0,64.0,22.0,42.0,57.0,9.0,35.0,4.0,49.0,73.0,70.0,18.0,19.0,26.0,39.0,5.0
2006-02-13 15:46:16,26317.0,60.0,20.0,40.0,58.0,6.0,36.0,7.0,45.0,78.0,71.0,17.0,16.0,26.0,40.0,5.0
2006-03-16 15:57:37,22667.0,61.0,26.0,15.0,65.0,6.0,19.0,7.0,38.0,77.0,51.0,20.0,21.0,14.0,38.0,2.0
2006-04-19 14:43:32,47372.0,91.0,31.0,58.0,128.0,13.0,22.0,12.0,77.0,94.0,96.0,38.0,43.0,34.0,137.0,9.0
2006-05-24 07:42:30,56041.0,105.0,36.0,62.0,139.0,15.0,24.0,20.0,97.0,101.0,103.0,43.0,48.0,41.0,183.0,10.0
2006-06-24 15:03:17,64022.0,111.0,38.0,63.0,266.0,18.0,29.0,20.0,118.0,117.0,107.0,45.0,45.0,53.0,230.0,10.0
2006-07-24 15:26:49,79151.0,121.0,59.0,64.0,520.0,21.0,36.0,47.0,132.0,165.0,120.0,48.0,87.0,64.0,320.0,11.0
2006-08-23 20:03:22,79602.0,123.0,61.0,65.0,523.0,21.0,36.0,48.0,137.0,167.0,123.0,49.0,86.0,64.0,327.0,11.0
2006-09-25 16:10:48,96367.0,163.0,106.0,88.0,600.0,24.0,37.0,165.0,150.0,206.0,217.0,53.0,87.0,74.0,362.0,14.0
2006-10-26 14:40:07,82848.0,700.0,226.0,93.0,598.0,24.0,37.0,128.0,200.0,206.0,219.0,55.0,91.0,74.0,367.0,16.0
2006-12-06 23:21:41,83558.0,700.0,227.0,111.0,653.0,23.0,37.0,119.0,205.0,206.0,219.0,57.0,88.0,76.0,377.0,19.0
2007-01-18 01:36:45,83761.0,695.0,226.0,109.0,645.0,23.0,37.0,115.0,203.0,207.0,218.0,57.0,89.0,80.0,375.0,25.0
2007-02-21 23:53:59,84040.0,692.0,225.0,109.0,653.0,23.0,34.0,119.0,201.0,173.0,216.0,57.0,86.0,72.0,374.0,22.0
2007-03-28 14:34:01,84371.0,692.0,225.0,110.0,623.0,23.0,34.0,153.0,203.0,176.0,215.0,57.0,86.0,75.0,388.0,22.0
2007-05-03 13:51:48,89351.0,703.0,224.0,112.0,503.0,23.0,35.0,162.0,218.0,186.0,217.0,75.0,87.0,87.0,425.0,23.0
2007-06-05 15:19:52,89872.0,704.0,223.0,112.0,520.0,24.0,35.0,156.0,218.0,188.0,217.0,75.0,87.0,87.0,436.0,23.0
2007-07-05 21:24:02,89400.0,704.0,223.0,104.0,492.0,23.0,35.0,153.0,191.0,180.0,216.0,77.0,85.0,76.0,433.0,25.0
2007-08-06 12:01:51,93054.0,694.0,227.0,104.0,494.0,24.0,34.0,155.0,206.0,186.0,217.0,80.0,85.0,81.0,448.0,25.0
2007-09-05 15:17:17,95090.0,694.0,230.0,106.0,502.0,27.0,33.0,116.0,206.0,197.0,215.0,82.0,89.0,81.0,493.0,25.0
2007-10-07 10:25:46,99519.0,696.0,263.0,107.0,596.0,29.0,41.0,113.0,207.0,207.0,222.0,77.0,90.0,88.0,482.0,26.0
2007-11-06 21:09:10,100268.0,696.0,263.0,107.0,591.0,35.0,45.0,113.0,208.0,208.0,222.0,84.0,90.0,88.0,486.0,26.0
2007-12-07 08:22:20,100376.0,696.0,263.0,107.0,588.0,35.0,45.0,114.0,217.0,204.0,222.0,86.0,90.0,88.0,486.0,26.0
2008-01-07 14:34:03,100718.0,696.0,264.0,104.0,585.0,37.0,45.0,114.0,216.0,202.0,224.0,86.0,90.0,82.0,497.0,23.0
2008-02-15 22:19:59,105275.0,711.0,293.0,112.0,573.0,36.0,37.0,103.0,266.0,201.0,242.0,86.0,96.0,82.0,511.0,23.0
2008-03-18 11:24:45,113126.0,716.0,302.0,114.0,569.0,37.0,41.0,105.0,295.0,244.0,265.0,88.0,98.0,93.0,563.0,23.0
2008-04-21 20:55:17,163907.0,768.0,305.0,560.0,791.0,40.0,43.0,115.0,422.0,252.0,284.0,70.0,121.0,95.0,578.0,24.0
2008-05-29 07:43:23,181760.0,785.0,305.0,563.0,812.0,39.0,42.0,120.0,502.0,256.0,283.0,73.0,121.0,96.0,596.0,28.0
2008-07-02 09:46:11,183540.0,790.0,304.0,577.0,813.0,39.0,42.0,116.0,498.0,262.0,287.0,74.0,123.0,94.0,596.0,26.0
2008-08-01 12:52:36,192623.0,776.0,325.0,642.0,802.0,39.0,42.0,113.0,511.0,262.0,289.0,74.0,126.0,96.0,615.0,27.0
2008-09-05 21:38:05,198636.0,790.0,329.0,658.0,799.0,40.0,42.0,113.0,483.0,273.0,296.0,80.0,129.0,100.0,626.0,26.0
2008-10-06 07:55:39,206333.0,797.0,329.0,658.0,809.0,41.0,42.0,116.0,500.0,275.0,301.0,84.0,131.0,100.0,629.0,26.0
2008-11-05 13:10:54,215808.0,796.0,333.0,712.0,831.0,41.0,42.0,119.0,508.0,275.0,301.0,85.0,131.0,102.0,627.0,23.0
2008-12-10 12:29:41,224951.0,818.0,338.0,745.0,837.0,43.0,62.0,120.0,506.0,303.0,308.0,93.0,133.0,106.0,666.0,22.0
2009-01-12 09:54:01,227954.0,819.0,335.0,813.0,826.0,44.0,68.0,126.0,517.0,303.0,308.0,93.0,130.0,109.0,664.0,20.0
2009-02-11 14:58:19,225041.0,799.0,332.0,783.0,826.0,42.0,52.0,121.0,519.0,277.0,298.0,87.0,130.0,104.0,623.0,20.0
2009-03-16 23:34:01,227013.0,802.0,331.0,783.0,826.0,42.0,52.0,125.0,523.0,283.0,314.0,94.0,131.0,105.0,624.0,21.0
2009-04-16 06:33:10,230897.0,803.0,351.0,783.0,836.0,45.0,54.0,125.0,543.0,291.0,326.0,93.0,132.0,105.0,624.0,24.0
2009-05-16 09:01:22,246986.0,830.0,363.0,795.0,874.0,52.0,61.0,157.0,578.0,320.0,453.0,100.0,146.0,117.0,640.0,29.0
2009-06-15 09:47:06,253394.0,845.0,370.0,797.0,874.0,55.0,64.0,157.0,576.0,346.0,469.0,107.0,147.0,140.0,649.0,29.0
2009-07-15 15:43:44,283530.0,891.0,515.0,826.0,901.0,79.0,84.0,180.0,673.0,442.0,542.0,120.0,172.0,172.0,731.0,31.0
