COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2008-09-02 23:58:59,73332.0,207.0,234.0,1100.0,286.0,22.0,8.0,392.0,81.0,57.0,234.0,28.0,10.0,351.0,73.0,30.0
2008-10-21 18:11:05,91663.0,383.0,261.0,1074.0,513.0,35.0,8.0,515.0,107.0,105.0,302.0,32.0,10.0,443.0,92.0,30.0
2008-11-20 22:29:29,81768.0,337.0,234.0,1036.0,322.0,39.0,11.0,443.0,63.0,104.0,240.0,57.0,15.0,379.0,108.0,25.0
2008-12-22 19:51:06,86326.0,342.0,281.0,1073.0,323.0,35.0,12.0,566.0,68.0,103.0,241.0,57.0,86.0,398.0,109.0,36.0
2009-01-22 20:13:23,91488.0,343.0,292.0,1078.0,323.0,35.0,16.0,557.0,70.0,121.0,264.0,58.0,88.0,398.0,112.0,37.0
2009-02-26 08:35:15,88542.0,343.0,302.0,1054.0,323.0,33.0,16.0,540.0,76.0,125.0,241.0,58.0,98.0,393.0,104.0,39.0
2009-03-31 21:11:58,91219.0,357.0,303.0,1055.0,323.0,96.0,18.0,549.0,76.0,126.0,251.0,58.0,97.0,410.0,109.0,43.0
2009-05-01 01:29:28,90827.0,430.0,247.0,843.0,315.0,95.0,21.0,610.0,79.0,130.0,254.0,50.0,97.0,363.0,103.0,46.0
2009-06-02 18:51:20,92944.0,518.0,243.0,836.0,316.0,94.0,22.0,668.0,84.0,138.0,261.0,50.0,104.0,367.0,93.0,48.0
2009-07-02 23:47:17,96795.0,561.0,270.0,907.0,317.0,96.0,26.0,681.0,90.0,139.0,288.0,54.0,105.0,381.0,102.0,62.0
2009-08-04 23:10:53,112239.0,595.0,283.0,1197.0,481.0,98.0,26.0,747.0,109.0,145.0,306.0,69.0,109.0,659.0,106.0,90.0
2009-09-08 20:28:50,124674.0,679.0,326.0,1493.0,551.0,101.0,26.0,820.0,120.0,197.0,328.0,71.0,124.0,804.0,109.0,108.0
2009-10-12 19:05:27,126638.0,685.0,328.0,1525.0,560.0,101.0,24.0,856.0,127.0,207.0,334.0,73.0,124.0,811.0,108.0,107.0
2009-11-12 19:13:21,127232.0,692.0,328.0,1528.0,560.0,102.0,24.0,870.0,127.0,207.0,337.0,75.0,124.0,811.0,109.0,108.0
2009-12-15 00:32:04,128784.0,698.0,328.0,1551.0,560.0,103.0,24.0,888.0,134.0,208.0,340.0,81.0,125.0,827.0,116.0,109.0
2010-01-14 01:06:25,130988.0,698.0,334.0,1573.0,564.0,103.0,23.0,901.0,137.0,208.0,351.0,83.0,126.0,829.0,127.0,111.0
2010-02-16 18:47:32,129108.0,996.0,360.0,1687.0,238.0,117.0,4.0,669.0,160.0,222.0,403.0,102.0,139.0,861.0,150.0,140.0
2010-03-19 18:08:01,134943.0,1028.0,374.0,1816.0,243.0,118.0,3.0,766.0,165.0,225.0,418.0,117.0,139.0,893.0,150.0,152.0
2010-04-20 19:28:09,138773.0,1034.0,396.0,1898.0,246.0,119.0,3.0,767.0,168.0,225.0,428.0,125.0,139.0,907.0,154.0,154.0
2010-05-25 04:24:12,139262.0,1037.0,396.0,1899.0,246.0,119.0,3.0,774.0,170.0,225.0,428.0,125.0,139.0,907.0,154.0,154.0
2010-06-24 05:20:23,140618.0,1041.0,396.0,1905.0,246.0,119.0,3.0,808.0,171.0,225.0,434.0,129.0,139.0,907.0,155.0,155.0
2010-07-27 00:15:44,141742.0,1040.0,401.0,1916.0,246.0,120.0,3.0,830.0,169.0,225.0,443.0,129.0,139.0,909.0,157.0,156.0
2010-08-27 05:41:43,154151.0,1132.0,474.0,2200.0,291.0,153.0,8.0,903.0,200.0,251.0,566.0,149.0,146.0,1034.0,255.0,181.0
2010-09-27 17:23:42,157920.0,1168.0,478.0,2188.0,291.0,156.0,8.0,944.0,204.0,256.0,573.0,149.0,146.0,1034.0,265.0,190.0
2010-10-27 19:00:02,160903.0,1177.0,479.0,2209.0,291.0,156.0,8.0,955.0,204.0,260.0,572.0,155.0,147.0,1064.0,285.0,200.0
2010-11-30 00:05:19,162049.0,1244.0,476.0,2235.0,291.0,187.0,8.0,975.0,211.0,258.0,548.0,163.0,148.0,1072.0,295.0,259.0
2011-01-04 01:52:46,170303.0,1633.0,522.0,2392.0,381.0,188.0,135.0,1084.0,215.0,260.0,556.0,169.0,160.0,1174.0,297.0,272.0
2011-02-06 18:11:24,190813.0,2084.0,702.0,3071.0,669.0,192.0,177.0,1146.0,228.0,304.0,590.0,241.0,164.0,1441.0,309.0,283.0
2011-03-09 07:57:50,194153.0,2122.0,702.0,3075.0,670.0,192.0,179.0,1154.0,234.0,306.0,611.0,259.0,171.0,1442.0,321.0,318.0
2011-04-08 22:00:18,196296.0,2145.0,709.0,3124.0,667.0,194.0,180.0,1205.0,256.0,306.0,628.0,261.0,176.0,1439.0,325.0,315.0
2011-05-10 06:52:35,199782.0,2152.0,712.0,3130.0,667.0,195.0,180.0,1272.0,263.0,309.0,640.0,266.0,185.0,1441.0,327.0,317.0
2011-06-09 17:46:34,203435.0,2158.0,712.0,3130.0,667.0,198.0,180.0,1286.0,263.0,310.0,640.0,268.0,187.0,1441.0,330.0,315.0
2011-07-11 07:35:19,207902.0,2178.0,742.0,3281.0,669.0,199.0,207.0,1303.0,265.0,349.0,660.0,270.0,187.0,1477.0,330.0,343.0
2011-08-11 04:18:17,212611.0,2176.0,757.0,3322.0,669.0,200.0,212.0,1310.0,311.0,370.0,662.0,275.0,188.0,1486.0,324.0,344.0
2011-09-13 02:20:52,215331.0,2252.0,772.0,3328.0,670.0,204.0,228.0,1388.0,315.0,372.0,663.0,318.0,189.0,1494.0,319.0,358.0
2011-10-17 18:01:27,215953.0,2258.0,772.0,3330.0,669.0,204.0,228.0,1430.0,315.0,372.0,686.0,317.0,189.0,1504.0,320.0,355.0
2011-11-23 04:50:40,219117.0,2268.0,779.0,3387.0,669.0,204.0,230.0,1443.0,318.0,373.0,689.0,326.0,189.0,1510.0,321.0,363.0
2011-12-29 22:59:02,221727.0,2303.0,795.0,3440.0,697.0,204.0,232.0,1454.0,318.0,373.0,724.0,326.0,193.0,1529.0,331.0,368.0
2012-01-29 11:45:47,221474.0,2303.0,797.0,3455.0,697.0,203.0,232.0,1487.0,319.0,373.0,719.0,327.0,193.0,1536.0,331.0,367.0
2012-03-05 07:16:13,222628.0,2302.0,829.0,3493.0,701.0,201.0,233.0,1506.0,320.0,373.0,717.0,327.0,193.0,1544.0,335.0,367.0
2012-04-05 06:12:15,226416.0,2312.0,833.0,3492.0,701.0,202.0,233.0,1508.0,363.0,373.0,720.0,328.0,193.0,1548.0,350.0,369.0
2012-05-10 21:50:39,229817.0,2316.0,857.0,3575.0,699.0,202.0,241.0,1508.0,364.0,374.0,727.0,328.0,194.0,1558.0,350.0,372.0
2012-06-10 01:29:34,231719.0,2333.0,858.0,3575.0,716.0,204.0,241.0,1582.0,367.0,375.0,739.0,328.0,194.0,1567.0,354.0,373.0
2012-07-12 05:05:58,235723.0,2333.0,858.0,4167.0,718.0,203.0,241.0,1634.0,366.0,375.0,748.0,328.0,194.0,1572.0,356.0,373.0
2012-08-14 22:21:37,235476.0,2347.0,860.0,4166.0,718.0,201.0,242.0,1657.0,365.0,374.0,749.0,327.0,194.0,1572.0,364.0,388.0
2012-09-16 17:17:16,242373.0,2372.0,874.0,4415.0,746.0,203.0,248.0,1722.0,367.0,378.0,751.0,334.0,196.0,1628.0,359.0,394.0
2012-10-16 17:40:17,245198.0,2392.0,876.0,4406.0,746.0,203.0,248.0,1733.0,368.0,382.0,752.0,335.0,196.0,1628.0,359.0,422.0
2012-11-16 20:29:00,271792.0,2433.0,952.0,5203.0,802.0,257.0,279.0,1956.0,380.0,404.0,759.0,340.0,200.0,1909.0,433.0,450.0
2012-12-17 04:09:01,274982.0,2434.0,977.0,5203.0,802.0,260.0,279.0,1974.0,441.0,411.0,777.0,343.0,200.0,1909.0,436.0,453.0
2013-01-16 23:04:24,276501.0,2444.0,977.0,5206.0,802.0,261.0,279.0,1980.0,446.0,417.0,783.0,341.0,200.0,1919.0,452.0,452.0
2013-02-18 02:14:26,283230.0,2459.0,1019.0,5379.0,802.0,262.0,289.0,2064.0,449.0,421.0,802.0,341.0,199.0,1933.0,462.0,464.0
2013-03-20 21:52:51,348133.0,3097.0,1093.0,6005.0,1021.0,343.0,387.0,2908.0,597.0,492.0,922.0,362.0,270.0,2301.0,493.0,569.0
