COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2005-02-19 18:15:52,547.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2005-03-23 22:12:38,2816.0,48.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,7.0
2005-04-24 21:31:41,11502.0,69.0,7.0,0.0,9.0,0.0,2.0,3.0,18.0,5.0,23.0,2.0,5.0,3.0,7.0,32.0
2005-05-26 19:05:57,12124.0,77.0,9.0,0.0,9.0,0.0,2.0,3.0,15.0,6.0,23.0,2.0,5.0,3.0,7.0,32.0
2005-07-23 11:34:09,12133.0,76.0,8.0,0.0,9.0,0.0,2.0,3.0,15.0,6.0,23.0,2.0,5.0,3.0,7.0,34.0
2005-09-02 19:37:23,14003.0,83.0,8.0,0.0,11.0,0.0,2.0,4.0,19.0,10.0,29.0,2.0,16.0,3.0,7.0,0.0
2005-10-12 21:32:29,14019.0,80.0,8.0,0.0,11.0,0.0,0.0,4.0,22.0,10.0,42.0,2.0,16.0,0.0,7.0,0.0
2005-11-20 12:57:03,13262.0,79.0,7.0,0.0,13.0,0.0,0.0,4.0,27.0,10.0,68.0,2.0,8.0,0.0,10.0,0.0
2005-12-23 17:51:36,14748.0,74.0,11.0,1.0,13.0,0.0,0.0,4.0,34.0,14.0,81.0,0.0,6.0,0.0,11.0,0.0
2006-01-29 16:50:48,14680.0,75.0,11.0,1.0,13.0,0.0,0.0,4.0,32.0,18.0,85.0,0.0,6.0,0.0,11.0,0.0
2006-03-11 18:33:23,16004.0,76.0,15.0,1.0,15.0,0.0,0.0,4.0,29.0,18.0,86.0,0.0,6.0,0.0,11.0,0.0
2006-04-10 18:33:23,15597.5,76.0,13.5,1.0,14.5,0.0,0.0,4.0,29.5,18.0,99.5,0.0,6.0,0.0,11.0,0.0
2006-05-14 18:09:39,15191.0,76.0,12.0,1.0,14.0,0.0,0.0,4.0,30.0,18.0,113.0,0.0,6.0,0.0,11.0,0.0
2006-07-02 11:04:49,16030.0,76.0,12.0,2.0,14.0,0.0,0.0,4.0,30.0,18.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-08-04 15:50:05,16831.0,76.0,12.0,2.0,14.0,0.0,0.0,15.0,33.0,18.0,181.0,0.0,6.0,0.0,11.0,0.0
2006-09-04 14:27:43,20037.0,78.0,15.0,2.0,14.0,1.0,0.0,15.0,39.0,19.0,181.0,0.0,10.0,0.0,13.0,0.0
2006-10-04 17:33:58,19311.0,72.0,10.0,2.0,12.0,1.0,0.0,19.0,40.0,19.0,183.0,0.0,10.0,0.0,13.0,0.0
2006-11-11 12:42:16,24227.0,77.0,12.0,2.0,12.0,4.0,0.0,15.0,48.0,18.0,241.0,0.0,16.0,4.0,14.0,0.0
2007-01-05 18:14:10,23426.0,72.0,10.0,2.0,12.0,4.0,0.0,23.0,51.0,19.0,242.0,0.0,14.0,4.0,13.0,0.0
2007-02-09 20:53:25,26135.0,27.0,10.0,2.0,12.0,4.0,0.0,22.0,65.0,20.0,243.0,0.0,18.0,4.0,22.0,0.0
2007-03-11 21:48:22,29416.0,31.0,13.0,2.0,12.0,4.0,0.0,22.0,78.0,20.0,250.0,0.0,29.0,6.0,25.0,0.0
2007-04-13 10:26:04,29076.0,31.0,13.0,2.0,12.0,4.0,0.0,22.0,78.0,20.0,251.0,0.0,33.0,6.0,21.0,0.0
2007-05-16 16:58:03,30813.0,31.0,13.0,2.0,12.0,4.0,0.0,22.0,80.0,19.0,256.0,0.0,38.0,6.0,21.0,0.0
2007-06-16 11:44:24,27724.0,32.0,13.0,2.0,12.0,4.0,0.0,22.0,79.0,19.0,262.0,0.0,52.0,6.0,18.0,0.0
2007-07-17 12:25:04,28584.0,31.0,13.0,2.0,10.0,4.0,0.0,22.0,81.0,17.0,268.0,0.0,51.0,6.0,20.0,0.0
2007-08-21 07:46:29,29967.0,29.0,13.0,2.0,10.0,4.0,0.0,23.0,91.0,18.0,271.0,0.0,55.0,6.0,20.0,0.0
2007-09-30 14:36:07,30629.0,29.0,20.0,2.0,8.0,4.0,0.0,3.0,88.0,44.0,296.0,0.0,44.0,6.0,20.0,0.0
2007-11-02 10:01:45,30713.0,29.0,29.0,2.0,8.0,4.0,0.0,2.0,92.0,43.0,297.0,0.0,46.0,6.0,20.0,0.0
2007-12-04 17:03:49,32161.0,30.0,32.0,2.0,8.0,4.0,0.0,4.0,93.0,50.0,302.0,0.0,48.0,6.0,20.0,0.0
2008-01-06 13:40:34,32579.0,30.0,32.0,2.0,8.0,4.0,0.0,1.0,98.0,52.0,317.0,0.0,49.0,6.0,21.0,0.0
2008-02-24 19:40:51,35214.0,34.0,34.0,5.0,7.0,5.0,0.0,2.0,107.0,54.0,317.0,0.0,55.0,6.0,22.0,1.0
2008-03-29 23:00:30,39929.0,34.0,36.0,5.0,9.0,5.0,0.0,2.0,107.0,53.0,320.0,0.0,58.0,6.0,21.0,1.0
2008-04-30 00:57:11,39779.0,34.0,37.0,5.0,9.0,5.0,0.0,2.0,110.0,53.0,325.0,0.0,58.0,6.0,21.0,1.0
2008-06-09 20:47:42,40472.0,34.0,37.0,5.0,9.0,5.0,0.0,2.0,109.0,53.0,329.0,0.0,60.0,6.0,21.0,1.0
2008-07-12 12:28:02,40540.0,34.0,37.0,5.0,9.0,5.0,0.0,2.0,110.0,53.0,329.0,0.0,59.0,6.0,21.0,1.0
2008-08-29 08:42:39,40716.0,35.0,37.0,5.0,9.0,5.0,0.0,2.0,112.0,54.0,329.0,0.0,58.0,6.0,21.0,1.0
2008-10-12 12:16:31,40981.0,35.0,37.0,6.0,9.0,5.0,0.0,1.0,115.0,54.0,329.0,0.0,58.0,6.0,23.0,1.0
2008-11-11 12:16:31,40989.5,35.0,37.0,6.0,9.0,5.0,0.0,1.0,115.0,54.0,329.5,0.0,58.0,6.0,23.0,1.0
2009-01-04 22:59:39,40998.0,35.0,37.0,6.0,9.0,5.0,0.0,1.0,115.0,54.0,330.0,0.0,58.0,6.0,23.0,1.0
2009-02-06 15:57:10,41358.0,35.0,37.0,6.0,9.0,5.0,0.0,1.0,116.0,54.0,330.0,0.0,60.0,6.0,23.0,1.0
2009-03-09 18:36:49,41986.0,35.0,37.0,6.0,9.0,6.0,0.0,1.0,118.0,56.0,330.0,0.0,60.0,8.0,23.0,1.0
2009-04-08 18:36:49,39157.0,34.0,37.0,6.5,9.0,6.0,0.0,1.0,118.0,56.0,335.5,0.0,72.0,9.0,24.0,1.0
2009-05-18 18:28:02,36328.0,33.0,37.0,7.0,9.0,6.0,0.0,1.0,118.0,56.0,341.0,0.0,84.0,10.0,25.0,1.0
2009-07-01 20:07:27,36437.0,33.0,37.0,7.0,9.0,6.0,0.0,1.0,118.0,56.0,350.0,0.0,90.0,10.0,25.0,1.0
2009-07-31 20:07:27,36566.5,33.0,37.0,8.0,9.0,6.0,0.0,1.0,118.5,57.5,351.0,0.0,89.5,10.0,25.0,1.0
2009-09-03 21:04:10,36696.0,33.0,37.0,9.0,9.0,6.0,0.0,1.0,119.0,59.0,352.0,0.0,89.0,10.0,25.0,1.0
2009-10-10 13:19:54,36891.0,33.0,37.0,9.0,9.0,6.0,0.0,1.0,122.0,59.0,352.0,0.0,89.0,10.0,25.0,1.0
2009-11-25 20:07:13,36879.0,33.0,37.0,9.0,9.0,6.0,0.0,1.0,122.0,59.0,352.0,0.0,89.0,10.0,25.0,1.0
2010-01-16 13:56:49,36899.0,33.0,37.0,9.0,9.0,6.0,0.0,1.0,122.0,59.0,352.0,0.0,89.0,10.0,25.0,1.0
