COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-09-03 01:22:31,24708.0,5.0,0.0,1.0,0.0,3.0,1.0,9.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0
2001-10-03 01:22:31,24732.571428571428,5.571428571428571,0.0,1.0,10.571428571428571,2.7142857142857144,1.1428571428571428,9.857142857142858,1.4285714285714286,1.7142857142857142,7.0,0.0,0.0,2.4285714285714284,8.428571428571429,1.2857142857142856
2001-11-02 01:22:31,24757.14285714286,6.142857142857142,0.0,1.0,21.142857142857142,2.428571428571429,1.2857142857142856,10.714285714285714,1.8571428571428572,3.4285714285714284,12.0,0.0,0.0,2.857142857142857,12.857142857142858,1.5714285714285714
2001-12-02 01:22:31,24781.714285714286,6.714285714285714,0.0,1.0,31.714285714285715,2.142857142857143,1.4285714285714286,11.571428571428571,2.2857142857142856,5.142857142857142,17.0,0.0,0.0,3.2857142857142856,17.285714285714285,1.8571428571428572
2002-01-01 01:22:31,24806.285714285714,7.285714285714286,0.0,1.0,42.285714285714285,1.8571428571428572,1.5714285714285714,12.428571428571429,2.7142857142857144,6.857142857142857,22.0,0.0,0.0,3.7142857142857144,21.714285714285715,2.142857142857143
2002-01-31 01:22:31,24830.85714285714,7.857142857142857,0.0,1.0,52.857142857142854,1.5714285714285716,1.7142857142857142,13.285714285714285,3.142857142857143,8.571428571428571,27.0,0.0,0.0,4.142857142857142,26.142857142857146,2.4285714285714284
2002-03-02 01:22:31,24855.428571428572,8.428571428571429,0.0,1.0,63.42857142857143,1.2857142857142858,1.8571428571428572,14.142857142857142,3.571428571428571,10.285714285714285,32.0,0.0,0.0,4.571428571428571,30.571428571428573,2.7142857142857144
2002-04-10 03:40:21,24880.0,9.0,0.0,1.0,74.0,1.0,2.0,15.0,4.0,12.0,37.0,0.0,0.0,5.0,35.0,3.0
2002-05-14 23:08:26,25111.0,14.0,0.0,1.0,74.0,0.0,2.0,18.0,6.0,21.0,4.0,0.0,3.0,6.0,42.0,3.0
2002-06-18 00:01:16,25308.0,14.0,0.0,5.0,111.0,0.0,2.0,20.0,8.0,24.0,4.0,0.0,6.0,6.0,42.0,3.0
2002-08-10 01:27:38,25358.0,15.0,0.0,5.0,111.0,0.0,2.0,20.0,8.0,23.0,4.0,0.0,6.0,6.0,42.0,2.0
2002-09-09 01:27:38,26691.5,17.5,0.0,13.5,116.0,0.5,2.0,28.5,13.0,27.5,5.5,1.0,6.0,6.0,46.5,3.0
2002-10-12 20:57:44,28025.0,20.0,0.0,22.0,121.0,1.0,2.0,37.0,18.0,32.0,7.0,2.0,6.0,6.0,51.0,4.0
2002-11-26 01:20:08,27434.0,16.0,0.0,23.0,121.0,2.0,2.0,73.0,17.0,32.0,5.0,2.0,6.0,9.0,67.0,4.0
2003-01-10 02:11:29,27784.0,16.0,0.0,23.0,121.0,2.0,2.0,2.0,17.0,31.0,8.0,2.0,6.0,9.0,67.0,1.0
2003-02-18 18:11:37,30336.0,21.0,0.0,0.0,132.0,2.0,2.0,4.0,21.0,43.0,10.0,2.0,1.0,9.0,70.0,1.0
2003-03-25 02:28:43,30382.0,23.0,0.0,0.0,133.0,2.0,2.0,4.0,21.0,45.0,10.0,2.0,1.0,9.0,70.0,1.0
2003-05-04 23:48:59,30666.0,29.0,0.0,1.0,130.0,2.0,2.0,4.0,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-06-17 01:39:51,31243.0,27.0,0.0,1.0,130.0,2.0,3.0,11.0,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-07-17 01:39:51,31253.571428571428,27.0,0.0,1.0,130.0,2.0,3.0,9.857142857142858,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-08-16 01:39:51,31264.14285714286,27.0,0.0,1.0,130.0,2.0,3.0,8.714285714285715,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-09-15 01:39:51,31274.714285714286,27.0,0.0,1.0,130.0,2.0,3.0,7.571428571428571,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-10-15 01:39:51,31285.285714285714,27.0,0.0,1.0,130.0,2.0,3.0,6.428571428571429,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-11-14 01:39:51,31295.85714285714,27.0,0.0,1.0,130.0,2.0,3.0,5.2857142857142865,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2003-12-14 01:39:51,31306.428571428572,27.0,0.0,1.0,130.0,2.0,3.0,4.142857142857143,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2004-01-17 03:25:14,31317.0,27.0,0.0,1.0,130.0,2.0,3.0,3.0,21.0,45.0,10.0,3.0,1.0,9.0,70.0,1.0
2004-02-29 14:17:46,29825.0,27.0,0.0,1.0,130.0,2.0,3.0,4.0,21.0,44.0,10.0,3.0,1.0,9.0,70.0,1.0
2004-04-01 02:55:32,31882.0,27.0,0.0,1.0,130.0,3.0,3.0,3.0,21.0,47.0,10.0,3.0,1.0,9.0,65.0,1.0
2004-05-08 15:10:49,31910.0,27.0,0.0,1.0,130.0,3.0,4.0,3.0,21.0,49.0,10.0,3.0,1.0,9.0,66.0,1.0
2004-06-29 21:15:46,31822.0,27.0,0.0,1.0,130.0,3.0,4.0,3.0,21.0,49.0,10.0,3.0,1.0,9.0,66.0,1.0
2004-07-29 21:15:46,31853.0,27.0,0.0,1.0,130.0,3.0,4.0,3.0,21.0,49.333333333333336,10.0,3.0,1.0,9.0,66.0,1.0
2004-08-28 21:15:46,31884.0,27.0,0.0,1.0,130.0,3.0,4.0,3.0,21.0,49.666666666666664,10.0,3.0,1.0,9.0,66.0,1.0
2004-10-06 00:34:14,31915.0,27.0,0.0,1.0,130.0,3.0,4.0,3.0,21.0,50.0,10.0,3.0,1.0,9.0,66.0,1.0
2004-11-05 00:34:14,31968.5,27.5,0.0,1.0,130.0,3.0,4.0,3.0,21.0,50.0,10.0,3.0,1.0,9.0,66.0,1.0
2004-12-30 21:59:36,32022.0,28.0,0.0,1.0,130.0,3.0,4.0,3.0,21.0,50.0,10.0,3.0,1.0,9.0,66.0,1.0
2005-01-29 21:59:36,32025.5,28.0,0.0,1.0,130.0,2.5,4.0,3.0,21.0,49.5,10.0,3.0,1.5,9.0,66.0,1.0
2005-03-18 03:03:32,32029.0,28.0,0.0,1.0,130.0,2.0,4.0,3.0,21.0,49.0,10.0,3.0,2.0,9.0,66.0,1.0
2005-04-17 03:03:32,32024.714285714286,28.0,0.0,1.0,130.0,2.0,4.0,3.0,21.0,49.0,10.0,3.0,2.0,9.0,66.14285714285714,1.0
2005-05-17 03:03:32,32020.428571428572,28.0,0.0,1.0,130.0,2.0,4.0,3.0,21.0,49.0,10.0,3.0,2.0,9.0,66.28571428571429,1.0
2005-06-16 03:03:32,32016.14285714286,28.0,0.0,1.0,130.0,2.0,4.0,3.0,21.0,49.0,10.0,3.0,2.0,9.0,66.42857142857143,1.0
2005-07-16 03:03:32,32011.85714285714,28.0,0.0,1.0,130.0,2.0,4.0,3.0,21.0,49.0,10.0,3.0,2.0,9.0,66.57142857142857,1.0
