COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-04-03 03:11:40,12706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-03 14:52:30,14599.0,95.0,576.0,6.0,0.0,49.0,26.0,72.0,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-06-02 14:52:30,14599.0,95.0,576.0,4.666666666666667,0.0,49.0,26.0,72.0,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-07-02 14:52:30,14599.0,95.0,576.0,3.3333333333333335,0.0,49.0,26.0,72.0,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-08-07 18:26:19,14599.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,63.0,42.0,0.0,0.0,13.0,14.0,346.0,199.0
2002-09-17 21:48:07,14945.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,67.0,43.0,0.0,0.0,13.0,14.0,346.0,297.0
2002-10-17 21:48:07,14664.25,95.0,576.0,2.0,0.0,49.0,26.0,72.0,69.75,43.25,0.0,0.0,13.0,14.0,346.0,297.0
2002-11-16 21:48:07,14383.5,95.0,576.0,2.0,0.0,49.0,26.0,72.0,72.5,43.5,0.0,0.0,13.0,14.0,346.0,297.0
2002-12-16 21:48:07,14102.75,95.0,576.0,2.0,0.0,49.0,26.0,72.0,75.25,43.75,0.0,0.0,13.0,14.0,346.0,297.0
2003-01-26 00:21:46,13822.0,95.0,576.0,2.0,0.0,49.0,26.0,72.0,78.0,44.0,0.0,0.0,13.0,14.0,346.0,297.0
2003-03-02 18:15:24,13305.0,94.0,576.0,2.0,0.0,48.0,26.0,76.0,34.0,34.0,0.0,0.0,13.0,12.0,482.0,292.0
2003-04-14 12:53:34,18288.0,94.0,578.0,31.0,0.0,48.0,26.0,80.0,45.0,34.0,0.0,0.0,15.0,15.0,489.0,303.0
2003-05-18 04:03:17,18149.0,94.0,578.0,28.0,0.0,48.0,26.0,80.0,43.0,34.0,0.0,0.0,26.0,15.0,489.0,303.0
2003-06-17 04:03:17,18262.0,94.0,578.0,27.0,0.0,48.0,26.0,79.5,43.0,34.0,0.0,0.0,26.0,15.0,489.5,296.5
2003-07-29 02:35:35,18375.0,94.0,578.0,26.0,0.0,48.0,26.0,79.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.0
2003-09-04 20:32:43,18898.0,94.0,578.0,32.0,0.0,48.0,26.0,89.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,294.0
2003-10-04 20:32:43,18854.0,94.0,578.0,32.0,0.0,48.0,26.0,87.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,292.3333333333333
2003-11-03 20:32:43,18810.0,94.0,578.0,32.0,0.0,48.0,26.0,85.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,290.6666666666667
2003-12-29 19:42:44,18766.0,94.0,578.0,32.0,0.0,48.0,26.0,83.0,43.0,34.0,0.0,0.0,26.0,15.0,490.0,289.0
2004-02-08 11:26:59,19273.0,139.0,578.0,36.0,0.0,48.0,58.0,68.0,42.0,74.0,0.0,0.0,27.0,14.0,489.0,289.0
2004-03-10 03:37:16,19434.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,489.0,289.0
2004-04-10 21:12:14,19738.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-05-28 23:00:28,19817.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,51.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-06-29 04:54:32,19821.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,52.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-07-29 11:38:36,19813.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,52.0,74.0,0.0,0.0,27.0,14.0,491.0,289.0
2004-09-02 15:44:26,20265.0,147.0,578.0,36.0,0.0,48.0,58.0,68.0,54.0,74.0,4.0,0.0,27.0,14.0,491.0,289.0
2004-10-05 17:40:24,21961.0,147.0,598.0,36.0,3.0,54.0,58.0,68.0,54.0,75.0,77.0,0.0,27.0,14.0,493.0,324.0
2004-11-23 12:52:20,21991.0,147.0,598.0,36.0,3.0,54.0,58.0,68.0,55.0,75.0,77.0,0.0,27.0,14.0,493.0,324.0
2005-01-02 03:17:50,22485.0,159.0,598.0,36.0,3.0,54.0,58.0,70.0,58.0,75.0,77.0,0.0,29.0,14.0,493.0,328.0
2005-02-05 02:04:42,22559.0,159.0,598.0,36.0,3.0,54.0,58.0,70.0,52.0,75.0,77.0,0.0,27.0,15.0,493.0,327.0
2005-03-09 12:31:01,23065.0,160.0,598.0,42.0,3.0,54.0,58.0,81.0,57.0,74.0,77.0,0.0,39.0,15.0,493.0,333.0
2005-04-08 18:42:20,23064.0,160.0,598.0,42.0,3.0,54.0,58.0,80.0,58.0,74.0,77.0,0.0,39.0,15.0,493.0,333.0
2005-06-06 23:15:51,23550.0,160.0,598.0,42.0,3.0,54.0,58.0,79.0,135.0,74.0,77.0,0.0,39.0,15.0,493.0,433.0
2005-07-18 10:18:09,23550.0,160.0,598.0,42.0,3.0,54.0,58.0,79.0,137.0,74.0,77.0,0.0,39.0,15.0,493.0,433.0
