COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2001-10-01 07:27:57,2201.0,0.0,0.0,5.0,0.0,0.0,0.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-10-31 07:33:37,35769.0,88.0,121.0,250.0,0.0,30.0,19.0,457.0,45.0,19.0,25.0,5.0,31.0,33.0,31.0,53.0
2001-12-03 10:17:29,38654.0,126.0,122.0,257.0,0.0,33.0,19.0,526.0,46.0,19.0,30.0,6.0,33.0,30.0,33.0,56.0
2002-01-07 13:08:23,40284.0,105.0,125.0,316.0,0.0,35.0,19.0,525.0,48.0,19.0,41.0,5.0,34.0,46.0,35.0,64.0
2002-02-12 15:53:26,46191.0,110.0,129.0,399.0,0.0,38.0,19.0,553.0,58.0,26.0,41.0,5.0,34.0,46.0,41.0,71.0
2002-03-25 16:40:04,48106.0,117.0,130.0,402.0,0.0,38.0,19.0,573.0,61.0,29.0,44.0,5.0,33.0,62.0,41.0,79.0
2002-05-05 12:08:13,48061.0,118.0,130.0,401.0,0.0,39.0,19.0,577.0,63.0,30.0,42.0,5.0,33.0,62.0,43.0,79.0
2002-06-04 16:35:54,48608.0,133.0,122.0,420.0,0.0,35.0,4.0,539.0,68.0,31.0,64.0,11.0,30.0,66.0,63.0,77.0
2002-07-15 08:47:41,50425.0,135.0,116.0,458.0,0.0,34.0,4.0,566.0,74.0,31.0,68.0,13.0,30.0,66.0,58.0,74.0
2002-08-17 07:59:33,50891.0,135.0,116.0,469.0,0.0,34.0,4.0,567.0,75.0,31.0,70.0,13.0,30.0,66.0,57.0,74.0
2002-09-28 08:47:37,54453.0,130.0,115.0,483.0,0.0,36.0,6.0,555.0,78.0,31.0,70.0,13.0,29.0,73.0,60.0,74.0
2002-10-29 14:18:23,54384.0,130.0,115.0,484.0,0.0,37.0,4.0,546.0,77.0,31.0,69.0,13.0,28.0,73.0,58.0,74.0
2002-11-28 14:18:23,53542.333333333336,128.66666666666666,115.0,471.0,0.0,36.666666666666664,4.0,542.6666666666666,75.66666666666667,30.333333333333332,68.33333333333333,13.0,26.0,73.0,56.333333333333336,73.0
2002-12-28 14:18:23,52700.666666666664,127.33333333333333,115.0,458.0,0.0,36.333333333333336,4.0,539.3333333333334,74.33333333333333,29.666666666666668,67.66666666666667,13.0,24.0,73.0,54.666666666666664,72.0
2003-02-11 12:41:25,51859.0,126.0,115.0,445.0,0.0,36.0,4.0,536.0,73.0,29.0,67.0,13.0,22.0,73.0,53.0,71.0
2003-03-15 04:44:03,51260.0,127.0,115.0,450.0,1.0,36.0,5.0,64.0,72.0,28.0,67.0,13.0,22.0,73.0,53.0,72.0
2003-04-29 21:37:00,51709.0,125.0,115.0,438.0,1.0,36.0,5.0,80.0,72.0,30.0,58.0,13.0,24.0,62.0,53.0,73.0
2003-06-15 09:35:07,51206.0,125.0,115.0,436.0,1.0,36.0,5.0,80.0,72.0,30.0,58.0,13.0,23.0,62.0,53.0,73.0
2003-07-15 12:30:58,51395.0,126.0,115.0,437.0,1.0,37.0,5.0,88.0,72.0,30.0,59.0,13.0,23.0,62.0,53.0,74.0
2003-08-14 12:30:58,49785.0,118.5,112.5,406.0,1.0,37.5,5.0,79.5,70.0,27.5,59.0,13.0,23.0,62.0,53.5,71.5
2003-09-17 22:08:28,48175.0,111.0,110.0,375.0,1.0,38.0,5.0,71.0,68.0,25.0,59.0,13.0,23.0,62.0,54.0,69.0
2003-11-12 07:36:35,48158.0,111.0,110.0,375.0,1.0,38.0,5.0,65.0,68.0,25.0,59.0,13.0,23.0,62.0,56.0,69.0
2003-12-19 11:52:38,49410.0,109.0,113.0,491.0,1.0,41.0,5.0,75.0,68.0,25.0,61.0,15.0,25.0,64.0,58.0,39.0
2004-02-03 11:06:07,49237.0,109.0,113.0,489.0,1.0,41.0,4.0,68.0,67.0,30.0,61.0,15.0,25.0,64.0,58.0,25.0
2004-03-06 11:35:19,49771.0,109.0,113.0,489.0,1.0,41.0,4.0,63.0,68.0,30.0,64.0,15.0,29.0,64.0,59.0,25.0
2004-04-07 11:44:22,49499.0,104.0,113.0,489.0,1.0,41.0,4.0,66.0,67.0,27.0,69.0,15.0,29.0,48.0,59.0,26.0
2004-05-12 12:00:46,48446.0,110.0,113.0,499.0,1.0,41.0,4.0,68.0,67.0,33.0,69.0,15.0,29.0,50.0,65.0,27.0
2004-06-21 15:26:57,49814.0,110.0,113.0,508.0,1.0,39.0,4.0,68.0,69.0,33.0,71.0,15.0,23.0,36.0,42.0,28.0
2004-08-03 18:01:23,49338.0,126.0,113.0,516.0,1.0,39.0,5.0,75.0,70.0,33.0,71.0,15.0,27.0,36.0,42.0,26.0
2004-09-15 18:03:31,49363.0,118.0,110.0,494.0,1.0,37.0,3.0,60.0,68.0,28.0,71.0,15.0,27.0,36.0,35.0,20.0
2004-10-15 18:03:31,49537.5,115.0,109.5,490.0,1.0,38.0,3.0,52.5,74.0,29.0,75.0,15.0,25.0,36.0,38.0,20.5
2004-12-05 18:51:50,49712.0,112.0,109.0,486.0,1.0,39.0,3.0,45.0,80.0,30.0,79.0,15.0,23.0,36.0,41.0,21.0
2005-01-19 19:28:07,49648.0,113.0,109.0,486.0,1.0,39.0,3.0,46.0,81.0,30.0,79.0,15.0,23.0,36.0,41.0,21.0
2005-02-21 19:14:17,49643.0,117.0,109.0,486.0,1.0,39.0,3.0,42.0,82.0,30.0,80.0,15.0,23.0,36.0,41.0,21.0
2005-04-02 18:35:03,49026.0,107.0,110.0,481.0,1.0,36.0,3.0,41.0,95.0,29.0,77.0,14.0,22.0,38.0,41.0,21.0
2005-05-04 20:01:59,47500.0,103.0,110.0,474.0,1.0,34.0,3.0,42.0,110.0,26.0,73.0,14.0,21.0,22.0,38.0,20.0
2005-06-05 10:58:51,47105.0,104.0,106.0,480.0,1.0,31.0,3.0,42.0,106.0,30.0,71.0,7.0,21.0,21.0,38.0,20.0
2005-07-27 13:30:48,47086.0,104.0,106.0,480.0,1.0,31.0,3.0,42.0,107.0,30.0,71.0,7.0,21.0,21.0,38.0,20.0
2005-09-12 18:03:10,47333.0,106.0,106.0,480.0,1.0,31.0,3.0,45.0,108.0,30.0,72.0,7.0,20.0,21.0,38.0,20.0
2005-10-17 21:14:55,47372.0,106.0,106.0,479.0,1.0,32.0,3.0,45.0,108.0,30.0,72.0,7.0,20.0,21.0,40.0,20.0
2005-11-16 21:14:55,47448.5,106.5,106.0,479.0,1.0,32.0,3.0,45.0,108.0,30.0,72.5,7.0,20.5,21.0,40.0,20.0
2005-12-22 16:09:51,47525.0,107.0,106.0,479.0,1.0,32.0,3.0,45.0,108.0,30.0,73.0,7.0,21.0,21.0,40.0,20.0
2006-02-07 18:35:54,64482.0,117.0,109.0,487.0,4.0,33.0,25.0,120.0,167.0,35.0,104.0,8.0,125.0,27.0,88.0,47.0
2006-03-20 18:31:45,64553.0,117.0,109.0,477.0,4.0,33.0,25.0,120.0,170.0,35.0,105.0,8.0,126.0,27.0,90.0,47.0
2006-04-19 18:31:45,64618.5,117.0,109.0,477.0,4.0,33.0,25.0,118.0,170.5,34.0,105.5,8.0,126.0,27.0,90.0,47.0
2006-05-23 17:29:58,64684.0,117.0,109.0,477.0,4.0,33.0,25.0,116.0,171.0,33.0,106.0,8.0,126.0,27.0,90.0,47.0
2006-06-26 17:46:11,62269.0,115.0,109.0,496.0,4.0,33.0,25.0,118.0,77.0,30.0,107.0,2.0,125.0,27.0,91.0,46.0
2006-08-03 16:05:19,62335.0,117.0,109.0,496.0,4.0,33.0,25.0,119.0,77.0,30.0,107.0,2.0,125.0,27.0,91.0,46.0
2006-09-03 18:29:13,62524.0,121.0,110.0,494.0,5.0,35.0,25.0,128.0,75.0,33.0,109.0,3.0,125.0,27.0,92.0,45.0
2006-10-15 00:30:32,62677.0,121.0,112.0,494.0,5.0,37.0,26.0,122.0,75.0,33.0,109.0,3.0,125.0,26.0,92.0,44.0
2006-11-14 00:30:32,62931.0,123.0,112.0,498.5,5.0,37.0,29.0,121.5,75.0,33.0,110.0,3.0,125.5,26.0,91.5,44.0
2007-01-02 22:46:39,63185.0,125.0,112.0,503.0,5.0,37.0,32.0,121.0,75.0,33.0,111.0,3.0,126.0,26.0,91.0,44.0
2007-02-09 16:12:38,63233.0,125.0,112.0,503.0,5.0,37.0,32.0,121.0,75.0,33.0,111.0,3.0,126.0,26.0,91.0,44.0
2007-03-14 19:16:04,63449.0,126.0,112.0,488.0,6.0,38.0,32.0,114.0,75.0,33.0,111.0,3.0,126.0,26.0,87.0,44.0
2007-05-02 10:06:17,63366.0,127.0,112.0,488.0,6.0,39.0,32.0,115.0,75.0,33.0,112.0,3.0,124.0,26.0,87.0,45.0
2007-06-01 10:06:17,63602.5,127.0,112.5,488.0,6.0,39.0,32.0,115.0,75.5,33.0,113.0,3.0,124.0,26.0,87.0,45.5
2007-07-12 20:06:12,63839.0,127.0,113.0,488.0,6.0,39.0,32.0,115.0,76.0,33.0,114.0,3.0,124.0,26.0,87.0,46.0
2007-08-16 16:54:40,64074.0,128.0,113.0,488.0,6.0,39.0,32.0,115.0,76.0,33.0,117.0,3.0,125.0,26.0,88.0,46.0
2007-10-04 13:46:18,64342.0,128.0,113.0,489.0,6.0,39.0,32.0,115.0,77.0,33.0,120.0,3.0,125.0,26.0,88.0,47.0
2007-11-03 13:46:18,64366.5,129.0,113.0,489.0,6.0,39.0,32.0,115.5,76.5,33.0,120.0,3.0,125.0,26.0,88.0,47.0
2007-12-20 19:06:40,64391.0,130.0,113.0,489.0,6.0,39.0,32.0,116.0,76.0,33.0,120.0,3.0,125.0,26.0,88.0,47.0
2008-01-20 21:59:42,64513.0,131.0,113.0,489.0,6.0,39.0,32.0,117.0,76.0,33.0,120.0,3.0,125.0,26.0,88.0,47.0
2008-02-25 20:55:47,65537.0,131.0,114.0,502.0,6.0,39.0,35.0,129.0,77.0,34.0,120.0,4.0,125.0,26.0,97.0,50.0
2008-04-11 19:22:21,73947.0,130.0,114.0,502.0,6.0,38.0,35.0,130.0,77.0,34.0,124.0,4.0,125.0,26.0,97.0,50.0
2008-05-14 20:56:59,74153.0,130.0,114.0,501.0,6.0,38.0,35.0,127.0,75.0,34.0,119.0,4.0,125.0,26.0,97.0,50.0
2008-06-19 16:00:48,74206.0,129.0,114.0,501.0,6.0,36.0,35.0,125.0,75.0,34.0,121.0,4.0,125.0,26.0,97.0,50.0
2008-07-19 16:00:48,74203.5,129.0,114.0,501.0,6.0,36.0,35.5,125.0,75.0,34.0,121.0,4.0,125.0,26.0,97.0,50.0
2008-08-21 12:39:31,74201.0,129.0,114.0,501.0,6.0,36.0,36.0,125.0,75.0,34.0,121.0,4.0,125.0,26.0,97.0,50.0
2008-10-14 15:12:03,74149.0,129.0,115.0,500.0,6.0,36.0,36.0,128.0,75.0,34.0,125.0,4.0,126.0,26.0,97.0,50.0
2008-11-13 15:12:03,74146.5,129.0,115.0,500.0,6.0,36.0,36.0,128.0,74.75,34.0,125.0,4.0,126.0,26.0,97.0,50.0
2008-12-13 15:12:03,74144.0,129.0,115.0,500.0,6.0,36.0,36.0,128.0,74.5,34.0,125.0,4.0,126.0,26.0,97.0,50.0
2009-01-12 15:12:03,74141.5,129.0,115.0,500.0,6.0,36.0,36.0,128.0,74.25,34.0,125.0,4.0,126.0,26.0,97.0,50.0
2009-02-18 21:32:43,74139.0,129.0,115.0,500.0,6.0,36.0,36.0,128.0,74.0,34.0,125.0,4.0,126.0,26.0,97.0,50.0
2009-03-20 21:32:43,74173.5,129.0,115.0,500.0,6.0,36.0,36.0,129.0,74.0,34.0,125.5,4.0,126.0,26.0,97.0,50.0
2009-05-06 21:28:29,74208.0,129.0,115.0,500.0,6.0,36.0,36.0,130.0,74.0,34.0,126.0,4.0,126.0,26.0,97.0,50.0
2009-06-18 14:55:21,74205.0,129.0,115.0,500.0,6.0,36.0,36.0,130.0,74.0,34.0,126.0,4.0,126.0,26.0,97.0,50.0
2009-07-21 19:52:12,74941.0,137.0,115.0,503.0,10.0,35.0,37.0,47.0,78.0,34.0,132.0,4.0,126.0,26.0,104.0,26.0
2009-08-31 11:08:41,74942.0,137.0,115.0,503.0,10.0,35.0,37.0,47.0,78.0,34.0,132.0,4.0,126.0,26.0,104.0,26.0
2009-10-01 21:10:22,75252.0,132.0,115.0,503.0,9.0,35.0,37.0,47.0,78.0,34.0,132.0,4.0,128.0,26.0,104.0,26.0
2009-10-31 21:10:22,75277.0,132.0,115.0,503.0,9.0,35.0,37.0,46.0,78.0,34.0,133.0,4.0,128.0,26.0,104.0,26.0
2009-12-10 15:38:07,75302.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,78.0,34.0,134.0,4.0,128.0,26.0,104.0,26.0
2010-01-09 15:38:07,75302.33333333333,132.0,115.0,503.0,9.0,35.0,37.0,45.0,78.0,34.0,134.0,4.0,128.0,26.0,104.0,26.0
2010-02-08 15:38:07,75302.66666666667,132.0,115.0,503.0,9.0,35.0,37.0,45.0,78.0,34.0,134.0,4.0,128.0,26.0,104.0,26.0
2010-03-24 15:12:06,75303.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,78.0,34.0,134.0,4.0,128.0,26.0,104.0,26.0
2010-04-23 15:12:06,75354.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,78.5,34.0,134.0,4.0,128.5,26.0,104.0,26.0
2010-06-17 13:23:46,75405.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,79.0,34.0,134.0,4.0,129.0,26.0,104.0,26.0
2010-07-21 16:50:39,75842.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,81.0,36.0,134.0,4.0,133.0,26.0,104.0,26.0
2010-08-20 16:50:39,75835.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,81.0,36.0,134.0,4.0,131.5,25.0,104.0,24.5
2010-09-20 20:35:19,75828.0,132.0,115.0,503.0,9.0,35.0,37.0,45.0,81.0,36.0,134.0,4.0,130.0,24.0,104.0,23.0
2010-10-27 16:27:37,75764.0,132.0,115.0,506.0,9.0,35.0,37.0,45.0,81.0,37.0,134.0,4.0,132.0,24.0,102.0,23.0
2010-12-15 11:21:57,75777.0,132.0,115.0,506.0,9.0,35.0,37.0,45.0,81.0,37.0,134.0,4.0,132.0,24.0,103.0,23.0
2011-01-14 11:52:56,80586.0,113.0,116.0,493.0,8.0,30.0,14.0,46.0,73.0,37.0,165.0,4.0,119.0,24.0,109.0,15.0
2011-02-14 11:49:42,90304.0,37.0,115.0,419.0,4.0,25.0,14.0,49.0,81.0,38.0,165.0,4.0,107.0,24.0,108.0,15.0
2011-03-21 10:55:11,88970.0,26.0,115.0,330.0,4.0,20.0,16.0,49.0,81.0,38.0,165.0,4.0,106.0,22.0,107.0,14.0
2011-04-26 09:52:20,87395.0,23.0,114.0,295.0,4.0,18.0,14.0,47.0,82.0,38.0,167.0,4.0,106.0,22.0,110.0,14.0
2011-06-23 10:41:16,87370.0,23.0,133.0,295.0,4.0,18.0,12.0,47.0,83.0,37.0,165.0,4.0,98.0,22.0,110.0,13.0
2011-08-17 09:42:50,87671.0,23.0,133.0,278.0,4.0,18.0,12.0,47.0,85.0,37.0,167.0,2.0,98.0,22.0,111.0,13.0
2011-10-06 11:18:06,87886.0,23.0,133.0,278.0,4.0,20.0,12.0,47.0,87.0,37.0,168.0,2.0,98.0,22.0,111.0,12.0
2011-11-18 16:27:37,87506.0,21.0,131.0,278.0,4.0,21.0,12.0,45.0,89.0,38.0,171.0,2.0,98.0,22.0,111.0,12.0
2011-12-20 13:00:06,82527.0,23.0,132.0,248.0,3.0,21.0,10.0,38.0,94.0,42.0,151.0,2.0,97.0,21.0,110.0,9.0
2012-01-19 14:58:58,85020.0,23.0,132.0,248.0,3.0,22.0,11.0,37.0,99.0,51.0,166.0,2.0,97.0,24.0,110.0,9.0
2012-02-21 10:16:00,71909.0,23.0,132.0,248.0,3.0,22.0,11.0,37.0,99.0,51.0,166.0,2.0,97.0,24.0,111.0,9.0
2012-03-29 09:07:44,71844.0,23.0,132.0,248.0,3.0,22.0,11.0,37.0,99.0,51.0,168.0,2.0,97.0,24.0,111.0,9.0
2012-05-03 12:03:51,71971.0,23.0,132.0,263.0,3.0,22.0,16.0,37.0,101.0,51.0,172.0,2.0,98.0,24.0,111.0,9.0
2012-06-26 10:49:06,71608.0,23.0,132.0,177.0,1.0,21.0,16.0,37.0,101.0,49.0,172.0,2.0,98.0,24.0,111.0,9.0
2012-07-31 07:20:29,96000.0,143.0,136.0,184.0,1.0,23.0,16.0,48.0,143.0,62.0,214.0,3.0,100.0,66.0,117.0,9.0
2012-09-11 16:05:51,98475.0,154.0,136.0,186.0,1.0,23.0,16.0,42.0,142.0,62.0,215.0,3.0,100.0,66.0,117.0,14.0
2012-10-16 14:01:40,101315.0,168.0,136.0,191.0,1.0,25.0,16.0,41.0,148.0,65.0,246.0,3.0,100.0,67.0,117.0,7.0
2012-12-07 17:55:36,101100.0,153.0,136.0,195.0,1.0,25.0,16.0,41.0,149.0,67.0,246.0,3.0,100.0,67.0,118.0,7.0
2013-01-06 17:55:36,101256.5,163.5,136.0,190.5,1.0,25.0,16.0,41.0,150.0,67.5,246.0,3.0,100.0,67.5,117.5,7.0
2013-02-06 14:56:11,101413.0,174.0,136.0,186.0,1.0,25.0,16.0,41.0,151.0,68.0,246.0,3.0,100.0,68.0,117.0,7.0
2013-03-20 20:43:32,101451.0,174.0,136.0,182.0,1.0,25.0,13.0,41.0,152.0,68.0,243.0,3.0,100.0,68.0,117.0,7.0
2013-04-23 20:01:59,102017.0,166.0,136.0,195.0,1.0,25.0,3.0,43.0,148.0,68.0,244.0,3.0,100.0,68.0,117.0,7.0
2013-06-08 12:34:22,102213.0,165.0,136.0,195.0,1.0,25.0,3.0,43.0,149.0,68.0,244.0,3.0,100.0,66.0,117.0,7.0
2013-07-30 07:54:09,102837.0,165.0,136.0,192.0,1.0,25.0,3.0,41.0,151.0,68.0,244.0,3.0,100.0,66.0,117.0,8.0
2013-09-13 14:59:05,102258.0,174.0,136.0,192.0,1.0,25.0,3.0,40.0,152.0,68.0,244.0,3.0,100.0,66.0,117.0,7.0
2013-10-16 16:09:17,102218.0,174.0,136.0,192.0,1.0,25.0,3.0,39.0,149.0,68.0,244.0,3.0,100.0,66.0,117.0,7.0
2013-11-25 11:02:39,102738.0,176.0,136.0,192.0,1.0,24.0,3.0,38.0,153.0,68.0,244.0,3.0,100.0,66.0,124.0,7.0
2014-01-07 11:46:31,100173.0,169.0,136.0,192.0,1.0,24.0,3.0,36.0,143.0,65.0,244.0,3.0,100.0,66.0,123.0,7.0
2014-02-20 11:48:28,101071.0,171.0,136.0,192.0,1.0,23.0,3.0,36.0,144.0,65.0,244.0,3.0,100.0,65.0,123.0,7.0
2014-03-28 11:54:21,101353.0,171.0,136.0,192.0,1.0,23.0,3.0,36.0,146.0,65.0,248.0,3.0,100.0,65.0,123.0,7.0
2014-05-06 11:31:35,102316.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,145.0,65.0,253.0,3.0,101.0,65.0,126.0,7.0
2014-06-06 13:59:49,111517.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,160.0,68.0,278.0,3.0,101.0,65.0,126.0,7.0
2014-07-06 13:59:49,112041.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,160.5,68.5,278.5,3.0,101.0,65.0,126.0,7.0
2014-08-29 15:38:31,112565.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,161.0,69.0,279.0,3.0,101.0,65.0,126.0,7.0
2014-10-15 09:21:08,112741.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,162.0,69.0,281.0,3.0,101.0,65.0,126.0,7.0
2014-11-24 11:15:36,113491.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,164.0,69.0,281.0,3.0,101.0,65.0,126.0,19.0
2015-01-08 17:03:10,113686.0,171.0,136.0,191.0,1.0,23.0,3.0,36.0,164.0,69.0,282.0,3.0,101.0,65.0,126.0,19.0
2015-02-15 09:11:24,114921.0,171.0,136.0,191.0,1.0,23.0,3.0,39.0,167.0,69.0,291.0,3.0,101.0,65.0,126.0,19.0
2015-03-17 09:11:24,114923.0,171.0,136.0,191.0,1.0,23.0,3.0,39.0,167.0,69.0,291.0,3.0,101.0,65.0,126.0,19.0
2015-04-30 14:10:20,114925.0,171.0,136.0,191.0,1.0,23.0,3.0,39.0,167.0,69.0,291.0,3.0,101.0,65.0,126.0,19.0
2015-06-03 10:31:18,114776.0,171.0,136.0,145.0,1.0,23.0,3.0,39.0,167.0,65.0,291.0,3.0,101.0,65.0,126.0,19.0
2015-07-10 11:02:59,115465.0,171.0,160.0,145.0,1.0,23.0,3.0,39.0,167.0,65.0,315.0,3.0,101.0,65.0,122.0,17.0
2015-08-24 11:29:58,115797.0,171.0,160.0,145.0,1.0,23.0,3.0,40.0,167.0,65.0,315.0,3.0,101.0,65.0,122.0,17.0
2015-10-02 13:40:09,116332.0,171.0,160.0,145.0,1.0,23.0,3.0,34.0,165.0,65.0,316.0,3.0,101.0,65.0,122.0,7.0
2015-11-22 09:35:48,118289.0,166.0,160.0,145.0,1.0,23.0,3.0,34.0,164.0,65.0,316.0,3.0,101.0,65.0,122.0,7.0
2015-12-22 10:45:18,118221.0,166.0,160.0,145.0,1.0,23.0,3.0,34.0,163.0,65.0,318.0,3.0,99.0,65.0,122.0,7.0
2016-01-21 10:45:18,118311.33333333333,166.66666666666666,160.0,145.0,0.6666666666666667,23.0,3.0,34.0,163.0,65.66666666666667,317.6666666666667,3.0,98.66666666666667,65.0,122.0,7.0
2016-02-20 10:45:18,118401.66666666667,167.33333333333334,160.0,145.0,0.33333333333333337,23.0,3.0,34.0,163.0,66.33333333333333,317.3333333333333,3.0,98.33333333333333,65.0,122.0,7.0
2016-04-18 09:09:27,118492.0,168.0,160.0,145.0,0.0,23.0,3.0,34.0,163.0,67.0,317.0,3.0,98.0,65.0,122.0,7.0
2016-05-25 14:25:03,119169.0,168.0,160.0,145.0,0.0,23.0,3.0,34.0,163.0,67.0,318.0,3.0,98.0,65.0,122.0,7.0
2016-06-24 14:25:03,119245.0,168.0,160.0,145.0,0.0,23.333333333333332,3.0,34.0,163.0,67.33333333333333,319.6666666666667,3.0,98.0,65.0,122.0,7.0
2016-07-24 14:25:03,119321.0,168.0,160.0,145.0,0.0,23.666666666666668,3.0,34.0,163.0,67.66666666666667,321.3333333333333,3.0,98.0,65.0,122.0,7.0
2016-09-20 13:54:14,119397.0,168.0,160.0,145.0,0.0,24.0,3.0,34.0,163.0,68.0,323.0,3.0,98.0,65.0,122.0,7.0
2016-11-08 16:27:29,114775.0,168.0,157.0,107.0,0.0,23.0,3.0,0.0,138.0,69.0,310.0,3.0,98.0,65.0,116.0,0.0
2016-12-08 16:27:29,114864.0,168.0,157.0,107.0,0.0,23.0,3.0,0.0,138.0,69.0,309.5,3.0,98.0,65.0,116.0,0.0
2017-01-19 14:53:45,114953.0,168.0,157.0,107.0,0.0,23.0,3.0,0.0,138.0,69.0,309.0,3.0,98.0,65.0,116.0,0.0
2017-03-03 10:06:53,114342.0,168.0,157.0,108.0,0.0,23.0,3.0,0.0,138.0,69.0,309.0,1.0,98.0,65.0,65.0,0.0
2017-04-25 12:34:26,114515.0,168.0,157.0,108.0,0.0,23.0,3.0,0.0,137.0,70.0,309.0,1.0,98.0,65.0,73.0,0.0
2017-06-08 09:40:51,114150.0,168.0,165.0,97.0,0.0,23.0,3.0,0.0,136.0,69.0,309.0,1.0,98.0,65.0,64.0,0.0
2017-07-31 10:38:13,117950.0,168.0,165.0,97.0,0.0,23.0,3.0,0.0,148.0,69.0,309.0,1.0,98.0,65.0,64.0,0.0
2017-08-30 10:38:13,120617.0,168.0,161.0,97.0,0.0,23.0,3.0,0.0,147.0,69.0,427.5,1.0,98.0,65.0,64.0,0.0
2017-10-10 09:14:33,123284.0,168.0,157.0,97.0,0.0,23.0,3.0,0.0,146.0,69.0,546.0,1.0,98.0,65.0,64.0,0.0
2017-12-05 16:50:01,123206.0,176.0,157.0,97.0,0.0,23.0,3.0,0.0,146.0,69.0,560.0,1.0,98.0,65.0,64.0,0.0
2018-01-04 16:50:01,123348.0,176.5,157.0,97.0,0.0,23.0,3.0,0.0,145.5,69.0,560.0,1.0,98.0,65.0,64.0,0.0
2018-02-03 16:50:01,123490.0,177.0,157.0,97.0,0.0,23.0,3.0,0.0,145.0,69.0,560.0,1.0,98.0,65.0,64.0,0.0
2018-03-05 16:50:01,123632.0,177.5,157.0,97.0,0.0,23.0,3.0,0.0,144.5,69.0,560.0,1.0,98.0,65.0,64.0,0.0
2018-05-01 10:35:21,123774.0,178.0,157.0,97.0,0.0,23.0,3.0,0.0,144.0,69.0,560.0,1.0,98.0,65.0,64.0,0.0
2018-06-06 15:06:05,123058.0,178.0,158.0,97.0,0.0,23.0,3.0,0.0,144.0,69.0,552.0,1.0,98.0,65.0,64.0,0.0
2018-07-27 11:24:35,126246.0,178.0,157.0,98.0,0.0,23.0,3.0,0.0,142.0,69.0,561.0,1.0,98.0,65.0,71.0,0.0
2018-08-27 13:23:14,126431.0,178.0,157.0,98.0,0.0,23.0,3.0,0.0,142.0,69.0,561.0,1.0,98.0,65.0,71.0,0.0
2018-10-01 10:12:11,119615.0,178.0,68.0,98.0,0.0,22.0,2.0,0.0,131.0,67.0,561.0,1.0,98.0,65.0,71.0,0.0
